"NAME:","South Tyne at Featherstone"
"NUMBER:","23006"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
17/12/1966 00:00,1.564,183.98,"1c","Spreadsheet","Taken from northumbria high flows study",""
19/12/1966 00:00,1.792,237.91,"1c","Spreadsheet","Taken from northumbria high flows study",""
18/08/1967 00:00,1.629,198.76,"1c","Spreadsheet","Taken from northumbria high flows study",""
05/09/1967 00:00,1.490,167.73,"1c","Spreadsheet","Taken from northumbria high flows study",""
01/10/1967 00:00,1.608,193.88,"1c","Spreadsheet","Taken from northumbria high flows study",""
03/10/1967 00:00,1.929,273.08,"1c","Spreadsheet","Taken from northumbria high flows study",""
06/10/1967 00:00,1.564,183.98,"1c","Spreadsheet","Taken from northumbria high flows study",""
14/10/1967 00:00,1.686,212.12,"1c","Spreadsheet","Taken from northumbria high flows study",""
16/10/1967 00:00,1.682,211.17,"1c","Spreadsheet","Taken from northumbria high flows study",""
22/12/1967 00:00,1.533,177.10,"1c","Spreadsheet","Taken from northumbria high flows study",""
19/03/1968 00:00,1.707,217.13,"1c","Spreadsheet","Taken from northumbria high flows study",""
23/03/1968 00:00,1.835,248.73,"1c","Spreadsheet","Taken from northumbria high flows study",""
01/04/1968 00:00,1.722,220.74,"1c","Spreadsheet","Taken from northumbria high flows study",""
12/09/1968 00:00,1.747,226.81,"1c","Spreadsheet","Taken from northumbria high flows study",""
20/09/1968 00:00,1.472,163.88,"1c","Spreadsheet","Taken from northumbria high flows study",""
22/09/1968 00:00,1.612,194.85,"1c","Spreadsheet","Taken from northumbria high flows study",""
20/12/1968 00:00,1.400,148.84,"1c","FSR","",""
18/11/1969 00:00,1.492,168.16,"1c","Spreadsheet","Taken from northumbria high flows study",""
21/02/1970 00:00,1.815,243.67,"1c","Spreadsheet","Taken from northumbria high flows study",""
20/08/1970 00:00,1.599,191.88,"1c","Spreadsheet","Taken from northumbria high flows study",""
25/10/1970 00:00,1.654,204.57,"1c","Spreadsheet","Taken from northumbria high flows study",""
30/10/1970 00:00,1.736,224.13,"1c","Spreadsheet","Taken from northumbria high flows study",""
12/02/1971 00:00,1.520,174.26,"1c","FSR","",""
29/08/1971 00:00,1.474,164.30,"1c","Spreadsheet","Taken from northumbria high flows study",""
19/10/1971 00:00,1.372,143.14,"1c","Spreadsheet","Taken from northumbria high flows study",""
05/11/1971 00:00,1.381,144.96,"1c","Spreadsheet","Taken from northumbria high flows study",""
07/11/1971 00:00,1.410,150.89,"1c","Spreadsheet","Taken from northumbria high flows study",""
17/11/1971 00:00,1.522,174.70,"1c","Spreadsheet","Taken from northumbria high flows study",""
12/12/1971 00:00,1.533,177.10,"1c","Spreadsheet","Taken from northumbria high flows study",""
18/01/1972 00:00,1.396,148.01,"1c","Spreadsheet","Taken from northumbria high flows study",""
17/03/1972 00:00,1.324,133.62,"1c","Digital Archive","",""
21/11/1972 09:45,1.741,225.38,"1c","Digital Archive","",""
30/11/1972 02:45,1.470,163.47,"1c","Digital Archive","",""
01/12/1972 12:15,1.465,162.40,"1c","Digital Archive","",""
12/12/1972 03:45,1.710,217.88,"1c","Digital Archive","",""
13/12/1972 06:45,1.245,118.53,"1c","Digital Archive","",""
26/01/1973 14:30,1.365,141.75,"1c","Digital Archive","",""
04/04/1973 16:15,1.223,114.46,"1c","Digital Archive","",""
06/08/1973 04:30,1.315,131.86,"1c","Digital Archive","",""
10/12/1973 22:45,1.603,192.81,"1c","Digital Archive","",""
16/12/1973 00:15,1.601,192.36,"1c","Digital Archive","",""
17/01/1974 16:30,1.327,134.21,"1c","Digital Archive","",""
02/02/1974 22:30,1.786,236.45,"1c","Digital Archive","",""
16/03/1974 10:15,1.276,124.36,"1c","Digital Archive","",""
07/09/1974 18:30,1.286,126.27,"1c","Digital Archive","",""
11/11/1974 02:45,1.817,244.21,"1c","Digital Archive","",""
13/11/1974 20:30,1.421,153.17,"1c","Digital Archive","",""
25/11/1974 04:45,1.488,167.32,"1c","Digital Archive","",""
08/12/1974 07:45,1.223,114.46,"1c","Digital Archive","",""
14/12/1974 05:45,1.439,156.92,"1c","Digital Archive","",""
22/12/1974 07:15,1.569,185.12,"1c","Digital Archive","",""
26/12/1974 08:00,1.327,134.21,"1c","Digital Archive","Non-independent peak removed B",""
29/12/1974 05:30,1.544,179.54,"1c","Digital Archive","",""
22/01/1975 13:45,1.922,271.27,"1c","Digital Archive","",""
25/01/1975 13:30,1.597,191.45,"1c","Digital Archive","",""
31/01/1975 14:30,1.253,120.02,"1c","Digital Archive","",""
30/08/1975 08:45,1.414,151.72,"1c","Digital Archive","",""
25/09/1975 03:00,1.430,155.04,"1c","Digital Archive","",""
27/09/1975 20:00,1.896,264.46,"1c","Digital Archive","",""
01/10/1975 10:15,1.287,126.46,"1c","Digital Archive","",""
02/01/1976 21:45,1.722,220.77,"1c","Digital Archive","",""
24/02/1976 01:00,1.434,155.87,"1c","Digital Archive","",""
12/09/1976 00:00,1.519,174.04,"1c","Digital Archive","",""
15/10/1976 16:15,1.519,174.04,"1c","Digital Archive","",""
25/01/1977 20:15,1.667,207.65,"1c","Digital Archive","",""
13/06/1977 09:30,1.475,164.53,"1c","Digital Archive","",""
04/10/1977 00:45,1.253,120.02,"1c","Digital Archive","",""
23/11/1977 17:30,1.246,118.72,"1c","Digital Archive","",""
23/12/1977 08:00,1.383,145.38,"1c","Digital Archive","",""
15/03/1978 06:30,1.485,166.67,"1c","Digital Archive","",""
19/03/1978 18:45,1.407,150.28,"1c","Digital Archive","",""
11/09/1978 04:30,1.264,122.09,"1c","Digital Archive","",""
13/09/1978 22:30,1.751,227.82,"1c","Digital Archive","",""
29/09/1978 01:30,1.337,136.17,"1c","Digital Archive","",""
15/11/1978 17:15,1.680,210.72,"1c","Digital Archive","Non-independent peak removed B",""
23/11/1978 21:15,1.222,114.28,"1c","Digital Archive","",""
07/01/1979 14:00,1.401,149.05,"1c","Digital Archive","",""
03/03/1979 11:00,1.450,159.23,"1c","Digital Archive","",""
09/03/1979 00:15,1.881,260.56,"1c","Digital Archive","",""
25/03/1979 18:15,1.455,160.28,"1c","Digital Archive","",""
11/11/1979 18:30,1.238,117.23,"1c","Digital Archive","",""
26/11/1979 08:15,1.805,241.20,"1c","Digital Archive","Non-independent peak removed B",""
26/12/1979 18:30,1.891,263.16,"1c","Digital Archive","Non-independent peak removed A",""
09/02/1980 19:30,1.381,144.97,"1c","Digital Archive","",""
06/10/1980 17:30,1.470,163.47,"1c","Digital Archive","",""
24/10/1980 01:30,1.527,175.79,"1c","Digital Archive","",""
27/10/1980 11:45,1.223,114.46,"1c","Digital Archive","",""
14/11/1980 13:00,1.899,265.24,"1c","Digital Archive","",""
11/12/1980 04:45,1.968,283.49,"1c","Digital Archive","Peak examined by eye and appears reasonable.",""
13/12/1980 13:15,1.350,138.75,"1c","Digital Archive","",""
02/01/1981 12:00,1.230,115.75,"1c","Digital Archive","",""
14/01/1981 07:45,1.223,114.46,"1c","Digital Archive","",""
02/02/1981 23:30,1.756,229.05,"1c","Digital Archive","",""
07/03/1981 09:15,1.378,144.36,"1c","Digital Archive","",""
10/03/1981 20:15,1.286,126.27,"1c","Digital Archive","",""
24/03/1981 01:00,1.636,200.41,"1c","Digital Archive","",""
25/03/1981 06:00,1.228,115.38,"1c","Digital Archive","",""
20/09/1981 03:45,1.332,135.19,"1c","Digital Archive","",""
24/09/1981 02:30,1.378,144.36,"1c","Digital Archive","",""
26/09/1981 20:00,1.735,223.92,"1c","Digital Archive","",""
01/10/1981 23:15,1.796,238.95,"1c","Digital Archive","Non-independent peak removed A",""
09/10/1981 04:30,1.559,182.88,"1c","Digital Archive","Non-independent peak removed A",""
02/11/1981 00:45,1.302,129.34,"1c","Digital Archive","",""
23/11/1981 13:15,1.738,224.65,"1c","Digital Archive","",""
27/11/1981 03:00,1.937,275.23,"1c","Digital Archive","",""
03/01/1982 06:15,2.000,292.13,"1c","Digital Archive","Peak examined by eye and appears reasonable.",""
26/01/1982 02:45,1.238,117.23,"1c","Digital Archive","",""
12/03/1982 08:30,1.455,160.28,"1c","Digital Archive","",""
15/03/1982 05:30,1.333,135.39,"1c","Digital Archive","",""
06/10/1982 08:45,1.771,232.74,"1c","Digital Archive","",""
20/10/1982 12:15,1.351,138.95,"1c","Digital Archive","",""
16/11/1982 04:15,1.345,137.76,"1c","Digital Archive","",""
21/11/1982 15:45,1.281,125.31,"1c","Digital Archive","",""
23/11/1982 07:30,1.422,153.38,"1c","Digital Archive","",""
08/12/1982 13:00,1.577,186.92,"1c","Digital Archive","",""
15/12/1982 18:15,1.376,143.96,"1c","Digital Archive","",""
19/12/1982 14:30,1.733,223.43,"1c","Digital Archive","",""
06/01/1983 05:30,1.695,214.29,"1c","Digital Archive","",""
28/05/1983 04:30,1.243,118.16,"1c","Digital Archive","",""
08/10/1983 17:15,1.521,174.48,"1c","Digital Archive","",""
16/10/1983 05:00,1.279,124.93,"1c","Digital Archive","",""
09/12/1983 11:30,1.375,143.76,"1c","Digital Archive","",""
11/01/1984 08:15,1.299,128.76,"1c","Digital Archive","",""
13/01/1984 06:00,1.628,198.55,"1c","Digital Archive","",""
04/02/1984 18:00,1.320,132.84,"1c","Digital Archive","",""
13/06/1984 16:30,1.429,154.83,"1c","Digital Archive","",""
17/09/1984 07:00,1.225,114.83,"1c","Digital Archive","",""
03/11/1984 14:45,2.065,310.01,"1c","Digital Archive","Peak examined by eye and appears reasonable.",""
28/11/1984 00:00,1.504,170.77,"1c","Digital Archive","",""
30/03/1985 08:30,1.254,120.21,"1c","Digital Archive","",""
15/08/1985 22:45,1.414,151.72,"1c","Digital Archive","",""
25/08/1985 14:30,1.246,118.72,"1c","Digital Archive","",""
22/09/1985 00:45,1.845,251.31,"1c","Digital Archive","",""
09/11/1985 04:30,1.437,156.50,"1c","Digital Archive","",""
13/12/1985 03:00,1.445,158.18,"1c","Digital Archive","",""
21/12/1985 03:00,1.669,208.12,"1c","Digital Archive","",""
10/01/1986 11:00,1.386,145.99,"1c","Digital Archive","",""
13/01/1986 05:45,1.259,121.15,"1c","Digital Archive","",""
19/01/1986 08:30,1.475,164.53,"1c","Digital Archive","",""
20/01/1986 19:00,1.422,153.38,"1c","Digital Archive","",""
22/01/1986 14:15,1.310,130.89,"1c","Digital Archive","",""
05/03/1986 00:45,1.490,167.75,"1c","Digital Archive","",""
23/03/1986 01:00,1.588,189.40,"1c","Digital Archive","",""
10/06/1986 15:30,1.299,128.76,"1c","Digital Archive","",""
26/08/1986 11:00,2.019,297.31,"1c","Digital Archive","Peak examined by eye and appears reasonable.",""
25/10/1986 07:00,1.473,164.11,"1c","Digital Archive","",""
30/10/1986 10:00,1.284,125.89,"1c","Digital Archive","",""
25/11/1986 16:45,1.498,169.48,"1c","Digital Archive","Non-independent peak removed B",""
03/12/1986 19:45,1.577,186.92,"1c","Digital Archive","",""
25/12/1986 04:45,1.404,149.66,"1c","Digital Archive","",""
29/12/1986 22:30,1.378,144.36,"1c","Digital Archive","Non-independent peak removed A",""
04/01/1987 13:00,1.620,196.71,"1c","Digital Archive","",""
10/02/1987 04:15,1.402,149.25,"1c","Digital Archive","",""
02/03/1987 06:15,1.230,115.75,"1c","Digital Archive","",""
27/03/1987 17:30,1.498,169.48,"1c","Digital Archive","Non-independent peak removed B",""
11/07/1987 05:30,1.501,170.12,"1c","Digital Archive","",""
18/07/1987 11:30,1.378,144.36,"1c","Digital Archive","",""
09/09/1987 22:30,1.302,129.34,"1c","Digital Archive","",""
08/10/1987 13:15,1.248,119.09,"1c","Digital Archive","",""
16/10/1987 09:15,1.327,134.21,"1c","Digital Archive","Non-independent peak removed A",""
18/10/1987 20:30,1.891,263.16,"1c","Digital Archive","",""
27/12/1987 16:15,1.529,176.23,"1c","Digital Archive","",""
02/01/1988 13:15,1.368,142.35,"1c","Digital Archive","Non-independent peak removed A",""
06/01/1988 10:00,1.613,195.10,"1c","Digital Archive","",""
24/01/1988 13:45,1.240,117.60,"1c","Digital Archive","",""
31/01/1988 07:30,1.235,116.68,"1c","Digital Archive","",""
01/02/1988 16:00,1.626,198.09,"1c","Digital Archive","",""
12/03/1988 05:15,1.342,137.16,"1c","Digital Archive","",""
22/07/1988 21:00,1.391,147.00,"1c","Digital Archive","",""
28/07/1988 23:00,1.930,273.38,"1c","Digital Archive","",""
31/08/1988 02:15,1.286,126.27,"1c","Digital Archive","",""
04/12/1988 02:15,1.348,138.35,"1c","Digital Archive","",""
23/12/1988 06:15,1.851,252.84,"1c","Digital Archive","",""
26/12/1988 22:45,1.376,143.96,"1c","Digital Archive","",""
14/01/1989 02:15,1.371,142.95,"1c","Digital Archive","",""
04/02/1989 17:30,1.684,211.67,"1c","Digital Archive","",""
24/03/1989 02:45,1.503,170.56,"1c","Digital Archive","",""
30/10/1989 05:15,1.343,137.36,"1c","Digital Archive","",""
11/11/1989 00:30,1.317,132.25,"1c","Digital Archive","",""
16/01/1990 21:15,1.340,136.77,"1c","Digital Archive","",""
19/01/1990 10:45,1.363,141.34,"1c","Digital Archive","",""
23/01/1990 07:00,1.483,166.24,"1c","Digital Archive","",""
25/01/1990 15:00,1.588,189.40,"1c","Digital Archive","",""
29/01/1990 19:45,1.274,123.98,"1c","Digital Archive","",""
04/02/1990 18:15,1.534,177.33,"1c","Digital Archive","",""
08/02/1990 00:45,1.547,180.21,"1c","Digital Archive","Non-independent peak removed B",""
17/02/1990 15:30,1.444,157.97,"1c","Digital Archive","",""
19/02/1990 16:45,1.705,216.68,"1c","Digital Archive","Non-independent peak removed A",""
04/03/1990 05:45,1.225,114.83,"1c","Digital Archive","",""
10/03/1990 05:30,1.445,158.18,"1c","Digital Archive","",""
06/10/1990 18:30,1.449,159.02,"1c","Digital Archive","",""
28/10/1990 20:00,1.598,191.67,"1c","Digital Archive","",""
16/11/1990 16:30,1.473,164.11,"1c","Digital Archive","",""
11/12/1990 21:15,1.304,129.73,"1c","Digital Archive","",""
20/12/1990 13:00,1.419,152.75,"1c","Digital Archive","",""
26/12/1990 15:15,1.251,119.65,"1c","Digital Archive","",""
28/12/1990 16:45,1.718,219.80,"1c","Digital Archive","",""
01/01/1991 19:45,1.787,236.70,"1c","Digital Archive","",""
23/02/1991 05:45,1.740,225.13,"1c","Digital Archive","Non-independent peak removed A",""
04/03/1991 23:30,1.504,170.77,"1c","Digital Archive","",""
21/03/1991 02:15,1.518,173.82,"1c","Digital Archive","",""
31/10/1991 20:15,1.399,148.64,"1c","Digital Archive","",""
02/11/1991 01:45,1.531,176.67,"1c","Digital Archive","Non-independent peak removed A",""
10/11/1991 22:00,1.858,254.63,"1c","Digital Archive","",""
19/12/1991 05:00,1.646,202.73,"1c","Digital Archive","",""
21/12/1991 14:30,1.940,276.02,"1c","Digital Archive","Peak examined by eye and appears reasonable.",""
23/12/1991 11:15,1.713,218.60,"1c","Digital Archive","",""
04/02/1992 05:45,1.452,159.65,"1c","Digital Archive","",""
21/03/1992 07:30,1.250,119.46,"1c","Digital Archive","",""
31/03/1992 12:30,1.297,128.38,"1c","Digital Archive","",""
27/11/1992 21:30,1.449,159.02,"1c","Digital Archive","",""
02/12/1992 03:45,1.616,195.79,"1c","Digital Archive","Non-independent peak removed B",""
18/12/1992 10:00,1.539,178.44,"1c","Digital Archive","",""
13/01/1993 12:30,1.713,218.60,"1c","Digital Archive","",""
15/01/1993 10:15,1.636,200.41,"1c","Digital Archive","",""
19/01/1993 00:30,1.337,136.17,"1c","Digital Archive","",""
23/01/1993 20:15,1.291,127.22,"1c","Digital Archive","",""
06/04/1993 08:30,1.536,177.78,"1c","Digital Archive","",""
18/04/1993 08:45,1.480,165.60,"1c","Digital Archive","Non-independent peak removed A",""
18/05/1993 00:00,1.286,126.27,"1c","Digital Archive","",""
31/05/1993 09:15,1.312,131.28,"1c","Digital Archive","",""
07/12/1993 00:15,1.664,206.95,"1c","Digital Archive","",""
