"NAME:","Rede at Rede Bridge"
"NUMBER:","23008"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
31/10/1968 00:00,1.807,91.46,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
19/12/1968 00:00,1.938,104.30,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
12/01/1969 00:00,1.728,84.25,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
22/01/1969 00:00,1.551,70.00,"C (Rating Review 2010)3","Spreadsheet","Taken from northumbria high flows study",""
15/11/1969 00:00,1.478,64.82,"C (Rating Review 2010)2","Spreadsheet","Taken from northumbria high flows study",""
18/11/1969 00:00,1.530,68.51,"C (Rating Review 2010)3","Spreadsheet","Taken from northumbria high flows study",""
22/11/1969 00:00,1.822,92.88,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
21/12/1969 00:00,1.886,99.07,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
19/02/1970 00:00,2.200,133.50,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
20/02/1970 03:00,2.180,131.10,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
21/02/1970 00:00,1.713,82.92,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
31/10/1970 00:00,1.996,110.40,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
23/11/1970 00:00,1.572,71.50,"C (Rating Review 2010)3","Spreadsheet","Taken from northumbria high flows study",""
08/01/1971 00:00,1.935,104.00,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
18/03/1971 00:00,1.636,76.34,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
04/11/1971 00:00,1.500,66.41,"C (Rating Review 2010)2","Spreadsheet","Taken from northumbria high flows study",""
26/01/1972 00:00,1.520,67.81,"C (Rating Review 2010)3","Spreadsheet","Taken from northumbria high flows study",""
03/02/1972 00:00,1.863,96.82,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
16/02/1972 00:00,1.730,84.43,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
16/03/1972 00:00,1.481,65.04,"C (Rating Review 2010)2","Spreadsheet","Taken from northumbria high flows study",""
11/12/1972 00:00,1.588,72.66,"C (Rating Review 2010)3","Spreadsheet","Taken from northumbria high flows study",""
04/05/1973 00:00,1.692,81.09,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
20/03/1974 00:00,1.606,73.97,"C (Rating Review 2010)3","Spreadsheet","Taken from northumbria high flows study",""
10/11/1974 00:00,1.753,86.49,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
22/11/1974 00:00,1.891,99.57,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
22/12/1974 00:00,1.651,77.59,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
25/12/1974 00:00,1.746,85.86,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
28/12/1974 00:00,1.499,66.37,"C (Rating Review 2010)2","Spreadsheet","Taken from northumbria high flows study",""
25/01/1975 00:00,2.012,112.10,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
27/01/1975 00:00,1.812,91.93,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
31/01/1975 00:00,1.679,79.97,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
27/08/1975 00:00,1.506,66.83,"C (Rating Review 2010)3","Spreadsheet","Taken from northumbria high flows study",""
30/08/1975 00:00,2.415,161.10,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
30/08/1975 07:00,2.160,128.70,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
02/01/1976 00:00,1.851,95.65,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
23/02/1976 00:00,2.227,136.70,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
24/02/1976 03:00,1.660,78.35,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
21/03/1976 00:00,1.595,73.16,"C (Rating Review 2010)3","Spreadsheet","Taken from northumbria high flows study",""
15/10/1976 00:00,1.880,98.48,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
25/01/1977 00:00,2.148,127.30,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
03/02/1977 00:00,1.537,69.00,"C (Rating Review 2010)3","Spreadsheet","Taken from northumbria high flows study",""
10/02/1977 00:00,1.587,72.58,"C (Rating Review 2010)3","Spreadsheet","Taken from northumbria high flows study",""
09/11/1977 00:00,1.542,69.36,"C (Rating Review 2010)3","Spreadsheet","Taken from northumbria high flows study",""
23/12/1977 00:00,1.604,73.82,"C (Rating Review 2010)3","Spreadsheet","Taken from northumbria high flows study",""
28/01/1978 00:00,1.846,95.17,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
23/02/1978 00:00,1.861,96.62,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
15/11/1978 00:00,1.587,72.58,"C (Rating Review 2010)3","Spreadsheet","Taken from northumbria high flows study",""
08/12/1978 00:00,1.553,70.14,"C (Rating Review 2010)3","Spreadsheet","Taken from northumbria high flows study",""
24/12/1978 00:00,1.794,90.25,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
28/12/1978 00:00,1.853,95.84,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
07/01/1979 00:00,2.377,155.90,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
07/01/1979 15:30,2.370,155.00,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
27/02/1979 00:00,2.312,147.40,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
27/02/1979 20:00,2.300,145.90,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
02/03/1979 00:00,1.801,90.90,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
06/03/1979 00:00,1.714,83.01,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
25/03/1979 00:00,2.016,112.50,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
28/03/1979 00:00,2.159,128.60,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
29/03/1979 03:00,2.150,127.50,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
13/10/1979 00:00,1.930,103.50,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
26/11/1979 00:00,2.065,117.80,"C (Rating Review 2010)4","Spreadsheet","Taken from northumbria high flows study",""
