"NAME:","Kielder Burn at Kielder"
"NUMBER:","23011"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
25/10/1970 00:00,1.537,49.73,"1c","Spreadsheet","Taken from northumbria high flows study",""
31/10/1970 00:00,1.861,70.74,"1c","Spreadsheet","Taken from northumbria high flows study",""
02/11/1970 00:00,1.008,22.86,"1c","Spreadsheet","Taken from northumbria high flows study",""
23/11/1970 00:00,1.618,54.66,"1c","Spreadsheet","Taken from northumbria high flows study",""
07/01/1971 00:00,1.200,31.52,"1c","Spreadsheet","Taken from northumbria high flows study",""
12/02/1971 00:00,1.165,29.85,"1c","Spreadsheet","Taken from northumbria high flows study",""
18/03/1971 00:00,0.971,21.34,"1c","Spreadsheet","Taken from northumbria high flows study",""
12/05/1971 00:00,1.117,27.62,"1c","Spreadsheet","Taken from northumbria high flows study",""
04/11/1971 14:30,1.799,66.46,"1c","Spreadsheet","Taken from northumbria high flows study",""
06/11/1971 05:30,1.284,35.70,"1c","Spreadsheet","Taken from northumbria high flows study",""
16/02/1972 00:00,0.908,18.86,"1c","Spreadsheet","Taken from northumbria high flows study",""
02/06/1972 00:00,0.908,18.86,"1c","Spreadsheet","Taken from northumbria high flows study",""
08/08/1972 00:00,0.923,19.44,"1c","Spreadsheet","Taken from northumbria high flows study",""
09/11/1972 00:00,0.922,19.40,"1c","Spreadsheet","Taken from northumbria high flows study",""
11/12/1972 00:00,1.420,42.98,"1c","Spreadsheet","Taken from northumbria high flows study",""
04/04/1973 00:00,1.075,25.74,"1c","Spreadsheet","Taken from northumbria high flows study",""
04/05/1973 00:00,1.356,39.48,"1c","Spreadsheet","Taken from northumbria high flows study",""
07/08/1973 00:00,1.259,34.44,"1c","Spreadsheet","Taken from northumbria high flows study",""
10/12/1973 00:00,0.908,18.86,"1c","Spreadsheet","Taken from northumbria high flows study",""
10/01/1974 00:00,1.130,28.22,"1c","Spreadsheet","Taken from northumbria high flows study",""
30/01/1974 00:00,0.958,20.82,"1c","Spreadsheet","Taken from northumbria high flows study",""
08/02/1974 00:00,1.007,22.82,"1c","Spreadsheet","Taken from northumbria high flows study",""
14/08/1974 00:00,0.964,21.06,"1c","Spreadsheet","Taken from northumbria high flows study",""
07/09/1974 00:00,1.090,26.41,"1c","Spreadsheet","Taken from northumbria high flows study",""
22/10/1974 00:00,0.907,18.82,"1c","Spreadsheet","Taken from northumbria high flows study",""
10/11/1974 00:00,1.454,44.90,"1c","Spreadsheet","Taken from northumbria high flows study",""
22/11/1974 00:00,1.291,36.07,"1c","Spreadsheet","Taken from northumbria high flows study",""
21/12/1974 00:00,1.820,67.89,"1c","Spreadsheet","Taken from northumbria high flows study",""
28/12/1974 00:00,1.210,32.01,"1c","Spreadsheet","Taken from northumbria high flows study",""
22/01/1975 00:00,1.300,36.53,"1c","Spreadsheet","Taken from northumbria high flows study",""
25/01/1975 00:00,1.380,40.78,"1c","Spreadsheet","Taken from northumbria high flows study",""
27/01/1975 00:00,1.140,28.68,"1c","Spreadsheet","Taken from northumbria high flows study",""
29/01/1975 00:00,1.340,38.63,"1c","Spreadsheet","Taken from northumbria high flows study",""
15/07/1975 00:00,0.922,19.40,"1c","Spreadsheet","Taken from northumbria high flows study",""
29/08/1975 00:00,2.168,93.70,"1c","Spreadsheet","Taken from northumbria high flows study",""
12/09/1975 00:00,1.016,23.20,"1c","Spreadsheet","Taken from northumbria high flows study",""
27/09/1975 00:00,1.051,24.69,"1c","Spreadsheet","Taken from northumbria high flows study",""
02/01/1976 00:00,1.646,56.42,"1c","Spreadsheet","Taken from northumbria high flows study",""
19/01/1976 00:00,1.431,43.60,"1c","Spreadsheet","Taken from northumbria high flows study",""
23/02/1976 00:00,1.265,34.74,"1c","Spreadsheet","Taken from northumbria high flows study",""
25/03/1976 00:00,0.962,20.98,"1c","Spreadsheet","Taken from northumbria high flows study",""
29/09/1976 00:00,1.029,23.75,"1c","Spreadsheet","Taken from northumbria high flows study",""
15/10/1976 00:00,1.755,63.49,"1c","Spreadsheet","Taken from northumbria high flows study",""
