"NAME:","North Tyne at Barrasford"
"NUMBER:","23015"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
11/11/1947 00:00,,308.77,"","Spreadsheet","Taken from northumbria high flows study",""
21/11/1947 00:00,,281.98,"","Spreadsheet","Taken from northumbria high flows study",""
03/01/1948 00:00,,379.79,"","Spreadsheet","Taken from northumbria high flows study",""
11/01/1948 00:00,,355.49,"","Spreadsheet","Taken from northumbria high flows study",""
07/02/1948 00:00,,277.60,"","Spreadsheet","Taken from northumbria high flows study",""
01/04/1948 00:00,,277.60,"","Spreadsheet","Taken from northumbria high flows study",""
12/08/1948 00:00,,277.60,"","Spreadsheet","Taken from northumbria high flows study",""
24/08/1948 00:00,,350.70,"","Spreadsheet","Taken from northumbria high flows study",""
15/09/1948 00:00,,445.86,"","Spreadsheet","Taken from northumbria high flows study",""
17/11/1948 00:00,,404.72,"","Spreadsheet","Taken from northumbria high flows study",""
07/01/1949 00:00,,290.80,"","Spreadsheet","Taken from northumbria high flows study",""
22/02/1949 00:00,,277.60,"","Spreadsheet","Taken from northumbria high flows study",""
25/10/1949 00:00,,488.54,"","Spreadsheet","Taken from northumbria high flows study",""
25/12/1949 00:00,,461.69,"","Spreadsheet","Taken from northumbria high flows study",""
15/02/1950 00:00,,331.81,"","Spreadsheet","Taken from northumbria high flows study",""
06/09/1950 00:00,,322.51,"","Spreadsheet","Taken from northumbria high flows study",""
23/11/1950 00:00,,281.98,"","Spreadsheet","Taken from northumbria high flows study",""
17/01/1951 00:00,,384.73,"","Spreadsheet","Taken from northumbria high flows study",""
20/11/1951 00:00,,277.60,"","Spreadsheet","Taken from northumbria high flows study",""
24/11/1951 00:00,,286.38,"","Spreadsheet","Taken from northumbria high flows study",""
06/01/1952 00:00,,308.77,"","Spreadsheet","Taken from northumbria high flows study",""
07/03/1952 00:00,,304.24,"","Spreadsheet","Taken from northumbria high flows study",""
22/04/1952 00:00,,440.64,"","Spreadsheet","Taken from northumbria high flows study",""
28/10/1952 00:00,,273.26,"","Spreadsheet","Taken from northumbria high flows study",""
