"NAME:","Wear at Sunderland Bridge"
"NUMBER:","24001"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
11/02/1958 00:00,2.066,180.73,"3c","Spreadsheet","Taken from northumbria high flows study",""
29/03/1958 00:00,1.862,155.48,"3c","Spreadsheet","Taken from northumbria high flows study",""
04/10/1958 00:00,1.463,106.83,"3b","Spreadsheet","Taken from northumbria high flows study",""
19/12/1958 00:00,2.109,186.15,"3c","Spreadsheet","Taken from northumbria high flows study",""
01/01/1959 00:00,1.951,166.39,"3c","Spreadsheet","Taken from northumbria high flows study",""
08/12/1959 00:00,1.478,108.83,"3b","Spreadsheet","Taken from northumbria high flows study",""
22/01/1960 00:00,1.956,167.01,"3c","Spreadsheet","Taken from northumbria high flows study",""
27/02/1960 00:00,1.646,129.69,"3c","Spreadsheet","Taken from northumbria high flows study",""
19/03/1960 00:00,1.713,137.64,"3c","Spreadsheet","Taken from northumbria high flows study",""
20/10/1960 00:00,1.722,138.63,"3c","Spreadsheet","Taken from northumbria high flows study",""
23/10/1960 00:00,1.603,124.69,"3c","Spreadsheet","Taken from northumbria high flows study",""
27/10/1960 00:00,1.987,170.85,"3c","Spreadsheet","Taken from northumbria high flows study",""
26/12/1960 00:00,1.622,126.89,"3c","Spreadsheet","Taken from northumbria high flows study",""
27/01/1961 00:00,1.561,119.84,"3c","Spreadsheet","Taken from northumbria high flows study",""
29/01/1961 00:00,2.070,181.23,"3c","Spreadsheet","Taken from northumbria high flows study",""
02/03/1961 00:00,1.536,116.77,"3b","Spreadsheet","Taken from northumbria high flows study",""
05/05/1961 00:00,1.530,115.94,"3b","Spreadsheet","Taken from northumbria high flows study",""
15/07/1961 00:00,2.097,184.64,"3c","Spreadsheet","Taken from northumbria high flows study",""
11/12/1961 00:00,1.798,147.73,"3c","Spreadsheet","Taken from northumbria high flows study",""
11/01/1962 00:00,1.707,136.87,"3c","Spreadsheet","Taken from northumbria high flows study",""
15/01/1962 00:00,1.835,152.19,"3c","Spreadsheet","Taken from northumbria high flows study",""
12/02/1962 00:00,1.908,161.09,"3c","Spreadsheet","Taken from northumbria high flows study",""
02/04/1962 00:00,1.865,155.84,"3c","Spreadsheet","Taken from northumbria high flows study",""
07/04/1962 00:00,1.798,147.73,"3c","Spreadsheet","Taken from northumbria high flows study",""
12/09/1962 00:00,1.524,115.10,"3b","Spreadsheet","Taken from northumbria high flows study",""
07/03/1963 00:00,2.545,243.08,"3c","Spreadsheet","Taken from northumbria high flows study",""
10/11/1963 00:00,1.905,160.72,"3c","Spreadsheet","Taken from northumbria high flows study",""
12/11/1963 00:00,1.829,151.47,"3c","Spreadsheet","Taken from northumbria high flows study",""
18/11/1963 00:00,1.664,131.80,"3c","Spreadsheet","Taken from northumbria high flows study",""
21/11/1963 00:00,2.179,195.06,"3c","Spreadsheet","Taken from northumbria high flows study",""
14/03/1964 00:00,1.570,120.88,"3c","Spreadsheet","Taken from northumbria high flows study",""
25/03/1964 00:00,1.957,167.13,"3c","Spreadsheet","Taken from northumbria high flows study",""
