"NAME:","Wear at Stanhope"
"NUMBER:","24003"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
19/12/1958 00:00,1.965,96.81,"2b","Spreadsheet","Taken from northumbria high flows study",""
01/01/1959 00:00,2.417,142.58,"2c","Spreadsheet","Taken from northumbria high flows study",""
19/11/1959 00:00,1.640,68.22,"2b","Spreadsheet","Taken from northumbria high flows study",""
07/12/1959 00:00,1.667,70.46,"2b","Spreadsheet","Taken from northumbria high flows study",""
22/01/1960 00:00,2.258,125.79,"2b","Spreadsheet","Taken from northumbria high flows study",""
27/02/1960 00:00,1.667,70.46,"2b","Spreadsheet","Taken from northumbria high flows study",""
09/10/1960 00:00,1.852,86.41,"2b","Spreadsheet","Taken from northumbria high flows study",""
27/10/1960 00:00,1.661,69.96,"2b","Spreadsheet","Taken from northumbria high flows study",""
25/12/1960 00:00,1.949,95.29,"2b","Spreadsheet","Taken from northumbria high flows study",""
27/01/1961 00:00,1.692,72.48,"2b","Spreadsheet","Taken from northumbria high flows study",""
29/01/1961 16:00,2.545,153.24,"2c","Digital Archive","",""
12/02/1962 05:15,2.509,150.26,"2c","Digital Archive","",""
02/04/1962 00:00,2.318,132.05,"2b","Spreadsheet","Taken from northumbria high flows study",""
07/04/1962 00:00,2.080,107.82,"2b","Spreadsheet","Taken from northumbria high flows study",""
28/06/1962 00:00,1.813,82.90,"2b","Spreadsheet","Taken from northumbria high flows study",""
11/09/1962 00:00,1.846,85.87,"2b","Spreadsheet","Taken from northumbria high flows study",""
30/09/1962 00:00,1.746,77.10,"2b","Spreadsheet","Taken from northumbria high flows study",""
06/03/1963 00:00,1.889,89.71,"2b","Spreadsheet","Taken from northumbria high flows study",""
10/11/1963 00:00,1.728,75.55,"2b","Spreadsheet","Taken from northumbria high flows study",""
12/11/1963 00:00,2.080,107.82,"2b","Spreadsheet","Taken from northumbria high flows study",""
18/11/1963 00:00,1.873,88.33,"2b","Spreadsheet","Taken from northumbria high flows study",""
21/11/1963 00:00,2.463,146.46,"2c","Spreadsheet","Taken from northumbria high flows study",""
08/12/1964 00:00,2.444,144.80,"2c","Spreadsheet","Taken from northumbria high flows study",""
