"NAME:","Browney at Lanchester"
"NUMBER:","24007"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
18/04/1968 00:00,0.696,5.53,"1d","Spreadsheet","Taken from northumbria high flows study",""
14/07/1968 00:00,0.734,6.25,"1d","Spreadsheet","Taken from northumbria high flows study",""
12/09/1968 00:00,0.930,10.50,"1d","CEH file","",""
31/10/1968 00:00,1.040,13.25,"1d","CEH file","",""
02/11/1968 00:00,0.960,11.23,"1d","CEH file","",""
14/12/1968 00:00,0.835,8.34,"1d","Spreadsheet","Taken from northumbria high flows study",""
17/12/1968 00:00,1.030,12.99,"1d","CEH file","",""
19/12/1968 00:00,0.765,6.86,"1d","Spreadsheet","Taken from northumbria high flows study",""
20/12/1968 00:00,0.990,11.97,"1d","CEH file","Taken from northumbria high flows study",""
07/01/1969 00:00,0.830,8.22,"1d","CEH file","",""
12/01/1969 00:00,0.830,8.22,"1d","CEH file","",""
29/03/1969 00:00,0.801,7.60,"1d","Spreadsheet","Taken from northumbria high flows study",""
02/05/1969 00:00,0.826,8.13,"1d","Spreadsheet","Taken from northumbria high flows study",""
06/05/1969 00:00,0.860,8.88,"1d","CEH file","",""
02/06/1969 00:00,0.726,6.09,"1d","Spreadsheet","Taken from northumbria high flows study",""
23/06/1969 00:00,0.870,9.11,"1d","CEH file","",""
18/09/1969 00:00,0.850,8.66,"1d","CEH file","",""
14/11/1969 00:00,0.745,6.46,"1d","Spreadsheet","Taken from northumbria high flows study",""
15/11/1969 00:00,0.950,10.98,"1d","CEH file","Taken from northumbria high flows study",""
22/11/1969 00:00,0.744,6.44,"1d","Spreadsheet","Taken from northumbria high flows study",""
27/11/1969 00:00,0.757,6.71,"1d","Spreadsheet","Taken from northumbria high flows study",""
21/12/1969 00:00,0.793,7.43,"1d","Spreadsheet","Taken from northumbria high flows study",""
15/01/1970 00:00,0.707,5.74,"1d","Spreadsheet","Taken from northumbria high flows study",""
18/01/1970 00:00,0.870,9.11,"1d","CEH file","",""
21/01/1970 00:00,0.696,5.53,"1d","Spreadsheet","Taken from northumbria high flows study",""
19/02/1970 00:00,0.860,8.88,"1d","CEH file","",""
02/10/1970 00:00,0.890,9.56,"1d","Spreadsheet","Taken from northumbria high flows study",""
29/12/1970 00:00,0.699,5.58,"1d","Spreadsheet","Taken from northumbria high flows study",""
07/01/1971 00:00,0.970,11.47,"1d","CEH file","",""
21/01/1971 00:00,0.765,6.86,"1d","Spreadsheet","Taken from northumbria high flows study",""
18/03/1971 00:00,0.721,5.99,"1d","Spreadsheet","Taken from northumbria high flows study",""
23/04/1971 00:00,1.070,14.05,"1d","CEH file","",""
