"NAME:","Wear at Chester le Street"
"NUMBER:","24009"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
11/12/1977 00:00,1.771,152.97,"1b","Spreadsheet","Taken from northumbria high flows study",""
24/02/1978 00:00,2.316,212.17,"1c","Spreadsheet","Taken from northumbria high flows study",""
08/12/1978 00:00,2.012,183.53,"1c","Spreadsheet","Taken from northumbria high flows study",""
24/12/1978 00:00,2.766,254.71,"1c","Spreadsheet","Taken from northumbria high flows study",""
27/12/1978 00:00,3.799,353.05,"1c","Spreadsheet","Taken from northumbria high flows study",""
07/01/1979 00:00,1.928,175.73,"1c","Spreadsheet","Taken from northumbria high flows study",""
27/02/1979 00:00,1.831,162.05,"1b","Spreadsheet","Taken from northumbria high flows study",""
03/03/1979 00:00,2.337,214.13,"1c","Spreadsheet","Taken from northumbria high flows study",""
09/03/1979 00:00,1.884,170.21,"1b","Spreadsheet","Taken from northumbria high flows study",""
25/03/1979 00:00,2.515,230.94,"1c","Spreadsheet","Taken from northumbria high flows study",""
29/03/1979 00:00,3.763,349.61,"1c","Spreadsheet","Taken from northumbria high flows study",""
26/11/1979 00:00,2.089,190.76,"1c","Spreadsheet","Taken from northumbria high flows study",""
04/12/1979 00:00,1.761,151.48,"1b","Spreadsheet","Taken from northumbria high flows study",""
27/12/1979 00:00,1.956,178.27,"1c","Spreadsheet","Taken from northumbria high flows study",""
09/02/1980 00:00,1.998,182.21,"1c","Spreadsheet","Taken from northumbria high flows study",""
19/12/1980 00:00,1.996,182.02,"1c","Spreadsheet","Taken from northumbria high flows study",""
03/02/1981 00:00,2.015,183.81,"1c","Spreadsheet","Taken from northumbria high flows study",""
02/03/1981 00:00,1.826,161.28,"1b","Spreadsheet","Taken from northumbria high flows study",""
07/03/1981 00:00,1.793,156.28,"1b","Spreadsheet","Taken from northumbria high flows study",""
22/03/1981 00:00,1.793,156.28,"1b","Spreadsheet","Taken from northumbria high flows study",""
01/10/1981 20:00,3.000,276.90,"1c","Digital Archive","Non-independent peak removed",""
04/01/1982 11:00,3.344,309.62,"1c","Digital Archive","Peak examined by eye and appears reasonable.",""
06/10/1982 18:15,1.567,123.53,"1b","Digital Archive","",""
12/11/1982 16:00,1.404,101.63,"1b","Digital Archive","",""
21/11/1982 22:00,2.003,182.72,"1c","Digital Archive","",""
25/11/1982 07:00,1.723,145.85,"1b","Digital Archive","",""
16/12/1982 02:45,1.335,92.82,"1b","Digital Archive","",""
19/12/1982 23:00,1.995,181.97,"1c","Digital Archive","",""
06/01/1983 13:45,1.654,135.82,"1b","Digital Archive","",""
23/04/1983 08:45,1.937,176.53,"1c","Digital Archive","",""
29/04/1983 01:45,1.648,134.96,"1b","Digital Archive","",""
02/05/1983 22:30,1.328,91.94,"1b","Digital Archive","",""
08/05/1983 04:30,1.485,112.33,"1b","Digital Archive","",""
28/05/1983 10:00,1.539,119.66,"1b","Digital Archive","",""
02/06/1983 00:00,2.191,200.39,"1c","Digital Archive","",""
09/12/1983 19:45,1.996,182.07,"1c","Digital Archive","",""
24/12/1983 21:45,2.086,190.52,"1c","Digital Archive","",""
03/01/1984 05:30,1.366,96.74,"1b","Digital Archive","",""
13/01/1984 15:45,2.246,205.57,"1c","Digital Archive","",""
05/02/1984 07:45,2.696,248.07,"1c","Digital Archive","Non-independent peak removed",""
26/03/1984 12:30,1.361,96.10,"1b","Digital Archive","",""
03/11/1984 22:45,2.346,215.00,"1c","Digital Archive","",""
19/11/1984 01:30,1.452,107.92,"1b","Digital Archive","",""
31/01/1985 12:45,1.588,126.46,"1b","Digital Archive","",""
12/04/1985 02:00,1.450,107.66,"1b","Digital Archive","",""
15/05/1985 06:30,1.555,121.87,"1b","Digital Archive","",""
15/08/1985 02:30,1.626,131.82,"1b","Digital Archive","",""
22/09/1985 13:30,1.355,95.34,"1b","Digital Archive","",""
21/12/1985 21:00,1.758,151.03,"1b","Digital Archive","",""
10/01/1986 20:15,2.144,195.97,"1c","Digital Archive","",""
21/01/1986 09:15,1.878,169.28,"1b","Digital Archive","",""
05/03/1986 12:15,2.479,227.55,"1c","Digital Archive","",""
23/03/1986 10:00,1.417,103.32,"1b","Digital Archive","",""
16/04/1986 03:30,3.006,277.47,"1c","Digital Archive","",""
07/05/1986 15:45,1.802,157.64,"1b","Digital Archive","",""
26/08/1986 23:30,3.811,354.20,"1c","Digital Archive","Peak examined by eye and appears reasonable.",""
03/09/1986 16:15,1.434,105.55,"1b","Digital Archive","",""
22/01/1987 00:00,1.442,106.60,"1b","Digital Archive","",""
10/02/1987 11:15,1.486,112.46,"1b","Digital Archive","",""
27/03/1987 23:45,1.396,100.59,"1b","Digital Archive","",""
08/04/1987 05:00,1.866,167.42,"1b","Digital Archive","",""
11/04/1987 18:15,1.343,93.82,"1b","Digital Archive","",""
18/07/1987 22:15,1.468,110.05,"1b","Digital Archive","",""
21/10/1987 16:45,2.559,235.11,"1c","Digital Archive","",""
28/10/1987 06:00,1.355,95.34,"1b","Digital Archive","",""
13/11/1987 07:30,1.470,110.32,"1b","Digital Archive","",""
24/11/1987 06:30,2.759,254.04,"1c","Digital Archive","",""
28/12/1987 01:15,1.332,92.44,"1b","Digital Archive","",""
03/01/1988 15:15,1.391,99.95,"1b","Digital Archive","",""
06/01/1988 19:30,3.042,280.89,"1c","Digital Archive","",""
25/01/1988 00:00,1.529,118.29,"1b","Digital Archive","",""
02/02/1988 05:00,1.888,170.83,"1b","Digital Archive","",""
23/07/1988 07:15,1.417,103.32,"1b","Digital Archive","",""
29/07/1988 04:15,2.467,226.41,"1c","Digital Archive","",""
20/10/1988 19:00,1.774,153.42,"1b","Digital Archive","Non-independent peak removed B",""
01/12/1988 01:30,1.848,164.65,"1b","Digital Archive","",""
04/12/1988 12:15,1.985,181.03,"1c","Digital Archive","",""
05/02/1989 04:45,1.478,111.39,"1b","Digital Archive","",""
24/03/1989 11:00,1.934,176.25,"1c","Digital Archive","",""
17/12/1989 21:30,1.549,121.04,"1b","Digital Archive","",""
26/01/1990 00:30,2.158,197.29,"1c","Digital Archive","",""
30/01/1990 05:30,1.865,167.27,"1b","Digital Archive","Non-independent peak removed A",""
05/02/1990 02:30,1.671,138.27,"1b","Digital Archive","",""
08/02/1990 08:45,2.158,197.29,"1c","Digital Archive","",""
20/02/1990 14:45,1.559,122.42,"1b","Digital Archive","",""
26/02/1990 14:45,1.544,120.35,"1b","Digital Archive","",""
12/12/1990 07:15,1.501,114.48,"1b","Digital Archive","",""
29/12/1990 02:00,1.822,160.67,"1b","Digital Archive","",""
02/01/1991 07:30,2.164,197.85,"1c","Digital Archive","",""
06/01/1991 14:30,1.628,132.10,"1b","Digital Archive","",""
24/02/1991 04:00,2.859,263.52,"1c","Digital Archive","",""
05/03/1991 07:30,2.420,221.98,"1c","Digital Archive","",""
21/03/1991 10:15,1.817,159.91,"1b","Digital Archive","",""
11/11/1991 08:15,1.695,141.75,"1b","Digital Archive","",""
19/11/1991 10:45,1.452,107.92,"1b","Digital Archive","",""
23/12/1991 19:45,2.483,227.93,"1c","Digital Archive","",""
02/04/1992 01:00,2.326,213.11,"1c","Digital Archive","",""
15/04/1992 07:30,1.338,93.19,"1b","Digital Archive","",""
02/12/1992 10:30,2.111,192.87,"1c","Digital Archive","",""
18/12/1992 20:15,1.960,178.69,"1c","Digital Archive","",""
15/01/1993 19:00,2.078,189.77,"1c","Digital Archive","",""
24/01/1993 06:00,2.256,206.51,"1c","Digital Archive","",""
10/04/1993 05:30,1.539,119.66,"1b","Digital Archive","",""
19/04/1993 06:30,1.503,114.75,"1b","Digital Archive","",""
14/05/1993 20:00,3.392,314.20,"1c","Digital Archive","Peak examined by eye and appears reasonable.",""
09/09/1993 08:30,1.621,131.11,"1b","Digital Archive","",""
15/09/1993 06:45,2.224,203.50,"1c","Digital Archive","Non-independent peak removed B",""
07/10/1993 16:30,2.043,186.48,"1c","Digital Archive","",""
14/11/1993 14:00,1.674,138.70,"1b","Digital Archive","",""
09/12/1993 03:45,1.634,132.96,"1b","Digital Archive","",""
13/12/1993 19:00,1.921,175.03,"1c","Digital Archive","",""
19/12/1993 16:30,1.929,175.78,"1c","Digital Archive","",""
04/01/1994 02:15,1.465,109.65,"1b","Digital Archive","",""
10/01/1994 10:30,1.784,154.92,"1b","Digital Archive","",""
13/01/1994 20:00,1.628,132.10,"1b","Digital Archive","",""
27/01/1994 10:00,1.848,164.65,"1b","Digital Archive","",""
28/02/1994 05:30,1.664,137.26,"1b","Digital Archive","",""
03/03/1994 17:30,1.424,104.24,"1b","Digital Archive","",""
24/03/1994 01:00,1.707,143.50,"1b","Digital Archive","",""
13/11/1994 01:45,1.384,99.05,"1b","Digital Archive","",""
08/12/1994 17:15,1.853,165.42,"1b","Digital Archive","",""
12/12/1994 05:00,1.478,111.39,"1b","Digital Archive","",""
31/12/1994 14:45,1.615,130.26,"1b","Digital Archive","",""
22/01/1995 05:15,1.574,124.50,"1b","Digital Archive","",""
01/02/1995 07:15,3.523,326.69,"1c","Digital Archive","Peak examined by eye and appears reasonable.",""
16/02/1995 06:30,1.547,120.76,"1b","Digital Archive","",""
23/02/1995 00:00,3.155,291.63,"1c","Digital Archive","",""
16/11/1995 10:00,2.299,210.57,"1c","Digital Archive","",""
22/12/1995 22:30,1.922,175.12,"1c","Digital Archive","",""
13/02/1996 00:45,2.075,189.48,"1c","Digital Archive","",""
16/02/1996 18:00,1.485,112.33,"1b","Digital Archive","",""
19/12/1996 17:30,1.598,127.86,"1b","Digital Archive","",""
20/02/1997 05:30,2.630,241.82,"1c","Digital Archive","Non-independent peak removed",""
02/03/1997 13:45,1.559,122.42,"1b","Digital Archive","",""
28/06/1997 23:45,2.221,203.22,"1c","Digital Archive","",""
29/11/1997 18:15,1.467,109.92,"1b","Digital Archive","",""
20/12/1997 09:45,1.427,104.63,"1b","Digital Archive","",""
25/12/1997 09:15,1.720,145.41,"1b","Digital Archive","",""
02/01/1998 06:15,1.526,117.88,"1b","Digital Archive","",""
09/01/1998 11:00,2.086,190.52,"1c","Digital Archive","",""
19/01/1998 11:00,1.430,105.02,"1b","Digital Archive","",""
22/01/1998 13:30,1.376,98.02,"1b","Digital Archive","",""
07/03/1998 15:45,1.651,135.39,"1b","Digital Archive","",""
03/04/1998 13:45,2.397,219.81,"1c","Digital Archive","",""
09/04/1998 03:30,1.360,95.98,"1b","Digital Archive","",""
23/04/1998 09:30,1.733,147.32,"1b","Digital Archive","",""
03/06/1998 07:00,1.657,136.25,"1b","Digital Archive","",""
21/10/1998 18:15,1.493,113.40,"1b","Digital Archive","",""
25/10/1998 05:30,3.033,280.03,"1c","Digital Archive","",""
03/11/1998 18:00,2.812,259.06,"1c","Digital Archive","",""
06/01/1999 05:30,1.513,116.11,"1b","Digital Archive","",""
16/01/1999 05:45,2.661,244.76,"1c","Digital Archive","",""
25/01/1999 13:30,1.404,101.63,"1b","Digital Archive","",""
04/03/1999 05:15,1.590,126.74,"1b","Digital Archive","",""
07/03/1999 17:00,1.606,128.99,"1b","Digital Archive","",""
21/04/1999 04:15,1.417,103.32,"1b","Digital Archive","",""
03/12/1999 17:15,2.230,204.07,"1c","024009.SG.HiUKPOT","",""
09/12/1999 16:00,1.940,176.81,"1c","024009.SG.HiUKPOT","",""
25/12/1999 07:30,1.890,171.14,"1b","024009.SG.HiUKPOT","",""
14/04/2000 01:15,2.430,222.92,"1c","024009.SG.HiUKPOT","",""
26/04/2000 01:45,2.320,212.54,"1c","024009.SG.HiUKPOT","",""
04/06/2000 18:00,3.850,357.93,"1c","024009.SG.HiUKPOT","",""
20/09/2000 13:30,1.940,176.81,"1c","024009.SG.HiUKPOT","",""
30/10/2000 18:30,2.720,250.34,"1c","024009.SG.HiUKPOT","",""
03/11/2000 09:15,3.330,308.29,"1c","024009.SG.HiUKPOT","",""
08/11/2000 01:15,3.960,368.46,"1c","024009.SG.HiUKPOT","",""
08/12/2000 14:00,2.410,221.03,"1c","024009.SG.HiUKPOT","",""
13/12/2000 07:30,1.940,176.81,"1c","024009.SG.HiUKPOT","",""
24/01/2001 07:15,1.830,161.89,"1b","024009.SG.HiUKPOT","",""
07/02/2001 18:00,3.460,320.68,"1c","024009.SG.HiUKPOT","",""
07/04/2001 19:45,2.040,186.20,"1c","024009.SG.HiUKPOT","",""
05/12/2001 23:30,2.020,184.32,"1c","024009.SG.HiUKPOT","",""
02/02/2002 01:45,2.110,192.77,"1c","024009.SG.HiUKPOT","",""
26/02/2002 18:45,2.830,260.77,"1c","024009.SG.HiUKPOT","",""
02/08/2002 21:45,1.880,169.59,"1b","024009.SG.HiUKPOT","",""
