"NAME:","Trout Beck at Moor House"
"NUMBER:","25003"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
29/10/1962 00:00,0.830,10.49,"3d","Chart","",""
01/11/1962 00:00,0.680,6.74,"3d","Chart","",""
11/12/1962 00:00,0.820,10.21,"3d","Chart","",""
03/01/1963 00:00,0.080,0.07,"3a","Chart","",""
01/02/1963 00:00,0.060,0.05,"3a","Chart","",""
05/03/1963 00:00,0.940,13.82,"3d","Chart","",""
15/04/1963 00:00,0.660,6.31,"3d","Chart","",""
20/05/1963 00:00,0.790,9.40,"3d","Chart","",""
29/06/1963 00:00,0.620,5.49,"3d","Chart","",""
06/07/1963 00:00,0.740,8.13,"3d","Chart","",""
24/08/1963 00:00,0.710,7.42,"3d","Chart","",""
26/09/1963 00:00,0.880,11.94,"3d","Chart","",""
02/10/1963 00:00,0.950,14.15,"3d","Chart","",""
21/11/1963 00:00,0.920,13.18,"3d","Chart","",""
30/12/1963 00:00,0.670,6.52,"3d","Chart","",""
31/01/1964 00:00,0.780,9.14,"3d","Chart","",""
24/02/1964 00:00,0.790,9.40,"3d","Chart","",""
24/03/1964 00:00,0.570,4.29,"3c","Chart","",""
28/04/1964 00:00,0.580,4.55,"3c","Chart","",""
04/05/1964 00:00,0.550,3.81,"3c","Chart","",""
06/06/1964 00:00,0.670,6.52,"3d","Chart","",""
08/07/1964 00:00,0.720,7.65,"3d","Chart","",""
08/08/1964 00:00,0.980,15.16,"3d","Chart","",""
09/09/1964 00:00,0.810,9.93,"3d","Chart","",""
07/10/1964 00:00,0.660,6.31,"3d","Chart","",""
26/11/1964 00:00,0.660,6.31,"3d","Chart","",""
29/12/1964 00:00,0.930,13.50,"3d","Chart","",""
07/01/1965 00:00,0.770,8.88,"3d","Chart","",""
12/02/1965 00:00,0.510,2.96,"3c","Chart","",""
27/03/1965 00:00,0.700,7.19,"3d","Chart","",""
17/04/1965 00:00,0.670,6.52,"3d","Chart","",""
06/05/1965 00:00,0.570,4.29,"3c","Chart","",""
21/06/1965 00:00,0.840,10.77,"3d","Chart","",""
29/07/1965 00:00,0.740,8.13,"3d","Chart","",""
24/08/1965 00:00,0.750,8.37,"3d","Chart","",""
15/09/1965 00:00,0.930,13.50,"3d","Chart","",""
31/10/1965 00:00,0.660,6.31,"3d","Chart","",""
01/11/1965 00:00,0.510,2.96,"3c","Chart","",""
09/12/1965 00:00,1.120,20.40,"3d","Chart","",""
28/01/1966 00:00,0.630,5.69,"3d","Chart","",""
25/02/1966 00:00,0.880,11.94,"3d","Chart","",""
01/03/1966 00:00,0.680,6.74,"3d","Chart","",""
23/04/1966 00:00,0.700,7.19,"3d","Chart","",""
19/05/1966 00:00,0.670,6.52,"3d","Chart","",""
27/06/1966 00:00,0.870,11.64,"3d","Chart","",""
30/07/1966 00:00,0.760,8.62,"3d","Chart","",""
13/08/1966 00:00,1.220,24.66,"3d","Chart","",""
04/09/1966 00:00,0.920,13.18,"3d","Chart","",""
03/10/1966 00:00,0.890,12.25,"3d","Chart","",""
15/11/1966 00:00,0.740,8.13,"3d","Chart","",""
19/12/1966 00:00,1.070,18.43,"3d","Chart","",""
27/01/1967 00:00,0.780,9.14,"3d","Chart","",""
27/02/1967 00:00,0.720,7.65,"3d","Chart","",""
14/03/1967 00:00,0.560,4.04,"3c","Chart","",""
02/04/1967 00:00,0.560,4.04,"3c","Chart","",""
17/05/1967 00:00,0.640,5.89,"3d","Chart","",""
05/06/1967 00:00,0.410,1.43,"3c","Chart","",""
30/07/1967 00:00,0.970,14.82,"3d","Chart","",""
29/09/1967 00:00,0.870,11.64,"3d","Chart","",""
06/10/1967 00:00,0.790,9.40,"3d","Chart","",""
10/11/1967 00:00,0.800,9.66,"3d","Chart","",""
27/12/1967 00:00,0.810,9.93,"3d","Chart","",""
18/01/1968 00:00,0.960,14.49,"3d","Chart","",""
01/02/1968 00:00,0.230,0.34,"3b","Chart","",""
23/03/1968 00:00,0.960,14.49,"3d","Chart","",""
01/04/1968 00:00,0.880,11.94,"3d","Chart","",""
03/05/1968 00:00,0.660,6.31,"3d","Chart","",""
22/06/1968 00:00,0.860,11.35,"3d","Chart","",""
03/07/1968 00:00,1.140,21.21,"3d","Chart","",""
19/08/1968 00:00,0.590,4.81,"3c","Chart","",""
12/09/1968 00:00,1.020,16.57,"3d","Chart","",""
01/10/1968 00:00,0.830,10.49,"3d","Chart","",""
23/11/1968 00:00,0.630,5.69,"3d","Chart","",""
22/12/1968 00:00,0.820,10.21,"3d","Chart","",""
20/01/1969 00:00,0.790,9.40,"3d","Chart","",""
11/02/1969 00:00,0.380,1.11,"3c","Chart","",""
29/03/1969 00:00,1.050,17.67,"3d","Chart","",""
14/04/1969 00:00,0.730,7.89,"3d","Chart","",""
08/05/1969 00:00,0.640,5.89,"3d","Chart","",""
18/06/1969 00:00,0.700,7.19,"3d","Chart","",""
28/07/1969 00:00,0.410,1.43,"3c","Chart","",""
22/08/1969 00:00,0.560,4.04,"3c","Chart","",""
11/09/1969 00:00,0.890,12.25,"3d","Chart","",""
22/01/1970 00:00,0.790,9.69,"1d","Chart","",""
21/02/1970 00:00,1.080,19.57,"1d","Chart","",""
15/08/1970 00:00,0.900,13.09,"1d","Chart","",""
25/10/1970 00:00,0.920,13.75,"1d","Chart","",""
30/10/1970 00:00,0.880,12.44,"1d","Chart","",""
31/10/1970 00:00,0.850,11.49,"1d","Chart","",""
23/11/1970 00:00,0.940,14.43,"1d","Chart","",""
