"NAME:","Skerne at Darlington South Park"
"NUMBER:","25004"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
30/10/1957 00:00,0.540,4.52,"1b","Chart","",""
05/11/1957 00:00,0.600,5.89,"1c","Chart","",""
11/12/1957 00:00,0.650,7.27,"1c","Chart","",""
05/01/1958 00:00,0.690,8.51,"1c","Chart","",""
11/02/1958 00:00,1.050,24.13,"1d","Chart","",""
01/03/1958 00:00,0.790,12.15,"1c","Chart","",""
04/04/1958 00:00,1.000,21.64,"1d","Chart","",""
14/05/1958 00:00,0.570,5.17,"1b","Chart","",""
12/06/1958 00:00,0.620,6.42,"1c","Chart","",""
15/07/1958 00:00,0.660,7.57,"1c","Chart","",""
22/08/1958 00:00,0.790,12.15,"1c","Chart","",""
29/09/1958 00:00,0.670,7.87,"1c","Chart","",""
04/10/1958 00:00,0.480,3.38,"1b","Chart","",""
01/11/1958 00:00,0.400,2.16,"1b","Chart","",""
19/12/1958 00:00,0.910,17.45,"1d","Chart","",""
22/01/1959 00:00,1.120,27.83,"1d","Chart","",""
21/02/1959 00:00,0.470,3.21,"1b","Chart","",""
06/03/1959 00:00,0.370,1.78,"1b","Chart","",""
15/04/1959 00:00,0.450,2.89,"1b","Chart","",""
19/05/1959 00:00,0.290,1.14,"1a","Chart","",""
28/06/1959 00:00,0.430,2.58,"1b","Chart","",""
26/07/1959 00:00,0.560,4.95,"1b","Chart","",""
13/08/1959 00:00,0.370,1.78,"1b","Chart","",""
21/09/1959 00:00,0.510,3.93,"1b","Chart","",""
18/10/1959 00:00,0.480,3.38,"1b","Chart","",""
25/11/1959 00:00,0.440,2.73,"1b","Chart","",""
20/12/1959 00:00,0.590,5.63,"1b","Chart","",""
04/01/1960 00:00,0.890,16.57,"1d","Chart","",""
31/01/1960 00:00,0.930,18.34,"1d","Chart","",""
25/02/1960 00:00,0.830,13.84,"1c","Chart","",""
15/03/1960 00:00,0.730,9.87,"1c","Chart","",""
03/04/1960 00:00,0.380,1.90,"1b","Chart","",""
13/05/1960 00:00,0.710,9.17,"1c","Chart","",""
15/06/1960 00:00,0.230,0.80,"1a","Chart","",""
10/07/1960 00:00,0.510,3.93,"1b","Chart","",""
24/08/1960 00:00,0.520,4.12,"1b","Chart","",""
17/09/1960 00:00,0.460,3.05,"1b","Chart","",""
20/10/1960 00:00,0.930,18.34,"1d","Chart","",""
01/11/1960 00:00,0.980,20.67,"1d","Chart","",""
04/12/1960 00:00,0.770,11.36,"1c","Chart","",""
09/02/1961 00:00,0.610,6.15,"1c","Chart","",""
30/03/1961 00:00,0.470,3.21,"1b","Chart","",""
01/04/1961 00:00,0.650,7.27,"1c","Chart","",""
05/05/1961 00:00,0.870,15.66,"1c","Chart","",""
10/06/1961 00:00,0.610,6.15,"1c","Chart","",""
14/07/1961 00:00,0.440,2.73,"1b","Chart","",""
11/08/1961 00:00,0.380,1.90,"1b","Chart","",""
02/09/1961 00:00,0.390,2.03,"1b","Chart","",""
22/10/1961 00:00,0.450,2.89,"1b","Chart","",""
30/11/1961 00:00,0.380,1.90,"1b","Chart","",""
13/12/1961 00:00,0.770,11.36,"1c","Chart","",""
06/01/1962 00:00,0.780,11.75,"1c","Chart","",""
01/02/1962 00:00,0.380,1.90,"1b","Chart","",""
10/03/1962 00:00,0.530,4.32,"1b","Chart","",""
22/04/1962 00:00,0.590,5.63,"1b","Chart","",""
08/05/1962 00:00,0.470,3.21,"1b","Chart","",""
15/06/1962 00:00,0.300,1.20,"1a","Chart","",""
10/07/1962 00:00,0.600,5.89,"1c","Chart","",""
06/08/1962 00:00,0.390,2.03,"1b","Chart","",""
29/09/1962 00:00,0.400,2.16,"1b","Chart","",""
04/10/1962 00:00,0.270,1.02,"1a","Chart","",""
18/11/1962 00:00,0.630,6.70,"1c","Chart","",""
15/12/1962 00:00,0.510,3.93,"1b","Chart","",""
05/01/1963 00:00,0.670,7.87,"1c","Chart","",""
01/02/1963 00:00,0.450,2.89,"1b","Chart","",""
06/03/1963 00:00,1.330,40.29,"1d","Chart","",""
05/04/1963 00:00,0.700,8.84,"1c","Chart","",""
10/05/1963 00:00,0.420,2.43,"1b","Chart","",""
29/06/1963 00:00,0.470,3.21,"1b","Chart","",""
04/07/1963 00:00,0.780,11.75,"1c","Chart","",""
04/08/1963 00:00,0.640,6.98,"1c","Chart","",""
02/09/1963 00:00,0.750,10.60,"1c","Chart","",""
03/10/1963 00:00,0.410,2.29,"1b","Chart","",""
10/11/1963 00:00,0.920,17.89,"1d","Chart","",""
16/12/1963 00:00,0.490,3.56,"1b","Chart","",""
01/01/1964 00:00,0.390,2.03,"1b","Chart","",""
24/02/1964 00:00,0.630,6.70,"1c","Chart","",""
14/03/1964 00:00,1.070,25.17,"1d","Chart","",""
21/04/1964 00:00,0.570,5.17,"1b","Chart","",""
07/05/1964 00:00,0.410,2.29,"1b","Chart","",""
19/06/1964 00:00,0.360,1.66,"1b","Chart","",""
18/07/1964 00:00,0.700,8.84,"1c","Chart","",""
09/08/1964 00:00,0.460,3.05,"1b","Chart","",""
16/09/1964 00:00,0.480,3.38,"1b","Chart","",""
