"NAME:","Tees at Low Moor"
"NUMBER:","25009"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
11/11/1969 07:45,3.570,198.84,"1c","Chart","",""
21/12/1969 05:00,4.607,284.17,"1d","Chart","",""
23/04/1970 15:30,3.280,179.09,"1c","Chart","",""
23/11/1970 03:30,3.440,189.92,"1c","Chart","",""
07/01/1971 00:00,5.218,346.23,"1d","Chart","",""
19/03/1971 12:15,3.270,178.42,"1c","Chart","",""
24/04/1971 00:00,5.218,346.23,"1d","Chart","",""
14/08/1971 15:15,5.683,396.43,"1d","Chart","",""
19/01/1972 14:45,3.450,190.60,"1c","Chart","",""
26/01/1972 06:45,3.220,175.07,"1c","Chart","",""
03/02/1972 08:30,3.270,178.42,"1c","Chart","",""
21/11/1972 22:00,3.860,219.10,"1c","Chart","",""
01/12/1972 22:45,3.260,177.75,"1c","Chart","",""
05/12/1972 23:15,3.140,169.75,"1c","Chart","",""
12/12/1972 11:30,4.400,264.19,"1d","Chart","",""
06/08/1973 13:15,3.520,195.40,"1c","Chart","",""
11/11/1974 12:30,3.480,198.31,"2d","Chart","",""
13/11/1974 05:30,3.140,170.89,"2d","Chart","",""
25/11/1974 13:30,4.100,255.35,"2d","Chart","",""
21/12/1974 16:00,3.250,179.47,"2d","Chart","",""
25/12/1974 15:30,3.550,204.29,"2d","Chart","",""
29/12/1974 17:45,3.050,164.07,"2d","Chart","",""
25/01/1975 20:45,4.150,260.36,"2d","Chart","",""
02/01/1976 06:15,4.815,334.70,"2e","Chart","",""
13/09/1976 09:00,4.773,329.51,"2e","Chart","",""
02/10/1976 18:30,3.700,217.49,"2d","Chart","",""
15/10/1976 18:45,5.655,452.38,"2e","Chart","",""
25/01/1977 05:15,5.222,388.31,"2e","Chart","",""
03/02/1977 09:00,3.990,244.54,"2d","Chart","",""
03/05/1977 04:00,2.970,158.58,"2c","Chart","",""
11/11/1977 06:15,3.880,234.04,"2d","Chart","",""
11/12/1977 16:15,3.150,171.66,"2d","Chart","",""
24/02/1978 01:30,3.620,210.38,"2d","Chart","",""
15/11/1978 03:00,3.260,180.27,"2d","Chart","",""
25/12/1978 10:15,3.430,194.11,"2d","Chart","",""
27/12/1978 08:30,5.698,459.16,"2e","Chart","",""
27/02/1979 09:00,2.940,156.63,"2c","Chart","",""
03/03/1979 00:00,5.280,396.46,"2e","Chart","",""
09/03/1979 11:00,5.102,371.87,"2e","Chart","",""
25/03/1979 06:15,4.220,267.49,"2d","Chart","",""
29/03/1979 10:00,4.756,327.43,"2e","Chart","",""
25/11/1979 01:45,3.790,225.66,"2d","Chart","",""
05/12/1979 09:45,4.060,251.39,"2d","Chart","",""
27/12/1979 22:30,4.682,318.48,"2e","Chart","",""
04/01/1980 13:30,2.920,155.33,"2c","Chart","",""
09/02/1980 01:45,4.360,282.11,"2d","Chart","",""
30/06/1980 06:30,2.970,158.58,"2c","Chart","",""
27/10/1980 22:30,3.560,205.15,"2d","Chart","",""
11/12/1980 14:15,3.300,183.47,"2d","Chart","",""
14/12/1980 23:15,3.040,163.33,"2d","Chart","",""
03/02/1981 10:15,4.070,252.37,"2d","Chart","",""
07/03/1981 19:15,3.240,178.68,"2d","Chart","",""
10/03/1981 04:45,3.100,167.84,"2d","Chart","",""
22/03/1981 13:30,4.989,356.87,"2e","Chart","",""
26/09/1981 03:45,3.810,227.51,"2d","Chart","",""
01/10/1981 09:00,5.931,497.28,"2e","Chart","",""
09/10/1981 10:00,3.150,171.66,"2d","Chart","",""
23/11/1981 22:45,4.340,279.99,"2d","Chart","",""
27/11/1981 12:30,3.600,208.63,"2d","Chart","",""
03/01/1982 17:45,6.080,522.90,"2e","Digital Archive","",""
19/01/1982 06:45,3.364,188.66,"2d","Digital Archive","",""
12/11/1982 16:30,2.792,147.09,"2c","Digital Archive","",""
21/11/1982 22:15,4.100,255.35,"2d","Digital Archive","",""
16/12/1982 02:45,2.825,149.21,"2c","Digital Archive","",""
19/12/1982 23:45,3.986,244.16,"2d","Digital Archive","",""
06/01/1983 15:30,3.729,220.10,"2d","Digital Archive","",""
23/04/1983 09:15,3.670,214.80,"2d","Digital Archive","",""
02/06/1983 00:30,3.061,164.90,"2d","Digital Archive","",""
17/10/1983 00:30,2.711,141.94,"2c","Digital Archive","",""
09/12/1983 20:30,3.802,226.77,"2d","Digital Archive","",""
25/12/1983 00:00,3.905,236.40,"2d","Digital Archive","",""
03/01/1984 06:15,2.744,144.04,"2c","Digital Archive","",""
13/01/1984 17:15,4.034,248.83,"2d","Digital Archive","",""
05/02/1984 07:00,5.352,406.76,"2e","Digital Archive","",""
03/11/1984 19:45,2.697,141.06,"2c","Digital Archive","",""
31/01/1985 13:00,3.007,160.99,"2c","Digital Archive","",""
15/05/1985 08:00,3.608,209.33,"2d","Digital Archive","",""
05/08/1985 11:15,3.732,220.37,"2d","Digital Archive","",""
22/09/1985 12:30,3.480,198.31,"2d","Digital Archive","",""
01/12/1985 19:15,2.823,149.08,"2c","Digital Archive","",""
21/12/1985 19:45,3.957,241.36,"2d","Digital Archive","",""
10/01/1986 19:30,4.056,250.99,"2d","Digital Archive","",""
21/01/1986 08:00,4.471,294.07,"2d","Digital Archive","",""
05/03/1986 10:15,4.589,307.51,"2e","Digital Archive","",""
23/03/1986 09:15,3.464,196.96,"2d","Digital Archive","",""
16/04/1986 02:45,4.936,350.00,"2e","Digital Archive","",""
07/05/1986 17:30,2.857,151.26,"2c","Digital Archive","",""
26/08/1986 21:45,6.227,554.03,"2f","Digital Archive","",""
26/11/1986 01:00,2.698,141.12,"2c","Digital Archive","",""
08/12/1986 22:45,3.263,180.51,"2d","Digital Archive","",""
13/12/1986 15:15,2.635,137.15,"2c","Digital Archive","",""
