"NAME:","Langdon Beck at Langdon"
"NUMBER:","25011"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
03/11/1969 00:00,0.860,9.27,"1b","Chart","",""
01/02/1970 01:00,0.890,9.95,"1b","Chart","",""
21/02/1970 22:45,0.890,9.95,"1b","Chart","",""
10/08/1970 00:00,0.950,11.39,"1b","Chart","",""
07/09/1970 08:00,0.900,10.19,"1b","Chart","",""
30/10/1970 11:15,0.870,9.50,"1b","Chart","",""
31/10/1970 19:00,0.990,12.39,"1b","Chart","",""
07/01/1971 10:45,1.100,15.36,"1b","Chart","",""
12/02/1971 00:00,0.860,9.27,"1b","Chart","",""
13/08/1971 05:30,0.870,9.50,"1b","Chart","",""
18/01/1972 03:00,0.910,10.42,"1b","Chart","",""
16/03/1972 21:15,1.110,15.65,"1b","Chart","",""
26/05/1972 11:30,0.860,9.27,"1b","Chart","",""
09/11/1972 20:15,0.880,9.72,"1b","Chart","",""
20/11/1972 10:15,0.890,9.95,"1b","Chart","",""
01/12/1972 11:00,0.880,9.72,"1b","Chart","",""
05/12/1972 12:30,0.850,9.05,"1b","Chart","",""
12/12/1972 00:00,0.950,11.39,"1b","Chart","",""
04/04/1973 00:00,0.860,9.27,"1b","Chart","",""
16/07/1973 01:00,1.025,13.31,"1b","Chart","VS, 4/7/03: value 0.97m entered by AG 28/11/02 is wrong compared to microfilm; entered 1.025m from viewing microfilm.",""
05/08/1973 08:30,1.040,13.71,"1b","Chart","date occurred twice - second value was 1.04m. VS, 4/7/03: value 0.95m entered by AG 28/11/02 wrong, entered 1.04m from viewing microfilm.",""
10/12/1973 21:15,0.920,10.66,"1b","Chart","",""
24/11/1974 00:00,1.030,13.44,"1b","Chart","",""
27/11/1974 00:00,0.860,9.27,"1b","Chart","",""
25/12/1974 00:00,0.950,11.39,"1b","Chart","",""
29/12/1974 03:30,0.890,9.95,"1b","Chart","",""
22/01/1975 11:30,1.019,13.15,"1b","Chart","",""
24/09/1975 01:30,0.961,11.66,"1b","Chart","",""
27/09/1975 16:00,0.906,10.33,"1b","Chart","",""
02/01/1976 19:45,1.594,32.32,"1b","Chart","",""
23/02/1976 23:45,0.907,10.35,"1b","Chart","",""
11/09/1976 21:30,1.018,13.12,"1b","Chart","",""
25/12/1976 09:00,0.224,0.40,"1a","Chart","Weir iced up",""
02/02/1977 03:30,0.878,9.68,"1b","Chart","",""
12/06/1977 08:00,0.943,11.21,"1b","Chart","",""
22/12/1977 02:00,0.896,10.09,"1b","Chart","",""
13/09/1978 21:45,0.901,10.21,"1b","Chart","",""
14/11/1978 17:00,0.903,10.26,"1b","Chart","",""
07/01/1979 15:30,0.951,11.41,"1b","Chart","",""
27/02/1979 22:30,1.082,14.86,"1b","Chart","",""
02/03/1979 04:30,1.136,16.40,"1b","Chart","",""
08/03/1979 00:00,1.078,14.74,"1b","Chart","",""
25/11/1979 14:45,1.267,20.44,"1b","Chart","",""
04/12/1979 21:45,1.146,16.69,"1b","Chart","",""
26/12/1979 17:30,0.898,10.14,"1b","Chart","",""
30/07/1980 13:00,0.918,10.61,"1b","Chart","",""
06/10/1980 16:00,1.009,12.88,"1b","Chart","",""
14/11/1980 13:15,0.943,11.21,"1b","Chart","",""
24/11/1980 11:15,0.850,9.05,"1b","Chart","",""
10/12/1980 03:00,1.016,13.07,"1b","Chart","",""
02/02/1981 22:15,1.483,28.00,"1b","Chart","",""
06/03/1981 08:30,1.031,13.46,"1b","Chart","",""
10/03/1981 17:15,0.837,8.76,"1b","Chart","",""
23/03/1981 00:30,0.872,9.55,"1b","Chart","",""
26/09/1981 17:30,0.908,10.37,"1b","Chart","",""
01/10/1981 22:00,0.868,9.45,"1b","Chart","",""
22/11/1981 08:00,1.055,14.11,"1b","Chart","",""
26/11/1981 01:00,1.025,13.31,"1b","Chart","",""
02/01/1982 05:45,1.126,16.11,"1b","Chart","",""
01/06/1982 18:00,0.964,11.73,"1b","Chart","",""
11/11/1982 05:30,0.935,11.02,"1b","Chart","",""
21/11/1982 12:45,1.201,18.35,"1b","Chart","",""
15/12/1982 16:00,0.941,11.17,"1b","Chart","",""
19/12/1982 12:15,1.095,15.22,"1b","Chart","",""
05/01/1983 04:30,0.876,9.63,"1b","Chart","",""
17/07/1983 15:30,1.660,35.02,"1b","Chart","",""
25/09/2001 09:45,0.950,11.39,"1b","F3589.SG.HiUKPOT","",""
01/10/2001 00:00,0.900,10.19,"1b","F3589.SG.HiUKPOT","",""
21/11/2001 15:45,0.970,11.88,"1b","F3589.SG.HiUKPOT","",""
01/02/2002 15:00,0.990,12.39,"1b","F3589.SG.HiUKPOT","",""
03/02/2002 09:15,0.860,9.27,"1b","F3589.SG.HiUKPOT","",""
11/02/2002 07:30,0.960,11.63,"1b","F3589.SG.HiUKPOT","",""
22/02/2002 03:15,0.880,9.72,"1b","F3589.SG.HiUKPOT","",""
26/02/2002 08:00,0.870,9.50,"1b","F3589.SG.HiUKPOT","",""
10/03/2002 14:45,0.880,9.72,"1b","F3589.SG.HiUKPOT","",""
02/06/2002 22:15,1.100,15.36,"1b","F3589.SG.HiUKPOT","",""
14/11/2002 10:45,0.930,10.90,"1b","F3589.SG.HiUKPOT","",""
31/01/2004 15:30,0.870,9.50,"1b","F3589.SG.HiUKPOT","",""
01/02/2004 19:30,0.850,9.05,"1b","F3589.SG.HiUKPOT","",""
03/02/2004 10:45,0.950,11.39,"1b","F3589.SG.HiUKPOT","",""
10/08/2004 12:30,1.030,13.44,"1b","F3589.SG.HiUKPOT","",""
18/08/2004 18:30,0.850,9.05,"1b","F3589.SG.HiUKPOT","",""
20/08/2004 00:15,1.770,39.75,"1b","F3589.SG.HiUKPOT","",""
