"NAME:","Harwood Beck at Harwood"
"NUMBER:","25012"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
23/10/1969 00:00,1.140,23.91,"1a","CEH file","",""
21/12/1969 17:45,1.150,24.44,"1a","CEH file","",""
01/02/1970 01:00,1.180,26.08,"1a","CEH file","",""
22/03/1970 00:00,1.230,28.94,"1a","CEH file","",""
23/04/1970 20:00,1.180,26.08,"1a","CEH file","",""
18/08/1970 00:00,1.250,30.14,"1a","CEH file","",""
25/10/1970 11:30,1.290,32.63,"1a","CEH file","",""
30/10/1970 09:30,1.250,30.14,"1a","CEH file","",""
31/10/1970 00:00,1.230,28.94,"1a","CEH file","",""
06/01/1971 10:45,1.240,29.54,"1a","CEH file","",""
14/02/1971 00:00,1.150,24.44,"1a","CEH file","",""
18/10/1971 01:00,1.160,24.98,"1a","CEH file","",""
18/01/1972 03:00,1.280,31.99,"1a","CEH file","",""
16/03/1972 13:00,1.360,37.26,"1a","CEH file","",""
25/05/1972 11:30,1.220,28.36,"1a","CEH file","",""
09/11/1972 20:00,1.150,24.44,"1a","CEH file","",""
20/11/1972 10:30,1.210,27.78,"1a","CEH file","",""
11/12/1972 23:00,1.240,29.54,"1a","CEH file","",""
05/08/1973 02:00,1.300,33.27,"1a","CEH file","",""
10/12/1973 20:30,1.270,31.37,"1a","CEH file","",""
15/12/1973 23:30,1.110,22.36,"1a","CEH file","",""
06/09/1974 07:45,1.120,22.87,"1a","CEH file","",""
11/11/1974 01:15,1.250,30.14,"1a","CEH file","",""
13/11/1974 19:00,1.110,22.36,"1a","CEH file","",""
14/12/1974 05:15,1.110,22.36,"1a","CEH file","",""
25/12/1974 06:15,1.200,27.20,"1a","CEH file","",""
26/12/1974 00:00,1.250,30.14,"1a","CEH file","",""
28/12/1974 04:00,1.223,28.53,"1a","Chart","",""
19/01/1975 02:15,1.101,21.91,"1a","Chart","",""
22/01/1975 11:45,1.380,38.65,"1a","Chart","",""
25/01/1975 11:00,1.212,27.89,"1a","Chart","",""
24/09/1975 01:45,1.277,31.81,"1a","Chart","",""
27/09/1975 16:45,1.190,26.64,"1a","Chart","",""
04/10/1975 16:30,1.126,23.18,"1a","Chart","",""
02/01/1976 20:00,1.650,60.57,"1a","Chart","",""
23/02/1976 23:30,1.279,31.93,"1a","Chart","",""
28/03/1976 04:00,1.098,21.76,"1a","Chart","",""
11/09/1976 21:15,1.241,29.60,"1a","Chart","",""
15/10/1976 13:45,1.123,23.02,"1a","Chart","",""
25/01/1977 19:15,1.092,21.46,"1a","Chart","",""
29/09/1977 22:00,1.108,22.26,"1a","Chart","",""
23/11/1977 15:45,1.170,25.52,"1a","Chart","",""
22/12/1977 06:15,1.247,29.96,"1a","Chart","",""
19/03/1978 17:15,1.119,22.82,"1a","Chart","",""
13/09/1978 21:45,1.188,26.52,"1a","Chart","",""
14/11/1978 16:45,1.247,29.96,"1a","Chart","",""
08/03/1979 23:45,1.266,31.12,"1a","Chart","",""
25/11/1979 14:00,1.602,56.24,"1a","Chart","",""
04/12/1979 23:30,1.281,32.06,"1a","Chart","",""
26/12/1979 17:00,1.274,31.62,"1a","Chart","",""
14/11/1980 13:00,1.258,30.63,"1a","Chart","",""
24/11/1980 10:45,1.122,22.97,"1a","Chart","",""
10/12/1980 02:30,1.319,34.50,"1a","Chart","",""
02/02/1981 22:30,1.415,41.17,"1a","Chart","",""
19/09/1981 23:30,1.331,35.30,"1a","Chart","",""
26/09/1981 18:00,1.152,24.55,"1a","Chart","",""
23/11/1981 12:00,1.237,29.36,"1a","Chart","",""
26/11/1981 01:30,1.239,29.48,"1a","Chart","",""
03/01/1982 05:45,1.243,29.72,"1a","Digital Archive","",""
04/01/1982 03:45,1.235,29.24,"1a","Digital Archive","",""
02/03/1982 23:45,0.901,13.23,"1a","Digital Archive","",""
02/05/1982 19:30,0.982,16.43,"1a","Digital Archive","",""
06/10/1982 07:15,1.004,17.37,"1a","Digital Archive","",""
12/11/1982 05:45,1.090,21.36,"1a","Digital Archive","",""
16/11/1982 02:45,0.962,15.60,"1a","Digital Archive","",""
18/11/1982 05:00,0.926,14.18,"1a","Digital Archive","",""
21/11/1982 12:30,1.314,34.17,"1a","Digital Archive","",""
23/11/1982 04:15,1.116,22.67,"1a","Digital Archive","Non-independent peak removed B",""
08/12/1982 12:15,0.929,14.29,"1a","Digital Archive","",""
15/12/1982 16:15,1.213,27.95,"1a","Digital Archive","",""
19/12/1982 13:45,1.024,18.26,"1a","Digital Archive","",""
03/01/1983 03:30,0.962,15.60,"1a","Digital Archive","",""
06/01/1983 04:15,1.121,22.92,"1a","Digital Archive","",""
09/01/1983 00:45,1.029,18.48,"1a","Digital Archive","",""
17/07/1983 17:00,1.620,57.84,"1a","Digital Archive","",""
08/10/1983 16:15,1.213,27.95,"1a","Digital Archive","",""
15/10/1983 14:45,1.072,20.49,"1a","Digital Archive","Non-independent peak removed A",""
16/10/1983 13:45,0.998,17.11,"1a","Digital Archive","",""
09/12/1983 08:15,0.943,14.84,"1a","Digital Archive","",""
01/01/1984 03:30,0.996,17.03,"1a","Digital Archive","",""
02/01/1984 18:00,0.944,14.88,"1a","Digital Archive","",""
13/01/1984 04:15,1.110,22.36,"1a","Digital Archive","",""
04/02/1984 21:30,1.004,17.37,"1a","Digital Archive","",""
19/10/1984 04:45,0.916,13.80,"1a","Digital Archive","",""
22/10/1984 20:15,0.922,14.02,"1a","Digital Archive","",""
03/11/1984 08:30,1.062,20.01,"1a","Digital Archive","",""
31/01/1985 02:00,1.054,19.63,"1a","Digital Archive","",""
14/05/1985 21:15,1.177,25.91,"1a","Digital Archive","",""
26/07/1985 17:00,1.008,17.55,"1a","Digital Archive","",""
14/08/1985 16:15,0.908,13.49,"1a","Digital Archive","",""
01/12/1985 08:45,1.098,21.76,"1a","Digital Archive","",""
20/12/1985 23:30,1.185,26.36,"1a","Digital Archive","Non-independent peak removed A",""
10/01/1986 11:00,0.931,14.37,"1a","Digital Archive","",""
13/01/1986 18:00,0.930,14.33,"1a","Digital Archive","",""
19/01/1986 12:30,0.995,16.99,"1a","Digital Archive","",""
20/01/1986 18:45,1.029,18.48,"1a","Digital Archive","",""
05/03/1986 02:45,0.973,16.06,"1a","Digital Archive","",""
22/03/1986 20:00,1.190,26.64,"1a","Digital Archive","",""
25/05/1986 06:00,1.052,19.54,"1a","Digital Archive","",""
26/08/1986 07:00,1.250,30.14,"1a","Digital Archive","",""
24/11/1986 22:30,0.902,13.27,"1a","Digital Archive","",""
25/11/1986 16:00,0.916,13.80,"1a","Digital Archive","",""
04/01/1987 14:15,0.996,17.03,"1a","Digital Archive","",""
06/02/1987 05:00,0.907,13.46,"1a","Digital Archive","",""
12/09/1987 02:15,0.952,15.20,"1a","Digital Archive","",""
14/09/1987 08:15,1.062,20.01,"1a","Digital Archive","",""
22/09/1987 00:15,0.925,14.14,"1a","Digital Archive","",""
18/10/1987 11:00,0.944,14.88,"1a","Digital Archive","",""
23/11/1987 17:45,0.972,16.02,"1a","Digital Archive","",""
27/12/1987 15:30,1.057,19.77,"1a","Digital Archive","",""
01/02/1988 21:15,1.001,17.24,"1a","Digital Archive","",""
