"NAME:","Leven at Easby"
"NUMBER:","25019"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
14/08/1971 00:00,,5.46,"1a","EA spreadsheet","",""
14/08/1971 22:00,0.650,5.46,"1c","Microfiche","",""
21/11/1971 15:30,0.428,2.05,"1c","Microfiche","",""
25/11/1971 20:45,0.498,2.92,"1c","Microfiche","",""
26/01/1972 04:00,0.573,4.06,"1c","Microfiche","",""
03/02/1972 23:30,0.687,6.22,"1c","Microfiche","",""
15/02/1972 03:30,0.537,3.49,"1c","Microfiche","",""
03/03/1972 19:45,0.422,1.98,"1c","Microfiche","",""
10/06/1972 22:45,0.450,2.30,"1c","Microfiche","",""
22/04/1973 09:45,0.469,2.54,"1c","Microfiche","",""
23/04/1973 20:00,0.510,3.09,"1c","Microfiche","",""
16/07/1973 14:30,0.451,2.31,"1c","Microfiche","",""
22/09/1973 02:30,0.464,2.47,"1c","Microfiche","",""
08/01/1974 01:15,0.440,2.18,"1c","Microfiche","",""
10/01/1974 19:30,0.434,2.12,"1c","Microfiche","",""
11/02/1974 17:00,0.427,2.04,"1c","Microfiche","",""
14/02/1974 06:00,0.422,1.98,"1c","Microfiche","",""
03/10/1974 07:00,0.551,3.70,"1c","Microfiche","",""
14/10/1974 00:00,,2.10,"1a","EA spreadsheet","",""
29/10/1974 17:00,0.577,4.13,"1c","Microfiche","",""
08/05/1975 11:00,0.432,2.09,"1c","Microfiche","",""
14/07/1975 13:15,0.583,4.23,"1c","Microfiche","",""
11/09/1976 23:45,1.247,25.18,"1c","Microfiche","",""
15/09/1976 02:45,0.481,2.69,"1c","Microfiche","",""
02/10/1976 09:00,0.527,3.34,"1c","Microfiche","",""
01/01/1977 18:30,0.575,4.09,"1c","Microfiche","",""
14/01/1977 05:30,0.454,2.35,"1c","Microfiche","",""
26/01/1977 00:00,,3.35,"1a","EA spreadsheet","",""
03/02/1977 09:30,0.426,2.02,"1c","Microfiche","",""
22/02/1977 07:45,0.442,2.21,"1c","Microfiche","",""
03/05/1977 10:15,0.490,2.81,"1c","Microfiche","",""
10/12/1977 06:45,0.442,2.21,"1c","Microfiche","",""
29/01/1978 00:00,,4.07,"1a","EA spreadsheet","",""
04/02/1978 22:00,0.459,2.41,"1c","Microfiche","",""
23/02/1978 05:30,0.693,6.34,"1c","Microfiche","",""
08/08/1978 12:00,0.623,4.94,"1c","Microfiche","",""
27/12/1978 00:00,,5.07,"1a","EA spreadsheet","",""
28/12/1978 00:00,0.630,5.07,"1c","Microfiche","",""
07/01/1979 14:30,0.583,4.23,"1c","Microfiche","",""
27/02/1979 03:00,0.444,2.23,"1c","Microfiche","",""
25/03/1979 19:30,0.697,6.43,"1c","Microfiche","",""
29/03/1979 12:30,0.730,7.17,"1c","Microfiche","",""
20/05/1979 08:00,0.661,5.68,"1c","Microfiche","",""
26/05/1979 02:30,0.478,2.65,"1c","Microfiche","",""
15/11/1979 16:00,0.584,4.25,"1c","Microfiche","",""
14/12/1979 09:45,0.704,6.58,"1c","Microfiche","",""
27/12/1979 11:30,0.537,3.49,"1c","Microfiche","",""
17/10/1980 16:00,0.497,2.91,"1c","Microfiche","",""
24/10/1980 17:15,0.527,3.34,"1c","Microfiche","",""
25/11/1980 20:45,0.427,2.04,"1c","Microfiche","",""
09/12/1980 17:30,0.548,3.66,"1c","Microfiche","",""
21/03/1981 07:15,0.735,7.28,"1c","Microfiche","",""
23/03/1981 20:00,0.458,2.40,"1c","Microfiche","",""
24/07/1981 11:00,0.533,3.43,"1c","Microfiche","",""
30/11/1981 13:00,0.483,2.72,"1c","Microfiche","",""
30/12/1981 21:45,0.539,3.52,"1c","Microfiche","",""
04/01/1982 00:30,0.546,3.63,"1c","Digital Archive","Non-independent peak removed B",""
05/01/1982 14:30,0.388,1.59,"1b","Digital Archive","",""
11/01/1982 05:00,0.349,1.19,"1b","Digital Archive","",""
15/03/1982 09:00,0.391,1.62,"1b","Digital Archive","",""
07/10/1982 22:45,0.333,1.04,"1b","Digital Archive","",""
12/11/1982 10:45,0.317,0.91,"1b","Digital Archive","",""
25/11/1982 00:15,0.330,1.02,"1b","Digital Archive","",""
23/03/1983 23:00,0.312,0.87,"1b","Digital Archive","",""
19/04/1983 17:30,0.479,2.67,"1c","Digital Archive","",""
21/04/1983 01:30,0.500,2.95,"1c","Digital Archive","",""
28/04/1983 19:00,0.689,6.26,"1c","Digital Archive","",""
03/05/1983 04:45,0.493,2.85,"1c","Digital Archive","",""
28/05/1983 01:30,0.746,7.54,"1c","Digital Archive","",""
01/06/1983 15:30,0.423,1.99,"1c","Digital Archive","",""
09/12/1983 13:15,0.750,7.64,"1c","Digital Archive","",""
16/01/1984 22:45,0.317,0.91,"1b","Digital Archive","",""
29/01/1984 08:00,0.442,2.21,"1c","Digital Archive","",""
31/01/1984 02:30,0.379,1.49,"1b","Digital Archive","",""
01/02/1984 21:15,0.361,1.30,"1b","Digital Archive","",""
24/03/1984 20:30,0.398,1.70,"1b","Digital Archive","",""
26/03/1984 14:45,0.361,1.30,"1b","Digital Archive","",""
05/06/1984 07:00,0.333,1.04,"1b","Digital Archive","",""
24/09/1984 19:15,0.439,2.17,"1c","Digital Archive","",""
03/11/1984 08:45,0.569,3.99,"1c","Digital Archive","",""
04/11/1984 09:15,0.490,2.81,"1c","Digital Archive","",""
22/01/1985 01:00,0.488,2.79,"1c","Digital Archive","",""
29/01/1985 18:15,0.425,2.01,"1c","Digital Archive","",""
30/01/1985 21:15,0.319,0.92,"1b","Digital Archive","",""
23/03/1985 15:00,0.351,1.20,"1b","Digital Archive","",""
11/04/1985 21:30,0.532,3.41,"1c","Digital Archive","",""
14/04/1985 18:00,0.472,2.58,"1c","Digital Archive","",""
05/08/1985 06:30,0.370,1.39,"1b","Digital Archive","",""
22/12/1985 02:45,0.300,0.78,"1a","Digital Archive","","AMAX ONLY"
01/01/1986 00:00,0.254,0.51,"1a","Digital Archive","","AMAX ONLY"
02/01/1986 00:00,,2.35,"1a","EA spreadsheet","",""
02/02/1986 00:00,,3.02,"1a","EA spreadsheet","",""
04/03/1986 00:00,,5.68,"1a","EA spreadsheet","",""
08/04/1986 00:00,,2.45,"1a","EA spreadsheet","",""
17/04/1986 00:00,,9.36,"1a","EA spreadsheet","",""
06/05/1986 00:00,,1.98,"1a","EA spreadsheet","",""
26/08/1986 00:00,,3.97,"1a","EA spreadsheet","",""
03/09/1986 00:00,,3.91,"1a","EA spreadsheet","",""
13/12/1986 00:00,,2.78,"1a","EA spreadsheet","",""
01/01/1987 17:15,0.321,0.94,"1b","Digital Archive","",""
22/01/1987 01:15,0.316,0.90,"1b","Digital Archive","",""
22/02/1987 20:00,0.377,1.47,"1b","Digital Archive","",""
02/03/1987 15:00,0.331,1.02,"1b","Digital Archive","",""
17/03/1987 07:30,0.326,0.98,"1b","Digital Archive","",""
28/03/1987 06:00,0.317,0.91,"1b","Digital Archive","",""
01/04/1987 21:15,0.338,1.08,"1b","Digital Archive","",""
11/04/1987 17:00,0.321,0.94,"1b","Digital Archive","",""
18/07/1987 10:45,0.446,2.26,"1c","Digital Archive","",""
22/08/1987 05:15,0.432,2.09,"1c","Digital Archive","Non-independent peak removed A",""
26/08/1987 16:00,1.014,15.50,"1c","Digital Archive","",""
19/09/1987 21:45,0.467,2.51,"1c","Digital Archive","",""
11/10/1987 08:45,0.537,3.49,"1c","Digital Archive","",""
16/10/1987 08:30,0.381,1.51,"1b","Digital Archive","",""
21/10/1987 06:45,0.439,2.17,"1c","Digital Archive","",""
23/11/1987 13:00,0.349,1.19,"1b","Digital Archive","",""
25/11/1987 02:00,0.351,1.20,"1b","Digital Archive","",""
30/11/1987 10:15,0.409,1.84,"1b","Digital Archive","",""
06/01/1988 05:45,0.349,1.19,"1b","Digital Archive","",""
01/02/1988 16:30,0.426,2.02,"1c","Digital Archive","",""
05/02/1988 13:15,0.330,1.02,"1b","Digital Archive","",""
27/02/1988 05:15,0.342,1.12,"1b","Digital Archive","",""
03/03/1988 16:00,0.314,0.89,"1b","Digital Archive","",""
09/03/1988 22:15,0.338,1.08,"1b","Digital Archive","",""
16/03/1988 14:45,0.365,1.34,"1b","Digital Archive","Non-independent peak removed B",""
30/11/1988 11:45,0.344,1.14,"1b","Digital Archive","",""
14/12/1989 22:00,0.279,0.65,"1a","Digital Archive","","AMAX ONLY"
29/01/1990 22:15,0.541,3.55,"1c","Digital Archive","",""
08/02/1990 00:30,0.319,0.92,"1b","Digital Archive","",""
22/06/1990 07:15,0.345,1.15,"1b","Digital Archive","",""
05/11/1990 02:15,0.388,1.59,"1b","Digital Archive","",""
08/12/1990 22:45,0.569,3.99,"1c","Digital Archive","",""
10/12/1990 13:45,0.467,2.51,"1c","Digital Archive","",""
25/12/1990 14:00,0.381,1.51,"1b","Digital Archive","",""
28/12/1990 19:00,0.367,1.36,"1b","Digital Archive","",""
10/01/1991 03:30,0.337,1.08,"1b","Digital Archive","",""
22/02/1991 00:15,0.500,2.95,"1c","Digital Archive","",""
23/02/1991 03:30,0.381,1.51,"1b","Digital Archive","",""
05/03/1991 00:15,0.360,1.29,"1b","Digital Archive","",""
19/11/1991 05:15,0.340,1.10,"1b","Digital Archive","",""
23/12/1991 13:45,0.340,1.10,"1b","Digital Archive","",""
09/01/1992 04:30,0.317,0.91,"1b","Digital Archive","",""
31/03/1992 06:00,0.407,1.81,"1b","Digital Archive","",""
02/04/1992 14:30,0.568,3.98,"1c","Digital Archive","",""
15/04/1992 05:30,0.419,1.95,"1c","Digital Archive","",""
25/11/1992 01:30,0.331,1.02,"1b","Digital Archive","",""
30/11/1992 19:45,0.312,0.87,"1b","Digital Archive","",""
02/12/1992 18:15,0.412,1.87,"1c","Digital Archive","",""
07/12/1992 06:15,0.361,1.30,"1b","Digital Archive","",""
18/12/1992 17:15,0.455,2.36,"1c","Digital Archive","",""
