"NAME:","Skerne at Bradbury"
"NUMBER:","25021"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
08/01/1974 01:00,0.614,2.90,"1b","flow not match that on table","",""
06/02/1974 22:30,0.673,3.36,"1b","flow not match that on table","",""
02/01/1976 23:30,0.666,3.30,"1b","From monthly summary table","",""
12/09/1976 11:30,1.353,3.71,"11b","From monthly summary table","",""
02/10/1976 22:15,1.160,8.01,"3b","From monthly summary table","",""
15/10/1976 08:30,1.222,8.70,"3b","From monthly summary table","",""
29/10/1976 05:15,0.581,2.66,"3b","From monthly summary table","",""
20/12/1976 05:15,0.919,5.52,"3b","From monthly summary table","",""
01/01/1977 01:15,0.781,4.26,"3b","From monthly summary table","",""
15/01/1977 10:30,1.462,11.59,"3b","From monthly summary table","",""
25/01/1977 01:15,0.851,4.89,"3b","From monthly summary table","",""
10/02/1977 17:00,0.904,5.38,"3b","From monthly summary table","",""
23/02/1977 13:00,0.832,4.71,"3b","From monthly summary table","",""
03/05/1977 15:15,0.592,2.74,"3b","From monthly summary table","",""
11/01/1978 19:00,0.735,3.87,"3b","From monthly summary table","",""
29/01/1978 21:30,0.642,3.12,"3b","From monthly summary table","",""
02/02/1978 18:00,0.701,3.59,"3b","From monthly summary table","",""
04/02/1978 23:15,0.789,4.33,"3b","From monthly summary table","",""
24/02/1978 14:30,0.940,5.73,"3b","From monthly summary table","",""
05/05/1978 06:15,0.937,5.70,"3b","From monthly summary table","",""
09/08/1978 11:15,0.926,5.59,"3b","From monthly summary table","",""
08/12/1978 23:15,0.883,5.18,"3b","From monthly summary table","",""
24/12/1978 23:30,0.991,6.23,"3b","From monthly summary table","",""
07/01/1979 18:15,0.901,5.35,"3b","From monthly summary table","",""
17/01/1979 03:45,0.578,2.64,"3b","From monthly summary table","",""
13/02/1979 00:15,0.659,3.25,"3b","From monthly summary table","",""
25/03/1979 23:00,1.137,7.76,"3b","From monthly summary table","",""
29/03/1979 15:15,2.120,20.97,"3b","From monthly summary table","",""
09/05/1979 09:45,0.656,3.23,"3b","From monthly summary table","",""
21/05/1979 13:15,0.777,4.23,"3b","From monthly summary table","",""
26/05/1979 08:15,0.705,3.62,"3b","From monthly summary table","",""
30/05/1979 09:00,0.874,5.10,"3b","From monthly summary table","",""
15/11/1979 20:30,0.968,6.00,"3b","From monthly summary table","",""
14/12/1979 18:15,0.860,4.97,"3b","From monthly summary table","",""
27/12/1979 18:15,0.810,4.52,"3b","From monthly summary table","",""
05/02/1980 06:45,0.880,5.15,"3b","From monthly summary table","",""
22/02/1980 17:00,0.557,2.48,"3b","From monthly summary table","",""
18/03/1980 14:45,0.999,6.31,"3b","From monthly summary table","",""
28/03/1980 02:30,0.773,4.19,"3b","From monthly summary table","",""
11/06/1980 01:30,0.651,3.19,"3b","From monthly summary table","",""
14/06/1980 18:15,0.785,4.30,"3b","From monthly summary table","",""
25/06/1980 17:00,1.025,6.57,"3b","From monthly summary table","",""
01/07/1980 11:00,1.345,10.14,"3b","From monthly summary table","",""
20/07/1980 17:15,0.617,2.92,"3b","From monthly summary table","",""
15/08/1980 14:45,1.083,7.18,"3b","From monthly summary table","",""
24/10/1980 19:15,0.563,2.53,"3b","From monthly summary table","",""
25/11/1980 22:15,0.781,4.26,"3b","From monthly summary table","",""
01/12/1980 02:45,0.802,4.44,"3b","From monthly summary table","",""
11/12/1980 12:30,0.618,2.93,"3b","From monthly summary table","",""
02/03/1981 05:30,0.846,4.84,"3b","From monthly summary table","",""
22/03/1981 16:45,1.099,7.35,"3b","From monthly summary table","",""
25/03/1981 11:00,0.656,3.23,"3b","From monthly summary table","",""
25/04/1981 12:15,0.551,2.44,"3b","From monthly summary table","",""
01/10/1981 21:45,0.866,5.02,"3b","From monthly summary table","",""
23/11/1981 18:15,0.700,3.58,"3b","From monthly summary table","",""
31/12/1981 09:00,1.084,7.19,"3b","From monthly summary table","",""
04/01/1982 11:30,1.131,7.69,"3b","Digital Archive","",""
19/01/1982 01:15,0.444,1.73,"3b","Digital Archive","",""
12/11/1982 14:30,0.444,1.73,"3b","Digital Archive","",""
08/12/1982 04:30,0.537,2.34,"3b","Digital Archive","",""
07/02/1983 04:00,0.573,2.60,"3b","Digital Archive","",""
15/02/1983 04:00,0.508,2.14,"3b","Digital Archive","",""
16/02/1983 21:00,0.497,2.07,"3b","Digital Archive","",""
23/03/1983 21:00,0.717,3.72,"3b","Digital Archive","Non-independent peak removed B",""
21/04/1983 15:15,1.115,7.52,"3b","Digital Archive","",""
23/04/1983 07:30,0.483,1.98,"3b","Digital Archive","",""
29/04/1983 04:45,0.944,5.77,"3b","Digital Archive","",""
02/05/1983 18:15,0.846,4.84,"3b","Digital Archive","",""
07/05/1983 08:30,0.925,5.58,"3b","Digital Archive","",""
28/05/1983 10:00,0.749,3.99,"3b","Digital Archive","",""
01/06/1983 18:15,0.924,5.57,"3b","Digital Archive","",""
09/12/1983 14:15,0.699,3.57,"3b","Digital Archive","",""
15/12/1983 14:00,0.541,2.37,"3b","Digital Archive","",""
17/12/1983 22:45,0.680,3.42,"3b","Digital Archive","",""
24/12/1983 16:00,0.693,3.52,"3b","Digital Archive","",""
17/01/1984 02:30,0.628,3.01,"3b","Digital Archive","",""
29/01/1984 14:45,0.939,5.72,"3b","Digital Archive","",""
24/03/1984 22:15,0.651,3.19,"3b","Digital Archive","",""
26/03/1984 16:15,0.453,1.79,"3b","Digital Archive","",""
04/08/1984 11:00,0.603,2.82,"3b","Digital Archive","",""
04/09/1984 02:45,0.603,2.82,"3b","Digital Archive","",""
24/09/1984 11:00,0.476,1.93,"3b","Digital Archive","",""
03/11/1984 17:00,0.499,2.08,"3b","Digital Archive","Non-independent peak removed A",""
13/11/1984 12:30,0.510,2.16,"3b","Digital Archive","",""
19/11/1984 06:00,0.751,4.00,"3b","Digital Archive","",""
22/11/1984 23:15,0.611,2.88,"3b","Digital Archive","",""
02/01/1985 18:00,0.456,1.81,"3b","Digital Archive","",""
04/01/1985 14:45,0.492,2.04,"3b","Digital Archive","",""
06/01/1985 15:15,0.739,3.90,"3b","Digital Archive","",""
22/01/1985 12:15,0.917,5.50,"3b","Digital Archive","",""
23/03/1985 17:45,0.607,2.85,"3b","Digital Archive","",""
03/04/1985 22:15,0.725,3.78,"3b","Digital Archive","",""
08/04/1985 11:00,0.544,2.39,"3b","Digital Archive","",""
11/04/1985 23:30,0.791,4.35,"3b","Digital Archive","",""
14/04/1985 20:00,0.643,3.12,"3b","Digital Archive","",""
15/05/1985 01:00,0.702,3.59,"3b","Digital Archive","",""
02/01/1986 18:00,0.649,3.17,"3b","Digital Archive","",""
10/01/1986 14:15,0.545,2.40,"3b","Digital Archive","",""
30/01/1986 16:00,0.617,2.92,"3b","Digital Archive","",""
01/02/1986 20:15,0.708,3.64,"3b","Digital Archive","",""
05/03/1986 01:00,0.871,5.07,"3b","Digital Archive","",""
25/03/1986 20:30,0.830,4.69,"3b","Digital Archive","",""
08/04/1986 13:00,0.911,5.45,"3b","Digital Archive","",""
15/04/1986 23:30,0.892,5.27,"3b","Digital Archive","",""
17/04/1986 23:30,1.253,9.06,"3b","Digital Archive","",""
20/04/1986 15:15,0.723,3.77,"3b","Digital Archive","",""
07/05/1986 09:30,0.742,3.93,"3b","Digital Archive","",""
21/05/1986 00:15,0.493,2.04,"3b","Digital Archive","",""
26/08/1986 17:45,0.809,4.51,"3b","Digital Archive","",""
03/09/1986 13:15,0.718,3.73,"3b","Digital Archive","",""
23/10/1986 23:45,1.042,6.75,"3b","Digital Archive","","AMAX ONLY"
30/12/1986 15:15,0.619,2.94,"3b","Digital Archive","",""
01/01/1987 21:15,0.779,4.24,"3b","Digital Archive","",""
02/03/1987 10:00,0.755,4.04,"3b","Digital Archive","",""
06/03/1987 16:00,0.628,3.01,"3b","Digital Archive","",""
02/04/1987 13:30,0.513,2.18,"3b","Digital Archive","",""
08/04/1987 03:45,0.820,4.60,"3b","Digital Archive","",""
11/04/1987 20:30,0.819,4.60,"3b","Digital Archive","",""
18/07/1987 15:00,0.860,4.97,"3b","Digital Archive","",""
16/10/1987 13:30,0.776,4.22,"3b","Digital Archive","",""
21/10/1987 08:45,0.879,5.14,"3b","Digital Archive","",""
27/10/1987 22:15,0.606,2.84,"3b","Digital Archive","",""
24/11/1987 05:15,0.911,5.45,"3b","Digital Archive","",""
18/12/1987 12:45,0.446,1.74,"3b","Digital Archive","",""
28/12/1987 15:15,0.507,2.14,"3b","Digital Archive","Non-independent peak removed B",""
03/01/1988 14:00,0.610,2.87,"3b","Digital Archive","",""
06/01/1988 18:45,0.949,5.81,"3b","Digital Archive","",""
18/01/1988 14:00,0.646,3.15,"3b","Digital Archive","",""
24/01/1988 21:15,0.843,4.81,"3b","Digital Archive","",""
29/01/1988 13:00,0.635,3.06,"3b","Digital Archive","",""
01/02/1988 08:30,0.614,2.90,"3b","Digital Archive","",""
04/02/1988 21:30,0.519,2.22,"3b","Digital Archive","",""
27/02/1988 12:00,0.495,2.06,"3b","Digital Archive","",""
12/03/1988 11:15,0.597,2.77,"3b","Digital Archive","",""
23/03/1988 04:45,0.462,1.84,"3b","Digital Archive","Non-independent peak removed B",""
25/11/1988 16:00,0.495,2.06,"3b","Digital Archive","",""
30/11/1988 16:00,0.920,5.53,"3b","Digital Archive","",""
25/02/1989 12:15,0.578,2.64,"3b","Digital Archive","",""
29/01/1990 21:30,0.597,2.38,"2b","Digital Archive","",""
08/02/1990 03:15,0.551,2.14,"2b","Digital Archive","",""
08/12/1990 23:45,0.898,4.09,"2b","Digital Archive","",""
29/12/1990 01:15,0.493,1.85,"2b","Digital Archive","",""
10/01/1991 05:00,0.578,2.28,"2b","Digital Archive","",""
20/02/1991 22:00,0.810,3.57,"2b","Digital Archive","",""
28/02/1991 15:00,0.723,3.07,"2b","Digital Archive","",""
05/03/1991 11:00,0.884,4.01,"2b","Digital Archive","",""
23/12/1991 15:30,0.485,1.81,"2b","Digital Archive","",""
03/04/1992 01:30,1.059,5.09,"2b","Digital Archive","",""
15/04/1992 07:00,0.753,3.24,"2b","Digital Archive","",""
03/12/1992 02:30,0.736,3.14,"2b","Digital Archive","",""
08/12/1992 23:00,0.490,1.84,"2b","Digital Archive","",""
18/12/1992 20:30,0.574,2.26,"2b","Digital Archive","",""
10/04/1993 02:15,0.949,4.40,"2b","Digital Archive","",""
25/04/1993 17:00,0.615,2.48,"2b","Digital Archive","",""
15/05/1993 12:30,1.279,6.53,"2b","Digital Archive","",""
05/08/1993 17:00,0.662,2.73,"2b","Digital Archive","",""
09/09/1993 11:30,0.527,2.02,"2b","Digital Archive","",""
16/09/1993 16:15,1.182,5.88,"2b","Digital Archive","",""
07/10/1993 09:15,0.825,3.66,"2b","Digital Archive","",""
13/10/1993 02:00,0.736,3.14,"2b","Digital Archive","",""
15/11/1993 01:45,1.095,5.32,"2b","Digital Archive","",""
28/11/1993 20:45,0.616,2.48,"2b","Digital Archive","",""
09/12/1993 01:15,0.546,2.12,"2b","Digital Archive","",""
13/12/1993 11:15,0.870,3.92,"2b","Digital Archive","",""
29/12/1993 16:15,0.855,3.83,"2b","Digital Archive","",""
