"NAME:","Wharfe at Wetherby Flint Mill"
"NUMBER:","27002"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
14/12/1936 00:00,0.000,393.97,"","Chart","",""
06/01/1937 00:00,0.000,203.15,"","Chart","",""
16/01/1938 00:00,0.000,177.67,"","Chart","",""
03/10/1938 00:00,0.000,198.29,"","Chart","Non-independent peak removed",""
04/10/1938 00:00,0.000,237.21,"","Chart","Non-independent peak removed",""
05/10/1938 00:00,0.000,166.77,"","Chart","Non-independent peak removed",""
09/10/1938 00:00,0.000,283.59,"","Chart","",""
12/10/1938 00:00,0.000,237.21,"","Chart","",""
13/10/1938 00:00,0.000,192.22,"","Chart","",""
01/12/1938 00:00,0.000,175.25,"","Chart","",""
08/01/1939 00:00,0.000,231.12,"","Chart","two levels for this date - also 170",""
09/01/1939 00:00,0.000,240.87,"","Chart","two levels for this date - also 170",""
15/01/1939 00:00,0.000,277.48,"","Chart","",""
01/12/1939 00:00,0.000,217.74,"","Chart","",""
11/11/1940 00:00,0.000,193.43,"","Chart","",""
07/02/1941 00:00,0.000,180.09,"","Chart","",""
08/02/1941 00:00,0.000,359.56,"","Chart","",""
10/10/1941 00:00,0.000,169.19,"","Chart","",""
18/10/1941 00:00,0.000,237.21,"","Chart","",""
15/03/1942 00:00,0.000,147.42,"","Chart","",""
17/03/1942 00:00,0.000,177.67,"","Chart","tow levels for this date - also 141",""
10/10/1942 00:00,0.000,147.42,"","Chart","",""
31/01/1943 00:00,0.000,178.88,"","Chart","",""
07/02/1943 00:00,0.000,221.39,"","Chart","",""
23/01/1944 00:00,0.000,260.38,"","Chart","",""
25/01/1944 00:00,0.000,176.46,"","Chart","",""
05/11/1944 00:00,0.000,161.93,"","Chart","",""
20/11/1944 00:00,0.000,200.72,"","Chart","",""
28/11/1944 00:00,0.000,210.44,"","Chart","",""
02/12/1944 00:00,0.000,204.36,"","Chart","",""
17/12/1944 00:00,0.000,229.91,"","Chart","",""
18/01/1945 00:00,0.000,236.00,"","Chart","",""
31/01/1945 00:00,0.000,155.88,"","Chart","two levels for this date - also 132",""
01/02/1945 00:00,0.000,188.58,"","Chart","two levels for this date - also 132",""
02/02/1945 00:00,0.000,222.60,"","Chart","Non-independent peak removed",""
04/02/1945 00:00,0.000,212.87,"","Chart","",""
14/02/1945 00:00,0.000,227.47,"","Chart","",""
02/04/1945 00:00,0.000,221.39,"","Chart","",""
25/10/1945 00:00,0.000,182.52,"","Chart","",""
26/10/1945 00:00,0.000,198.29,"","Chart","",""
01/02/1946 00:00,0.000,192.22,"","Chart","",""
07/02/1946 00:00,0.000,191.01,"","Chart","",""
08/02/1946 00:00,0.000,154.67,"","Chart","",""
23/02/1946 00:00,0.000,155.88,"","Chart","",""
29/08/1946 00:00,0.000,151.05,"","Chart","",""
31/08/1946 00:00,0.000,147.42,"","Chart","",""
21/09/1946 00:00,0.000,396.43,"","Chart","",""
20/11/1946 00:00,0.000,178.88,"","Chart","",""
28/11/1946 00:00,0.000,164.35,"","Chart","",""
11/01/1947 00:00,0.000,167.98,"","Chart","",""
16/01/1947 00:00,0.000,153.46,"","Chart","",""
21/03/1947 00:00,0.000,320.31,"","Chart","",""
22/03/1947 00:00,0.000,292.15,"","Chart","",""
23/03/1947 00:00,0.000,239.65,"","Chart","",""
24/04/1947 00:00,0.000,147.42,"","Chart","",""
12/11/1947 00:00,0.000,249.40,"","Chart","",""
22/11/1947 00:00,0.000,205.58,"","Chart","",""
05/01/1948 00:00,0.000,180.09,"","Chart","",""
11/01/1948 00:00,0.000,297.04,"","Chart","",""
13/01/1948 00:00,0.000,194.65,"","Chart","",""
07/02/1948 00:00,0.000,184.94,"","Chart","",""
08/02/1948 00:00,0.000,166.77,"","Chart","",""
06/04/1949 00:00,0.000,178.88,"","Chart","",""
12/04/1949 00:00,0.000,180.09,"","Chart","",""
03/12/1949 00:00,0.000,148.63,"","Chart","",""
04/12/1949 00:00,0.000,163.14,"","Chart","",""
17/12/1949 00:00,0.000,146.22,"","Chart","",""
26/12/1949 00:00,0.000,169.19,"","Chart","",""
10/02/1950 00:00,0.000,244.53,"","Chart","",""
15/02/1950 00:00,0.000,417.35,"","Chart","",""
07/09/1950 00:00,0.000,158.30,"","Chart","",""
22/11/1950 00:00,0.000,166.77,"","Chart","",""
17/01/1951 00:00,0.000,200.72,"","Chart","",""
23/03/1951 00:00,0.000,205.58,"","Chart","",""
05/05/1951 00:00,0.000,155.88,"","Chart","",""
05/11/1951 00:00,0.000,227.47,"","Chart","",""
24/11/1951 00:00,0.000,167.98,"","Chart","",""
05/12/1951 00:00,0.000,216.52,"","Chart","",""
08/12/1951 00:00,0.000,228.69,"","Chart","",""
23/12/1951 00:00,0.000,237.21,"","Chart","",""
28/12/1951 00:00,0.000,206.79,"","Chart","",""
22/06/1952 00:00,0.000,63.46,"","Chart","",""
20/07/1952 00:00,0.000,19.86,"","Chart","",""
10/08/1952 00:00,0.000,148.63,"","Chart","",""
29/09/1952 00:00,0.000,136.56,"","Chart","",""
28/10/1952 00:00,0.000,120.90,"","Chart","",""
05/11/1952 00:00,0.000,131.74,"","Chart","",""
22/12/1952 00:00,0.000,99.29,"","Chart","",""
31/01/1953 00:00,0.000,75.37,"","Chart","",""
20/02/1953 00:00,0.000,153.46,"","Chart","",""
28/03/1953 00:00,0.000,14.07,"","Chart","",""
03/04/1953 00:00,0.000,51.60,"","Chart","",""
23/05/1953 00:00,0.000,28.04,"","Chart","",""
16/06/1953 00:00,0.000,58.71,"","Chart","",""
27/07/1953 00:00,0.000,101.68,"","Chart","",""
31/08/1953 00:00,0.000,225.04,"","Chart","",""
01/09/1953 00:00,0.000,248.18,"","Chart","",""
22/09/1953 00:00,0.000,186.15,"","Chart","",""
30/09/1953 00:00,0.000,163.14,"","Chart","",""
01/10/1953 00:00,0.000,112.49,"","Chart","",""
15/11/1953 00:00,0.000,119.70,"","Chart","",""
31/12/1953 00:00,0.000,96.89,"","Chart","",""
21/01/1954 00:00,0.000,197.08,"","Chart","",""
22/02/1954 00:00,0.000,59.90,"","Chart","",""
07/03/1954 00:00,0.000,135.36,"","Chart","",""
03/04/1954 00:00,0.000,108.88,"","Chart","",""
29/05/1954 00:00,0.000,132.95,"","Chart","",""
16/06/1954 00:00,0.000,95.69,"","Chart","",""
24/07/1954 00:00,0.000,10.61,"","Chart","",""
21/08/1954 00:00,0.000,239.65,"","Chart","",""
