"NAME:","Don at Sheffield Hadfields"
"NUMBER:","27006"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
30/12/1956 00:00,0.920,39.26,"1a","Chart","",""
01/01/1957 00:00,0.700,20.92,"1a","Chart","",""
25/02/1957 00:00,0.740,23.98,"1a","Chart","",""
19/03/1957 00:00,0.780,27.16,"1a","Chart","",""
01/04/1957 00:00,0.370,1.95,"1a","Chart","",""
12/05/1957 00:00,0.470,6.29,"1a","Chart","",""
30/06/1957 00:00,0.540,10.15,"1a","Chart","",""
03/07/1957 00:00,0.850,33.03,"1a","Chart","",""
08/08/1957 00:00,1.190,64.47,"1b","Chart","",""
25/09/1957 00:00,0.880,35.66,"1a","Chart","",""
29/10/1957 00:00,0.550,10.75,"1a","Chart","",""
04/11/1957 00:00,1.190,64.47,"1b","Chart","",""
08/12/1957 00:00,0.850,33.03,"1a","Chart","",""
06/01/1958 00:00,1.310,76.51,"1b","Chart","",""
10/02/1958 00:00,1.330,78.57,"1b","Chart","",""
28/03/1958 00:00,0.980,44.62,"1b","Chart","",""
01/04/1958 00:00,0.520,8.99,"1a","Chart","",""
15/05/1958 00:00,0.620,15.23,"1a","Chart","",""
30/06/1958 00:00,0.860,33.90,"1a","Chart","",""
02/07/1958 00:00,2.010,118.39,"1c","Chart","",""
22/08/1958 00:00,1.070,52.92,"1b","Chart","",""
03/09/1958 00:00,0.730,23.20,"1a","Chart","",""
03/10/1958 00:00,0.840,32.17,"1a","Chart","",""
01/11/1958 00:00,0.470,6.29,"1a","Chart","",""
12/12/1958 00:00,0.910,38.35,"1a","Chart","",""
03/02/1959 00:00,0.410,3.49,"1a","Chart","",""
06/03/1959 00:00,0.550,10.75,"1a","Chart","",""
01/05/1959 00:00,0.750,24.76,"1a","Chart","",""
05/06/1959 00:00,0.610,14.56,"1a","Chart","",""
23/07/1959 00:00,0.440,4.83,"1a","Chart","Decimal point error - changed from 44.0m stage! CRW (JBA) 04/09/2003.",""
13/08/1959 00:00,0.730,23.20,"1a","Chart","",""
01/09/1959 00:00,0.350,1.29,"1a","Chart","",""
