"NAME:","Ure at Westwick Lock"
"NUMBER:","27007"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
19/10/1955 00:00,1.160,39.37,"1c","Chart","",""
11/11/1955 00:00,1.540,61.25,"1c","Chart","",""
23/12/1955 00:00,2.470,127.99,"1c","Chart","",""
20/01/1956 00:00,2.330,116.86,"1c","Chart","",""
29/02/1956 00:00,2.680,145.37,"1c","Chart","",""
02/03/1956 00:00,2.810,156.51,"1c","Chart","",""
13/04/1956 00:00,0.820,20.84,"1b","Chart","",""
09/05/1956 00:00,1.340,49.30,"1c","Chart","",""
10/06/1956 00:00,0.590,8.07,"1a","Chart","",""
04/07/1956 00:00,1.990,91.37,"1c","Chart","",""
01/08/1956 00:00,2.680,145.37,"1c","Chart","",""
03/09/1956 00:00,2.030,94.25,"1c","Chart","",""
20/10/1956 00:00,2.140,102.33,"1c","Chart","",""
27/11/1956 00:00,0.910,26.85,"1b","Chart","",""
04/12/1956 00:00,2.330,116.86,"1c","Chart","",""
05/01/1957 00:00,3.110,183.35,"1c","Chart","",""
07/02/1957 00:00,2.290,113.74,"1c","Chart","",""
20/03/1957 00:00,1.560,62.50,"1c","Chart","",""
01/04/1957 00:00,0.550,6.36,"1a","Chart","",""
15/05/1957 00:00,1.240,43.68,"1c","Chart","",""
30/06/1957 00:00,0.540,5.97,"1a","Chart","",""
13/07/1957 00:00,1.490,58.18,"1c","Chart","",""
25/08/1957 00:00,2.960,169.74,"1c","Chart","",""
23/09/1957 00:00,2.560,135.34,"1c","Chart","",""
30/10/1957 00:00,3.310,202.07,"1c","Chart","",""
01/11/1957 00:00,2.370,120.00,"1c","Chart","",""
08/12/1957 00:00,2.620,140.32,"1c","Chart","",""
05/01/1958 00:00,3.280,199.22,"1c","Chart","",""
11/02/1958 00:00,4.140,284.76,"1d","Chart","",""
29/03/1958 00:00,2.240,109.89,"1c","Chart","",""
26/04/1958 00:00,0.910,26.85,"1b","Chart","",""
14/05/1958 00:00,1.980,90.65,"1c","Chart","",""
23/06/1958 00:00,1.620,66.29,"1c","Chart","",""
02/07/1958 00:00,1.490,58.18,"1c","Chart","",""
13/08/1958 00:00,1.300,47.02,"1c","Chart","",""
24/09/1958 00:00,2.320,116.07,"1c","Chart","",""
04/10/1958 00:00,2.650,142.84,"1c","Chart","",""
13/11/1958 00:00,0.940,28.36,"1c","Chart","",""
19/12/1958 00:00,2.650,142.84,"1c","Chart","",""
01/01/1959 00:00,3.480,218.49,"1c","Chart","",""
01/02/1959 00:00,0.730,15.71,"1b","Chart","",""
07/03/1959 00:00,1.400,52.79,"1c","Chart","",""
16/04/1959 00:00,1.460,56.36,"1c","Chart","",""
12/05/1959 00:00,1.160,39.37,"1c","Chart","",""
29/06/1959 00:00,0.550,6.36,"1a","Chart","",""
17/07/1959 00:00,0.980,30.26,"1c","Chart","",""
01/08/1959 00:00,0.400,2.15,"1a","Chart","",""
23/09/1959 00:00,0.450,3.21,"1a","Chart","",""
27/10/1959 00:00,3.170,188.90,"1c","Chart","",""
26/11/1959 00:00,2.690,146.21,"1c","Chart","",""
27/12/1959 00:00,4.040,274.98,"1d","Chart","",""
31/01/1960 00:00,3.200,191.69,"1c","Chart","",""
27/02/1960 00:00,3.630,233.36,"1c","Chart","",""
03/03/1960 00:00,1.730,73.44,"1c","Chart","",""
09/04/1960 00:00,1.790,77.45,"1c","Chart","",""
14/05/1960 00:00,0.880,24.75,"1b","Chart","",""
09/06/1960 00:00,0.840,22.10,"1b","Chart","",""
14/07/1960 00:00,1.950,88.52,"1c","Chart","",""
28/08/1960 00:00,1.070,34.71,"1c","Chart","",""
17/09/1960 00:00,1.960,89.23,"1c","Chart","",""
09/10/1960 00:00,2.400,122.38,"1c","Chart","",""
02/11/1960 00:00,4.290,299.63,"1d","Chart","",""
04/12/1960 00:00,4.000,271.09,"1d","Chart","",""
26/12/1960 00:00,2.930,167.07,"1c","Chart","",""
13/01/1961 00:00,3.040,176.95,"1c","Chart","",""
27/01/1961 00:00,3.120,184.27,"1c","Chart","",""
29/01/1961 00:00,3.600,230.36,"1c","Chart","",""
09/02/1961 00:00,2.990,172.43,"1c","Chart","",""
02/03/1961 00:00,1.210,42.05,"1c","Chart","",""
05/04/1961 00:00,1.870,82.92,"1c","Chart","",""
05/05/1961 00:00,2.940,167.96,"1c","Chart","",""
18/06/1961 00:00,1.400,52.79,"1c","Chart","",""
13/07/1961 00:00,1.650,68.21,"1c","Chart","",""
21/08/1961 00:00,1.960,89.23,"1c","Chart","",""
15/09/1961 00:00,1.520,60.01,"1c","Chart","",""
24/10/1961 00:00,2.410,123.17,"1c","Chart","",""
30/11/1961 00:00,2.770,153.05,"1c","Chart","",""
05/12/1961 00:00,3.290,200.17,"1c","Chart","",""
11/12/1961 00:00,3.960,268.49,"1c","Chart","",""
11/01/1962 00:00,2.770,153.05,"1c","Chart","",""
15/01/1962 00:00,3.050,177.86,"1c","Chart","",""
12/02/1962 00:00,3.680,238.39,"1c","Chart","",""
26/03/1962 00:00,1.240,43.68,"1c","Chart","",""
03/04/1962 00:00,3.960,268.49,"1c","Chart","",""
19/05/1962 00:00,1.920,86.40,"1c","Chart","",""
21/06/1962 00:00,0.820,20.84,"1b","Chart","",""
22/07/1962 00:00,1.160,39.37,"1c","Chart","",""
11/08/1962 00:00,3.040,176.95,"1c","Chart","",""
26/08/1962 00:00,2.810,156.51,"1c","Chart","",""
30/09/1962 00:00,2.520,132.06,"1c","Chart","",""
28/10/1962 00:00,1.340,49.30,"1c","Chart","",""
01/11/1962 00:00,2.130,101.59,"1c","Chart","",""
09/12/1962 00:00,2.540,133.69,"1c","Chart","",""
01/01/1963 00:00,0.610,9.05,"1a","Chart","",""
01/02/1963 00:00,0.610,9.05,"1a","Chart","",""
06/03/1963 00:00,4.660,337.26,"1d","Chart","",""
15/04/1963 00:00,2.620,140.32,"1c","Chart","",""
21/05/1963 00:00,1.400,52.79,"1c","Chart","",""
26/06/1963 00:00,2.130,101.59,"1c","Chart","",""
03/07/1963 00:00,2.260,111.43,"1c","Chart","",""
27/08/1963 00:00,1.310,47.59,"1c","Chart","",""
26/09/1963 00:00,2.590,137.82,"1c","Chart","",""
03/10/1963 00:00,2.010,92.80,"1c","Chart","",""
10/11/1963 00:00,2.870,161.76,"1c","Chart","",""
12/11/1963 00:00,3.490,219.47,"1c","Chart","",""
18/11/1963 00:00,3.890,259.95,"1c","Chart","",""
21/11/1963 00:00,4.240,294.65,"1d","Chart","",""
26/11/1963 00:00,2.910,165.29,"1c","Chart","",""
31/12/1963 00:00,2.740,150.47,"1c","Chart","",""
30/01/1964 00:00,1.530,60.63,"1c","Chart","",""
24/02/1964 00:00,1.610,65.65,"1c","Chart","",""
14/03/1964 00:00,2.930,167.07,"1c","Chart","",""
25/03/1964 00:00,2.730,149.62,"1c","Chart","",""
20/04/1964 00:00,1.260,44.79,"1c","Chart","",""
11/05/1964 00:00,1.530,60.63,"1c","Chart","",""
05/06/1964 00:00,0.860,23.40,"1b","Chart","",""
08/07/1964 00:00,1.680,70.15,"1c","Chart","",""
10/08/1964 00:00,1.100,36.24,"1c","Chart","",""
17/09/1964 00:00,0.980,30.26,"1c","Chart","",""
07/10/1964 00:00,2.070,97.16,"1c","Chart","",""
13/11/1964 00:00,1.540,61.25,"1c","Chart","",""
09/12/1964 00:00,4.190,289.70,"1d","Chart","",""
12/12/1964 00:00,3.810,251.66,"1c","Chart","",""
13/12/1964 00:00,3.720,242.45,"1c","Chart","",""
11/01/1965 00:00,3.760,246.53,"1c","Chart","",""
16/01/1965 00:00,3.040,176.95,"1c","Chart","",""
06/02/1965 00:00,0.940,28.36,"1c","Chart","",""
27/03/1965 00:00,2.340,117.64,"1c","Chart","",""
12/04/1965 00:00,1.480,57.57,"1c","Chart","",""
09/05/1965 00:00,1.040,33.20,"1c","Chart","",""
25/06/1965 00:00,1.520,60.01,"1c","Chart","",""
29/07/1965 00:00,1.290,46.46,"1c","Chart","",""
18/08/1965 00:00,1.770,76.10,"1c","Chart","",""
26/09/1965 00:00,3.350,205.89,"1c","Chart","",""
31/10/1965 00:00,2.930,167.07,"1c","Chart","",""
01/11/1965 00:00,3.100,182.43,"1c","Chart","",""
09/12/1965 00:00,4.660,337.26,"1d","Chart","",""
18/12/1965 00:00,3.470,217.51,"1c","Chart","",""
28/01/1966 00:00,2.230,109.13,"1c","Chart","",""
05/02/1966 00:00,3.440,214.59,"1c","Chart","",""
08/02/1966 00:00,3.440,214.59,"1c","Chart","",""
20/02/1966 00:00,3.140,186.12,"1c","Chart","",""
24/02/1966 00:00,2.840,159.13,"1c","Chart","",""
25/02/1966 00:00,3.680,238.39,"1c","Chart","",""
27/03/1966 00:00,1.680,70.15,"1c","Chart","",""
09/04/1966 00:00,3.060,178.77,"1c","Chart","",""
23/05/1966 00:00,2.880,162.64,"1c","Chart","",""
05/06/1966 00:00,1.470,56.96,"1c","Chart","",""
30/07/1966 00:00,1.300,47.02,"1c","Chart","",""
13/08/1966 00:00,2.470,127.99,"1c","Chart","",""
04/09/1966 00:00,1.940,87.81,"1c","Chart","",""
04/10/1966 00:00,2.730,149.62,"1c","Chart","",""
30/11/1966 00:00,2.770,153.05,"1c","Chart","",""
01/12/1966 00:00,3.280,199.22,"1c","Chart","",""
18/12/1966 00:00,2.870,161.76,"1c","Chart","",""
25/01/1967 00:00,1.650,68.21,"1c","Chart","",""
23/02/1967 00:00,3.700,240.42,"1c","Chart","",""
28/02/1967 00:00,4.560,326.96,"1d","Chart","",""
02/03/1967 00:00,1.960,89.23,"1c","Chart","",""
02/04/1967 00:00,1.260,44.79,"1c","Chart","",""
15/05/1967 00:00,2.870,161.76,"1c","Chart","",""
