"NAME:","Hodge Beck at Bransdale Weir"
"NUMBER:","27010"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
03/06/1936 00:00,,5.26,"1a","FEH","",""
06/08/1936 00:00,,5.52,"1a","FEH","",""
25/09/1936 00:00,,3.37,"1a","FEH","",""
30/10/1936 00:00,,0.95,"1a","FEH","",""
12/11/1936 00:00,,7.36,"1a","FEH","",""
14/12/1936 00:00,,12.62,"1a","FEH","",""
24/01/1937 00:00,,5.73,"1a","FEH","",""
01/02/1937 00:00,,5.89,"1a","FEH","",""
18/03/1937 00:00,,6.84,"1a","FEH","",""
19/03/1937 00:00,,6.15,"1a","FEH","",""
17/04/1937 00:00,,4.26,"1a","FEH","",""
21/05/1937 00:00,,1.68,"1a","FEH","",""
14/06/1937 00:00,,1.95,"1a","FEH","",""
24/07/1937 00:00,,0.24,"1a","FEH","",""
15/08/1937 00:00,,0.44,"1a","FEH","",""
18/09/1937 00:00,,0.74,"1a","FEH","",""
25/10/1937 00:00,,2.21,"1a","FEH","",""
18/11/1937 00:00,,2.68,"1a","FEH","",""
02/12/1937 00:00,,5.42,"1a","FEH","",""
23/12/1937 00:00,,5.63,"1a","FEH","",""
24/12/1937 00:00,,7.57,"1a","FEH","",""
15/01/1938 00:00,,1.79,"1a","FEH","",""
27/02/1938 00:00,,0.67,"1a","FEH","",""
01/03/1938 00:00,,0.51,"1a","FEH","",""
01/04/1938 00:00,,0.09,"1a","FEH","",""
03/10/1938 00:00,,11.62,"1a","FEH","",""
09/12/1938 00:00,,5.37,"1a","FEH","",""
16/12/1938 00:00,,6.00,"1a","FEH","",""
08/01/1939 00:00,,8.10,"1a","FEH","",""
15/01/1939 00:00,,5.79,"1a","FEH","",""
16/05/1939 00:00,,7.26,"1a","FEH","",""
05/08/1939 00:00,,5.58,"1a","FEH","",""
05/08/1939 00:01,,7.94,"1a","FEH","",""
09/10/1939 00:00,,7.00,"1a","FEH","",""
12/10/1939 00:00,,9.68,"1a","FEH","",""
13/10/1939 00:00,,8.36,"1a","FEH","",""
05/11/1939 00:00,,6.26,"1a","FEH","",""
17/07/1940 00:00,,19.46,"1a","FEH","",""
08/02/1941 00:00,,8.00,"1a","FEH","",""
28/02/1941 00:00,,8.73,"1a","FEH","",""
01/03/1941 00:00,,7.31,"1a","FEH","",""
04/04/1941 00:00,,6.10,"1a","FEH","",""
11/11/1941 00:00,,5.68,"1a","FEH","",""
15/03/1942 00:00,,5.79,"1a","FEH","",""
16/03/1942 00:00,,10.99,"1a","FEH","",""
17/07/1942 00:00,,6.15,"1a","FEH","",""
17/07/1942 00:01,,9.36,"1a","FEH","",""
18/07/1942 00:00,,8.47,"1a","FEH","",""
21/09/1942 00:00,,5.68,"1a","FEH","",""
25/10/1942 00:00,,6.94,"1a","FEH","",""
01/01/1943 00:00,,5.26,"1a","FEH","",""
12/01/1943 00:00,,5.47,"1a","FEH","",""
29/06/1944 00:00,,5.52,"1a","FEH","",""
19/08/1944 00:00,,5.79,"1a","FEH","",""
02/09/1944 00:00,,6.84,"1a","FEH","",""
07/09/1944 00:00,,10.26,"1a","FEH","",""
08/09/1944 00:00,,10.52,"1a","FEH","",""
20/10/1944 00:00,,9.73,"1a","FEH","",""
16/12/1944 00:00,,9.47,"1a","FEH","",""
19/01/1945 00:00,,10.26,"1a","FEH","",""
04/02/1945 00:00,,6.21,"1a","FEH","",""
29/08/1945 00:00,,7.89,"1a","FEH","",""
23/06/1946 00:00,,31.03,"1a","FEH","",""
11/12/1946 00:00,,9.84,"1a","FEH","",""
11/01/1947 00:00,,9.42,"1a","FEH","",""
19/03/1947 00:00,,6.63,"1a","FEH","",""
21/03/1947 00:00,,10.26,"1a","FEH","",""
22/03/1947 00:00,,9.15,"1a","FEH","",""
23/03/1947 00:00,,7.73,"1a","FEH","",""
05/01/1948 00:00,,5.37,"1a","FEH","",""
07/01/1948 00:00,,6.84,"1a","FEH","",""
11/01/1948 00:00,,14.04,"1a","FEH","",""
02/06/1948 00:00,,14.73,"1a","FEH","",""
03/06/1948 00:00,,7.78,"1a","FEH","",""
04/06/1948 00:00,,5.52,"1a","FEH","",""
11/12/1948 00:00,,10.68,"1a","FEH","",""
13/12/1949 00:00,,6.05,"1a","FEH","",""
03/02/1950 00:00,,5.47,"1a","FEH","",""
04/02/1950 00:00,,5.26,"1a","FEH","",""
22/07/1950 00:00,,12.73,"1a","FEH","",""
28/11/1950 00:00,,5.47,"1a","FEH","",""
17/01/1951 00:00,,8.94,"1a","FEH","",""
17/01/1951 00:01,,6.10,"1a","FEH","",""
05/05/1951 00:00,,6.58,"1a","FEH","",""
12/08/1951 00:00,,7.36,"1a","FEH","",""
21/10/1951 00:00,,6.79,"1a","FEH","",""
07/03/1952 00:00,,9.73,"1a","FEH","",""
28/09/1952 00:00,,5.79,"1a","FEH","",""
01/10/1952 00:00,,6.84,"1a","FEH","",""
01/10/1952 00:01,,5.37,"1a","FEH","",""
02/10/1952 00:00,,11.20,"1a","FEH","",""
17/02/1953 00:00,,5.79,"1a","FEH","",""
02/06/1953 00:00,,10.15,"1a","FEH","",""
03/06/1953 00:00,,8.94,"1a","FEH","",""
28/05/1954 00:00,,11.57,"1a","FEH","",""
19/08/1954 00:00,,7.10,"1a","FEH","",""
19/08/1954 00:01,,5.68,"1a","FEH","",""
20/08/1954 00:00,,9.15,"1a","FEH","",""
20/08/1954 00:01,,10.26,"1a","FEH","",""
20/08/1954 00:02,,13.73,"1a","FEH","",""
23/08/1954 00:00,,8.00,"1a","FEH","",""
24/10/1954 00:00,,6.73,"1a","FEH","",""
26/10/1954 00:00,,7.57,"1a","FEH","",""
05/11/1954 00:00,,6.10,"1a","FEH","",""
24/11/1954 00:00,,8.63,"1a","FEH","",""
26/11/1954 00:00,,7.00,"1a","FEH","",""
29/01/1956 00:00,,5.89,"1a","FEH","",""
08/06/1956 00:00,,7.68,"1a","FEH","",""
01/08/1956 00:00,,5.26,"1a","FEH","",""
05/08/1956 00:00,,6.63,"1a","FEH","",""
18/08/1956 00:00,,11.31,"1a","FEH","",""
18/08/1956 00:01,,10.26,"1a","FEH","",""
23/08/1956 00:00,,6.84,"1a","FEH","",""
27/08/1956 00:00,,7.31,"1a","FEH","",""
15/08/1957 00:00,,6.42,"1a","FEH","",""
28/03/1958 00:00,,4.63,"1a","FEH","",""
19/12/1958 00:00,,5.52,"1a","FEH","",""
06/12/1959 00:00,,6.15,"1a","FEH","",""
26/02/1960 00:00,,10.26,"1a","FEH","",""
09/10/1960 00:00,,14.25,"1a","FEH","",""
01/11/1960 00:00,,6.05,"1a","FEH","",""
10/11/1960 00:00,,5.84,"1a","FEH","",""
20/12/1960 00:00,,5.26,"1a","FEH","",""
06/01/1961 00:00,,8.42,"1a","FEH","",""
29/01/1961 00:00,,6.15,"1a","FEH","",""
20/10/1961 00:00,,5.58,"1a","FEH","",""
10/01/1962 00:00,,7.05,"1a","FEH","",""
07/08/1962 00:00,,6.63,"1a","FEH","",""
29/09/1962 00:00,,7.42,"1a","FEH","",""
14/12/1962 00:00,,6.94,"1a","FEH","",""
06/03/1963 00:00,,5.37,"1a","FEH","",""
07/03/1963 00:00,,9.20,"1a","FEH","",""
09/03/1963 00:00,,5.79,"1a","FEH","",""
25/03/1964 00:00,,6.10,"1a","FEH","",""
29/09/1965 00:00,,6.10,"1a","FEH","",""
30/09/1965 00:00,,5.37,"1a","FEH","",""
09/12/1965 00:00,,8.73,"1a","FEH","",""
20/02/1966 00:00,,8.00,"1a","FEH","",""
20/02/1966 00:01,,6.05,"1a","FEH","",""
25/02/1966 00:00,,6.79,"1a","FEH","",""
27/02/1967 00:00,,5.52,"1a","FEH","",""
09/03/1967 00:00,,5.31,"1a","FEH","",""
14/05/1967 00:00,,5.26,"1a","FEH","",""
04/11/1967 00:00,,11.41,"1a","FEH","",""
05/11/1967 00:00,,17.36,"1a","FEH","",""
14/01/1968 00:00,,6.36,"1a","FEH","",""
16/07/1968 00:00,,7.84,"1a","FEH","",""
20/09/1968 00:00,,9.94,"1a","FEH","",""
31/10/1968 00:00,,6.05,"1a","FEH","",""
01/11/1968 00:00,,10.05,"1a","FEH","",""
02/11/1968 00:00,,16.83,"1a","FEH","",""
20/01/1969 00:00,,5.37,"1a","FEH","",""
21/12/1969 00:00,,6.79,"1a","FEH","",""
07/01/1971 00:00,,7.63,"1a","FEH","",""
31/07/1971 00:00,,6.58,"1a","FEH","",""
25/11/1971 00:00,,7.31,"1a","FEH","",""
27/01/1972 00:00,,6.31,"1a","FEH","",""
03/02/1972 00:00,,9.42,"1a","FEH","",""
11/05/1972 00:00,,5.31,"1a","FEH","",""
16/07/1973 00:00,,7.37,"1a","FEH","",""
08/01/1974 00:00,,8.68,"1a","FEH","",""
10/02/1974 00:00,,6.84,"1a","FEH","",""
04/10/1974 00:00,,8.26,"1a","FEH","",""
29/10/1974 00:00,,6.36,"1a","FEH","",""
14/11/1974 00:00,,5.42,"1a","FEH","",""
02/01/1976 00:00,,5.79,"1a","FEH","",""
12/09/1976 00:00,,12.99,"1a","FEH","",""
02/10/1976 00:00,,6.21,"1a","FEH","",""
15/10/1976 00:00,,6.10,"1a","FEH","",""
26/01/1977 00:00,,5.26,"1a","FEH","",""
03/02/1977 00:00,,5.58,"1a","FEH","",""
10/12/1977 00:00,,6.31,"1a","FEH","",""
