"NAME:","Aire at Armley"
"NUMBER:","27028"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
05/05/1961 00:00,2.100,81.96,"6c","Chart","","AMAX ONLY"
05/12/1961 00:00,2.438,104.23,"6c","CEH Files","",""
11/12/1961 00:00,2.620,116.95,"6c","Chart","",""
12/02/1962 00:00,2.600,115.53,"6c","Chart","",""
06/03/1963 00:00,2.480,107.12,"6c","Chart","",""
21/11/1963 00:00,2.780,128.52,"6c","Chart","",""
09/12/1964 00:00,2.604,115.81,"6c","CEH Files","",""
13/12/1964 00:00,2.820,131.48,"6c","Chart","",""
25/09/1965 00:00,2.490,107.82,"6c","Chart","",""
25/11/1965 00:00,2.920,138.95,"6c","Chart","",""
03/12/1965 00:00,3.023,146.79,"6c","CEH Files","",""
09/12/1965 00:00,3.200,160.60,"6c","Chart","",""
17/12/1965 00:00,2.616,116.66,"6c","CEH Files","",""
08/02/1966 00:00,2.790,129.26,"6c","Chart","",""
20/02/1966 00:00,2.794,129.55,"6c","CEH Files","",""
23/02/1966 00:00,2.667,120.31,"6c","CEH Files","",""
25/02/1966 00:00,2.464,106.02,"6c","CEH Files","",""
21/08/1966 00:00,2.510,109.20,"6c","Chart","",""
30/11/1966 00:00,2.490,107.82,"6c","Chart","",""
01/12/1966 00:00,2.489,107.75,"6c","CEH Files","",""
19/12/1966 00:00,2.390,100.96,"6c","Chart","",""
22/02/1967 00:00,2.438,104.23,"6c","CEH Files","",""
27/02/1967 00:00,2.930,139.70,"6c","Chart","",""
18/08/1967 00:00,2.440,104.37,"6c","Chart","",""
17/10/1967 00:00,3.660,198.36,"6c","Chart","",""
27/12/1967 00:00,2.934,140.01,"6c","CEH Files","",""
19/03/1968 00:00,3.070,150.42,"6c","Chart","",""
24/03/1968 00:00,2.692,122.11,"6c","CEH Files","",""
02/07/1968 00:00,3.150,156.65,"6c","Chart","",""
21/08/1968 00:00,3.280,166.97,"6c","Chart","",""
12/09/1968 00:00,2.616,116.66,"6c","CEH Files","",""
21/09/1968 00:00,3.277,166.73,"6c","CEH Files","",""
02/11/1968 00:00,2.620,116.95,"6c","Chart","",""
31/03/1969 00:00,3.150,156.65,"6c","Chart","",""
01/04/1969 00:00,2.410,102.32,"6c","Chart","",""
11/11/1969 00:00,2.740,125.60,"6c","Chart","",""
21/02/1970 00:00,2.640,118.38,"6c","Chart","",""
18/04/1970 00:00,2.985,143.88,"6c","CEH Files","",""
17/11/1970 00:00,2.480,107.12,"6c","Chart","",""
19/10/1971 00:00,2.600,115.53,"6c","Chart","",""
01/12/1972 20:00,2.398,101.50,"6c","Digital Archive","",""
05/12/1972 19:15,2.684,121.54,"6c","Digital Archive","",""
16/07/1973 11:15,2.637,118.16,"6c","Digital Archive","",""
15/01/1974 12:00,2.523,110.11,"6c","Digital Archive","",""
11/02/1974 19:30,2.658,119.66,"6c","Digital Archive","",""
25/11/1974 07:30,2.595,115.17,"6c","Digital Archive","",""
11/12/1974 06:45,2.428,103.55,"6c","Digital Archive","",""
22/01/1975 18:00,2.859,134.37,"6c","Digital Archive","",""
02/12/1975 10:45,2.390,100.96,"6c","Digital Archive","",""
02/01/1976 22:30,2.971,142.81,"6c","Digital Archive","",""
02/10/1976 07:00,2.861,134.52,"6c","Digital Archive","",""
28/01/1978 18:15,2.644,118.66,"6c","Digital Archive","",""
28/12/1978 19:15,3.323,170.43,"F3","Digital Archive","",""
07/01/1979 20:00,2.412,102.46,"F3","Digital Archive","",""
09/03/1979 06:45,2.747,126.11,"F3","Digital Archive","",""
08/04/1979 18:00,2.701,122.76,"F3","Digital Archive","",""
26/11/1979 14:00,2.391,101.03,"F3","Digital Archive","",""
05/12/1979 12:30,2.521,109.97,"F3","Digital Archive","",""
27/12/1979 20:30,2.517,109.69,"F3","Digital Archive","",""
22/01/1980 22:15,2.476,106.85,"F3","Digital Archive","",""
08/02/1980 18:15,2.577,113.90,"F3","Digital Archive","",""
18/03/1980 15:45,2.819,131.40,"F3","Digital Archive","",""
23/10/1980 17:15,2.935,140.08,"F3","Digital Archive","",""
27/10/1980 23:45,3.084,151.50,"F3","Digital Archive","",""
22/11/1980 10:30,2.401,101.71,"F3","Digital Archive","",""
17/01/1981 15:00,2.408,102.18,"F3","Digital Archive","",""
03/02/1981 07:00,2.779,128.45,"F3","Digital Archive","",""
22/03/1981 11:15,2.948,141.07,"F3","Digital Archive","",""
27/11/1981 10:15,2.570,113.41,"F3","Digital Archive","",""
03/01/1982 09:30,3.228,162.82,"F3","Digital Archive","",""
15/03/1982 06:45,3.078,151.04,"F3","Digital Archive","",""
06/06/1982 16:45,2.433,103.89,"F3","Digital Archive","",""
21/11/1982 19:00,2.642,118.52,"F3","Digital Archive","",""
19/12/1982 20:15,2.801,130.07,"F3","Digital Archive","",""
01/02/1983 03:00,2.767,127.57,"F3","Digital Archive","",""
27/04/1983 02:15,2.562,112.84,"F3","Digital Archive","",""
09/12/1983 15:00,3.243,164.01,"F3","Digital Archive","",""
13/01/1984 09:00,2.672,120.67,"F3","Digital Archive","",""
17/01/1984 01:00,2.627,117.45,"F3","Digital Archive","",""
02/02/1984 15:45,2.783,128.75,"F3","Digital Archive","",""
06/02/1984 10:15,2.683,121.46,"F3","Digital Archive","",""
03/11/1984 20:45,3.280,166.97,"F3","Digital Archive","",""
11/04/1985 20:30,2.637,118.16,"F3","Digital Archive","",""
22/12/1985 03:00,2.876,135.64,"F3","Digital Archive","",""
15/04/1986 18:00,3.225,162.58,"F3","Digital Archive","",""
26/08/1986 11:30,3.214,161.71,"H3","Digital Archive","",""
28/03/1987 08:00,2.388,100.89,"F3","Digital Archive","","AMAX ONLY"
16/10/1987 14:15,2.392,101.10,"G4","Digital Archive","",""
13/11/1987 07:45,2.391,101.03,"G4","Digital Archive","",""
02/01/1988 12:00,2.705,123.05,"F3","Digital Archive","",""
24/01/1988 15:45,2.762,127.20,"F3","Digital Archive","",""
02/02/1988 02:00,2.573,113.62,"F3","Digital Archive","",""
10/02/1988 07:30,2.601,115.60,"F3","Digital Archive","",""
24/03/1989 09:30,2.771,127.86,"F3","Digital Archive","",""
25/01/1990 20:00,2.678,121.10,"F3","Digital Archive","",""
30/01/1990 00:45,2.769,127.72,"F3","Digital Archive","",""
08/02/1990 09:30,2.587,114.61,"F3","Digital Archive","",""
