"NAME:","Colne at Colne Bridge"
"NUMBER:","27031"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
31/01/1964 00:00,0.620,9.42,"","Chart","",""
01/02/1964 00:00,0.560,6.40,"","Chart","",""
14/03/1964 00:00,0.900,28.61,"","Chart","",""
19/04/1964 00:00,0.610,8.88,"","Chart","",""
30/05/1964 00:00,1.190,55.84,"","Chart","",""
02/06/1964 00:00,0.670,12.26,"","Chart","",""
21/07/1964 00:00,0.890,27.79,"","Chart","",""
18/08/1964 00:00,0.750,17.35,"","Chart","",""
16/09/1964 00:00,0.500,3.84,"","Chart","",""
09/10/1964 00:00,0.700,14.09,"","Chart","",""
24/11/1964 00:00,0.660,11.67,"","Chart","",""
12/12/1964 00:00,1.680,115.82,"","Chart","",""
16/01/1965 00:00,1.330,71.29,"","Chart","",""
01/02/1965 00:00,0.480,3.10,"","Chart","",""
23/03/1965 00:00,1.050,41.85,"","Chart","",""
08/05/1965 00:00,0.790,20.15,"","Chart","",""
22/06/1965 00:00,0.600,8.36,"","Chart","",""
13/07/1965 00:00,1.170,53.75,"","Chart","",""
24/08/1965 00:00,0.740,16.68,"","Chart","",""
08/09/1965 00:00,1.170,53.75,"","Chart","",""
01/10/1965 00:00,1.280,65.61,"","Chart","",""
25/11/1965 00:00,1.490,90.64,"","Chart","",""
09/12/1965 00:00,2.060,172.80,"","Chart","",""
01/01/1966 00:00,0.850,24.62,"","Chart","",""
08/02/1966 09:45,1.750,117.74,"3c","F1102.SG.HiUKPOT","",""
20/02/1966 11:00,1.314,69.46,"3b","F1102.SG.HiUKPOT","",""
22/02/1966 22:00,1.137,50.36,"3b","F1102.SG.HiUKPOT","",""
06/04/1966 06:30,1.158,52.50,"3b","F1102.SG.HiUKPOT","",""
09/04/1966 20:15,1.103,46.96,"3b","F1102.SG.HiUKPOT","",""
21/08/1966 14:45,1.250,62.29,"3b","F1102.SG.HiUKPOT","",""
15/09/1966 00:00,1.109,47.55,"3b","F1102.SG.HiUKPOT","",""
04/10/1966 15:00,1.280,65.61,"3b","F1102.SG.HiUKPOT","",""
14/10/1966 07:30,1.228,59.89,"3b","F1102.SG.HiUKPOT","",""
15/11/1966 17:00,1.170,53.74,"3b","F1102.SG.HiUKPOT","",""
30/11/1966 03:30,1.454,86.14,"3b","F1102.SG.HiUKPOT","",""
02/12/1966 04:00,1.308,68.77,"3b","F1102.SG.HiUKPOT","",""
20/12/1966 00:45,1.350,73.62,"3b","F1102.SG.HiUKPOT","",""
23/02/1967 00:45,1.109,47.55,"3b","F1102.SG.HiUKPOT","",""
27/02/1967 21:45,1.622,107.47,"3c","F1102.SG.HiUKPOT","",""
15/05/1967 05:45,1.359,74.67,"3b","F1102.SG.HiUKPOT","",""
03/10/1967 20:45,1.268,64.27,"3b","F1102.SG.HiUKPOT","",""
17/10/1967 02:15,2.073,143.21,"3c","F1102.SG.HiUKPOT","",""
05/11/1967 10:00,1.298,67.64,"3b","F1102.SG.HiUKPOT","",""
14/01/1968 06:00,1.308,68.77,"3b","F1102.SG.HiUKPOT","",""
17/01/1968 10:00,1.378,76.92,"3b","F1102.SG.HiUKPOT","",""
20/03/1968 07:15,1.576,101.75,"3b","F1102.SG.HiUKPOT","",""
02/07/1968 12:15,1.271,64.61,"3b","F1102.SG.HiUKPOT","",""
14/07/1968 20:45,1.103,46.96,"3b","F1102.SG.HiUKPOT","",""
21/09/1968 06:45,1.497,91.53,"3b","F1102.SG.HiUKPOT","",""
23/09/1968 19:15,1.939,132.72,"3c","F1102.SG.HiUKPOT","",""
02/11/1968 11:30,1.576,101.75,"3b","F1102.SG.HiUKPOT","",""
27/11/1968 05:45,1.253,62.62,"3b","F1102.SG.HiUKPOT","",""
21/01/1969 08:45,1.143,50.97,"3b","F1102.SG.HiUKPOT","",""
31/03/1969 19:30,1.503,92.29,"3b","F1102.SG.HiUKPOT","",""
11/04/1969 14:00,1.308,68.77,"3b","F1102.SG.HiUKPOT","",""
11/11/1969 21:00,1.201,57.00,"3b","F1102.SG.HiUKPOT","",""
22/02/1970 00:30,1.320,70.14,"3b","F1102.SG.HiUKPOT","",""
13/04/1970 03:15,1.856,126.17,"3c","F1102.SG.HiUKPOT","",""
18/11/1970 03:45,1.170,53.74,"3b","F1102.SG.HiUKPOT","",""
19/10/1971 11:00,1.533,96.14,"3b","F1102.SG.HiUKPOT","",""
17/07/1973 01:45,1.380,77.15,"3b","F1102.SG.HiUKPOT","",""
07/09/1974 18:30,1.081,44.81,"3b","F1102.SG.WYearMax","","AMAX ONLY"
25/11/1974 04:15,1.174,54.16,"3b","F1102.SG.HiUKPOT","",""
22/01/1975 16:15,1.568,100.70,"3b","F1102.SG.HiUKPOT","",""
01/05/1975 13:45,1.320,70.14,"3b","F1102.SG.HiUKPOT","",""
02/01/1976 19:45,1.296,67.41,"3b","F1102.SG.HiUKPOT","",""
02/10/1976 03:15,0.957,33.41,"3b","F1102.SG.WYearMax","","AMAX ONLY"
23/11/1977 21:15,1.470,88.13,"3b","F1102.SG.HiUKPOT","",""
28/12/1978 18:00,1.674,111.66,"3c","F1102.SG.HiUKPOT","",""
02/03/1979 21:45,1.105,47.16,"3b","F1102.SG.HiUKPOT","",""
09/03/1979 04:15,1.453,86.02,"3b","F1102.SG.HiUKPOT","",""
25/03/1979 19:00,1.268,64.27,"3b","F1102.SG.HiUKPOT","",""
08/04/1979 18:00,1.678,111.98,"3c","F1102.SG.HiUKPOT","",""
26/11/1979 13:45,1.231,60.21,"3b","F1102.SG.HiUKPOT","",""
14/12/1979 06:30,1.093,45.98,"3b","F1102.SG.HiUKPOT","",""
05/02/1980 09:15,1.257,63.06,"3b","F1102.SG.HiUKPOT","",""
08/02/1980 09:15,1.207,57.64,"3b","F1102.SG.HiUKPOT","",""
18/03/1980 15:30,1.174,54.16,"3b","F1102.SG.HiUKPOT","",""
22/11/1980 06:45,1.393,78.70,"3b","F1102.SG.HiUKPOT","",""
14/01/1981 15:00,1.126,49.25,"3b","F1102.SG.HiUKPOT","",""
17/01/1981 16:00,1.179,54.68,"3b","F1102.SG.HiUKPOT","",""
03/02/1981 04:00,1.507,92.80,"3b","F1102.SG.HiUKPOT","",""
10/03/1981 12:45,1.095,46.17,"3b","F1102.SG.HiUKPOT","",""
21/03/1981 20:45,1.601,105.07,"3b","F1102.SG.HiUKPOT","",""
23/03/1981 23:30,1.397,79.18,"3b","F1102.SG.HiUKPOT","",""
06/08/1981 08:00,1.107,47.36,"3b","F1102.SG.HiUKPOT","",""
18/11/1981 15:15,1.127,49.35,"3b","F1102.SG.HiUKPOT","",""
27/11/1981 04:45,1.231,60.21,"3b","F1102.SG.HiUKPOT","",""
03/01/1982 05:00,1.483,89.76,"3b","F1102.SG.HiUKPOT","",""
15/03/1982 06:15,1.326,70.83,"3b","F1102.SG.HiUKPOT","",""
25/06/1982 21:30,1.176,54.37,"3b","F1102.SG.HiUKPOT","",""
21/11/1982 19:00,1.187,55.52,"3b","F1102.SG.HiUKPOT","",""
19/12/1982 16:30,1.476,88.88,"3b","F1102.SG.HiUKPOT","",""
04/01/1983 08:45,1.275,65.05,"3b","F1102.SG.HiUKPOT","",""
31/01/1983 23:00,1.411,80.87,"3b","F1102.SG.HiUKPOT","",""
01/06/1983 11:00,1.205,57.42,"3b","F1102.SG.HiUKPOT","",""
10/09/1983 08:00,1.110,47.65,"3b","F1102.SG.HiUKPOT","",""
09/12/1983 14:30,1.728,115.98,"3c","F1102.SG.HiUKPOT","",""
22/12/1983 04:15,1.110,47.65,"3b","F1102.SG.HiUKPOT","",""
01/01/1984 17:15,1.227,59.78,"3b","F1102.SG.HiUKPOT","",""
13/01/1984 09:15,1.176,54.37,"3b","F1102.SG.HiUKPOT","",""
02/02/1984 03:30,1.151,51.79,"3b","F1102.SG.HiUKPOT","",""
06/02/1984 09:30,1.309,68.88,"3b","F1102.SG.HiUKPOT","",""
03/11/1984 18:15,1.290,66.73,"3b","F1102.SG.HiUKPOT","",""
10/01/1986 10:30,1.286,66.28,"3b","F1102.SG.HiUKPOT","",""
19/01/1986 14:45,1.287,66.40,"3b","F1102.SG.HiUKPOT","",""
05/03/1986 05:15,1.138,50.46,"3b","F1102.SG.HiUKPOT","",""
17/04/1986 04:30,1.347,73.27,"3b","F1102.SG.HiUKPOT","",""
26/08/1986 07:45,1.374,76.44,"3b","F1102.SG.HiUKPOT","",""
01/11/1986 07:15,1.229,60.00,"3b","F1102.SG.HiUKPOT","",""
19/11/1986 03:15,1.153,51.99,"3b","F1102.SG.HiUKPOT","",""
26/11/1986 01:00,1.104,47.06,"3b","F1102.SG.HiUKPOT","",""
18/12/1986 20:45,1.212,58.17,"3b","F1102.SG.HiUKPOT","",""
31/12/1986 04:15,1.201,57.00,"3b","F1102.SG.HiUKPOT","",""
07/04/1987 17:15,1.184,55.20,"3b","F1102.SG.HiUKPOT","",""
16/10/1987 13:15,1.160,52.71,"3b","F1102.SG.HiUKPOT","",""
13/11/1987 03:45,1.201,57.00,"3b","F1102.SG.HiUKPOT","",""
