"NAME:","Hebden Beck at Hebden"
"NUMBER:","27032"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
09/12/1965 00:00,,4.47,"2a","FSR list","",""
17/12/1966 00:00,,4.21,"2a","FSR list","",""
01/07/1968 00:00,,5.80,"2a","FSR","Spiked peak?",""
31/03/1969 00:00,,4.84,"2a","FSR list","",""
28/09/1969 21:15,0.411,0.11,"2c","Digital Archive","","AMAX ONLY"
04/11/1969 04:15,0.680,1.21,"2c","Digital Archive","","AMAX ONLY"
22/01/1970 00:00,0.875,2.44,"2c","Digital Archive","",""
10/09/1970 19:30,0.757,1.66,"2c","Digital Archive","",""
25/10/1970 15:15,0.814,2.02,"2c","Digital Archive","",""
30/10/1970 13:30,0.734,1.52,"2c","Digital Archive","",""
31/10/1970 20:00,0.709,1.37,"2c","Digital Archive","",""
17/11/1970 23:45,0.777,1.78,"2c","Digital Archive","",""
12/02/1971 20:30,0.980,3.22,"2c","Digital Archive","",""
04/08/1971 20:45,0.723,1.45,"2c","Digital Archive","",""
19/10/1971 00:45,1.032,3.63,"2c","Digital Archive","",""
21/11/1971 07:15,0.922,2.78,"2c","Digital Archive","",""
26/01/1972 17:45,0.707,1.36,"2c","Digital Archive","",""
30/03/1972 19:30,0.716,1.41,"2c","Digital Archive","",""
26/05/1972 19:30,0.783,1.82,"2c","Digital Archive","",""
09/11/1972 21:45,0.867,2.38,"2c","Digital Archive","",""
01/12/1972 14:15,0.875,2.44,"2c","Digital Archive","",""
05/12/1972 13:00,0.839,2.19,"2c","Digital Archive","",""
12/12/1972 03:00,0.717,1.42,"2c","Digital Archive","",""
26/01/1973 15:45,0.695,1.29,"2c","Digital Archive","",""
19/02/1973 14:30,0.694,1.29,"2c","Digital Archive","",""
04/04/1973 16:45,0.851,2.27,"2c","Digital Archive","",""
16/07/1973 12:15,0.999,3.36,"2c","Digital Archive","",""
09/11/1973 22:30,0.748,1.60,"2c","Digital Archive","",""
08/02/1974 22:00,0.758,1.66,"2c","Digital Archive","",""
15/02/1974 04:30,0.773,1.76,"2c","Digital Archive","",""
03/09/1974 23:00,0.864,2.36,"2c","Digital Archive","",""
07/09/1974 16:00,0.818,2.05,"2c","Digital Archive","Non-independent peak removed B",""
08/09/1974 12:45,0.709,1.37,"2c","Digital Archive","",""
23/09/1974 18:00,0.980,3.22,"2c","Digital Archive","",""
11/11/1974 03:00,0.990,3.29,"2c","Digital Archive","",""
25/11/1974 01:15,0.799,1.92,"2c","Digital Archive","",""
26/12/1974 09:45,0.718,1.42,"2c","Digital Archive","",""
22/01/1975 13:30,1.131,4.47,"2c","Digital Archive","",""
25/01/1975 09:00,0.782,1.81,"2c","Digital Archive","",""
30/01/1975 06:15,0.750,1.62,"2c","Digital Archive","",""
02/12/1975 07:00,0.898,2.60,"2c","Digital Archive","Non-independent peak removed B",""
02/01/1976 00:00,1.570,8.86,"2c","FSR list","",""
25/03/1976 12:45,0.768,1.73,"2c","Digital Archive","",""
26/09/1976 05:30,0.694,1.29,"2c","Digital Archive","",""
01/10/1976 11:30,0.708,1.37,"2c","Digital Archive","",""
02/10/1976 06:00,0.772,1.75,"2c","Digital Archive","",""
11/10/1976 15:15,1.036,3.66,"2c","Digital Archive","",""
15/10/1976 06:30,0.779,1.79,"2c","Digital Archive","",""
25/01/1977 17:30,0.839,2.19,"2c","Digital Archive","",""
03/02/1977 07:00,0.750,1.62,"2c","Digital Archive","",""
22/04/1977 03:30,0.847,2.24,"2c","Digital Archive","",""
03/05/1977 09:30,0.720,1.44,"2c","Digital Archive","",""
04/10/1977 07:30,0.893,2.56,"2c","Digital Archive","",""
23/11/1977 17:00,0.924,2.79,"2c","Digital Archive","",""
11/12/1977 06:30,0.716,1.41,"2c","Digital Archive","",""
23/12/1977 06:15,0.751,1.62,"2c","Digital Archive","Non-independent peak removed A",""
03/01/1978 06:45,0.867,2.38,"2c","Digital Archive","",""
28/01/1978 12:30,0.722,1.45,"2c","Digital Archive","",""
10/09/1978 19:30,0.773,1.76,"2c","Digital Archive","",""
29/09/1978 00:00,0.695,1.29,"2c","Digital Archive","",""
16/11/1978 20:30,0.781,1.81,"2c","Digital Archive","",""
28/12/1978 09:30,0.870,2.40,"2c","Digital Archive","Non-independent peak removed B",""
07/01/1979 14:45,0.995,3.33,"2c","Digital Archive","",""
02/03/1979 11:30,0.971,3.15,"2c","Digital Archive","",""
25/03/1979 12:30,0.818,2.05,"2c","Digital Archive","",""
29/03/1979 15:45,0.735,1.52,"2c","Digital Archive","",""
08/04/1979 06:30,0.698,1.31,"2c","Digital Archive","",""
28/05/1979 20:15,0.714,1.40,"2c","Digital Archive","",""
14/08/1979 03:00,0.722,1.45,"2c","Digital Archive","",""
03/09/1979 03:45,0.837,2.17,"2c","Digital Archive","",""
03/11/1979 07:15,0.702,1.33,"2c","Digital Archive","",""
11/11/1979 19:45,0.718,1.42,"2c","Digital Archive","",""
25/11/1979 15:30,0.884,2.50,"2c","Digital Archive","",""
26/11/1979 09:00,1.052,3.79,"2c","Digital Archive","",""
04/12/1979 23:45,0.893,2.56,"2c","Digital Archive","",""
09/12/1979 14:00,0.779,1.79,"2c","Digital Archive","",""
10/12/1979 07:00,0.851,2.27,"2c","Digital Archive","",""
11/12/1979 01:00,0.716,1.41,"2c","Digital Archive","",""
15/12/1979 05:00,0.745,1.58,"2c","Digital Archive","",""
17/12/1979 21:30,0.763,1.69,"2c","Digital Archive","",""
27/12/1979 10:00,1.023,3.56,"2c","Digital Archive","Non-independent peak removed B",""
04/01/1980 04:30,0.819,2.05,"2c","Digital Archive","",""
23/01/1980 11:00,0.717,1.42,"2c","Digital Archive","",""
18/03/1980 13:30,0.704,1.34,"2c","Digital Archive","",""
25/03/1980 00:15,0.746,1.59,"2c","Digital Archive","",""
30/06/1980 21:15,0.703,1.34,"2c","Digital Archive","",""
07/08/1980 22:15,0.764,1.70,"2c","Digital Archive","",""
20/08/1980 07:30,0.708,1.37,"2c","Digital Archive","",""
06/10/1980 18:45,0.990,3.29,"2c","Digital Archive","",""
27/10/1980 17:45,1.003,3.40,"2c","Digital Archive","",""
28/10/1980 20:45,0.695,1.29,"2c","Digital Archive","",""
17/12/1980 11:45,0.768,1.73,"2c","Digital Archive","",""
22/12/1980 08:45,0.709,1.37,"2c","Digital Archive","",""
03/02/1981 01:00,1.575,8.92,"2c","Digital Archive","Peak examined by eye and appears reasonable.",""
07/03/1981 13:15,0.746,1.59,"2c","Digital Archive","Non-independent peak removed A",""
22/03/1981 05:15,0.888,2.53,"2c","Digital Archive","Non-independent peak removed B",""
23/03/1981 18:30,0.906,2.66,"2c","Digital Archive","",""
09/10/1981 11:30,0.758,1.66,"2c","Digital Archive","",""
27/11/1981 01:45,0.782,1.81,"2c","Digital Archive","",""
03/01/1982 03:00,1.235,5.41,"2c","Digital Archive","Peak examined by eye and appears reasonable.",""
03/03/1982 00:00,0.949,2.98,"2c","Digital Archive","",""
14/03/1982 23:45,1.041,3.70,"2c","Digital Archive","",""
18/08/1982 05:00,0.888,2.53,"2c","Digital Archive","",""
06/10/1982 00:15,0.712,1.39,"2c","Digital Archive","",""
21/11/1982 13:45,0.717,1.42,"2c","Digital Archive","",""
19/12/1982 13:15,0.783,1.82,"2c","Digital Archive","",""
31/01/1983 22:45,0.751,1.62,"2c","Digital Archive","",""
16/10/1983 16:45,0.713,1.40,"2c","Digital Archive","",""
