"NAME:","Aire at Kildwick Bridge"
"NUMBER:","27035"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
01/10/1967 00:00,1.780,47.89,"1b","CEH Files","",""
07/10/1967 00:00,1.780,47.89,"1b","CEH Files","",""
09/10/1967 00:00,1.820,49.03,"1b","CEH Files","",""
17/10/1967 00:00,2.990,78.76,"1b","CEH Files","",""
05/11/1967 00:00,1.830,49.31,"1b","CEH Files","",""
13/01/1968 00:00,1.760,47.32,"1b","CEH Files","",""
16/01/1968 00:00,2.020,54.57,"1b","CEH Files","",""
19/03/1968 00:00,2.000,54.02,"1b","CEH Files","",""
23/03/1968 00:00,2.290,61.69,"1b","CEH Files","",""
24/03/1968 00:00,2.140,57.78,"1b","CEH Files","",""
01/07/1968 00:00,1.960,52.93,"1b","CEH Files","",""
12/09/1968 00:00,1.970,53.21,"1b","CEH Files","",""
21/09/1968 00:00,2.010,54.30,"1b","CEH Files","",""
31/10/1968 00:00,1.930,52.11,"1b","CEH Files","",""
31/03/1969 00:00,2.020,54.57,"1b","CEH Files","",""
11/11/1969 00:00,2.360,63.48,"1b","CEH Files","",""
21/12/1969 00:00,1.800,48.46,"1b","CEH Files","",""
19/02/1970 00:00,1.790,48.18,"1b","CEH Files","",""
21/02/1970 00:00,1.940,52.38,"1b","CEH Files","",""
12/04/1970 00:00,1.980,53.48,"1b","CEH Files","",""
23/04/1970 00:00,1.870,50.44,"1b","CEH Files","",""
30/10/1970 00:00,2.220,59.88,"1b","CEH Files","",""
17/11/1970 00:00,2.160,58.31,"1b","CEH Files","",""
12/02/1971 00:00,2.010,54.30,"1b","CEH Files","",""
05/08/1971 01:30,1.296,28.40,"C3","Digital Archive","","AMAX ONLY"
19/10/1971 11:15,2.239,53.00,"C3","Digital Archive","",""
05/12/1972 16:00,2.255,53.50,"C3","Digital Archive","",""
07/09/1974 22:45,2.033,47.10,"C3","Digital Archive","","AMAX ONLY"
22/01/1975 14:15,2.432,58.80,"C3","Digital Archive","",""
02/01/1976 18:30,2.355,56.40,"C3","Digital Archive","",""
02/10/1976 13:00,1.682,37.70,"C3","Digital Archive","","AMAX ONLY"
03/01/1978 10:15,2.189,51.50,"C3","Digital Archive","","AMAX ONLY"
28/12/1978 16:15,2.342,56.00,"C3","Digital Archive","",""
09/03/1979 03:45,2.337,55.90,"C3","Digital Archive","",""
26/11/1979 11:30,2.265,53.70,"C3","Digital Archive","",""
05/12/1979 10:45,2.246,53.20,"C3","Digital Archive","",""
27/12/1979 15:30,2.289,54.50,"C3","Digital Archive","",""
18/03/1980 15:15,2.234,52.80,"C3","Digital Archive","",""
23/10/1980 14:45,2.373,57.00,"C3","Digital Archive","",""
28/10/1980 02:00,3.475,108.00,"C4","Digital Archive","",""
04/01/1982 11:30,2.486,60.40,"C3","Digital Archive","",""
15/03/1982 04:30,2.397,57.70,"C3","Digital Archive","",""
19/12/1982 18:15,2.229,52.70,"C3","Digital Archive","",""
10/12/1983 02:00,2.552,62.50,"C3","Digital Archive","",""
03/11/1984 14:45,2.358,56.50,"C3","Digital Archive","",""
22/12/1985 12:30,2.653,65.70,"C3","Digital Archive","",""
15/04/1986 15:15,2.415,58.20,"C3","Digital Archive","",""
27/03/1987 21:15,2.069,48.10,"C3","Digital Archive","","AMAX ONLY"
03/01/1988 05:45,2.316,55.30,"C3","Digital Archive","",""
24/03/1989 05:30,2.202,51.90,"C3","Digital Archive","","AMAX ONLY"
29/01/1990 19:00,2.053,47.60,"C3","Digital Archive","","AMAX ONLY"
24/02/1991 12:45,2.654,65.70,"C3","Digital Archive","",""
22/12/1991 18:45,2.839,73.60,"C4","Digital Archive","",""
06/01/1992 12:45,2.525,61.60,"C3","Digital Archive","",""
13/09/1993 16:30,2.241,53.00,"C3","Digital Archive","",""
19/12/1993 10:45,2.517,61.40,"C3","Digital Archive","",""
14/11/1994 04:45,2.283,54.30,"C3","Digital Archive","",""
28/01/1995 18:30,2.305,54.90,"C3","Digital Archive","",""
01/02/1995 09:30,3.302,97.60,"C4","Digital Archive","",""
26/08/1996 21:45,1.469,32.50,"C3","Digital Archive","","AMAX ONLY"
05/05/1997 16:15,2.069,48.10,"C3","Digital Archive","","AMAX ONLY"
08/01/1998 23:15,2.339,55.90,"C3","Digital Archive","",""
07/03/1998 01:15,2.381,57.20,"C3","Digital Archive","",""
28/10/1998 20:30,2.376,57.10,"C3","Digital Archive","",""
16/01/1999 01:15,2.277,54.10,"C3","Digital Archive","",""
02/03/1999 21:45,2.348,56.20,"C3","Digital Archive","",""
02/10/1999 07:15,2.267,53.80,"C3","Digital Archive","",""
03/12/1999 08:00,2.423,58.50,"C3","Digital Archive","",""
06/12/1999 19:45,2.506,61.00,"C3","Digital Archive","",""
12/12/1999 03:00,2.355,56.40,"C3","Digital Archive","",""
02/03/2000 22:30,2.431,58.70,"C3","Digital Archive","",""
04/06/2000 16:45,3.254,94.90,"C4","Digital Archive","",""
31/10/2000 06:15,4.222,157.00,"C4","Digital Archive","",""
06/11/2000 08:00,2.340,56.00,"C3","Digital Archive","",""
12/02/2001 01:00,2.359,56.50,"C3","Digital Archive","",""
08/10/2001 07:00,2.383,57.30,"C3","Digital Archive","",""
11/02/2002 17:00,3.509,110.00,"C4","Digital Archive","",""
25/02/2002 17:15,2.276,54.10,"C3","Digital Archive","",""
14/06/2002 20:00,2.362,56.60,"C3","Digital Archive","",""
03/08/2002 05:45,2.536,62.00,"C3","Digital Archive","",""
30/12/2002 08:00,2.239,53.00,"C3","Digital Archive","",""
31/01/2004 20:45,2.351,56.30,"C3","Digital Archive","",""
04/02/2004 17:00,2.485,60.40,"C3","Digital Archive","",""
10/08/2004 09:30,2.564,62.90,"C3","Digital Archive","",""
20/08/2004 08:15,2.400,57.80,"C3","Digital Archive","",""
23/10/2004 02:00,2.397,57.70,"C3","Digital Archive","",""
08/01/2005 17:45,2.680,66.50,"C3","Digital Archive","",""
02/04/2006 19:00,2.111,49.30,"C3","Digital Archive","","AMAX ONLY"
05/12/2006 05:00,2.285,54.30,"C3","Digital Archive","",""
11/01/2007 07:30,2.316,55.30,"C3","Digital Archive","",""
18/01/2007 09:30,2.410,58.10,"C3","Digital Archive","",""
