"NAME:","Doe Lea at Staveley"
"NUMBER:","27040"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
20/08/1970 11:00,0.731,2.65,"1a","Digital Archive","","AMAX ONLY"
30/11/1970 18:45,1.294,5.91,"1a","F0103.SG.HiUKPOT","",""
25/04/1971 04:15,1.650,8.30,"1a","F0103.SG.HiUKPOT","",""
04/02/1972 03:00,1.295,5.92,"1a","F0103.SG.HiUKPOT","",""
22/07/1973 04:45,1.231,5.51,"1a","F0103.SG.HiUKPOT","",""
06/08/1973 17:15,1.260,5.70,"1a","F0103.SG.HiUKPOT","",""
12/02/1974 00:00,1.136,4.93,"1a","F0103.SG.WYearMax","","AMAX ONLY"
21/11/1974 18:30,1.360,6.34,"1a","F0103.SG.HiUKPOT","",""
03/01/1976 00:45,0.900,3.55,"1a","F0103.SG.WYearMax","","AMAX ONLY"
28/01/1977 08:15,1.294,5.91,"1a","F0103.SG.HiUKPOT","",""
25/02/1977 19:00,1.873,9.90,"1a","F0103.SG.HiUKPOT","",""
23/01/1978 23:30,1.187,5.24,"1a","F0103.SG.HiUKPOT","",""
16/12/1978 00:30,1.425,6.77,"1a","F0103.SG.HiUKPOT","",""
25/12/1978 01:45,1.305,5.98,"1a","F0103.SG.HiUKPOT","",""
29/12/1978 16:30,1.858,9.79,"1a","F0103.SG.HiUKPOT","",""
01/02/1979 20:30,1.306,5.99,"1a","F0103.SG.HiUKPOT","",""
28/02/1979 16:21,1.566,7.72,"1a","F0103.SG.HiUKPOT","",""
25/03/1979 10:00,1.288,5.87,"1a","F0103.SG.HiUKPOT","",""
29/03/1979 08:30,1.472,7.08,"1a","F0103.SG.HiUKPOT","",""
08/04/1979 20:15,1.775,9.19,"1a","F0103.SG.HiUKPOT","",""
31/05/1979 01:30,1.547,7.59,"1a","F0103.SG.HiUKPOT","",""
14/12/1979 11:45,1.508,7.32,"1a","F0103.SG.HiUKPOT","",""
28/12/1979 02:15,1.485,7.17,"1a","F0103.SG.HiUKPOT","",""
22/01/1980 02:30,1.222,5.46,"1a","F0103.SG.HiUKPOT","",""
08/02/1980 12:45,1.230,5.51,"1a","F0103.SG.HiUKPOT","",""
26/02/1980 03:00,1.510,7.34,"1a","F0103.SG.HiUKPOT","",""
19/03/1980 00:45,1.558,7.66,"1a","F0103.SG.HiUKPOT","",""
16/10/1980 23:30,1.290,5.89,"1a","F0103.SG.HiUKPOT","",""
09/02/1981 22:30,1.464,7.03,"1a","F0103.SG.HiUKPOT","",""
03/03/1981 03:45,1.338,6.20,"1a","F0103.SG.HiUKPOT","",""
11/03/1981 14:30,1.208,5.37,"1a","F0103.SG.HiUKPOT","",""
22/03/1981 13:45,1.336,6.18,"1a","F0103.SG.HiUKPOT","",""
27/04/1981 00:30,1.795,9.33,"1a","F0103.SG.HiUKPOT","",""
20/05/1981 23:30,1.423,6.75,"1a","F0103.SG.HiUKPOT","",""
31/12/1981 01:45,1.812,9.46,"1a","F0103.SG.HiUKPOT","",""
23/06/1982 04:45,1.848,9.72,"1a","F0103.SG.HiUKPOT","",""
19/12/1982 19:15,1.259,5.69,"1a","F0103.SG.HiUKPOT","",""
04/01/1983 10:45,1.648,8.29,"1a","F0103.SG.HiUKPOT","",""
21/04/1983 00:15,1.540,7.54,"1a","F0103.SG.HiUKPOT","",""
02/05/1983 10:00,1.500,7.27,"1a","F0103.SG.HiUKPOT","",""
01/06/1983 11:00,1.857,9.78,"1a","F0103.SG.HiUKPOT","",""
16/01/1984 20:45,1.494,7.23,"1a","F0103.SG.HiUKPOT","",""
29/01/1984 17:30,1.385,6.50,"1a","F0103.SG.HiUKPOT","",""
07/02/1984 03:00,1.451,6.94,"1a","F0103.SG.HiUKPOT","",""
24/03/1984 16:45,1.445,6.90,"1a","F0103.SG.HiUKPOT","",""
21/01/1985 19:30,1.446,6.91,"1a","F0103.SG.HiUKPOT","",""
22/12/1985 06:30,1.298,5.94,"1a","F0103.SG.HiUKPOT","",""
03/01/1986 01:15,1.222,5.46,"1a","F0103.SG.HiUKPOT","",""
10/01/1986 13:15,1.832,9.60,"1a","F0103.SG.HiUKPOT","",""
30/01/1986 10:30,1.602,7.97,"1a","F0103.SG.HiUKPOT","",""
02/02/1986 18:45,1.232,5.52,"1a","F0103.SG.HiUKPOT","",""
15/04/1986 15:30,1.579,7.81,"1a","F0103.SG.HiUKPOT","",""
20/05/1986 13:00,1.832,9.60,"1a","F0103.SG.HiUKPOT","",""
26/11/1986 03:15,1.342,6.22,"1a","F0103.SG.HiUKPOT","",""
01/01/1987 13:30,1.355,6.31,"1a","F0103.SG.HiUKPOT","",""
07/04/1987 18:45,1.792,9.31,"1a","F0103.SG.HiUKPOT","",""
16/10/1987 09:00,1.305,5.98,"1a","F0103.SG.HiUKPOT","",""
21/10/1987 09:15,1.251,5.64,"1a","F0103.SG.HiUKPOT","",""
24/11/1987 10:30,1.328,6.13,"1a","F0103.SG.HiUKPOT","",""
24/01/1988 08:30,1.196,5.30,"1a","F0103.SG.HiUKPOT","",""
25/02/1989 03:15,1.730,8.87,"1a","F0103.SG.HiUKPOT","",""
05/04/1989 11:45,1.360,6.34,"1a","F0103.SG.HiUKPOT","",""
28/01/1990 08:00,1.797,9.35,"1a","F0103.SG.HiUKPOT","",""
08/02/1990 02:00,1.620,8.09,"1a","F0103.SG.HiUKPOT","",""
10/12/1990 22:00,1.299,5.94,"1a","F0103.SG.HiUKPOT","",""
26/12/1990 19:00,1.240,5.57,"1a","F0103.SG.HiUKPOT","",""
10/01/1991 02:45,1.464,7.03,"1a","F0103.SG.HiUKPOT","",""
26/09/1992 09:00,0.977,3.99,"1a","F0103.SG.WYearMax","","AMAX ONLY"
02/12/1992 19:15,1.496,7.24,"1a","F0103.SG.HiUKPOT","",""
13/01/1993 22:30,1.218,5.43,"1a","F0103.SG.HiUKPOT","",""
12/06/1993 00:15,1.733,8.89,"1a","F0103.SG.HiUKPOT","",""
15/09/1993 10:00,1.218,5.43,"1a","F0103.SG.HiUKPOT","",""
14/11/1993 11:00,1.269,5.75,"1a","F0103.SG.HiUKPOT","",""
09/12/1993 03:00,1.339,6.20,"1a","F0103.SG.HiUKPOT","",""
13/12/1993 08:45,1.307,6.00,"1a","F0103.SG.HiUKPOT","",""
27/02/1994 00:20,1.322,6.09,"1a","F0103.SG.HiUKPOT","",""
15/09/1994 10:45,1.259,5.69,"1a","F0103.SG.HiUKPOT","",""
05/11/1994 10:45,1.218,5.43,"1a","F0103.SG.HiUKPOT","",""
26/01/1995 05:30,1.829,9.58,"1a","F0103.SG.HiUKPOT","",""
28/01/1995 09:15,1.647,8.28,"1a","F0103.SG.HiUKPOT","",""
12/02/1996 09:30,0.977,3.99,"1a","F0103.SG.WYearMax","","AMAX ONLY"
20/12/1996 07:45,1.726,12.31,"2b","F0103.SG.HiUKPOT","",""
03/01/1998 13:00,1.191,6.74,"2b","F0103.SG.HiUKPOT","",""
08/01/1998 19:30,1.273,7.51,"2b","F0103.SG.HiUKPOT","",""
06/03/1998 22:15,1.294,7.72,"2b","F0103.SG.HiUKPOT","",""
23/10/1998 05:30,1.271,7.49,"2b","F0103.SG.HiUKPOT","",""
27/10/1998 16:00,1.512,9.93,"2b","F0103.SG.HiUKPOT","",""
16/01/1999 07:30,1.308,7.85,"2b","F0103.SG.HiUKPOT","",""
10/03/1999 03:30,1.354,8.31,"2b","F0103.SG.HiUKPOT","",""
03/04/2000 19:15,1.419,8.96,"2b","F0103.SG.HiUKPOT","",""
19/04/2000 03:00,1.335,8.12,"2b","F0103.SG.HiUKPOT","",""
30/10/2000 11:30,1.796,13.12,"2b","F0103.SG.HiUKPOT","",""
06/11/2000 11:30,2.145,17.49,"2b","F0103.SG.HiUKPOT","",""
08/12/2000 04:30,1.495,9.75,"2b","F0103.SG.HiUKPOT","",""
04/02/2001 22:00,1.435,9.13,"2b","F0103.SG.HiUKPOT","",""
12/02/2001 12:30,1.238,7.18,"2b","F0103.SG.HiUKPOT","",""
26/10/2001 19:30,1.594,10.82,"2b","F0103.SG.HiUKPOT","",""
26/01/2002 15:15,1.215,6.97,"2b","F0103.SG.HiUKPOT","",""
26/02/2002 09:00,1.346,8.23,"2b","F0103.SG.HiUKPOT","",""
22/12/2002 06:45,1.267,7.46,"2b","F0103.SG.HiUKPOT","",""
30/12/2002 08:30,1.516,9.98,"2b","F0103.SG.HiUKPOT","",""
19/01/2003 12:15,1.205,6.87,"2b","F0103.SG.HiUKPOT","",""
04/04/2004 03:45,1.278,7.56,"2b","F0103.SG.HiUKPOT","",""
10/08/2004 13:15,1.598,10.86,"2b","F0103.SG.HiUKPOT","",""
22/10/2004 04:45,1.120,6.10,"2b","F0103.SG.WYearMax","","AMAX ONLY"
09/11/2005 02:15,1.460,9.39,"2b","F0103.SG.HiUKPOT","",""
11/01/2007 18:30,1.189,6.73,"2b","F0103.SG.HiUKPOT","",""
18/01/2007 15:15,1.535,10.18,"2b","F0103.SG.HiUKPOT","",""
11/02/2007 10:15,1.325,8.02,"2b","F0103.SG.HiUKPOT","",""
15/06/2007 23:30,1.366,8.43,"2b","F0103.SG.HiUKPOT","",""
22/06/2007 23:45,1.535,10.18,"2b","F0103.SG.HiUKPOT","",""
25/06/2007 21:45,2.543,23.01,"2b","F0103.SG.HiUKPOT","",""
12/01/2008 01:30,1.445,9.23,"2b","F0103.SG.HiUKPOT","",""
16/01/2008 04:00,1.562,10.47,"2b","F0103.SG.HiUKPOT","",""
16/03/2008 12:00,1.435,9.13,"2b","F0103.SG.HiUKPOT","",""
06/09/2008 05:45,1.377,8.54,"2b","F0103.SG.HiUKPOT","",""
10/11/2008 04:00,1.266,7.45,"2b","F0103.SG.HiUKPOT","",""
13/12/2008 17:45,1.472,9.51,"2b","F0103.SG.HiUKPOT","",""
11/06/2009 02:45,1.642,11.35,"2b","F0103.SG.HiUKPOT","",""
06/12/2009 14:00,1.267,7.46,"2b","F0103.SG.HiUKPOT","",""
16/01/2010 16:30,1.641,11.34,"2b","F0103.SG.HiUKPOT","",""
03/10/2010 21:45,1.035,5.37,"2b","Digital Archive","",""
09/11/2010 01:45,1.400,8.77,"2b","Digital Archive","",""
11/12/2010 10:45,1.320,7.97,"2b","Digital Archive","",""
26/02/2011 09:30,1.189,6.73,"2b","Digital Archive","",""
04/04/2012 20:15,1.119,6.09,"2b","Digital Archive","",""
27/04/2012 08:00,1.515,9.96,"2b","Digital Archive","",""
29/04/2012 21:45,1.496,9.77,"2b","Digital Archive","",""
10/05/2012 06:30,1.339,8.15,"2b","Digital Archive","",""
06/07/2012 20:45,1.057,5.55,"2b","Digital Archive","",""
10/07/2012 19:45,1.088,5.82,"2b","Digital Archive","",""
24/09/2012 22:15,1.215,6.96,"2b","Digital Archive","",""
21/11/2012 18:00,1.338,8.15,"2b","Digital Archive","",""
25/11/2012 09:15,2.186,18.03,"2b","Digital Archive","",""
27/11/2012 10:00,1.677,11.75,"2b","Digital Archive","",""
21/12/2012 03:30,1.694,11.94,"2b","Digital Archive","",""
27/01/2013 09:00,2.057,16.34,"2b","Digital Archive","",""
14/02/2013 13:15,1.122,6.12,"2b","Digital Archive","",""
09/01/2014 09:15,1.222,7.03,"2b","Digital Archive","",""
26/01/2014 18:45,1.083,5.78,"2b","Digital Archive","",""
01/02/2014 00:45,1.362,8.39,"2b","Digital Archive","",""
11/02/2014 16:15,1.361,8.38,"2b","Digital Archive","",""
09/06/2014 16:15,1.321,7.98,"2b","Digital Archive","",""
10/08/2014 18:00,1.046,5.46,"2b","Digital Archive","",""
12/12/2014 10:00,1.076,5.72,"2b","Digital Archive","",""
01/01/2015 12:45,1.102,5.94,"2b","Digital Archive","",""
03/01/2016 21:45,1.252,7.31,"2b","Digital Archive","",""
07/01/2016 12:45,1.123,6.13,"2b","Digital Archive","",""
08/02/2016 23:15,1.272,7.50,"2b","Digital Archive","",""
09/03/2016 15:15,1.184,6.68,"2b","Digital Archive","",""
28/03/2016 11:15,1.722,12.26,"2b","Digital Archive","",""
17/06/2016 01:15,1.363,8.40,"2b","Digital Archive","",""
