"NAME:","Wharfe at Addingham"
"NUMBER:","27043"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
09/11/1973 00:00,1.680,161.87,"2e","Chart","",""
20/12/1973 23:15,1.389,103.07,"2e","Digital Archive","","AMAX ONLY"
07/01/1974 19:00,1.539,131.73,"2e","Digital Archive","",""
10/01/1974 22:00,1.496,123.16,"2e","Digital Archive","",""
15/01/1974 05:45,1.470,118.11,"2e","Digital Archive","",""
15/02/1974 08:30,1.432,110.93,"2e","Digital Archive","",""
07/09/1974 23:30,1.610,146.52,"2e","Digital Archive","",""
11/11/1974 08:45,1.884,210.98,"2e","Digital Archive","",""
14/11/1974 00:00,1.580,140.17,"2e","Digital Archive","",""
25/11/1974 06:15,1.733,174.00,"2e","Digital Archive","",""
26/12/1974 13:45,1.557,135.41,"2e","Digital Archive","",""
22/01/1975 16:45,2.266,320.40,"2e","Digital Archive","",""
25/01/1975 15:30,1.656,156.52,"2e","Digital Archive","",""
23/07/1975 09:30,1.567,137.47,"2e","Digital Archive","",""
04/10/1975 21:45,1.506,125.12,"2e","Digital Archive","",""
02/12/1975 00:15,1.675,160.75,"2e","Digital Archive","",""
02/01/1976 23:15,2.306,333.24,"2e","Digital Archive","Peak examined by eye and appears reasonable.",""
20/01/1976 10:00,1.618,148.24,"2e","Digital Archive","",""
25/03/1976 17:30,1.437,111.86,"2e","Digital Archive","",""
02/10/1976 10:45,1.526,129.11,"2e","Digital Archive","",""
15/10/1976 18:45,1.460,116.20,"2e","Digital Archive","",""
25/01/1977 22:45,1.667,158.96,"2e","Digital Archive","",""
03/02/1977 11:45,1.583,140.80,"2e","Digital Archive","",""
22/04/1977 08:30,1.689,163.90,"2e","Digital Archive","",""
04/10/1977 11:00,1.470,118.11,"2e","Digital Archive","",""
23/11/1977 21:30,1.758,179.88,"2e","Digital Archive","",""
11/12/1977 10:45,1.425,109.63,"2e","Digital Archive","",""
23/12/1977 10:45,1.468,117.73,"2e","Digital Archive","Non-independent peak removed A",""
03/01/1978 11:00,1.873,208.16,"2e","Digital Archive","",""
28/01/1978 13:30,1.452,114.68,"2e","Digital Archive","",""
11/09/1978 02:15,1.789,187.30,"2e","Digital Archive","",""
14/11/1978 22:30,1.625,149.74,"2e","Digital Archive","",""
17/11/1978 01:30,1.600,144.39,"2e","Digital Archive","",""
