"NAME:","Nidd at Birstwith"
"NUMBER:","27053"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
25/01/1977 21:45,2.108,120.00,"B[migrated]3","Digital Archive","",""
03/01/1978 08:00,1.725,54.82,"B[migrated]3","Digital Archive","",""
28/01/1978 14:00,1.480,43.98,"B[migrated]3","Digital Archive","",""
28/12/1978 11:15,2.440,88.11,"B[migrated]3","Digital Archive","",""
03/03/1979 12:15,2.198,76.62,"B[migrated]3","Digital Archive","",""
09/03/1979 04:45,2.721,101.80,"B[migrated]3","Digital Archive","",""
26/11/1979 10:15,1.547,46.91,"B[migrated]3","Digital Archive","",""
10/12/1979 09:00,1.853,60.57,"B[migrated]3","Digital Archive","",""
17/12/1979 22:45,1.646,51.29,"B[migrated]3","Digital Archive","",""
27/12/1979 15:30,2.673,99.42,"B[migrated]3","Digital Archive","",""
09/02/1980 16:45,2.296,81.26,"B[migrated]3","Digital Archive","",""
27/10/1980 20:15,1.582,48.41,"B[migrated]3","Digital Archive","Non-independent peak removed A",""
22/11/1980 08:15,1.764,56.58,"B[migrated]3","Digital Archive","",""
03/02/1981 03:00,1.899,62.67,"B[migrated]3","Digital Archive","",""
07/03/1981 18:00,1.763,56.48,"B[migrated]3","Digital Archive","",""
22/03/1981 07:15,2.489,90.47,"B[migrated]3","Digital Archive","",""
24/03/1981 00:15,2.243,78.75,"B[migrated]3","Digital Archive","Non-independent peak removed A",""
01/10/1981 21:30,1.458,43.02,"B[migrated]3","Digital Archive","",""
03/01/1982 23:00,2.338,83.27,"B[migrated]3","Digital Archive","",""
05/01/1982 03:30,1.889,62.21,"B[migrated]3","Digital Archive","Non-independent peak removed A",""
15/03/1982 07:45,2.604,96.05,"B[migrated]3","Digital Archive","",""
20/12/1982 23:00,2.387,85.56,"B[migrated]3","Digital Archive","Non-independent peak removed B",""
09/12/1983 12:15,2.285,80.69,"B[migrated]3","Digital Archive","",""
24/12/1983 15:15,1.478,43.85,"B[migrated]3","Digital Archive","",""
03/01/1984 02:30,1.514,45.42,"B[migrated]3","Digital Archive","",""
13/01/1984 10:15,2.727,102.10,"B[migrated]3","Digital Archive","Peak examined by eye and appears reasonable.",""
03/02/1984 16:30,1.720,54.55,"B[migrated]3","Digital Archive","Non-independent peak removed B",""
05/02/1984 00:15,2.609,96.34,"B[migrated]3","Digital Archive","Non-independent peak removed",""
06/02/1984 06:45,1.998,67.23,"B[migrated]3","Digital Archive","Non-independent peak removed A",""
03/11/1984 18:15,1.588,48.67,"B[migrated]3","Digital Archive","",""
23/11/1984 16:45,1.654,51.64,"B[migrated]3","Digital Archive","",""
22/12/1985 02:15,1.845,60.20,"B[migrated]3","Digital Archive","",""
10/01/1986 10:45,1.539,46.56,"B[migrated]3","Digital Archive","",""
21/01/1986 04:00,2.349,83.79,"B[migrated]3","Digital Archive","",""
15/04/1986 18:30,2.382,85.37,"B[migrated]3","Digital Archive","",""
