"NAME:","Rye at Broadway Foot"
"NUMBER:","27055"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
25/08/1977 04:00,0.109,1.08,"2b","Digital Archive","","AMAX ONLY"
11/12/1977 07:45,0.782,18.60,"2e","Digital Archive","Non-independent peak removed B",""
22/01/1978 11:15,0.591,13.19,"2e","Digital Archive","",""
28/01/1978 13:45,1.174,30.88,"2e","F2508.SG.HiUKPOT","",""
30/01/1978 02:15,1.187,31.31,"2e","F2508.SG.HiUKPOT","",""
24/02/1978 16:45,1.482,41.43,"2e","F2508.SG.HiUKPOT","",""
08/12/1978 20:15,1.156,30.29,"2e","F2508.SG.HiUKPOT","",""
24/12/1978 23:15,1.155,30.25,"2e","F2508.SG.HiUKPOT","",""
28/12/1978 00:15,1.386,38.07,"2e","F2508.SG.HiUKPOT","",""
02/03/1979 18:00,1.218,32.34,"2e","F2508.SG.HiUKPOT","",""
25/03/1979 19:30,1.283,34.53,"2e","F2508.SG.HiUKPOT","",""
30/05/1979 23:30,1.441,39.99,"2e","F2508.SG.HiUKPOT","",""
15/11/1979 18:30,1.157,30.32,"2e","F2508.SG.HiUKPOT","",""
14/12/1979 11:15,1.303,35.21,"2e","F2508.SG.HiUKPOT","",""
27/12/1979 14:30,1.325,35.97,"2e","F2508.SG.HiUKPOT","",""
22/03/1981 07:15,1.646,47.33,"2e","F2508.SG.HiUKPOT","",""
26/09/1981 13:30,1.296,34.98,"2e","F2508.SG.HiUKPOT","",""
04/01/1982 00:00,1.638,47.04,"2e","F2508.SG.HiUKPOT","",""
28/04/1983 19:30,1.006,25.45,"2e","F2508.SG.WYearMax","","AMAX ONLY"
09/12/1983 15:45,1.402,38.63,"2e","F2508.SG.HiUKPOT","",""
03/11/1984 15:00,1.524,42.93,"2e","F2508.SG.HiUKPOT","",""
11/04/1985 21:15,1.222,32.48,"2e","F2508.SG.HiUKPOT","",""
05/03/1986 07:00,1.292,34.84,"2e","F2508.SG.HiUKPOT","",""
17/04/1986 14:30,1.200,31.74,"2e","F2508.SG.HiUKPOT","",""
26/08/1987 21:00,1.632,46.82,"2e","F2508.SG.HiUKPOT","",""
23/11/1987 18:30,1.238,33.01,"2e","F2508.SG.HiUKPOT","",""
30/06/1988 22:30,1.246,33.28,"2e","F2508.SG.HiUKPOT","",""
19/10/1988 08:00,0.795,18.99,"2e","F2508.SG.WYearMax","","AMAX ONLY"
29/01/1990 23:30,1.028,26.14,"2e","F2508.SG.WYearMax","","AMAX ONLY"
23/02/1991 05:15,1.442,40.02,"2e","F2508.SG.HiUKPOT","",""
31/03/1992 08:00,0.853,20.72,"2e","F2508.SG.WYearMax","","AMAX ONLY"
02/12/1992 18:45,1.214,32.21,"2e","F2508.SG.HiUKPOT","",""
05/08/1993 16:15,1.268,34.03,"2e","F2508.SG.HiUKPOT","",""
15/09/1993 04:15,1.208,32.01,"2e","F2508.SG.HiUKPOT","",""
14/11/1993 09:45,1.497,41.97,"2e","F2508.SG.HiUKPOT","",""
01/02/1995 01:00,0.893,21.93,"2e","F2508.SG.WYearMax","","AMAX ONLY"
12/02/1996 21:45,1.057,27.07,"2e","F2508.SG.WYearMax","","AMAX ONLY"
01/07/1997 03:45,1.076,27.68,"2e","F2508.SG.WYearMax","","AMAX ONLY"
11/04/1998 05:00,1.635,46.93,"2e","F2508.SG.HiUKPOT","",""
07/03/1999 18:30,2.250,112.43,"2g","F2508.SG.HiUKPOT","",""
20/04/1999 22:30,1.484,41.50,"2e","F2508.SG.HiUKPOT","",""
08/06/1999 07:15,1.965,64.97,"2f","F2508.SG.HiUKPOT","",""
14/04/2000 01:00,1.175,30.91,"2e","F2508.SG.HiUKPOT","",""
04/06/2000 06:30,1.242,33.15,"2e","F2508.SG.HiUKPOT","",""
30/10/2000 13:15,2.344,132.00,"2g","F2508.SG.HiUKPOT","",""
03/11/2000 01:45,2.375,138.45,"2g","F2508.SG.HiUKPOT","",""
08/11/2000 03:45,1.578,44.86,"2e","F2508.SG.HiUKPOT","",""
06/12/2000 00:15,1.257,33.65,"2e","F2508.SG.HiUKPOT","",""
08/12/2000 16:00,1.316,35.66,"2e","F2508.SG.HiUKPOT","",""
02/08/2002 08:30,1.775,54.08,"2f","F2508.SG.HiUKPOT","",""
20/01/2003 15:45,0.541,11.85,"2e","F2508.SG.WYearMax","","AMAX ONLY"
31/01/2004 18:30,1.262,33.82,"2e","F2508.SG.HiUKPOT","",""
19/04/2004 02:45,1.923,62.46,"2f","F2508.SG.HiUKPOT","",""
10/08/2004 23:15,1.528,43.07,"2e","F2508.SG.HiUKPOT","",""
23/10/2004 03:45,1.614,46.16,"2e","F2508.SG.HiUKPOT","",""
16/04/2005 03:15,1.393,38.31,"2e","F2508.SG.HiUKPOT","",""
19/06/2005 17:45,3.530,384.44,"2h","F2508.SG.HiUKPOT","Derived by robust hydraulic modelling",""
09/11/2005 02:45,1.413,39.01,"2e","F2508.SG.HiUKPOT","",""
27/11/2005 22:30,1.392,38.28,"2e","F2508.SG.HiUKPOT","",""
02/12/2005 06:30,1.502,42.14,"2e","F2508.SG.HiUKPOT","",""
15/03/2006 02:15,1.158,30.35,"2e","F2508.SG.HiUKPOT","",""
02/04/2006 19:15,1.353,36.93,"2e","F2508.SG.HiUKPOT","",""
22/05/2006 19:00,1.428,39.53,"2e","F2508.SG.HiUKPOT","",""
16/07/2007 03:00,0.638,14.48,"2e","F2508.SG.WYearMax","","AMAX ONLY"
21/01/2008 16:30,1.273,34.19,"2e","F2508.SG.HiUKPOT","",""
30/03/2008 02:00,1.250,33.42,"2e","F2508.SG.HiUKPOT","",""
06/09/2008 07:30,1.555,44.04,"2e","F2508.SG.HiUKPOT","",""
13/12/2008 17:45,1.331,36.17,"2e","F2508.SG.HiUKPOT","",""
17/07/2009 16:30,1.288,34.70,"2e","F2508.SG.HiUKPOT","",""
01/11/2009 14:45,1.378,37.79,"2e","F2508.SG.HiUKPOT","",""
30/11/2009 01:45,1.925,62.58,"2f","F2508.SG.HiUKPOT","",""
06/12/2009 12:45,1.181,31.11,"2e","F2508.SG.HiUKPOT","",""
16/01/2010 12:45,1.195,31.58,"2e","F2508.SG.HiUKPOT","",""
22/01/2010 19:00,1.512,42.50,"2e","F2508.SG.HiUKPOT","",""
01/10/2010 20:00,1.232,32.81,"2e","F2508.SG.HiUKPOT","",""
03/10/2010 17:45,1.506,42.29,"2e","F2508.SG.HiUKPOT","",""
07/08/2012 19:30,1.816,56.33,"2f","F2508.SG.HiUKPOT","",""
26/09/2012 00:00,1.678,48.50,"2e","F2508.SG.HiUKPOT","",""
12/10/2012 05:45,1.658,47.96,"2e","Digital Archive","",""
25/11/2012 12:15,1.768,53.70,"2f","Digital Archive","",""
28/11/2012 09:45,1.175,30.91,"2e","Digital Archive","",""
14/12/2012 20:45,1.405,38.73,"2e","Digital Archive","",""
27/01/2013 14:15,1.131,29.47,"2e","Digital Archive","",""
06/01/2014 04:00,1.006,25.40,"2e","Digital Archive","","AMAX ONLY"
15/09/2015 10:30,1.725,51.41,"2f","Digital Archive","",""
26/12/2015 15:15,1.631,46.78,"2e","Digital Archive","",""
03/01/2016 22:45,1.278,34.36,"2e","Digital Archive","",""
