"NAME:","Nidd at Skip Bridge"
"NUMBER:","27062"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
03/12/1999 22:45,,84.74,"","F2102.F3.HiUKPOT","",""
07/12/1999 09:00,,80.18,"","F2102.F3.HiUKPOT","",""
03/03/2000 11:45,,77.62,"","F2102.F3.HiUKPOT","",""
14/04/2000 04:30,,66.38,"","F2102.F3.HiUKPOT","",""
04/06/2000 16:45,,100.00,"","F2102.F3.HiUKPOT","",""
20/09/2000 13:45,,71.66,"","F2102.F3.HiUKPOT","",""
03/11/2000 12:45,,207.60,"","F2102.F3.HiUKPOT","",""
07/11/2000 06:00,,141.40,"","F2102.F3.HiUKPOT","",""
08/12/2000 12:30,,61.62,"","F2102.F3.HiUKPOT","",""
07/02/2001 22:15,,80.36,"","F2102.F3.HiUKPOT","",""
08/10/2001 21:45,,51.90,"","F2102.F3.WYearMAX","","AMAX ONLY"
30/12/2002 13:30,,87.39,"","F2102.F3.HiUKPOT","",""
01/02/2004 05:15,,62.41,"","F2102.F3.HiUKPOT","",""
04/02/2004 08:30,,62.74,"","F2102.F3.HiUKPOT","",""
11/08/2004 05:00,,68.18,"","F2102.F3.HiUKPOT","",""
21/08/2004 02:15,,79.59,"","F2102.F3.HiUKPOT","",""
23/10/2004 14:45,,85.13,"","F2102.F3.HiUKPOT","",""
08/01/2005 10:15,,85.27,"","F2102.F3.HiUKPOT","",""
03/04/2006 06:45,,58.20,"","F2102.F3.WYearMAX","","AMAX ONLY"
06/12/2006 13:45,,76.32,"","F2102.F3.HiUKPOT","",""
11/12/2006 22:00,,63.41,"","F2102.F3.HiUKPOT","",""
12/01/2007 00:15,,88.30,"","F2102.F3.HiUKPOT","",""
18/01/2007 23:15,,88.61,"","F2102.F3.HiUKPOT","",""
16/06/2007 09:15,,88.25,"","F2102.F3.HiUKPOT","",""
20/06/2007 19:15,,61.99,"","F2102.F3.HiUKPOT","",""
26/06/2007 08:30,,95.24,"","F2102.F3.HiUKPOT","",""
11/01/2008 03:15,,85.62,"","F2102.F3.HiUKPOT","",""
22/01/2008 13:30,,120.20,"","F2102.F3.HiUKPOT","",""
18/08/2008 03:00,,75.49,"","F2102.F3.HiUKPOT","",""
07/09/2008 07:15,,98.59,"","F2102.F3.HiUKPOT","",""
14/12/2008 04:45,,74.94,"","F2102.F3.HiUKPOT","",""
20/12/2008 10:45,,61.58,"","F2102.F3.HiUKPOT","",""
23/01/2009 00:15,,60.75,"","F2102.F3.HiUKPOT","",""
19/11/2009 01:00,,74.85,"","F2102.F3.HiUKPOT","",""
23/11/2009 18:30,,79.01,"","F2102.F3.HiUKPOT","",""
27/11/2009 06:45,,81.69,"","F2102.F3.HiUKPOT","",""
30/11/2009 18:00,,112.40,"","F2102.F3.HiUKPOT","",""
27/02/2010 02:00,,64.80,"","F2102.F3.HiUKPOT","",""
05/11/2010 11:00,,74.64,"","F2102.F3.HiUKPOT","",""
12/11/2010 16:00,,70.41,"","F2102.F3.HiUKPOT","",""
05/02/2011 18:30,,73.98,"","F2102.F3.HiUKPOT","",""
09/12/2011 08:00,,72.91,"","F2102.F3.HiUKPOT","",""
05/01/2012 15:30,,90.62,"","F2102.F3.HiUKPOT","",""
27/04/2012 14:00,,85.58,"","F2102.F3.HiUKPOT","",""
11/05/2012 07:30,,87.38,"","F2102.F3.HiUKPOT","",""
23/06/2012 15:30,,75.87,"","F2102.F3.HiUKPOT","",""
07/07/2012 09:45,,81.97,"","F2102.F3.HiUKPOT","",""
26/09/2012 04:15,,184.40,"","F2102.F3.HiUKPOT","",""
27/11/2012 17:00,,92.83,"","Digital Archive","",""
21/12/2012 16:45,,90.87,"","Digital Archive","",""
31/12/2012 13:45,,79.99,"","Digital Archive","",""
27/01/2013 19:30,,73.95,"","Digital Archive","",""
15/02/2014 23:45,,59.50,"","Digital Archive","","AMAX ONLY"
09/05/2015 13:30,,60.54,"","Digital Archive","",""
16/11/2015 09:15,,82.39,"","Digital Archive","",""
19/11/2015 14:45,,74.39,"","Digital Archive","",""
30/11/2015 05:15,,62.38,"","Digital Archive","",""
06/12/2015 05:30,,64.18,"","Digital Archive","",""
13/12/2015 05:15,,72.15,"","Digital Archive","",""
26/12/2015 22:00,,247.05,"","Digital Archive","",""
04/01/2016 11:15,,75.52,"","Digital Archive","",""
10/01/2016 19:45,,65.70,"","Digital Archive","",""
28/01/2016 02:30,,65.01,"","Digital Archive","",""
09/02/2016 16:30,,60.98,"","Digital Archive","",""
05/03/2016 06:00,,63.73,"","Digital Archive","",""
