"NAME:","Oulton Beck at Oulton Farrer Lane"
"NUMBER:","27081"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
21/11/1986 02:15,0.349,1.09,"2c","Digital Archive","",""
18/12/1986 22:00,0.381,1.33,"2c","Digital Archive","",""
01/01/1987 14:45,0.342,1.04,"2c","Digital Archive","",""
05/01/1987 20:00,0.314,0.85,"2c","Digital Archive","",""
09/02/1987 12:30,0.317,0.87,"2c","Digital Archive","",""
25/03/1987 09:15,0.312,0.84,"2c","Digital Archive","",""
01/04/1987 14:30,0.314,0.85,"2c","Digital Archive","",""
07/04/1987 17:15,0.554,2.91,"2d","Digital Archive","Peak examined by eye and appears reasonable.",""
18/08/1987 05:45,0.382,1.33,"2c","Digital Archive","",""
22/08/1987 16:30,0.333,0.98,"2c","Digital Archive","",""
16/10/1987 11:30,0.330,0.96,"2c","Digital Archive","",""
21/10/1987 05:30,0.430,1.72,"2c","Digital Archive","",""
27/10/1987 20:15,0.298,0.75,"2c","Digital Archive","",""
13/11/1987 05:15,0.411,1.57,"2c","Digital Archive","",""
03/01/1988 07:00,0.323,0.91,"2c","Digital Archive","",""
06/01/1988 06:45,0.472,2.10,"2c","Digital Archive","",""
24/01/1988 14:15,0.381,1.33,"2c","Digital Archive","",""
04/02/1988 09:45,0.418,1.62,"2c","Digital Archive","",""
10/02/1988 04:00,0.388,1.38,"2c","Digital Archive","",""
19/03/1988 23:30,0.317,0.87,"2c","Digital Archive","",""
22/03/1988 23:00,0.352,1.11,"2c","Digital Archive","",""
08/06/1988 07:15,0.312,0.84,"2c","Digital Archive","",""
30/06/1988 17:45,0.363,1.19,"2c","Digital Archive","",""
18/08/1988 18:00,0.405,1.52,"2c","Digital Archive","",""
20/10/1988 14:30,0.333,0.98,"2c","Digital Archive","",""
30/11/1988 08:00,0.321,0.90,"2c","Digital Archive","",""
13/04/1989 14:30,0.418,1.62,"2c","Digital Archive","",""
27/06/1989 14:15,0.312,0.84,"2c","Digital Archive","",""
01/07/1989 01:00,0.300,0.77,"2c","Digital Archive","",""
14/12/1989 16:15,0.370,1.24,"2c","Digital Archive","",""
25/01/1990 19:15,0.344,1.06,"2c","Digital Archive","",""
28/01/1990 04:45,0.526,2.62,"2c","Digital Archive","Peak examined by eye and appears reasonable.",""
07/02/1990 20:30,0.414,1.59,"2c","Digital Archive","",""
20/04/1990 05:00,0.368,1.23,"2c","Digital Archive","",""
26/12/1990 13:45,0.377,1.30,"2c","Digital Archive","",""
28/12/1990 22:45,0.352,1.11,"2c","Digital Archive","",""
06/01/1991 06:45,0.400,1.48,"2c","Digital Archive","",""
09/01/1991 21:30,0.326,0.93,"2c","Digital Archive","",""
15/02/1991 20:00,0.300,0.77,"2c","Digital Archive","",""
28/02/1991 02:45,0.331,0.97,"2c","Digital Archive","",""
21/12/1991 12:00,0.300,0.77,"2c","Digital Archive","",""
05/01/1992 15:45,0.458,1.97,"2c","Digital Archive","",""
23/09/1992 09:30,0.331,0.97,"2c","Digital Archive","",""
02/10/1992 23:30,0.351,1.11,"2c","Digital Archive","",""
28/10/1992 11:00,0.375,1.28,"2c","Digital Archive","",""
21/11/1992 19:30,0.331,0.97,"2c","Digital Archive","",""
30/11/1992 18:30,0.467,2.05,"2c","Digital Archive","",""
12/04/1993 15:30,0.299,0.76,"2c","Digital Archive","",""
25/04/1993 11:30,0.381,1.33,"2c","Digital Archive","",""
20/05/1993 20:15,0.333,0.98,"2c","Digital Archive","",""
15/07/1993 22:00,0.367,1.22,"2c","Digital Archive","",""
08/09/1993 16:30,0.349,1.09,"2c","Digital Archive","",""
13/09/1993 16:45,0.486,2.23,"2c","Digital Archive","",""
02/10/1993 08:30,0.356,1.14,"2c","Digital Archive","",""
07/10/1993 01:00,0.296,0.74,"2c","Digital Archive","",""
12/10/1993 18:30,0.370,1.24,"2c","Digital Archive","",""
14/11/1993 03:15,0.384,1.35,"2c","Digital Archive","",""
08/12/1993 21:45,0.358,1.15,"2c","Digital Archive","",""
15/12/1993 13:00,0.411,1.56,"2c","Digital Archive","",""
19/12/1993 13:30,0.386,1.37,"2c","Digital Archive","",""
22/12/1993 15:00,0.296,0.74,"2c","Digital Archive","",""
03/01/1994 20:15,0.439,1.80,"2c","Digital Archive","",""
23/01/1994 08:30,0.344,1.05,"2c","Digital Archive","",""
27/01/1994 20:15,0.386,1.37,"2c","Digital Archive","",""
03/02/1994 19:00,0.428,1.71,"2c","Digital Archive","",""
27/02/1994 13:00,0.381,1.33,"2c","Digital Archive","",""
15/05/1994 10:00,0.338,1.01,"2c","Digital Archive","",""
05/11/1994 07:45,0.372,1.26,"2c","Digital Archive","",""
14/11/1994 07:15,0.310,0.83,"2c","Digital Archive","",""
04/12/1994 14:15,0.333,0.98,"2c","Digital Archive","",""
13/12/1994 18:30,0.317,0.87,"2c","Digital Archive","",""
28/12/1994 01:30,0.381,1.33,"2c","Digital Archive","",""
17/01/1995 22:15,0.314,0.85,"2c","Digital Archive","",""
22/01/1995 09:45,0.402,1.49,"2c","Digital Archive","",""
28/01/1995 17:15,0.493,2.30,"2c","Digital Archive","",""
11/02/1995 18:00,0.379,1.31,"2c","Digital Archive","",""
16/02/1995 23:00,0.486,2.23,"2c","Digital Archive","",""
20/02/1995 00:00,0.338,1.01,"2c","Digital Archive","",""
22/02/1995 18:30,0.432,1.74,"2c","Digital Archive","",""
01/03/1995 15:15,0.300,0.77,"2c","Digital Archive","",""
22/12/1995 09:00,0.326,0.93,"2c","Digital Archive","",""
12/02/1996 18:00,0.314,0.85,"2c","Digital Archive","",""
08/06/1996 00:15,0.314,0.85,"2c","Digital Archive","",""
20/08/1996 19:15,0.300,0.77,"2c","Digital Archive","",""
20/12/1996 06:30,0.495,2.31,"2c","Digital Archive","",""
24/02/1997 21:45,0.319,0.89,"2c","Digital Archive","",""
05/05/1997 14:15,0.308,0.82,"2c","Digital Archive","",""
12/06/1997 07:45,0.298,0.75,"2c","Digital Archive","",""
26/07/1997 21:00,0.340,1.03,"2c","Digital Archive","",""
