"NAME:","Foss at Huntington"
"NUMBER:","27083"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
01/07/1988 12:30,1.220,3.01,"","Digital Archive","",""
07/07/1988 03:15,1.218,2.99,"","Digital Archive","",""
24/07/1988 11:15,1.468,3.38,"","Digital Archive","",""
19/08/1988 05:45,1.967,6.26,"","Digital Archive","",""
20/10/1988 23:30,2.109,8.96,"","Digital Archive","",""
26/10/1988 21:30,1.269,3.24,"","Digital Archive","",""
30/11/1988 16:00,2.029,9.94,"","Digital Archive","",""
04/12/1988 07:00,1.720,7.15,"","Digital Archive","",""
25/02/1989 13:15,1.677,6.96,"","Digital Archive","",""
28/01/1990 12:00,2.068,10.57,"","Digital Archive","",""
08/02/1990 05:45,2.049,11.10,"","Digital Archive","",""
09/12/1990 05:15,1.794,6.72,"","Digital Archive","",""
09/01/1991 07:45,1.552,5.35,"","Digital Archive","",""
16/02/1991 07:45,1.281,3.36,"","Digital Archive","",""
22/02/1991 03:45,1.955,9.35,"","Digital Archive","",""
28/02/1991 15:30,2.115,11.03,"","Digital Archive","",""
08/03/1991 03:45,1.435,4.82,"","Digital Archive","",""
19/03/1991 09:45,1.447,4.69,"","Digital Archive","",""
31/03/1992 21:45,1.774,6.66,"","Digital Archive","",""
28/10/1992 07:00,1.483,3.96,"","Digital Archive","",""
23/11/1992 04:30,1.493,4.71,"","Digital Archive","",""
01/12/1992 03:45,2.282,11.40,"","Digital Archive","Peak examined by eye and appears reasonable.",""
07/12/1992 12:45,1.871,8.14,"","Digital Archive","",""
19/12/1992 02:45,1.343,3.89,"","Digital Archive","",""
14/01/1993 03:00,1.378,4.19,"","Digital Archive","",""
10/04/1993 09:30,1.751,6.97,"","Digital Archive","",""
25/04/1993 21:30,1.628,5.75,"","Digital Archive","",""
15/09/1993 18:45,1.758,4.53,"","Digital Archive","",""
06/10/1993 10:00,1.697,5.23,"","Digital Archive","",""
14/11/1993 20:15,1.965,8.22,"","Digital Archive","",""
30/11/1993 22:15,1.345,3.80,"","Digital Archive","",""
09/12/1993 05:45,1.623,5.82,"","Digital Archive","",""
13/12/1993 09:30,1.899,8.31,"","Digital Archive","",""
19/12/1993 20:00,1.376,4.19,"","Digital Archive","",""
29/12/1993 20:45,1.644,6.18,"","Digital Archive","",""
04/01/1994 06:15,2.211,11.20,"","Digital Archive","Non-independent peak removed Peak examined by eye and appears reasonable.",""
10/01/1994 11:00,1.606,6.18,"","Digital Archive","",""
19/01/1994 03:15,1.324,3.88,"","Digital Archive","",""
26/01/1994 11:45,1.501,5.22,"","Digital Archive","",""
04/02/1994 03:00,1.343,3.97,"","Digital Archive","",""
26/02/1994 22:15,2.138,10.90,"","Digital Archive","Peak examined by eye and appears reasonable.",""
05/11/1994 19:00,1.333,3.39,"","Digital Archive","",""
20/11/1994 19:30,1.639,5.92,"","Digital Archive","",""
05/12/1994 00:30,1.830,7.36,"","Digital Archive","",""
14/12/1994 02:30,1.440,4.66,"","Digital Archive","",""
28/12/1994 11:15,1.753,7.39,"","Digital Archive","",""
31/12/1994 22:00,1.406,4.57,"","Digital Archive","",""
11/01/1995 05:00,1.330,4.01,"","Digital Archive","",""
18/01/1995 06:45,1.291,3.72,"","Digital Archive","",""
22/01/1995 02:45,1.536,5.63,"","Digital Archive","",""
26/01/1995 22:30,2.029,9.99,"","Digital Archive","",""
01/02/1995 08:45,1.832,8.32,"","Digital Archive","",""
12/02/1995 01:45,1.871,8.66,"","Digital Archive","",""
17/02/1995 07:00,1.539,5.73,"","Digital Archive","",""
23/02/1995 02:00,1.365,4.33,"","Digital Archive","",""
23/12/1995 02:15,1.304,3.29,"","Digital Archive","",""
13/02/1996 00:30,2.168,11.80,"","Digital Archive","Peak examined by eye and appears reasonable.",""
20/12/1996 12:15,1.549,5.02,"","Digital Archive","",""
01/07/1997 14:45,1.488,3.51,"","Digital Archive","",""
20/12/1997 08:00,2.105,10.40,"","Digital Archive","",""
25/12/1997 03:45,1.649,6.48,"","Digital Archive","",""
03/01/1998 21:00,1.934,8.91,"","Digital Archive","",""
08/01/1998 23:45,1.944,8.94,"","Digital Archive","",""
19/01/1998 03:00,2.078,9.22,"","Digital Archive","",""
04/03/1998 13:30,1.723,7.08,"","Digital Archive","",""
07/03/1998 15:30,1.486,5.33,"","Digital Archive","",""
03/04/1998 14:30,1.797,7.43,"","Digital Archive","",""
09/04/1998 14:00,1.271,3.58,"","Digital Archive","",""
23/04/1998 14:00,1.631,6.07,"","Digital Archive","",""
03/06/1998 06:45,1.557,4.15,"","Digital Archive","",""
25/10/1998 02:45,1.807,7.44,"","Digital Archive","Non-independent peak removed",""
04/11/1998 00:00,1.238,3.32,"","Digital Archive","",""
09/11/1998 14:45,1.440,4.88,"","Digital Archive","",""
09/12/1998 01:45,1.291,3.84,"","Digital Archive","",""
13/12/1998 10:15,1.432,4.91,"","Digital Archive","",""
27/12/1998 02:45,1.322,4.05,"","Digital Archive","",""
08/01/1999 18:15,1.702,6.98,"","Digital Archive","",""
16/01/1999 09:30,1.585,6.30,"","Digital Archive","",""
27/01/1999 02:15,1.639,6.65,"","Digital Archive","",""
03/03/1999 05:30,1.338,4.27,"","Digital Archive","",""
06/03/1999 20:00,1.542,5.93,"","Digital Archive","",""
10/03/1999 01:15,1.404,4.76,"","Digital Archive","",""
21/04/1999 05:30,2.012,9.99,"","Digital Archive","",""
24/04/1999 13:00,1.603,6.31,"","Digital Archive","",""
08/06/1999 22:00,2.309,11.30,"","Digital Archive","Peak examined by eye and appears reasonable.",""
25/10/1999 15:00,1.297,3.55,"","Digital Archive","",""
06/11/1999 12:45,1.636,6.22,"","Digital Archive","",""
12/12/1999 05:00,1.554,5.85,"","Digital Archive","",""
17/12/1999 11:45,1.386,4.51,"","Digital Archive","",""
25/12/1999 06:30,1.712,7.22,"","Digital Archive","",""
15/01/2000 01:15,1.641,6.68,"","Digital Archive","",""
13/04/2000 17:15,1.830,8.25,"","Digital Archive","",""
22/04/2000 21:30,1.991,9.78,"","Digital Archive","",""
25/04/2000 22:30,2.118,11.10,"","Digital Archive","",""
27/05/2000 16:15,1.384,3.85,"","Digital Archive","",""
04/06/2000 17:30,1.912,8.22,"","Digital Archive","",""
10/10/2000 05:45,1.442,4.51,"","Digital Archive","",""
03/11/2000 17:30,2.897,17.00,"","Digital Archive","Peak examined by eye and appears reasonable.",""
06/11/2000 23:45,2.483,14.40,"","Digital Archive","Peak examined by eye and appears reasonable.",""
22/11/2000 15:45,1.601,6.43,"","Digital Archive","",""
