"NAME:","Derwent at Low Marishes"
"NUMBER:","27087"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
24/07/1989 00:00,1.210,2.34,"1a","Digital Archive","","AMAX ONLY"
17/12/1989 18:30,1.963,4.05,"1a","Digital Archive","","AMAX ONLY"
29/01/1990 12:45,3.440,7.27,"1b","Digital Archive","",""
31/01/1990 03:15,3.306,6.86,"1b","Digital Archive","",""
09/02/1990 01:45,3.575,10.62,"1b","Digital Archive","",""
09/12/1990 20:45,4.246,16.61,"1b","Digital Archive","Peak examined by eye and appears reasonable.",""
29/12/1990 17:00,3.109,9.81,"1b","Digital Archive","",""
02/01/1991 17:30,2.868,8.39,"1a","Digital Archive","",""
10/01/1991 21:00,3.518,12.67,"1b","Digital Archive","",""
19/01/1991 17:45,2.336,6.60,"1a","Digital Archive","",""
17/02/1991 23:15,2.542,10.10,"1a","Digital Archive","",""
01/03/1991 02:45,3.801,12.25,"1b","Digital Archive","",""
01/04/1992 04:30,3.826,8.90,"1b","Digital Archive","",""
16/04/1992 13:30,3.134,7.60,"1b","Digital Archive","",""
29/10/1992 01:00,3.125,6.50,"1b","Digital Archive","",""
23/11/1992 19:30,2.605,6.38,"1a","Digital Archive","",""
01/12/1992 19:00,3.759,7.78,"1b","Digital Archive","",""
09/12/1992 03:30,3.710,10.40,"1b","Digital Archive","",""
19/12/1992 10:15,3.248,9.02,"1b","Digital Archive","",""
14/01/1993 11:15,2.636,7.61,"1a","Digital Archive","",""
11/04/1993 12:00,3.257,8.42,"1b","Digital Archive","",""
26/04/1993 12:15,3.259,9.95,"1b","Digital Archive","",""
17/09/1993 13:00,4.390,11.70,"1b","Digital Archive","",""
15/11/1993 00:15,3.885,9.62,"1b","Digital Archive","",""
16/11/1993 10:30,3.980,12.40,"1b","Digital Archive","",""
15/12/1993 02:15,3.563,10.20,"1b","Digital Archive","",""
05/01/1994 19:00,3.865,12.90,"1b","Digital Archive","",""
07/01/1994 12:30,4.057,13.60,"1b","Digital Archive","",""
12/01/1994 16:15,4.059,15.10,"1b","Digital Archive","",""
04/02/1994 15:45,3.148,9.71,"1b","Digital Archive","",""
27/02/1994 04:00,3.605,14.20,"1b","Digital Archive","",""
02/03/1994 08:45,3.582,11.90,"1b","Digital Archive","",""
21/11/1994 04:15,2.631,7.19,"1a","Digital Archive","",""
01/01/1995 16:30,3.246,11.20,"1b","Digital Archive","",""
12/01/1995 04:00,3.223,9.04,"1b","Digital Archive","",""
26/01/1995 16:15,2.946,12.10,"1a","Digital Archive","",""
03/02/1995 14:45,3.499,10.90,"1b","Digital Archive","",""
13/02/1995 04:00,3.428,9.64,"1b","Digital Archive","",""
29/03/1995 09:30,1.797,6.21,"1a","Digital Archive","",""
23/12/1995 20:15,3.089,6.84,"1b","Digital Archive","",""
10/01/1996 13:00,3.141,9.90,"1b","Digital Archive","",""
13/02/1996 00:45,3.857,14.10,"1b","Digital Archive","",""
16/02/1996 03:30,3.719,12.30,"1b","Digital Archive","",""
21/12/1996 04:00,3.848,15.04,"1b","Digital Archive","",""
03/07/1997 11:00,3.594,7.51,"1b","Digital Archive","",""
21/12/1997 01:00,3.773,9.37,"1b","Digital Archive","",""
26/12/1997 05:00,3.437,8.31,"1b","Digital Archive","",""
05/01/1998 21:00,3.910,16.46,"1b","Digital Archive","",""
09/01/1998 20:00,3.921,16.56,"1b","Digital Archive","Peak examined by eye and appears reasonable.",""
20/01/1998 06:30,3.904,16.42,"1b","Digital Archive","",""
08/03/1998 04:45,2.575,7.87,"1a","Digital Archive","",""
11/04/1998 17:00,4.421,17.50,"1b","Digital Archive","",""
13/04/1998 04:15,4.369,16.80,"1b","Digital Archive","",""
29/04/1998 10:45,2.638,11.80,"1a","Digital Archive","",""
04/06/1998 00:30,3.105,11.60,"1b","Digital Archive","",""
26/10/1998 15:15,3.512,7.39,"1b","Digital Archive","",""
05/11/1998 04:45,3.239,7.73,"1b","Digital Archive","",""
10/11/1998 11:45,2.858,6.64,"1a","Digital Archive","",""
17/11/1998 12:45,3.075,8.75,"1b","Digital Archive","",""
09/12/1998 21:45,2.905,9.56,"1a","Digital Archive","",""
28/12/1998 00:15,2.654,8.34,"1a","Digital Archive","",""
10/01/1999 04:30,3.368,10.99,"1b","Digital Archive","",""
16/02/1999 01:00,2.403,7.82,"1a","Digital Archive","",""
10/03/1999 11:30,4.809,23.70,"1b","Digital Archive","",""
22/04/1999 14:15,3.453,7.85,"1b","Digital Archive","",""
07/11/1999 11:00,3.242,7.15,"1b","Digital Archive","",""
20/11/1999 12:15,3.329,6.54,"1b","Digital Archive","",""
16/12/1999 12:00,2.808,9.22,"1a","Digital Archive","",""
26/12/1999 04:45,3.302,8.88,"1b","Digital Archive","",""
15/01/2000 23:00,3.569,9.63,"1b","Digital Archive","",""
04/04/2000 14:15,3.263,14.70,"1b","Digital Archive","",""
13/04/2000 16:15,3.900,12.40,"1b","Digital Archive","",""
16/04/2000 15:15,3.552,13.60,"1b","Digital Archive","",""
28/05/2000 08:15,2.434,7.06,"1a","Digital Archive","",""
05/06/2000 22:45,3.512,13.40,"1b","Digital Archive","",""
21/09/2000 05:15,3.525,9.09,"1b","Digital Archive","",""
11/10/2000 17:00,3.088,9.03,"1b","Digital Archive","",""
31/10/2000 07:15,4.520,10.97,"1b","Digital Archive","Non-independent peak removed A",""
10/11/2000 01:15,4.993,28.70,"1b","Digital Archive","",""
08/12/2000 22:15,3.871,11.00,"1b","Digital Archive","",""
12/12/2000 08:00,3.571,11.90,"1b","Digital Archive","",""
02/01/2001 07:00,3.322,13.00,"1b","Digital Archive","",""
24/01/2001 01:45,3.381,11.70,"1b","Digital Archive","",""
06/02/2001 08:15,3.890,17.80,"1b","Digital Archive","",""
07/02/2001 14:30,4.163,15.10,"1b","Digital Archive","",""
01/03/2001 00:15,2.976,12.80,"1a","Digital Archive","",""
29/03/2001 18:15,3.032,12.00,"1b","Digital Archive","",""
08/04/2001 13:15,3.625,10.93,"1b","Digital Archive","",""
20/04/2001 08:15,2.569,9.85,"1a","Digital Archive","",""
01/10/2001 03:45,2.625,7.34,"1a","Digital Archive","",""
02/10/2001 17:00,3.078,8.10,"1b","Digital Archive","",""
27/10/2001 22:30,2.561,6.77,"1a","Digital Archive","",""
09/11/2001 19:45,2.944,9.56,"1a","Digital Archive","",""
14/11/2001 23:15,2.674,7.71,"1a","Digital Archive","",""
07/12/2001 02:15,3.256,8.81,"1b","Digital Archive","",""
25/12/2001 21:45,3.421,10.30,"1b","Digital Archive","",""
28/01/2002 18:00,2.210,7.56,"1a","Digital Archive","",""
12/02/2002 15:30,2.701,8.61,"1a","Digital Archive","",""
26/02/2002 19:45,3.877,11.63,"1b","Digital Archive","",""
28/02/2002 01:15,4.131,10.75,"1b","Digital Archive","",""
28/04/2002 13:00,1.222,4.93,"1a","Digital Archive","",""
28/04/2002 23:30,1.241,3.80,"1a","Digital Archive","",""
29/04/2002 15:15,1.268,5.92,"1a","Digital Archive","",""
30/04/2002 11:00,1.302,4.49,"1a","Digital Archive","",""
01/05/2002 13:15,1.351,4.28,"1a","Digital Archive","",""
05/05/2002 13:00,1.149,4.02,"1a","Digital Archive","",""
06/05/2002 04:45,1.146,3.87,"1a","Digital Archive","",""
09/05/2002 16:15,1.154,3.75,"1a","Digital Archive","",""
29/05/2002 12:30,1.225,3.57,"1a","Digital Archive","",""
09/06/2002 18:00,1.138,3.13,"1a","Digital Archive","",""
10/06/2002 04:15,1.152,3.20,"1a","Digital Archive","",""
22/06/2002 14:15,1.088,3.17,"1a","Digital Archive","",""
26/06/2002 12:15,1.057,3.37,"1a","Digital Archive","",""
05/08/2002 00:45,3.558,7.39,"1b","Digital Archive","",""
12/08/2002 20:45,2.976,11.04,"1a","Digital Archive","",""
10/09/2002 22:30,2.243,4.44,"1a","Digital Archive","",""
23/10/2002 04:15,3.065,8.37,"1b","Digital Archive","",""
03/11/2002 12:45,3.917,10.58,"1b","Digital Archive","",""
20/11/2002 04:15,3.502,10.78,"1b","Digital Archive","",""
06/12/2002 09:00,2.601,7.90,"1a","Digital Archive","",""
30/12/2002 12:30,3.861,12.22,"1b","Digital Archive","",""
04/01/2003 00:45,4.333,15.10,"1b","Digital Archive","",""
30/01/2003 16:45,3.535,14.53,"1b","Digital Archive","",""
11/03/2003 14:30,1.761,7.83,"1a","Digital Archive","",""
19/04/2003 11:45,1.195,4.10,"1a","Digital Archive","",""
05/05/2003 16:00,1.276,4.37,"1a","Digital Archive","",""
06/05/2003 08:15,1.226,4.95,"1a","Digital Archive","",""
08/05/2003 05:30,1.174,4.24,"1a","Digital Archive","",""
08/05/2003 15:30,1.199,3.60,"1a","Digital Archive","",""
20/05/2003 09:30,1.398,4.37,"1a","Digital Archive","",""
02/07/2003 09:15,1.748,5.32,"1a","Digital Archive","",""
03/12/2003 05:15,2.894,7.65,"1a","Digital Archive","Series used : F2702F3,F2702SG,",""
24/12/2003 23:30,3.111,10.80,"1b","Digital Archive","Series used : F2702F3,F2702SG,",""
22/01/2004 11:00,3.867,11.60,"1b","Digital Archive","Series used : F2702F3,F2702SG,",""
02/02/2004 16:45,4.486,18.40,"1b","Digital Archive","Series used : F2702F3,F2702SG,",""
01/03/2004 00:15,2.490,10.40,"1a","Digital Archive","Series used : F2702F3,F2702SG,",""
19/03/2004 15:00,1.821,7.29,"1a","Digital Archive","Series used : F2702F3,F2702SG,",""
20/03/2004 19:45,2.261,8.37,"1a","Digital Archive","Series used : F2702F3,F2702SG,",""
05/04/2004 04:00,3.722,11.00,"1b","Digital Archive","Series used : F2702F3,F2702SG,",""
22/04/2004 01:15,3.881,11.40,"1b","Digital Archive","Series used : F2702F3,F2702SG,",""
15/08/2004 11:00,3.343,7.47,"1b","Digital Archive","Series used : F2702F3,F2702SG,",""
26/08/2004 16:30,3.517,9.49,"1b","Digital Archive","Series used : F2702F3,F2702SG,",""
22/10/2004 06:45,3.327,7.57,"1b","Digital Archive","Series used : F2702F3,F2702SG,",""
