"NAME:","Calder at Mytholmroyd"
"NUMBER:","27088"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
25/01/1990 11:15,3.159,68.80,"D3","Digital Archive","",""
29/01/1990 19:15,3.223,71.59,"D3","Digital Archive","",""
26/12/1990 14:45,3.439,81.51,"D3","Digital Archive","",""
01/01/1991 23:30,3.274,73.86,"D3","Digital Archive","",""
23/02/1991 05:45,3.246,72.61,"D3","Digital Archive","",""
11/11/1991 01:15,2.923,59.30,"D2","Digital Archive","",""
21/12/1991 13:00,3.496,84.26,"D3","Digital Archive","",""
05/01/1992 17:15,2.779,53.79,"D2","Digital Archive","",""
02/12/1992 16:45,3.456,82.33,"D3","Digital Archive","",""
18/12/1992 13:45,2.916,59.03,"D2","Digital Archive","",""
13/09/1993 10:45,2.742,52.40,"D2","Digital Archive","",""
09/12/1993 00:00,2.771,53.49,"D2","Digital Archive","",""
16/12/1993 06:15,3.204,70.76,"D3","Digital Archive","",""
19/12/1993 10:45,3.483,83.63,"D3","Digital Archive","",""
02/01/1994 11:15,2.804,54.74,"D2","Digital Archive","",""
31/01/1995 23:00,4.208,123.34,"D3","Digital Archive","",""
18/02/1996 03:45,2.135,31.12,"D2","Digital Archive","","AMAX ONLY"
06/11/1996 02:30,3.316,75.77,"D3","Digital Archive","",""
08/01/1998 22:00,3.138,67.90,"D3","Digital Archive","",""
04/03/1998 04:00,2.791,54.24,"D2","Digital Archive","",""
07/03/1998 00:00,3.375,78.49,"D3","Digital Archive","",""
23/10/1998 01:45,3.100,66.29,"D3","Digital Archive","",""
24/10/1998 15:15,3.885,104.50,"D3","Digital Archive","",""
12/11/1998 20:30,2.732,52.02,"D2","Digital Archive","",""
15/01/1999 22:00,3.071,65.10,"D2","Digital Archive","",""
02/03/1999 18:00,3.005,62.50,"D2","Digital Archive","",""
01/10/1999 18:15,3.261,73.28,"D3","Digital Archive","",""
03/12/1999 06:45,2.942,60.03,"D2","Digital Archive","",""
06/12/1999 17:45,3.077,65.34,"D2","Digital Archive","",""
12/12/1999 03:30,2.816,55.19,"D2","Digital Archive","",""
02/03/2000 21:15,2.888,57.95,"D2","Digital Archive","",""
08/03/2000 06:30,3.381,78.77,"D3","Digital Archive","",""
04/06/2000 01:45,4.553,145.58,"D3","Digital Archive","",""
09/10/2000 17:30,2.787,54.09,"D2","Digital Archive","",""
30/10/2000 09:30,3.745,96.91,"D3","Digital Archive","",""
01/11/2000 16:45,3.028,63.40,"D2","Digital Archive","",""
06/11/2000 10:15,3.060,64.67,"D2","Digital Archive","",""
11/02/2001 20:45,3.267,73.55,"D3","Digital Archive","",""
08/10/2001 05:15,3.472,83.10,"D3","Digital Archive","",""
08/02/2002 20:45,2.744,52.47,"D2","Digital Archive","",""
11/02/2002 03:45,3.710,95.07,"D3","Digital Archive","",""
19/02/2002 22:00,2.997,62.18,"D2","Digital Archive","",""
22/02/2002 05:15,2.935,59.76,"D2","Digital Archive","",""
25/02/2002 16:15,3.401,79.71,"D3","Digital Archive","",""
14/06/2002 19:30,3.341,76.91,"D3","Digital Archive","",""
02/08/2002 07:15,3.391,79.24,"D3","Digital Archive","",""
29/12/2002 23:00,3.291,74.63,"D3","Digital Archive","",""
04/02/2004 18:15,3.499,84.41,"D3","Digital Archive","",""
10/08/2004 08:00,3.337,76.71,"D3","Digital Archive","",""
20/08/2004 08:30,2.965,60.94,"D2","Digital Archive","",""
23/10/2004 00:15,3.378,78.61,"D3","Digital Archive","",""
28/12/2004 02:00,2.871,57.27,"D2","Digital Archive","",""
07/01/2005 19:00,3.356,77.58,"D3","Digital Archive","",""
12/02/2005 06:00,3.369,78.20,"D3","Digital Archive","",""
24/10/2005 10:45,2.766,53.31,"D2","Digital Archive","",""
02/07/2006 19:15,3.202,70.67,"D3","Digital Archive","",""
11/01/2007 06:45,3.381,78.77,"D3","Digital Archive","",""
18/01/2007 09:00,3.886,104.56,"D3","Digital Archive","",""
25/06/2007 13:45,3.369,78.21,"D3","Digital Archive","",""
01/07/2007 16:30,2.930,59.57,"D2","Digital Archive","",""
06/07/2007 08:00,3.062,64.75,"D2","Digital Archive","",""
08/12/2007 18:45,2.764,53.23,"D2","Digital Archive","",""
10/01/2008 02:30,3.528,85.83,"D3","Digital Archive","",""
21/01/2008 12:00,4.171,121.09,"D3","Digital Archive","",""
17/08/2008 03:15,3.199,70.54,"D3","Digital Archive","",""
20/08/2008 23:15,2.961,60.77,"D2","Digital Archive","",""
06/09/2008 05:30,3.552,87.01,"D3","Digital Archive","",""
26/10/2008 06:30,3.258,73.15,"D3","Digital Archive","",""
19/12/2008 20:00,2.734,52.10,"D2","Digital Archive","",""
22/01/2009 07:30,3.123,67.26,"D3","Digital Archive","",""
17/07/2009 20:30,2.811,55.00,"D2","Digital Archive","",""
01/11/2009 12:00,3.386,79.01,"D3","Digital Archive","",""
18/11/2009 09:00,3.978,109.74,"D3","Digital Archive","",""
23/11/2009 06:45,3.013,62.81,"D2","Digital Archive","",""
25/11/2009 00:30,3.260,73.24,"D3","Digital Archive","",""
03/10/2010 13:00,4.136,118.98,"D3","Digital Archive","",""
02/11/2010 22:45,3.044,64.03,"D2","Digital Archive","",""
04/11/2010 18:15,3.212,71.11,"D3","Digital Archive","",""
13/12/2011 03:30,2.867,57.14,"D2","Digital Archive","",""
03/01/2012 07:00,3.170,69.27,"D3","Digital Archive","",""
04/01/2012 21:00,3.071,65.10,"D2","Digital Archive","",""
22/06/2012 22:00,4.916,171.42,"D3","Digital Archive","",""
06/07/2012 13:45,3.143,68.11,"D3","Digital Archive","",""
25/08/2012 13:00,3.441,81.61,"D3","Digital Archive","",""
25/09/2012 10:45,3.153,68.54,"D3","Digital Archive","",""
31/12/2012 15:30,2.963,60.85,"D2","Digital Archive","",""
27/01/2013 05:45,2.952,60.42,"D2","Digital Archive","",""
29/01/2013 20:15,2.745,52.51,"D2","Digital Archive","",""
29/07/2013 18:45,3.114,66.88,"D3","Digital Archive","",""
15/02/2014 07:00,2.755,52.89,"D2","Digital Archive","",""
18/12/2014 18:00,3.213,71.15,"D3","Digital Archive","",""
31/03/2015 00:45,2.825,55.53,"D2","Digital Archive","",""
08/05/2015 22:45,2.784,53.98,"D2","Digital Archive","",""
02/06/2015 00:00,3.138,67.90,"D3","Digital Archive","",""
09/11/2015 15:15,3.081,65.50,"D2","Digital Archive","",""
15/11/2015 10:15,3.993,110.59,"D3","Digital Archive","",""
28/11/2015 22:45,2.757,52.96,"D2","Digital Archive","",""
30/11/2015 14:45,2.967,61.01,"D2","Digital Archive","",""
10/12/2015 09:30,2.952,60.42,"D2","Digital Archive","",""
12/12/2015 17:30,4.347,132.04,"D3","Digital Archive","",""
26/12/2015 14:00,5.735,239.32,"D3","Digital Archive","",""
27/01/2016 08:45,3.003,62.42,"D2","Digital Archive","",""
