"NAME:","Wharfe at Tadcaster"
"NUMBER:","27089"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
01/11/1991 08:15,1.740,109.88,"B2","Digital Archive","",""
08/11/1991 11:30,2.037,124.84,"B2","Digital Archive","",""
11/11/1991 15:00,2.332,139.10,"B2","Digital Archive","",""
19/11/1991 16:45,2.062,126.08,"B2","Digital Archive","",""
22/12/1991 18:45,2.772,205.23,"B3","Digital Archive","",""
06/01/1992 06:30,2.763,203.80,"B3","Digital Archive","",""
23/02/1992 04:30,1.817,113.80,"B2","Digital Archive","",""
13/03/1992 06:15,2.035,124.70,"B2","Digital Archive","",""
03/12/1992 02:15,2.708,194.24,"B3","Digital Archive","",""
19/12/1992 01:15,2.397,145.67,"B3","Digital Archive","",""
15/01/1993 23:30,1.858,111.88,"B2","Digital Archive","",""
24/01/1993 10:30,2.230,130.19,"B2","Digital Archive","",""
14/05/1993 21:30,2.023,118.16,"B2","Digital Archive","",""
14/09/1993 13:00,3.130,270.08,"B3","Digital Archive","Peak examined by eye and appears reasonable.",""
09/12/1993 11:15,2.469,155.99,"B3","Digital Archive","",""
16/12/1993 09:45,2.227,128.09,"B2","Digital Archive","",""
19/12/1993 23:00,2.657,175.52,"B3","Digital Archive","",""
04/01/1994 06:30,1.702,100.90,"B2","Digital Archive","",""
23/01/1994 19:15,1.899,102.99,"B2","Digital Archive","",""
24/03/1994 08:45,2.394,136.12,"B3","Digital Archive","",""
04/04/1994 13:15,1.317,97.00,"B2","Digital Archive","",""
14/11/1994 19:15,2.509,147.00,"B3","Digital Archive","",""
11/12/1994 00:45,1.799,108.88,"B2","Digital Archive","",""
29/12/1994 12:30,2.490,155.63,"B3","Digital Archive","",""
29/01/1995 09:00,2.719,189.98,"B3","Digital Archive","",""
01/02/1995 13:30,3.440,340.85,"B3","Digital Archive","Peak examined by eye and appears reasonable.",""
12/02/1995 09:00,2.453,140.78,"B3","Digital Archive","",""
19/02/1995 13:15,1.460,98.20,"B2","Digital Archive","",""
23/02/1995 03:15,2.321,136.53,"B2","Digital Archive","",""
01/03/1995 14:30,1.393,103.00,"B2","Digital Archive","",""
18/02/1996 16:15,1.809,111.39,"B2","Digital Archive","",""
06/11/1996 16:45,2.299,215.44,"B2","Digital Archive","",""
20/12/1996 13:00,2.206,133.03,"B2","Digital Archive","",""
04/02/1997 23:15,2.191,132.36,"B2","Digital Archive","",""
13/02/1997 03:00,1.940,119.99,"B2","Digital Archive","",""
18/02/1997 12:45,2.249,135.10,"B2","Digital Archive","",""
02/03/1997 19:45,1.539,100.39,"B2","Digital Archive","",""
06/05/1997 01:15,2.361,130.63,"B2","Digital Archive","",""
10/12/1997 20:15,2.163,125.90,"B2","Digital Archive","",""
26/12/1997 14:45,2.391,136.90,"B3","Digital Archive","",""
04/01/1998 00:45,2.032,121.70,"B2","Digital Archive","",""
09/01/1998 14:00,2.823,177.40,"B3","Digital Archive","Peak examined by eye and appears reasonable.",""
19/01/1998 01:15,1.511,104.00,"B2","Digital Archive","",""
04/03/1998 14:30,2.053,121.50,"B2","Digital Archive","",""
07/03/1998 18:15,2.891,198.90,"B3","Digital Archive","Peak examined by eye and appears reasonable.",""
09/04/1998 17:15,1.588,102.64,"B2","Digital Archive","",""
09/06/1998 09:45,1.246,96.80,"B2","Digital Archive","",""
04/08/1998 04:30,1.542,114.50,"B2","Digital Archive","",""
17/10/1998 10:15,2.332,140.06,"B2","Digital Archive","",""
28/10/1998 04:15,2.579,174.02,"B3","Digital Archive","",""
13/11/1998 09:45,1.605,102.89,"B2","Digital Archive","",""
14/12/1998 14:00,1.480,97.18,"B2","Digital Archive","",""
06/01/1999 18:30,2.283,138.77,"B2","Digital Archive","",""
16/01/1999 12:15,2.450,154.19,"B3","Digital Archive","",""
25/01/1999 19:15,1.797,112.83,"B2","Digital Archive","",""
03/03/1999 22:00,2.523,165.96,"B3","Digital Archive","",""
21/04/1999 09:15,1.575,107.73,"B2","Digital Archive","",""
02/10/1999 18:30,2.591,174.78,"B3","Digital Archive","",""
04/12/1999 00:45,,173.60,"B3","F2002.F3.HiUKPOT","",""
07/12/1999 10:00,,223.40,"B3","F2002.F3.HiUKPOT","",""
12/12/1999 06:15,,131.20,"B3","F2002.F3.HiUKPOT","",""
17/12/1999 19:30,,131.60,"B3","F2002.F3.HiUKPOT","",""
29/01/2000 19:45,,138.80,"B3","F2002.F3.HiUKPOT","",""
03/03/2000 15:00,,186.20,"B3","F2002.F3.HiUKPOT","",""
08/03/2000 15:30,,147.50,"B3","F2002.F3.HiUKPOT","",""
04/06/2000 22:30,,246.30,"B3","F2002.F3.HiUKPOT","",""
20/09/2000 12:00,,146.30,"B3","F2002.F3.HiUKPOT","",""
31/10/2000 14:30,,326.10,"B3","F2002.F3.HiUKPOT","",""
07/11/2000 01:30,,297.50,"B3","F2002.F3.HiUKPOT","",""
09/12/2000 03:00,,135.50,"B3","F2002.F3.HiUKPOT","",""
13/12/2000 17:00,,128.70,"B3","F2002.F3.HiUKPOT","",""
08/02/2001 00:30,,174.70,"B3","F2002.F3.HiUKPOT","",""
12/02/2001 10:00,,173.40,"B3","F2002.F3.HiUKPOT","",""
12/02/2002 00:00,,301.10,"B3","F2002.F3.HiUKPOT","",""
22/02/2002 19:45,,147.50,"B3","F2002.F3.HiUKPOT","",""
26/02/2002 08:15,,153.20,"B3","F2002.F3.HiUKPOT","",""
15/06/2002 06:00,,127.30,"B3","F2002.F3.HiUKPOT","",""
03/08/2002 02:00,,215.60,"B3","F2002.F3.HiUKPOT","",""
30/12/2002 18:00,,132.60,"B3","F2002.F3.HiUKPOT","",""
01/02/2004 08:00,,148.70,"B3","F2002.F3.HiUKPOT","",""
05/02/2004 09:30,,159.20,"B3","F2002.F3.HiUKPOT","",""
11/08/2004 03:45,,152.90,"B3","F2002.F3.HiUKPOT","",""
23/10/2004 18:45,,131.00,"B3","F2002.F3.HiUKPOT","",""
08/01/2005 14:45,,263.40,"B3","F2002.F3.HiUKPOT","",""
24/10/2005 23:45,,133.20,"B3","F2002.F3.HiUKPOT","",""
28/03/2006 18:00,,136.20,"B3","F2002.F3.HiUKPOT","",""
25/11/2006 13:45,,133.30,"B3","F2002.F3.HiUKPOT","",""
05/12/2006 20:30,,150.20,"B3","F2002.F3.HiUKPOT","",""
11/12/2006 22:30,,150.70,"B3","F2002.F3.HiUKPOT","",""
15/12/2006 10:30,,143.40,"B3","F2002.F3.HiUKPOT","",""
11/01/2007 22:45,,166.90,"B3","F2002.F3.HiUKPOT","",""
19/01/2007 02:30,,170.10,"B3","F2002.F3.HiUKPOT","",""
16/06/2007 01:00,,133.20,"B3","F2002.F3.HiUKPOT","",""
26/06/2007 05:45,,201.90,"B3","F2002.F3.HiUKPOT","",""
04/07/2007 00:45,,137.60,"B3","F2002.F3.HiUKPOT","",""
09/12/2007 08:30,,129.60,"B3","F2002.F3.HiUKPOT","",""
11/01/2008 03:30,,203.60,"B3","F2002.F3.HiUKPOT","",""
22/01/2008 08:00,,306.20,"B3","F2002.F3.HiUKPOT","",""
01/03/2008 08:15,,136.60,"B3","F2002.F3.HiUKPOT","",""
17/08/2008 22:00,,188.00,"B3","F2002.F3.HiUKPOT","",""
06/09/2008 18:45,,201.70,"B3","F2002.F3.HiUKPOT","",""
05/10/2008 08:30,,140.30,"B3","F2002.F3.HiUKPOT","",""
26/10/2008 19:00,,141.80,"B3","F2002.F3.HiUKPOT","",""
14/12/2008 02:45,,148.60,"B3","F2002.F3.HiUKPOT","",""
20/12/2008 13:00,,150.90,"B3","F2002.F3.HiUKPOT","",""
22/01/2009 19:30,,136.10,"B3","F2002.F3.HiUKPOT","",""
02/11/2009 01:45,,130.00,"B3","F2002.F3.HiUKPOT","",""
18/11/2009 23:45,,151.20,"B3","F2002.F3.HiUKPOT","",""
23/11/2009 13:15,,129.10,"B3","F2002.F3.HiUKPOT","",""
30/11/2009 14:30,,299.70,"B3","F2002.F3.HiUKPOT","",""
05/11/2010 13:00,,238.00,"B3","F2002.F3.HiUKPOT","",""
