"NAME:","Trent at Colwick"
"NUMBER:","28009"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
05/10/1958 00:00,3.220,326.97,"1b","CEH POTs","",""
02/11/1958 00:00,2.500,215.55,"1b","CEH POTs","",""
13/12/1958 00:00,3.200,323.72,"1b","CEH POTs","",""
23/01/1959 00:00,4.370,539.03,"1c","CEH POTs","",""
01/02/1959 00:00,1.820,122.52,"1b","CEH POTs","",""
08/03/1959 00:00,2.100,159.20,"1b","CEH POTs","",""
17/04/1959 00:00,3.130,312.41,"1b","CEH POTs","",""
12/05/1959 00:00,1.220,51.91,"1a","CEH POTs","",""
08/06/1959 00:00,0.990,28.84,"1a","CEH POTs","",""
28/07/1959 00:00,1.150,44.18,"1a","CEH POTs","",""
11/08/1959 00:00,1.370,69.28,"1b","CEH POTs","",""
02/09/1959 00:00,0.910,22.37,"1a","CEH POTs","",""
28/10/1959 00:00,1.340,66.02,"1b","CEH POTs","",""
26/11/1959 00:00,2.120,161.91,"1b","CEH POTs","",""
30/12/1959 00:00,2.400,201.06,"1b","CEH POTs","",""
10/01/1960 00:00,2.910,277.55,"1b","CEH POTs","",""
31/01/1960 00:00,5.130,806.13,"1d","CEH POTs","",""
01/02/1960 00:00,5.090,784.96,"1d","CEH POTs","",""
01/03/1960 00:00,2.150,166.00,"1b","CEH POTs","",""
04/04/1960 00:00,1.810,121.25,"1b","CEH POTs","",""
13/05/1960 00:00,1.920,135.33,"1b","CEH POTs","",""
24/06/1960 00:00,1.830,123.78,"1b","CEH POTs","",""
11/07/1960 00:00,1.360,68.18,"1b","CEH POTs","",""
28/08/1960 00:00,1.870,128.88,"1b","CEH POTs","",""
24/09/1960 00:00,3.250,331.86,"1b","CEH POTs","",""
28/10/1960 00:00,3.680,403.92,"1b","CEH POTs","",""
02/11/1960 00:00,3.670,402.21,"1b","CEH POTs","",""
05/12/1960 00:00,5.420,971.86,"1d","CEH POTs","",""
06/02/1961 00:00,3.300,340.05,"1b","CEH POTs","",""
01/03/1961 00:00,2.100,159.20,"1b","CEH POTs","",""
26/04/1961 00:00,2.860,269.78,"1b","CEH POTs","",""
05/05/1961 00:00,2.500,215.55,"1b","CEH POTs","",""
13/06/1961 00:00,1.250,55.40,"1a","CEH POTs","",""
13/07/1961 00:00,1.460,79.29,"1b","CEH POTs","",""
09/08/1961 00:00,1.190,48.52,"1a","CEH POTs","",""
04/09/1961 00:00,1.180,47.42,"1a","CEH POTs","",""
11/10/1961 00:00,1.870,128.88,"1b","CEH POTs","",""
30/11/1961 00:00,2.060,153.81,"1b","CEH POTs","",""
11/12/1961 00:00,2.530,219.95,"1b","CEH POTs","",""
12/01/1962 00:00,2.960,285.38,"1b","CEH POTs","",""
13/02/1962 00:00,2.650,237.77,"1b","CEH POTs","",""
11/03/1962 00:00,1.490,82.70,"1b","CEH POTs","",""
22/04/1962 00:00,2.290,185.42,"1b","CEH POTs","",""
22/05/1962 00:00,1.740,112.50,"1b","CEH POTs","",""
01/06/1962 00:00,1.140,43.13,"1a","CEH POTs","",""
11/07/1962 00:00,1.330,64.94,"1b","CEH POTs","",""
17/08/1962 00:00,1.710,108.81,"1b","CEH POTs","",""
12/09/1962 00:00,2.040,151.13,"1b","CEH POTs","",""
01/10/1962 00:00,2.040,151.13,"1b","CEH POTs","",""
30/11/1962 00:00,2.060,153.81,"1b","CEH POTs","",""
21/12/1962 00:00,2.970,286.95,"1b","CEH POTs","",""
30/01/1963 00:00,1.280,59.01,"1a","CEH POTs","",""
15/02/1963 00:00,1.320,63.87,"1b","CEH POTs","",""
31/03/1963 00:00,3.060,301.20,"1b","CEH POTs","",""
01/04/1963 00:00,2.680,242.28,"1b","CEH POTs","",""
11/05/1963 00:00,1.820,122.52,"1b","CEH POTs","",""
