"NAME:","Wye at Ashford"
"NUMBER:","28023"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
08/09/1965 00:00,1.537,15.70,"","Not specified","","AMAX ONLY"
09/12/1965 00:00,2.152,37.80,"","EA POTS","","AMAX ONLY"
02/12/1966 00:00,1.528,15.60,"","EA POTS","","AMAX ONLY"
16/10/1967 00:00,1.576,16.80,"","EA POTS","","AMAX ONLY"
17/01/1968 00:00,1.644,19.80,"","EA POTS","","AMAX ONLY"
02/10/1968 00:00,1.427,13.10,"","Not specified","","AMAX ONLY"
22/02/1970 00:00,1.584,17.80,"","Not specified","","AMAX ONLY"
13/04/1970 08:00,1.695,12.24,"1a","Not specified","",""
18/11/1970 06:00,1.717,12.70,"1a","Not specified","will probably fail independence criteria",""
19/11/1970 00:00,1.722,12.80,"1a","EA POT series","will probably fail independence criteria",""
21/11/1970 19:00,1.722,12.80,"1a","EA POTS","",""
24/01/1971 09:00,1.317,5.30,"1a","Digital Archive","","AMAX ONLY"
19/10/1971 18:30,1.640,11.13,"1a","Not specified","",""
21/11/1971 00:00,1.772,13.86,"1a","EA POT series","",""
30/03/1972 17:00,1.620,10.73,"1a","Not specified","",""
01/04/1972 14:30,1.590,10.15,"1a","Not specified","may fail independence criteria",""
09/09/1972 09:15,1.246,4.21,"1a","Digital Archive","","AMAX ONLY"
10/11/1972 06:45,1.391,6.52,"1a","Digital Archive","",""
13/11/1972 04:15,1.585,10.05,"1a","Digital Archive","",""
21/11/1972 06:45,1.582,9.99,"1a","Digital Archive","",""
25/11/1972 03:15,1.381,6.35,"1a","Digital Archive","",""
04/12/1972 15:30,1.493,8.32,"1a","Digital Archive","",""
05/12/1972 20:15,1.777,13.96,"1a","Digital Archive","",""
12/12/1972 08:00,1.411,6.86,"1a","Digital Archive","",""
17/12/1972 05:30,1.381,6.35,"1a","Digital Archive","",""
26/01/1973 21:45,1.480,8.08,"1a","Digital Archive","",""
12/02/1973 16:45,1.453,7.60,"1a","Digital Archive","",""
16/07/1973 13:15,2.362,27.99,"1a","Digital Archive","",""
06/08/1973 10:30,1.700,12.35,"1a","Digital Archive","",""
08/12/1973 04:30,1.402,6.71,"1a","Digital Archive","",""
16/12/1973 11:15,1.488,8.23,"1a","Digital Archive","",""
10/01/1974 20:00,1.398,6.64,"1a","Digital Archive","",""
16/01/1974 20:45,1.500,8.45,"1a","Digital Archive","",""
11/02/1974 22:15,1.718,12.72,"1a","Digital Archive","",""
03/09/1974 11:30,1.394,6.57,"1a","Digital Archive","",""
07/09/1974 23:15,1.401,6.69,"1a","Digital Archive","",""
13/09/1974 01:15,1.366,6.10,"1a","Digital Archive","",""
25/09/1974 15:15,1.401,6.69,"1a","Digital Archive","",""
02/10/1974 13:00,1.475,7.99,"1a","Digital Archive","",""
18/10/1974 18:15,1.422,7.05,"1a","Digital Archive","",""
14/11/1974 00:45,1.547,9.32,"1a","Digital Archive","",""
25/11/1974 08:45,1.618,10.69,"1a","Digital Archive","",""
28/11/1974 13:00,1.641,11.15,"1a","Digital Archive","",""
12/12/1974 18:15,1.554,9.46,"1a","Digital Archive","",""
22/01/1975 18:45,1.759,13.58,"1a","Digital Archive","",""
25/01/1975 16:30,1.659,11.51,"1a","Digital Archive","",""
19/04/1975 15:45,1.358,5.97,"1a","Digital Archive","",""
21/04/1975 12:45,1.386,6.44,"1a","Digital Archive","",""
01/05/1975 18:45,1.501,8.47,"1a","Digital Archive","",""
17/07/1975 21:45,1.434,7.26,"1a","Digital Archive","",""
01/12/1975 21:15,1.493,8.32,"1a","Digital Archive","",""
02/01/1976 02:45,1.782,14.07,"1a","Digital Archive","Non-independent peak removed A",""
12/02/1976 21:45,1.427,7.14,"1a","Digital Archive","",""
