"NAME:","Dove at Hollinsclough"
"NUMBER:","28033"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
27/06/1966 00:00,0.710,2.57,"32","CEH POT","",""
15/09/1966 00:00,0.920,4.49,"32","CEH POT","",""
15/11/1966 00:00,0.730,2.74,"32","CEH POT","",""
29/11/1966 00:00,0.900,4.28,"32","CEH POT","",""
02/12/1966 00:00,0.720,2.65,"32","CEH POT","",""
03/01/1967 00:00,0.820,3.52,"32","CEH POT","",""
18/11/1969 00:00,0.790,3.25,"32","CEH POT","",""
21/02/1970 00:00,0.730,2.74,"32","CEH POT","",""
22/02/1970 00:00,0.710,2.57,"32","CEH POT","",""
08/09/1970 00:00,0.710,2.57,"32","CEH POT","",""
17/11/1970 00:00,0.720,2.65,"32","CEH POT","",""
19/10/1971 00:00,0.810,3.43,"32","CEH POT","",""
17/11/1971 00:00,0.710,2.57,"32","CEH POT","",""
20/11/1971 00:00,1.010,5.43,"32","CEH POT","",""
30/03/1972 00:00,1.030,5.66,"32","CEH POT","",""
01/04/1972 00:00,0.830,3.61,"32","CEH POT","",""
05/04/1972 00:00,0.720,2.65,"32","CEH POT","",""
18/10/1972 00:00,0.730,2.74,"32","CEH POT","",""
05/12/1972 15:30,0.694,2.45,"32","Digital Archive","",""
26/01/1973 17:45,0.715,2.61,"32","Digital Archive","",""
12/02/1973 09:45,0.721,2.66,"32","Digital Archive","",""
16/07/1973 07:45,1.297,8.95,"32","Digital Archive","",""
06/08/1973 06:15,0.899,4.27,"32","Digital Archive","",""
07/12/1973 20:15,0.743,2.84,"32","Digital Archive","",""
09/02/1974 13:30,0.701,2.50,"32","Digital Archive","",""
13/11/1974 20:30,0.707,2.55,"32","Digital Archive","",""
25/11/1974 04:45,0.700,2.49,"32","Digital Archive","",""
28/11/1974 08:45,0.820,3.52,"32","Digital Archive","",""
12/12/1974 13:15,0.884,4.13,"32","Digital Archive","",""
25/01/1975 12:30,0.705,2.53,"32","Digital Archive","",""
17/07/1975 16:30,0.876,4.05,"32","Digital Archive","",""
01/12/1975 17:00,0.773,3.10,"32","Digital Archive","",""
01/01/1976 21:00,1.052,5.90,"32","Digital Archive","",""
04/01/1976 23:00,0.743,2.84,"32","Digital Archive","",""
12/02/1976 17:45,0.740,2.82,"32","Digital Archive","",""
11/02/1977 02:00,0.790,3.25,"32","Digital Archive","",""
02/11/1977 03:15,0.713,2.60,"32","Digital Archive","",""
23/11/1977 20:15,0.732,2.75,"32","Digital Archive","",""
30/09/1978 07:45,0.843,3.73,"32","Digital Archive","",""
28/12/1978 09:30,0.767,3.05,"32","Digital Archive","",""
03/03/1979 13:00,0.837,3.68,"32","Digital Archive","",""
25/03/1979 17:15,0.761,3.00,"32","Digital Archive","",""
27/12/1979 14:45,0.970,5.00,"32","Digital Archive","",""
05/02/1980 06:00,0.696,2.46,"32","Digital Archive","",""
08/02/1980 05:30,0.812,3.45,"32","Digital Archive","",""
16/09/1980 20:15,0.726,2.70,"32","Digital Archive","",""
06/10/1980 19:15,0.721,2.66,"32","Digital Archive","",""
28/10/1980 05:00,0.724,2.69,"32","Digital Archive","",""
14/11/1980 16:15,0.745,2.86,"32","Digital Archive","",""
17/12/1980 12:00,0.692,2.43,"32","Digital Archive","",""
02/01/1981 20:30,0.781,3.17,"32","Digital Archive","",""
14/01/1981 13:45,0.892,4.20,"32","Digital Archive","",""
03/02/1981 03:00,0.784,3.20,"32","Digital Archive","",""
11/03/1981 09:00,0.809,3.42,"32","Digital Archive","",""
21/03/1981 17:45,0.747,2.88,"32","Digital Archive","",""
23/03/1981 18:30,0.696,2.46,"32","Digital Archive","",""
28/04/1981 17:30,0.716,2.62,"32","Digital Archive","",""
22/07/1981 20:15,0.720,2.65,"32","Digital Archive","",""
19/09/1981 22:15,0.712,2.59,"32","Digital Archive","",""
26/09/1981 14:15,0.739,2.81,"32","Digital Archive","",""
09/10/1981 20:15,0.796,3.30,"32","Digital Archive","",""
18/11/1981 08:00,0.795,3.29,"32","Digital Archive","",""
