"NAME:","Derwent at Chatsworth"
"NUMBER:","28043"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
02/01/1976 02:15,2.317,54.97,"5b","Digital Archive","","AMAX ONLY"
15/10/1976 10:45,2.590,67.46,"5b","Digital Archive","","AMAX ONLY"
27/01/1977 23:30,2.183,48.88,"5b","Digital Archive","Non-independent peak removed B",""
03/02/1977 13:30,2.448,60.95,"5b","Digital Archive","",""
08/02/1977 08:30,1.827,32.83,"5b","Digital Archive","",""
11/02/1977 05:30,2.742,74.45,"5b","Digital Archive","",""
24/02/1977 20:45,2.237,51.33,"5b","Digital Archive","",""
03/03/1977 06:15,2.003,40.74,"5b","Digital Archive","Non-independent peak removed A",""
20/11/1977 06:45,1.671,25.88,"5b","Digital Archive","",""
23/11/1977 23:30,1.975,39.48,"5b","Digital Archive","",""
24/01/1978 15:15,1.873,34.89,"5b","Digital Archive","",""
28/01/1978 13:45,2.325,55.34,"5b","Digital Archive","",""
02/02/1978 01:45,2.138,46.84,"5b","Digital Archive","",""
04/02/1978 16:00,1.791,31.22,"5b","Digital Archive","",""
15/03/1978 11:45,1.677,26.15,"5b","Digital Archive","",""
25/03/1978 22:00,1.779,30.69,"5b","Digital Archive","",""
30/09/1978 07:45,1.776,30.55,"5b","Digital Archive","",""
15/12/1978 21:45,1.875,34.98,"5b","Digital Archive","",""
28/12/1978 18:00,4.276,146.06,"5b","Digital Archive","",""
07/01/1979 21:15,2.267,52.70,"5b","Digital Archive","",""
28/02/1979 05:15,1.776,30.55,"5b","Digital Archive","",""
03/03/1979 14:30,3.289,99.79,"5b","Digital Archive","",""
09/03/1979 11:15,2.463,61.64,"5b","Digital Archive","",""
11/03/1979 18:30,2.726,73.71,"5b","Digital Archive","",""
25/03/1979 20:45,3.569,112.85,"5b","Digital Archive","",""
08/04/1979 16:30,2.849,79.39,"5b","Digital Archive","",""
30/05/1979 21:00,2.440,60.59,"5b","Digital Archive","",""
10/12/1979 07:00,2.017,41.37,"5b","Digital Archive","",""
14/12/1979 09:00,2.236,51.29,"5b","Digital Archive","Non-independent peak removed B",""
18/12/1979 03:30,1.641,24.55,"5b","Digital Archive","",""
27/12/1979 20:30,2.535,64.94,"5b","Digital Archive","",""
05/02/1980 12:15,1.755,29.62,"5b","Digital Archive","",""
08/02/1980 12:45,2.681,71.64,"5b","Digital Archive","",""
22/02/1980 19:00,1.638,24.42,"5b","Digital Archive","",""
26/02/1980 01:00,1.784,30.91,"5b","Digital Archive","",""
18/03/1980 20:45,1.996,40.42,"5b","Digital Archive","",""
25/03/1980 06:30,1.960,38.80,"5b","Digital Archive","",""
29/03/1980 03:00,1.937,37.77,"5b","Digital Archive","",""
16/10/1980 19:15,1.761,29.88,"5b","Digital Archive","Non-independent peak removed A",""
19/10/1980 17:30,1.754,29.57,"5b","Digital Archive","",""
