"NAME:","Penk at Penkridge"
"NUMBER:","28053"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
15/08/1971 03:30,1.364,14.12,"1b","Digital Archive","","AMAX ONLY"
28/11/1971 06:45,1.514,17.83,"1b","Digital Archive","","AMAX ONLY"
04/02/1972 05:30,1.738,23.71,"1b","Digital Archive","",""
07/12/1972 02:30,1.950,29.59,"1b","Digital Archive","Non-independent peak removed A",""
17/07/1973 16:00,1.725,23.36,"1b","Digital Archive","",""
09/02/1974 17:30,1.611,20.33,"1b","Digital Archive","",""
12/02/1974 04:30,1.750,24.03,"1b","Digital Archive","",""
19/04/1975 15:00,1.444,16.08,"1b","Digital Archive","","AMAX ONLY"
26/09/1976 13:15,1.514,17.83,"1b","Digital Archive","",""
29/09/1976 13:15,1.398,14.95,"1b","Digital Archive","",""
14/10/1976 21:30,1.409,15.22,"1b","Digital Archive","",""
02/01/1977 00:30,1.097,8.65,"1a","Digital Archive","",""
26/01/1977 02:15,1.271,11.93,"1b","Digital Archive","",""
28/01/1977 08:15,1.906,28.35,"1b","Digital Archive","",""
11/02/1977 10:00,1.934,29.14,"1b","Digital Archive","",""
16/02/1977 10:45,1.338,13.50,"1b","Digital Archive","",""
19/02/1977 05:45,1.537,18.42,"1b","Digital Archive","",""
24/02/1977 21:30,1.791,25.15,"1b","Digital Archive","",""
03/05/1977 19:30,1.100,8.68,"1a","Digital Archive","",""
28/01/1978 18:15,1.491,17.25,"1b","Digital Archive","Non-independent peak removed A",""
02/02/1978 17:30,1.559,18.98,"1b","Digital Archive","",""
04/02/1978 22:00,1.651,21.38,"1b","Digital Archive","",""
03/05/1978 04:45,1.284,12.23,"1b","Digital Archive","",""
14/12/1978 20:15,1.136,9.10,"1a","Digital Archive","",""
25/12/1978 00:15,1.302,12.65,"1b","Digital Archive","",""
29/12/1978 16:15,1.786,25.01,"1b","Digital Archive","",""
02/02/1979 01:45,2.153,35.49,"1b","Digital Archive","",""
28/02/1979 21:45,1.250,11.44,"1b","Digital Archive","",""
19/03/1979 21:45,1.136,9.10,"1a","Digital Archive","",""
29/03/1979 10:45,1.539,18.47,"1b","Digital Archive","",""
27/05/1979 02:15,1.396,14.90,"1b","Digital Archive","",""
31/05/1979 03:15,2.003,31.11,"1b","Digital Archive","",""
14/12/1979 13:30,1.638,21.04,"1b","Digital Archive","",""
22/12/1979 15:00,2.010,31.31,"1b","Digital Archive","",""
03/01/1980 23:30,1.396,14.90,"1b","Digital Archive","",""
21/01/1980 20:45,1.453,16.30,"1b","Digital Archive","",""
03/02/1980 02:45,1.545,18.62,"1b","Digital Archive","",""
05/02/1980 01:30,1.423,15.56,"1b","Digital Archive","",""
08/02/1980 09:45,1.603,20.12,"1b","Digital Archive","Non-independent peak removed B",""
26/02/1980 04:30,1.705,22.82,"1b","Digital Archive","",""
19/03/1980 04:00,1.851,26.81,"1b","Digital Archive","",""
21/09/1980 13:30,1.618,20.51,"1b","Digital Archive","",""
16/10/1980 22:30,1.488,17.18,"1b","Digital Archive","",""
28/10/1980 13:15,1.463,16.55,"1b","Digital Archive","",""
15/11/1980 23:00,1.476,16.88,"1b","Digital Archive","",""
20/12/1980 19:00,1.796,25.29,"1b","Digital Archive","",""
06/01/1981 23:30,1.524,18.09,"1b","Digital Archive","",""
17/01/1981 02:45,1.169,9.62,"1b","Digital Archive","",""
