"NAME:","Churnet at Basford Bridge"
"NUMBER:","28061"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
21/04/1975 20:00,1.755,14.49,"1b","","",""
28/01/1977 04:45,1.680,13.75,"1b","","",""
11/02/1977 13:00,2.193,29.39,"1c","","",""
25/02/1977 11:00,2.078,24.52,"1c","","",""
28/01/1978 22:00,2.224,30.82,"1d","","",""
02/02/1978 05:30,1.704,13.99,"1b","","",""
30/09/1978 22:45,1.840,16.27,"1c","","",""
28/12/1978 17:45,1.920,18.78,"1c","","",""
29/03/1979 11:00,1.856,16.75,"1c","","",""
14/12/1979 15:00,1.877,17.40,"1c","","",""
27/12/1979 23:45,2.230,31.18,"1d","","",""
04/01/1980 08:30,2.252,32.50,"1d","","",""
08/02/1980 14:15,1.867,17.09,"1c","","",""
28/10/1980 12:45,2.159,27.89,"1c","","",""
15/11/1980 00:15,1.971,20.52,"1c","","",""
17/01/1981 23:30,2.005,21.74,"1c","","",""
11/03/1981 16:00,2.123,26.35,"1c","","",""
22/03/1981 01:15,1.870,17.18,"1c","","",""
26/09/1981 17:00,1.800,15.10,"1c","","",""
18/11/1981 22:00,1.966,20.34,"1c","","",""
01/12/1981 00:15,1.940,19.45,"1c","","",""
31/12/1981 02:30,2.098,25.32,"1c","","",""
05/01/1982 19:00,1.899,18.10,"1c","","",""
15/03/1982 08:30,1.717,14.12,"1b","","",""
26/06/1982 00:30,1.658,13.54,"1b","","",""
04/01/1983 15:00,2.129,26.61,"1c","","",""
14/01/1983 18:30,1.963,20.24,"1c","","",""
01/02/1983 03:45,1.935,19.28,"1c","","",""
23/03/1983 22:15,1.673,13.69,"1b","","",""
21/04/1983 04:45,1.989,21.16,"1c","","",""
25/04/1983 16:30,1.927,19.01,"1c","","",""
15/12/1983 15:00,2.020,22.29,"1c","","",""
20/12/1983 20:45,1.876,17.37,"1c","","",""
01/01/1984 21:00,1.680,13.75,"1b","","",""
31/01/1984 03:30,1.900,18.13,"1c","","",""
02/02/1984 14:30,2.022,22.36,"1c","","",""
