"NAME:","Sence at South Wigston"
"NUMBER:","28086"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
22/05/1984 14:00,0.609,2.08,"","Digital Archive","","AMAX ONLY"
24/11/1984 08:00,0.609,11.81,"","Digital Archive","",""
01/04/1985 09:00,0.609,0.19,"","Digital Archive","","AMAX ONLY"
26/08/1986 17:45,0.609,5.02,"","Digital Archive","",""
21/11/1986 14:00,0.609,8.22,"","Digital Archive","",""
26/11/1986 12:15,0.609,5.63,"","Digital Archive","",""
15/12/1986 20:45,0.609,7.45,"","Digital Archive","",""
01/01/1987 21:30,0.609,9.71,"","Digital Archive","",""
24/01/1987 18:45,0.609,5.46,"","Digital Archive","",""
12/02/1987 09:45,0.609,5.99,"","Digital Archive","",""
02/03/1987 13:15,0.609,4.72,"","Digital Archive","",""
27/03/1987 17:15,0.609,6.60,"","Digital Archive","",""
02/04/1987 01:30,0.609,5.20,"","Digital Archive","",""
05/04/1987 11:15,0.609,13.77,"","Digital Archive","",""
07/04/1987 23:45,0.609,15.16,"","Digital Archive","",""
19/06/1987 20:15,0.609,24.42,"","Digital Archive","",""
11/10/1987 04:45,0.609,5.59,"","Digital Archive","",""
16/10/1987 16:30,0.609,9.40,"","Digital Archive","",""
21/10/1987 15:30,0.609,10.71,"","Digital Archive","",""
12/11/1987 00:45,0.609,7.77,"","Digital Archive","",""
20/11/1987 02:45,0.609,9.17,"","Digital Archive","",""
27/12/1987 19:15,0.609,5.63,"","Digital Archive","",""
02/01/1988 21:00,0.609,10.91,"","Digital Archive","",""
06/01/1988 21:45,0.609,9.19,"","Digital Archive","",""
24/01/1988 11:15,0.609,30.21,"","Digital Archive","",""
28/01/1988 21:15,0.609,8.18,"","Digital Archive","",""
01/02/1988 12:30,0.609,8.58,"","Digital Archive","",""
05/02/1988 06:45,0.609,9.56,"","Digital Archive","",""
08/02/1988 04:30,0.609,7.01,"","Digital Archive","",""
14/02/1988 11:15,0.609,5.35,"","Digital Archive","",""
16/03/1988 01:00,0.609,13.31,"","Digital Archive","",""
20/03/1988 05:00,0.609,8.16,"","Digital Archive","",""
25/03/1988 13:15,0.609,8.89,"","Digital Archive","",""
30/11/1988 14:45,0.609,5.13,"","Digital Archive","",""
25/02/1989 11:00,1.281,6.04,"","Digital Archive","",""
15/03/1989 08:45,1.082,4.70,"","Digital Archive","",""
07/04/1989 09:15,1.717,10.63,"","Digital Archive","",""
13/04/1989 08:30,1.294,7.33,"","Digital Archive","",""
26/04/1989 01:45,1.504,8.83,"","Digital Archive","",""
09/11/1989 04:45,1.304,5.64,"","Digital Archive","",""
15/12/1989 05:45,2.549,29.51,"","Digital Archive","",""
19/12/1989 06:45,2.312,18.98,"","Digital Archive","",""
25/01/1990 19:45,1.373,6.89,"","Digital Archive","",""
28/01/1990 15:45,1.146,4.50,"","Digital Archive","",""
02/02/1990 08:30,1.557,8.72,"","Digital Archive","",""
08/02/1990 04:15,2.013,14.47,"","Digital Archive","",""
12/02/1990 12:00,1.044,4.72,"","Digital Archive","",""
01/03/1990 02:30,1.409,6.98,"","Digital Archive","",""
10/12/1990 14:15,1.207,5.07,"","Digital Archive","",""
06/01/1991 04:00,1.026,6.60,"","Digital Archive","",""
10/01/1991 11:00,2.418,21.30,"","Digital Archive","",""
