"NAME:","Tame at Hopwas Bridge"
"NUMBER:","28095"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
02/01/1987 01:00,,83.96,"1a","Digital Archive","",""
27/03/1987 21:45,1.593,68.42,"1a","Digital Archive","",""
06/04/1987 05:15,2.289,132.34,"1b","Digital Archive","",""
06/06/1987 08:30,1.419,59.65,"1a","Digital Archive","",""
20/06/1987 15:45,2.279,130.31,"1b","Digital Archive","",""
24/08/1987 13:45,2.259,126.33,"1b","Digital Archive","",""
07/09/1987 01:00,1.452,61.30,"1a","Digital Archive","",""
04/10/1987 19:15,1.467,62.05,"1a","Digital Archive","",""
10/10/1987 23:45,1.860,82.23,"1a","Digital Archive","",""
16/10/1987 23:30,2.075,93.62,"1a","Digital Archive","",""
28/10/1987 04:15,1.491,63.26,"1a","Digital Archive","",""
12/11/1987 04:00,1.498,63.61,"1a","Digital Archive","",""
20/11/1987 09:15,1.949,86.91,"1a","Digital Archive","",""
03/01/1988 10:30,2.240,122.62,"1b","Digital Archive","",""
25/01/1988 03:45,2.558,195.44,"1b","Digital Archive","",""
05/02/1988 10:45,2.000,89.62,"1a","Digital Archive","",""
16/03/1988 07:45,2.058,92.71,"1a","Digital Archive","",""
25/03/1988 17:00,1.424,59.90,"1a","Digital Archive","",""
22/07/1988 17:45,1.980,88.56,"1a","Digital Archive","",""
28/08/1988 18:15,1.552,66.34,"1a","Digital Archive","",""
30/11/1988 12:15,1.608,69.19,"1a","Digital Archive","",""
25/02/1989 20:15,2.065,93.08,"1a","Digital Archive","",""
07/04/1989 13:00,1.922,85.49,"1a","Digital Archive","",""
07/07/1989 23:30,1.835,80.92,"1a","Digital Archive","",""
30/07/1989 20:45,1.453,61.35,"1a","Digital Archive","",""
10/08/1989 12:45,1.618,69.70,"1a","Digital Archive","",""
17/09/1989 15:45,1.649,71.29,"1a","Digital Archive","",""
21/10/1989 23:00,1.804,79.30,"1a","Digital Archive","",""
09/11/1989 08:15,1.860,82.23,"1a","Digital Archive","",""
15/12/1989 17:00,2.549,193.05,"1b","Digital Archive","",""
25/12/1989 14:15,1.968,87.92,"1a","Digital Archive","",""
25/01/1990 20:00,1.434,60.40,"1a","Digital Archive","",""
02/02/1990 22:00,2.223,119.37,"1b","Digital Archive","",""
08/02/1990 16:45,2.526,187.02,"1b","Digital Archive","",""
19/08/1990 20:00,1.483,62.86,"1a","Digital Archive","",""
20/10/1990 00:45,1.463,61.85,"1a","Digital Archive","",""
26/10/1990 13:30,1.554,66.44,"1a","Digital Archive","",""
20/11/1990 11:30,1.547,66.09,"1a","Digital Archive","",""
12/12/1990 10:00,1.888,83.70,"1a","Digital Archive","",""
25/12/1990 23:30,1.578,67.66,"1a","Digital Archive","",""
11/01/1991 01:00,2.325,139.81,"1b","Digital Archive","",""
08/03/1991 17:15,1.430,60.20,"1a","Digital Archive","",""
30/04/1991 16:15,1.723,75.10,"1a","Digital Archive","",""
03/07/1991 17:45,1.800,79.09,"1a","Digital Archive","",""
01/08/1991 02:30,2.035,91.48,"1a","Digital Archive","",""
30/09/1991 00:30,1.884,83.49,"1a","Digital Archive","",""
01/11/1991 08:00,1.578,67.66,"1a","Digital Archive","",""
19/11/1991 07:45,1.439,60.65,"1a","Digital Archive","",""
10/01/1992 09:15,2.506,181.89,"1b","Digital Archive","",""
30/05/1992 11:45,1.947,86.81,"1a","Digital Archive","",""
02/07/1992 01:15,1.774,77.74,"1a","Digital Archive","",""
14/07/1992 12:15,1.715,74.68,"1a","Digital Archive","",""
08/08/1992 22:15,1.677,72.72,"1a","Digital Archive","",""
30/08/1992 17:45,1.643,70.98,"1a","Digital Archive","",""
04/10/1992 06:30,1.939,86.39,"1a","Digital Archive","",""
21/10/1992 04:00,1.498,63.61,"1a","Digital Archive","",""
16/11/1992 23:45,1.945,86.70,"1a","Digital Archive","",""
26/11/1992 11:30,1.636,70.62,"1a","Digital Archive","",""
03/12/1992 07:00,2.552,193.84,"1b","Digital Archive","",""
19/12/1992 06:00,1.875,83.02,"1a","Digital Archive","",""
14/01/1993 22:30,2.316,137.92,"1b","Digital Archive","",""
10/04/1993 02:45,1.710,74.42,"1a","Digital Archive","",""
27/05/1993 18:00,1.610,69.29,"1a","Digital Archive","",""
12/06/1993 19:15,2.423,161.64,"1b","Digital Archive","",""
13/09/1993 12:00,1.695,73.65,"1a","Digital Archive","",""
14/10/1993 05:30,2.197,114.51,"1b","Digital Archive","",""
15/11/1993 01:45,2.479,175.12,"1b","Digital Archive","",""
13/12/1993 17:30,2.045,92.01,"1a","Digital Archive","",""
24/12/1993 04:45,1.771,77.58,"1a","Digital Archive","",""
29/12/1993 22:15,1.465,61.95,"1a","Digital Archive","",""
06/01/1994 02:45,1.934,86.12,"1a","Digital Archive","",""
14/01/1994 01:30,1.820,80.14,"1a","Digital Archive","",""
04/02/1994 00:45,1.437,60.55,"1a","Digital Archive","",""
27/02/1994 10:15,2.194,113.96,"1b","Digital Archive","",""
19/03/1994 10:30,1.421,59.75,"1a","Digital Archive","",""
01/04/1994 18:00,1.741,76.03,"1a","Digital Archive","",""
16/09/1994 05:15,2.441,165.89,"1b","Digital Archive","",""
09/11/1994 22:30,1.559,66.70,"1a","Digital Archive","",""
07/12/1994 19:15,1.707,74.27,"1a","Digital Archive","",""
18/12/1994 20:45,1.730,75.46,"1a","Digital Archive","",""
28/12/1994 04:15,1.692,73.50,"1a","Digital Archive","",""
18/01/1995 18:30,2.164,108.55,"1b","Digital Archive","",""
27/01/1995 07:30,2.183,111.96,"1b","Digital Archive","",""
01/02/1995 17:00,1.419,59.65,"1a","Digital Archive","",""
11/02/1995 07:15,1.467,62.05,"1a","Digital Archive","",""
23/12/1995 14:00,2.086,95.32,"1b","Digital Archive","",""
09/01/1996 16:15,1.552,66.34,"1a","Digital Archive","",""
13/02/1996 02:15,1.598,68.68,"1a","Digital Archive","",""
20/12/1996 10:00,1.833,80.81,"1a","Digital Archive","",""
06/05/1997 05:00,1.629,70.26,"1a","Digital Archive","",""
12/06/1997 16:45,1.919,85.33,"1a","Digital Archive","",""
28/06/1997 01:00,2.262,126.92,"1b","Digital Archive","",""
01/09/1997 08:30,1.827,80.50,"1a","Digital Archive","",""
29/11/1997 23:45,2.039,91.69,"1a","Digital Archive","",""
18/12/1997 23:00,1.552,66.34,"1a","Digital Archive","",""
25/12/1997 23:45,1.595,68.53,"1a","Digital Archive","",""
04/01/1998 19:30,2.546,161.87,"22","Digital Archive","",""
11/04/1998 21:30,2.394,130.89,"22","Digital Archive","",""
29/10/1998 08:00,2.330,118.51,"22","Digital Archive","",""
26/12/1998 19:00,2.241,101.98,"22","Digital Archive","",""
07/01/1999 10:00,1.971,88.08,"21","Digital Archive","",""
17/01/1999 08:15,2.499,180.12,"22","Digital Archive","",""
24/04/1999 10:15,1.801,79.14,"21","Digital Archive","",""
10/08/1999 04:45,2.436,139.24,"22","Digital Archive","",""
03/10/1999 05:30,2.194,93.58,"22","Digital Archive","",""
26/12/1999 05:00,2.286,110.24,"22","Digital Archive","",""
28/02/2000 16:45,1.852,81.81,"21","Digital Archive","",""
04/04/2000 08:45,1.801,79.14,"21","Digital Archive","",""
19/04/2000 17:15,2.066,93.14,"21","Digital Archive","",""
31/10/2000 11:00,2.573,167.60,"22","Digital Archive","",""
07/11/2000 15:00,2.616,176.85,"22","Digital Archive","",""
09/12/2000 02:15,2.471,146.32,"22","Digital Archive","",""
13/12/2000 23:45,2.217,97.66,"22","Digital Archive","",""
03/01/2001 06:15,2.282,109.49,"22","Digital Archive","",""
05/02/2001 17:15,2.253,104.16,"22","Digital Archive","",""
19/07/2001 05:00,2.127,82.03,"22","Digital Archive","",""
27/01/2002 13:15,2.249,103.43,"22","Digital Archive","",""
23/12/2002 10:15,2.234,100.71,"22","Digital Archive","",""
30/12/2002 18:00,2.281,109.31,"22","Digital Archive","",""
29/04/2004 22:30,2.071,74.60,"21","Digital Archive","","AMAX ONLY"
25/10/2004 06:30,2.216,97.48,"22","Digital Archive","",""
13/10/2005 16:30,2.066,74.40,"21","Digital Archive","","AMAX ONLY"
12/02/2007 09:00,2.312,115.10,"22","Digital Archive","",""
04/03/2007 07:00,2.452,142.46,"22","Digital Archive","",""
16/06/2007 14:30,3.218,322.23,"22","Digital Archive","",""
26/06/2007 20:00,2.279,108.94,"32","Digital Archive","",""
22/07/2007 02:00,3.158,306.50,"32","Digital Archive","",""
12/01/2008 22:30,2.550,162.72,"32","Digital Archive","",""
17/03/2008 03:45,2.188,92.53,"32","Digital Archive","",""
29/05/2008 09:15,2.134,83.14,"32","Digital Archive","",""
07/09/2008 16:30,2.854,230.91,"32","Digital Archive","",""
11/11/2008 02:15,2.503,152.89,"32","Digital Archive","",""
14/12/2008 18:30,2.494,151.03,"32","Digital Archive","",""
17/01/2010 12:30,2.208,96.06,"32","Digital Archive","",""
04/10/2010 07:00,1.957,65.60,"31","Digital Archive","","AMAX ONLY"
30/04/2012 17:15,2.216,97.48,"32","Digital Archive","",""
09/06/2012 05:00,2.190,92.88,"32","Digital Archive","",""
29/06/2012 18:00,2.325,117.64,"32","Digital Archive","",""
08/07/2012 04:00,2.641,182.34,"32","Digital Archive","",""
25/09/2012 15:30,2.502,152.58,"32","Digital Archive","",""
26/11/2012 01:15,2.954,254.99,"32","Digital Archive","",""
23/12/2012 17:15,2.497,151.65,"32","Digital Archive","",""
30/12/2012 12:15,2.116,80.18,"32","Digital Archive","",""
28/01/2013 03:45,2.415,135.08,"32","Digital Archive","",""
12/02/2013 03:00,2.274,108.03,"32","Digital Archive","",""
25/12/2013 10:30,2.297,112.29,"32","Digital Archive","",""
10/01/2014 08:45,2.388,129.72,"32","Digital Archive","",""
17/01/2014 12:15,2.156,86.97,"32","Digital Archive","",""
02/02/2014 10:00,2.187,92.35,"32","Digital Archive","",""
13/02/2014 12:00,2.322,116.99,"32","Digital Archive","",""
09/11/2014 10:45,1.879,62.60,"31","Digital Archive","","AMAX ONLY"
08/02/2016 04:15,2.528,158.06,"32","Digital Archive","",""
10/03/2016 16:00,2.396,131.23,"32","Digital Archive","",""
18/06/2016 00:00,2.496,151.53,"32","Digital Archive","",""
