"NAME:","Lymn at Partney Mill"
"NUMBER:","30004"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
20/12/1962 00:00,,3.11,"1a","FEH CD-ROM","",""
27/01/1963 00:00,,3.17,"1a","FEH CD-ROM","",""
05/03/1963 00:00,,4.05,"1a","FEH CD-ROM","",""
14/03/1964 00:00,,5.61,"1a","FEH CD-ROM","",""
24/03/1964 00:00,,3.82,"1a","FEH CD-ROM","",""
21/04/1964 00:00,,3.23,"1a","FEH CD-ROM","",""
21/03/1965 00:00,,2.12,"1a","FEH","","AMAX ONLY"
25/11/1965 00:00,,5.38,"1a","FEH CD-ROM","","AMAX ONLY"
29/11/1965 00:00,,11.00,"1a","FEH CD-ROM","","AMAX ONLY"
04/12/1965 00:00,,3.26,"1a","FEH CD-ROM","","AMAX ONLY"
09/12/1965 00:00,,5.92,"1a","FEH CD-ROM","","AMAX ONLY"
18/12/1965 00:00,,5.38,"1a","FEH CD-ROM","",""
23/12/1965 00:00,,5.01,"1a","FEH CD-ROM","",""
29/12/1965 00:00,,3.31,"1a","FEH CD-ROM","",""
01/01/1966 00:00,,3.85,"1a","FEH CD-ROM","",""
28/01/1966 00:00,,4.81,"1a","FEH CD-ROM","",""
08/02/1966 00:00,,6.03,"1a","FEH CD-ROM","",""
20/02/1966 00:00,,6.14,"1a","FEH CD-ROM","",""
23/06/1966 00:00,,4.78,"1a","FEH CD-ROM","",""
23/11/1966 00:00,,3.31,"1a","FEH CD-ROM","",""
01/12/1966 00:00,,3.31,"1a","FEH CD-ROM","",""
14/05/1967 00:00,,5.32,"1a","FEH CD-ROM","",""
06/11/1967 00:00,,3.71,"1a","FEH CD-ROM","",""
11/07/1968 00:00,,13.25,"1a","FEH CD-ROM","",""
08/08/1968 00:00,,5.27,"1a","FEH CD-ROM","",""
11/09/1968 00:00,,4.81,"1a","FEH CD-ROM","",""
16/09/1968 00:00,,6.51,"1a","FEH CD-ROM","",""
02/11/1968 00:00,,10.11,"1a","FEH CD-ROM","",""
26/11/1968 00:00,,3.14,"1a","FEH CD-ROM","",""
13/01/1969 00:00,,2.97,"1a","FEH CD-ROM","",""
16/01/1969 00:00,,6.48,"1a","FEH CD-ROM","",""
18/01/1969 00:00,,2.89,"1a","FEH CD-ROM","",""
20/01/1969 00:00,,4.05,"1a","FEH CD-ROM","",""
23/02/1969 00:00,,4.67,"1a","FEH CD-ROM","",""
13/03/1969 00:00,,3.31,"1a","CEH POTS 22-11-82","Table shows peaks over 2.830 Cumecs, flow data from WDU Archive",""
13/04/1969 00:00,,3.37,"1a","CEH POTS 22-11-82","Table shows peaks over 2.830 Cumecs, flow data from WDU Archive",""
16/04/1969 00:00,,4.90,"1a","CEH POTS 22-11-82","Table shows peaks over 2.830 Cumecs, flow data from WDU Archive",""
