"NAME:","Nene at Wansford"
"NUMBER:","32010"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
20/10/1939 00:00,2.020,99.68,"3g","CEH POTS 6-3-73","CEH Datum 0.3048 subtracted. Threshold 0.914 applied",""
27/11/1939 00:00,1.430,62.12,"3e","CEH POTS 6-3-73","CEH Datum 0.3048 subtracted. Threshold 0.914 applied",""
09/12/1939 00:00,1.430,62.12,"3e","CEH POTS 6-3-73","CEH Datum 0.3048 subtracted. Threshold 0.914 applied",""
09/02/1940 00:00,2.620,179.82,"3g","CEH POTS 6-3-73","CEH Datum 0.3048 subtracted. Threshold 0.914 applied",""
23/02/1940 00:00,2.050,103.02,"3g","CEH POTS 6-3-73","CEH Datum 0.3048 subtracted. Threshold 0.914 applied",""
20/03/1940 00:00,1.510,66.14,"3e","CEH POTS 6-3-73","CEH Datum 0.3048 subtracted. Threshold 0.914 applied",""
24/11/1940 00:00,1.590,69.81,"3f","CEH POTS 6-3-73","CEH Datum 0.3048 subtracted. Threshold 0.914 applied",""
28/01/1941 00:00,1.830,80.07,"3f","CEH POTS 6-3-73","CEH Datum 0.3048 subtracted. Threshold 0.914 applied",""
11/02/1941 00:00,1.130,48.03,"3d","CEH POTS 6-3-73","CEH Datum 0.3048 subtracted. Threshold 0.914 applied",""
10/03/1941 00:00,1.920,89.03,"3g","CEH POTS 6-3-73","CEH Datum 0.3048 subtracted. Threshold 0.914 applied",""
26/03/1941 00:00,1.050,44.63,"3d","CEH POTS 6-3-73","CEH Datum 0.3048 subtracted. Threshold 0.914 applied",""
04/04/1941 00:00,0.960,40.87,"3d","CEH POTS 6-3-73","CEH Datum 0.3048 subtracted. Threshold 0.914 applied",""
27/01/1942 00:00,1.490,65.13,"3e","CEH POTS 6-3-73","CEH Datum 0.3048 subtracted. Threshold 0.914 applied",""
07/02/1942 00:00,1.490,65.13,"3e","CEH POTS 6-3-73","CEH Datum 0.3048 subtracted. Threshold 0.914 applied",""
06/03/1942 00:00,1.070,45.47,"3d","CEH POTS 6-3-73","CEH Datum 0.3048 subtracted. Threshold 0.914 applied",""
03/02/1943 00:00,1.720,75.34,"3f","CEH POTS 6-3-73","CEH Datum 0.3048 subtracted. Threshold 0.914 applied",""
04/04/1944 00:00,0.490,21.53,"3b","CEH POTS 6-3-73","CEH Datum 0.3048 subtracted. Threshold 0.914 applied",""
