"NAME:","Lark at Temple"
"NUMBER:","33014"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
30/10/1960 00:00,1.160,9.28,"1c","CEH POT 31Oct72","Non-independent peak removed Extract Period 1Oct60-7Oct69, Datum=8.95m, Threshold level=9.748m",""
18/11/1960 00:00,0.880,5.49,"1c","CEH POT 31Oct72","Extract Period 1Oct60-7Oct69, Datum=8.95m, Threshold level=9.748m",""
22/11/1960 00:00,0.870,5.37,"1c","CEH POT 31Oct72","Extract Period 1Oct60-7Oct69, Datum=8.95m, Threshold level=9.748m",""
26/11/1960 00:00,1.040,7.55,"1c","CEH POT 31Oct72","Extract Period 1Oct60-7Oct69, Datum=8.95m, Threshold level=9.748m",""
21/12/1960 00:00,1.280,11.11,"1d","CEH POT 31Oct72","Extract Period 1Oct60-7Oct69, Datum=8.95m, Threshold level=9.748m",""
06/01/1961 00:00,0.910,5.85,"1c","CEH POT 31Oct72","Non-independent peak removed Extract Period 1Oct60-7Oct69, Datum=8.95m, Threshold level=9.748m",""
07/01/1961 00:00,0.810,4.68,"1c","CEH POT 31Oct72","Extract Period 1Oct60-7Oct69, Datum=8.95m, Threshold level=9.748m",""
10/01/1961 00:00,0.910,5.85,"1c","CEH POT 31Oct72","Extract Period 1Oct60-7Oct69, Datum=8.95m, Threshold level=9.748m",""
21/01/1961 00:00,0.810,4.68,"1c","CEH POT 31Oct72","Extract Period 1Oct60-7Oct69, Datum=8.95m, Threshold level=9.748m",""
29/01/1961 00:00,0.860,5.25,"1c","CEH POT 31Oct72","Extract Period 1Oct60-7Oct69, Datum=8.95m, Threshold level=9.748m",""
28/02/1961 00:00,1.030,7.41,"1c","CEH POT 31Oct72","Extract Period 1Oct60-7Oct69, Datum=8.95m, Threshold level=9.748m",""
06/01/1962 00:00,1.000,7.00,"1c","CEH POT 31Oct72","Extract Period 1Oct60-7Oct69, Datum=8.95m, Threshold level=9.748m",""
22/01/1962 00:00,0.950,6.35,"1c","CEH POT 31Oct72","Extract Period 1Oct60-7Oct69, Datum=8.95m, Threshold level=9.748m",""
06/03/1963 00:00,0.970,6.61,"1c","CEH POT 31Oct72","Extract Period 1Oct60-7Oct69, Datum=8.95m, Threshold level=9.748m",""
10/03/1963 00:00,0.920,5.97,"1c","CEH POT 31Oct72","Extract Period 1Oct60-7Oct69, Datum=8.95m, Threshold level=9.748m",""
19/11/1963 00:00,0.870,5.37,"1c","CEH POT 31Oct72","Extract Period 1Oct60-7Oct69, Datum=8.95m, Threshold level=9.748m",""
16/03/1964 00:00,1.050,7.68,"1c","CEH POT 31Oct72","Extract Period 1Oct60-7Oct69, Datum=8.95m, Threshold level=9.748m",""
21/03/1965 00:00,0.710,3.63,"1c","CEH POT 31Oct72","Extract Period 1Oct60-7Oct69, Datum=8.95m, Threshold level=9.748m",""
05/12/1965 00:00,0.860,5.25,"1c","CEH POT 31Oct72","Extract Period 1Oct60-7Oct69, Datum=8.95m, Threshold level=9.748m",""
10/12/1965 00:00,1.020,7.27,"1c","CEH POT 31Oct72","Extract Period 1Oct60-7Oct69, Datum=8.95m, Threshold level=9.748m",""
18/12/1965 00:00,0.930,6.10,"1c","CEH POT 31Oct72","Extract Period 1Oct60-7Oct69, Datum=8.95m, Threshold level=9.748m",""
31/12/1966 00:00,0.940,6.22,"1c","CEH POT 31Oct72","Extract Period 1Oct60-7Oct69, Datum=8.95m, Threshold level=9.748m",""
