"NAME:","Rhee at Burnt Mill"
"NUMBER:","33021"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
06/03/1963 00:00,0.610,5.89,"2c","CEHPOT 31 Oct 1972","Extraction period 1 Oct 1962 to 7 oct 69, datum 8.848modn ,Threshold 9.439m/30.968ftodn",""
16/03/1964 00:00,1.080,10.17,"2c","CEHPOT 31 Oct 1972","Extraction period 1 Oct 1962 to 7 oct 69, datum 8.848modn ,Threshold 9.439m/30.968ftodn",""
20/03/1964 00:00,0.610,5.89,"2c","CEHPOT 31 Oct 1972","Extraction period 1 Oct 1962 to 7 oct 69, datum 8.848modn ,Threshold 9.439m/30.968ftodn",""
25/03/1964 00:00,0.700,6.72,"2c","CEHPOT 31 Oct 1972","Extraction period 1 Oct 1962 to 7 oct 69, datum 8.848modn ,Threshold 9.439m/30.968ftodn",""
21/04/1964 00:00,0.700,6.72,"2c","CEHPOT 31 Oct 1972","Extraction period 1 Oct 1962 to 7 oct 69, datum 8.848modn ,Threshold 9.439m/30.968ftodn",""
18/06/1964 00:00,0.630,6.08,"2c","CEHPOT 31 Oct 1972","Extraction period 1 Oct 1962 to 7 oct 69, datum 8.848modn ,Threshold 9.439m/30.968ftodn",""
05/04/1965 00:00,0.340,2.67,"2b","CEHPOT 31 Oct 1972","Extraction period 1 Oct 1962 to 7 oct 69, datum 8.848modn ,Threshold 9.439m/30.968ftodn",""
18/12/1965 00:00,0.670,6.44,"2c","CEHPOT 31 Oct 1972","Extraction period 1 Oct 1962 to 7 oct 69, datum 8.848modn ,Threshold 9.439m/30.968ftodn",""
24/12/1965 00:00,0.680,6.54,"2c","CEHPOT 31 Oct 1972","Extraction period 1 Oct 1962 to 7 oct 69, datum 8.848modn ,Threshold 9.439m/30.968ftodn",""
11/02/1966 00:00,0.790,7.54,"2c","CEHPOT 31 Oct 1972","Extraction period 1 Oct 1962 to 7 oct 69, datum 8.848modn ,Threshold 9.439m/30.968ftodn",""
21/02/1966 00:00,0.600,5.80,"2c","CEHPOT 31 Oct 1972","Extraction period 1 Oct 1962 to 7 oct 69, datum 8.848modn ,Threshold 9.439m/30.968ftodn",""
10/10/1966 00:00,0.600,5.80,"2c","CEHPOT 31 Oct 1972","Extraction period 1 Oct 1962 to 7 oct 69, datum 8.848modn ,Threshold 9.439m/30.968ftodn",""
11/12/1966 00:00,1.000,9.45,"2c","CEHPOT 31 Oct 1972","Extraction period 1 Oct 1962 to 7 oct 69, datum 8.848modn ,Threshold 9.439m/30.968ftodn",""
15/05/1967 00:00,0.830,7.91,"2c","CEHPOT 31 Oct 1972","Extraction period 1 Oct 1962 to 7 oct 69, datum 8.848modn ,Threshold 9.439m/30.968ftodn",""
15/01/1968 00:00,0.830,7.91,"2c","CEHPOT 31 Oct 1972","Extraction period 1 Oct 1962 to 7 oct 69, datum 8.848modn ,Threshold 9.439m/30.968ftodn",""
10/08/1968 00:00,0.880,8.36,"2c","CEHPOT 31 Oct 1972","Extraction period 1 Oct 1962 to 7 oct 69, datum 8.848modn ,Threshold 9.439m/30.968ftodn",""
17/09/1968 00:00,1.260,11.78,"2c","CEHPOT 31 Oct 1972","Extraction period 1 Oct 1962 to 7 oct 69, datum 8.848modn ,Threshold 9.439m/30.968ftodn",""
08/10/1968 00:00,0.610,5.89,"2c","CEHPOT 31 Oct 1972","Extraction period 1 Oct 1962 to 7 oct 69, datum 8.848modn ,Threshold 9.439m/30.968ftodn",""
02/11/1968 00:00,0.890,8.45,"2c","CEHPOT 31 Oct 1972","Extraction period 1 Oct 1962 to 7 oct 69, datum 8.848modn ,Threshold 9.439m/30.968ftodn",""
18/12/1968 00:00,0.830,7.91,"2c","CEHPOT 31 Oct 1972","Extraction period 1 Oct 1962 to 7 oct 69, datum 8.848modn ,Threshold 9.439m/30.968ftodn",""
22/12/1968 00:00,0.780,7.45,"2c","CEHPOT 31 Oct 1972","Extraction period 1 Oct 1962 to 7 oct 69, datum 8.848modn ,Threshold 9.439m/30.968ftodn",""
17/01/1969 00:00,0.940,8.90,"2c","CEHPOT 31 Oct 1972","Extraction period 1 Oct 1962 to 7 oct 69, datum 8.848modn ,Threshold 9.439m/30.968ftodn",""
24/01/1969 00:00,1.070,10.08,"2c","CEHPOT 31 Oct 1972","Extraction period 1 Oct 1962 to 7 oct 69, datum 8.848modn ,Threshold 9.439m/30.968ftodn",""
28/01/1969 00:00,0.730,6.99,"2c","CEHPOT 31 Oct 1972","Extraction period 1 Oct 1962 to 7 oct 69, datum 8.848modn ,Threshold 9.439m/30.968ftodn",""
12/02/1969 00:00,0.970,9.18,"2c","CEHPOT 31 Oct 1972","Extraction period 1 Oct 1962 to 7 oct 69, datum 8.848modn ,Threshold 9.439m/30.968ftodn",""
23/02/1969 00:00,1.010,9.54,"2c","CEHPOT 31 Oct 1972","Extraction period 1 Oct 1962 to 7 oct 69, datum 8.848modn ,Threshold 9.439m/30.968ftodn",""
14/03/1969 00:00,1.230,11.51,"2c","CEHPOT 31 Oct 1972","Extraction period 1 Oct 1962 to 7 oct 69, datum 8.848modn ,Threshold 9.439m/30.968ftodn",""
03/02/1970 00:00,0.800,7.63,"2c","CEHPOT 25May 78","Extraction period 30 sept 1969-2 Oct 1973, datum 8.848modn ,Threshold 9.439m/30.968ftodn, 5.1cumec",""
19/02/1970 00:00,0.620,5.98,"2c","CEHPOT 25May 78","Extraction period 30 sept 1969-2 Oct 1973, datum 8.848modn ,Threshold 9.439m/30.968ftodn, 5.1cumec",""
23/02/1970 00:00,0.880,8.36,"2c","CEHPOT 25May 78","Extraction period 30 sept 1969-2 Oct 1973, datum 8.848modn ,Threshold 9.439m/30.968ftodn, 5.1cumec",""
13/03/1970 00:00,1.130,10.62,"2c","CEHPOT 25May 78","Extraction period 30 sept 1969-2 Oct 1973, datum 8.848modn ,Threshold 9.439m/30.968ftodn, 5.1cumec",""
06/04/1970 00:00,0.740,7.09,"2c","CEHPOT 25May 78","Extraction period 30 sept 1969-2 Oct 1973, datum 8.848modn ,Threshold 9.439m/30.968ftodn, 5.1cumec",""
26/04/1970 00:00,0.660,6.35,"2c","CEHPOT 25May 78","Extraction period 30 sept 1969-2 Oct 1973, datum 8.848modn ,Threshold 9.439m/30.968ftodn, 5.1cumec",""
24/01/1971 00:00,1.010,9.54,"2c","CEHPOT 25May 78","Extraction period 30 sept 1969-2 Oct 1973, datum 8.848modn ,Threshold 9.439m/30.968ftodn, 5.1cumec",""
27/01/1971 00:00,0.780,7.45,"2c","CEHPOT 25May 78","Extraction period 30 sept 1969-2 Oct 1973, datum 8.848modn ,Threshold 9.439m/30.968ftodn, 5.1cumec",""
01/02/1971 00:00,0.770,7.36,"2c","CEHPOT 25May 78","Extraction period 30 sept 1969-2 Oct 1973, datum10.0modn ,Threshold 10.591m/34.748ftodn, 5.1cumec",""
28/01/1972 00:00,0.690,6.63,"2c","CEHPOT 25May 79","Extraction period 30 sept 1969-2 Oct 1973, datum 8.848modn ,Threshold 9.439m/30.968ftodn, 5.1cumec",""
11/02/1972 00:00,0.600,5.80,"2c","CEHPOT 25May 80","Extraction period 30 sept 1969-2 Oct 1973, datum 8.848modn ,Threshold 9.439m/30.968ftodn, 5.1cumec",""
20/06/1973 00:00,0.160,0.82,"2a","CEHPOT 25May 81","Extraction period 30 sept 1969-2 Oct 1973, datum 8.848modn ,Threshold 9.439m/30.968ftodn, 5.1cumec",""
09/02/1974 00:00,0.280,1.96,"2b","CEHPOT 29Mar 1988 15:38","Extraction period 01 Oct 1973 to 04 Jan 85, datum 0.0,Threshold 0.526m",""
19/11/1974 00:00,1.190,11.16,"2c","CEHPOT 29Mar 1988 15:38","Extraction period 01 Oct 1973 to 04 Jan 85, datum 0.0,Threshold 0.526m",""
28/01/1975 00:00,0.700,6.72,"2c","CEHPOT 29Mar 1988 15:38","Extraction period 01 Oct 1973 to 04 Jan 85, datum 0.0,Threshold 0.526m",""
09/03/1975 00:00,0.800,7.63,"2c","CEHPOT 29Mar 1988 15:38","Extraction period 01 Oct 1973 to 04 Jan 85, datum 0.0,Threshold 0.526m",""
12/03/1975 00:00,0.620,5.98,"2c","CEHPOT 29Mar 1988 15:38","Extraction period 01 Oct 1973 to 04 Jan 85, datum 0.0,Threshold 0.526m",""
14/03/1975 00:00,1.115,10.48,"2c","CEHPOT 29Mar 1988 15:38","Extraction period 01 Oct 1973 to 04 Jan 85, datum 0.0,Threshold 0.526m",""
06/04/1975 00:00,0.775,7.41,"2c","CEHPOT 29Mar 1988 15:38","Extraction period 01 Oct 1973 to 04 Jan 85, datum 0.0,Threshold 0.526m",""
19/04/1975 00:00,0.985,9.31,"2c","CEHPOT 29Mar 1988 15:38","Extraction period 01 Oct 1973 to 04 Jan 85, datum 0.0,Threshold 0.526m",""
17/05/1975 00:00,1.040,9.81,"2c","CEHPOT 29Mar 1988 15:38","Extraction period 01 Oct 1973 to 04 Jan 85, datum 0.0,Threshold 0.526m",""
02/12/1975 00:00,0.130,0.60,"2a","CEHPOT 29Mar 1988 15:38","Extraction period 01 Oct 1973 to 04 Jan 85, datum 0.0,Threshold 0.526m",""
01/01/1977 00:00,0.680,6.54,"2c","CEHPOT 29Mar 1988 15:38","Clock stopped. Sketch by WA. Extraction period 01 Oct 1973 to 04 Jan 85, datum 0.0,Threshold 0.526m",""
14/01/1977 00:00,0.565,5.47,"2c","CEHPOT 29Mar 1988 15:38","Extraction period 01 Oct 1973 to 04 Jan 85, datum 0.0,Threshold 0.526m",""
28/01/1977 00:00,0.560,5.43,"2c","CEHPOT 29Mar 1988 15:38","Clock stopped. Sketch by WA.Extraction period 01 Oct 1973 to 04 Jan 85, datum 0.0,Threshold 0.526m",""
21/02/1977 00:00,0.970,9.18,"2c","CEHPOT 29Mar 1988 15:38","Extraction period 01 Oct 1973 to 04 Jan 85, datum 0.0,Threshold 0.526m",""
14/06/1977 00:00,0.535,5.20,"2c","CEHPOT 29Mar 1988 15:38","Extraction period 01 Oct 1973 to 04 Jan 85, datum 0.0,Threshold 0.526m",""
12/01/1978 00:00,0.730,6.99,"2c","CEHPOT 29Mar 1988 15:38","Extraction period 01 Oct 1973 to 04 Jan 85, datum 0.0,Threshold 0.526m",""
24/01/1978 00:00,0.645,6.21,"2c","CEHPOT 29Mar 1988 15:38","Extraction period 01 Oct 1973 to 04 Jan 85, datum 0.0,Threshold 0.526m",""
28/01/1978 00:00,0.615,5.94,"2c","CEHPOT 29Mar 1988 15:38","Extraction period 01 Oct 1973 to 04 Jan 85, datum 0.0,Threshold 0.526m",""
02/02/1978 00:00,0.845,8.04,"2c","CEHPOT 29Mar 1988 15:38","Extraction period 01 Oct 1973 to 04 Jan 85, datum 0.0,Threshold 0.526m",""
05/02/1978 00:00,0.800,7.63,"2c","CEHPOT 29Mar 1988 15:38","Extraction period 01 Oct 1973 to 04 Jan 85, datum 0.0,Threshold 0.526m",""
03/03/1978 00:00,0.570,5.52,"2c","CEHPOT 29Mar 1988 15:38","Extraction period 01 Oct 1973 to 04 Jan 85, datum 0.0,Threshold 0.526m",""
06/05/1978 00:00,1.445,13.40,"2c","CEHPOT 29Mar 1988 15:38","Above limit of rating Estimate of discharge from SWA. Extraction period 01 Oct 1973 to 04 Jan 85, datum 0.0,Threshold 0.526m",""
02/02/1979 00:00,1.170,10.98,"2c","CEHPOT 29Mar 1988 15:38","Extraction period 01 Oct 1973 to 04 Jan 85, datum 0.0,Threshold 0.526m",""
07/02/1979 00:00,0.565,5.47,"2c","CEHPOT 29Mar 1988 15:38","Extraction period 01 Oct 1973 to 04 Jan 85, datum 0.0,Threshold 0.526m",""
14/02/1979 00:00,0.830,7.91,"2c","CEHPOT 29Mar 1988 15:38","Extraction period 01 Oct 1973 to 04 Jan 85, datum 0.0,Threshold 0.526m",""
17/03/1979 00:00,0.835,7.95,"2c","CEHPOT 29Mar 1988 15:38","Extraction period 01 Oct 1973 to 04 Jan 85, datum 0.0,Threshold 0.526m",""
28/03/1979 00:00,1.090,10.26,"2c","CEHPOT 29Mar 1988 15:38","Extraction period 01 Oct 1973 to 04 Jan 85, datum 0.0,Threshold 0.526m",""
08/04/1979 00:00,0.650,6.26,"2c","CEHPOT 29Mar 1988 15:38","Extraction period 01 Oct 1973 to 04 Jan 85, datum 0.0,Threshold 0.526m",""
21/05/1979 00:00,0.560,5.43,"2c","CEHPOT 29Mar 1988 15:38","Extraction period 01 Oct 1973 to 04 Jan 85, datum 0.0,Threshold 0.526m",""
31/05/1979 00:00,0.830,7.91,"2c","CEHPOT 29Mar 1988 15:38","Extraction period 01 Oct 1973 to 04 Jan 85, datum 0.0,Threshold 0.526m",""
14/12/1979 00:00,0.690,6.63,"2c","CEHPOT 29Mar 1988 15:38","Extraction period 01 Oct 1973 to 04 Jan 85, datum 0.0,Threshold 0.526m",""
29/12/1979 00:00,1.160,10.89,"2c","CEHPOT 29Mar 1988 15:38","Extraction period 01 Oct 1973 to 04 Jan 85, datum 0.0,Threshold 0.526m",""
04/01/1980 00:00,0.700,6.72,"2c","CEHPOT 29Mar 1988 15:38","Extraction period 01 Oct 1973 to 04 Jan 85, datum 0.0,Threshold 0.526m",""
07/02/1980 00:00,0.540,5.24,"2c","CEHPOT 29Mar 1988 15:38","Extraction period 01 Oct 1973 to 04 Jan 85, datum 0.0,Threshold 0.526m",""
18/03/1980 00:00,0.760,7.27,"2c","CEHPOT 29Mar 1988 15:38","Extraction period 01 Oct 1973 to 04 Jan 85, datum 0.0,Threshold 0.526m",""
02/04/1980 00:00,0.540,5.24,"2c","CEHPOT 29Mar 1988 15:38","Extraction period 01 Oct 1973 to 04 Jan 85, datum 0.0,Threshold 0.526m",""
15/04/1980 20:30,0.247,1.61,"2b","Digital Archive","Non-independent peak removed A","AMAX ONLY"
01/07/1980 10:45,0.189,1.06,"2b","Digital Archive","",""
21/12/1980 09:00,0.233,1.47,"2b","Digital Archive","",""
22/01/1981 09:45,0.296,2.14,"2b","Digital Archive","",""
10/03/1981 23:15,0.788,7.52,"2c","Digital Archive","",""
02/04/1981 07:15,0.294,2.12,"2b","Digital Archive","",""
27/04/1981 23:30,0.976,9.23,"2c","Digital Archive","symetrical peak, with no elongated high water period.",""
10/05/1981 17:45,0.349,2.79,"2b","Digital Archive","",""
03/06/1981 02:00,0.294,2.12,"2b","Digital Archive","",""
10/07/1981 11:15,0.231,1.45,"2b","Digital Archive","",""
07/10/1981 13:00,0.186,1.04,"2b","Digital Archive","",""
21/10/1981 04:45,0.284,2.01,"2b","Digital Archive","",""
21/11/1981 05:00,0.181,0.99,"2b","Digital Archive","",""
16/12/1981 01:15,0.263,1.78,"2b","Digital Archive","",""
31/12/1981 15:30,1.016,9.59,"2c","Digital Archive","water level stay high over 1day.",""
23/01/1982 17:30,0.407,3.58,"2b","Digital Archive","",""
16/03/1982 14:15,0.375,3.13,"2b","Digital Archive","",""
28/05/1982 02:15,0.280,1.96,"2b","Digital Archive","",""
04/06/1982 17:00,0.323,2.46,"2b","Digital Archive","",""
29/06/1982 13:30,0.222,1.36,"2b","Digital Archive","",""
03/10/1982 22:30,0.367,3.02,"2b","Digital Archive","",""
09/10/1982 05:30,0.432,3.94,"2b","Digital Archive","",""
23/10/1982 19:15,1.039,9.80,"2c","Digital Archive","water level stay high over 1days.",""
15/11/1982 19:45,0.546,5.30,"2c","Digital Archive","",""
25/11/1982 23:30,0.790,7.54,"2c","Digital Archive","",""
11/12/1982 03:45,1.008,9.52,"2c","Digital Archive","water level stay high 0.5day .",""
20/12/1982 18:45,0.418,3.73,"2b","Digital Archive","",""
01/02/1983 11:45,0.323,2.46,"2b","Digital Archive","",""
13/02/1983 06:15,0.418,3.73,"2b","Digital Archive","",""
05/04/1983 01:00,0.416,3.70,"2b","Digital Archive","",""
12/04/1983 08:15,0.801,7.64,"2c","Digital Archive","",""
19/04/1983 06:30,0.773,7.39,"2c","Digital Archive","",""
02/05/1983 05:30,0.455,4.28,"2b","Digital Archive","",""
16/05/1983 02:45,0.407,3.58,"2b","Digital Archive","",""
01/06/1983 10:45,0.830,7.91,"2c","Digital Archive","","AMAX ONLY"
09/07/1983 02:00,0.296,2.14,"2b","Digital Archive","",""
18/07/1983 14:45,0.236,1.50,"2b","Digital Archive","",""
27/11/1983 22:00,0.363,2.97,"2b","Digital Archive","",""
10/12/1983 12:15,0.268,1.83,"2b","Digital Archive","",""
25/12/1983 08:45,0.263,1.78,"2b","Digital Archive","",""
04/01/1984 07:30,0.326,2.50,"2b","Digital Archive","",""
17/01/1984 14:45,0.215,1.30,"2b","Digital Archive","",""
27/01/1984 05:45,0.620,5.98,"2c","Digital Archive","Extraction period 01 Oct 1973 to 04 Jan 85, datum 0.0,Threshold 0.526m",""
07/02/1984 20:30,0.810,7.72,"2c","Digital Archive","Extraction period 01 Oct 1973 to 04 Jan 85, datum 0.0,Threshold 0.526m",""
27/03/1984 17:15,0.284,2.01,"2b","Digital Archive","",""
22/05/1984 20:00,0.270,1.85,"2b","Digital Archive","",""
27/05/1984 16:00,0.384,3.25,"2b","Digital Archive","",""
07/06/1984 20:00,0.535,5.20,"2c","Digital Archive","",""
21/09/1984 19:00,0.312,2.33,"2b","Digital Archive","",""
25/10/1984 18:00,0.201,1.17,"2b","Digital Archive","",""
07/11/1984 10:00,0.254,1.68,"2b","Digital Archive","",""
25/11/1984 04:00,1.149,10.79,"2c","Digital Archive","water level stay high over 1.5days.",""
17/12/1984 07:45,0.370,3.06,"2b","Digital Archive","",""
22/01/1985 17:45,0.726,6.96,"2c","Digital Archive","",""
26/01/1985 21:00,0.660,6.35,"2c","Digital Archive","",""
11/02/1985 20:15,0.324,2.48,"2b","Digital Archive","",""
24/02/1985 06:15,0.425,3.83,"2b","Digital Archive","",""
02/03/1985 12:15,0.453,4.25,"2b","Digital Archive","",""
27/03/1985 12:00,0.368,3.04,"2b","Digital Archive","",""
08/06/1985 02:30,0.358,2.91,"2b","Digital Archive","",""
25/06/1985 20:30,0.529,5.14,"2c","Digital Archive","",""
20/07/1985 22:30,0.193,1.10,"2b","Digital Archive","",""
06/12/1985 12:30,0.284,2.01,"2b","Digital Archive","",""
27/12/1985 01:15,0.462,4.39,"2b","Digital Archive","",""
03/01/1986 10:00,0.328,2.53,"2b","Digital Archive","",""
09/01/1986 10:30,0.365,3.00,"2b","Digital Archive","",""
23/01/1986 22:15,0.245,1.59,"2b","Digital Archive","",""
03/02/1986 11:45,0.405,3.55,"2b","Digital Archive","",""
27/02/1986 08:15,0.221,1.35,"2b","Digital Archive","",""
06/03/1986 02:00,0.248,1.62,"2b","Digital Archive","",""
01/04/1986 23:45,0.296,2.14,"2b","Digital Archive","",""
08/04/1986 19:45,0.337,2.64,"2b","Digital Archive","",""
17/04/1986 16:45,0.381,3.21,"2b","Digital Archive","",""
21/05/1986 07:00,0.372,3.09,"2b","Digital Archive","",""
22/10/1986 13:45,0.194,1.11,"2b","Digital Archive","",""
22/11/1986 03:00,0.192,1.09,"2b","Digital Archive","",""
19/12/1986 06:15,0.197,1.13,"2b","Digital Archive","",""
02/01/1987 04:00,0.474,4.58,"2b","Digital Archive","",""
10/02/1987 10:30,0.233,1.47,"2b","Digital Archive","",""
02/03/1987 10:00,0.368,3.04,"2b","Digital Archive","",""
02/04/1987 19:45,0.395,3.41,"2b","Digital Archive","",""
16/06/1987 07:30,0.248,1.62,"2b","Digital Archive","",""
20/06/1987 17:00,0.226,1.40,"2b","Digital Archive","",""
30/07/1987 16:00,0.196,1.12,"2b","Digital Archive","",""
11/08/1987 00:30,0.207,1.22,"2b","Digital Archive","",""
27/08/1987 22:15,0.375,3.13,"2b","Digital Archive","",""
12/10/1987 08:00,1.001,9.46,"2c","Digital Archive","",""
17/10/1987 17:15,1.024,9.66,"2c","Digital Archive","",""
23/10/1987 01:30,0.845,8.04,"2c","Digital Archive","",""
13/11/1987 06:00,0.768,7.34,"2c","Digital Archive","",""
21/11/1987 02:00,0.949,8.99,"2c","Digital Archive","",""
18/12/1987 06:00,0.379,3.19,"2b","Digital Archive","",""
