"NAME:","Stringside at Whitebridge"
"NUMBER:","33029"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
10/08/1965 00:00,0.220,0.50,"3a","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
29/09/1965 00:00,0.350,1.12,"3a","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
01/10/1965 00:00,0.340,1.06,"3a","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
29/11/1965 00:00,0.400,1.41,"3a","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
09/12/1965 00:00,0.650,3.69,"3c","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
01/01/1966 00:00,0.510,2.23,"3c","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
20/02/1966 00:00,0.670,3.88,"3d","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
01/03/1966 00:00,0.410,1.48,"3a","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
20/04/1966 00:00,0.360,1.18,"3a","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
06/05/1966 00:00,0.280,0.76,"3a","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
23/06/1966 00:00,0.280,0.76,"3a","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
21/07/1966 00:00,0.240,0.58,"3a","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
30/08/1966 00:00,0.470,1.91,"3c","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
01/09/1966 00:00,0.280,0.76,"3a","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
04/10/1966 00:00,0.260,0.67,"3a","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
22/11/1966 00:00,0.500,2.15,"3c","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
10/12/1966 00:00,0.510,2.23,"3c","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
28/01/1967 00:00,0.420,1.55,"3b","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
20/02/1967 00:00,0.440,1.69,"3b","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
09/03/1967 00:00,0.350,1.12,"3a","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
10/04/1967 00:00,0.320,0.96,"3a","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
27/05/1967 00:00,0.560,2.69,"3c","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
01/06/1967 00:00,0.300,0.85,"3a","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
01/07/1967 00:00,0.220,0.50,"3a","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
10/08/1967 00:00,0.280,0.76,"3a","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
03/09/1967 00:00,0.160,0.29,"3a","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
17/10/1967 00:00,0.190,0.39,"3a","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
06/11/1967 00:00,0.490,2.07,"3c","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
25/12/1967 00:00,0.360,1.18,"3a","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
05/01/1968 00:00,0.470,1.91,"3c","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
08/02/1968 00:00,0.390,1.35,"3a","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
01/03/1968 00:00,0.290,0.80,"3a","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
17/04/1968 00:00,0.250,0.62,"3a","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
01/05/1968 00:00,0.210,0.46,"3a","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
28/06/1968 00:00,0.240,0.58,"3a","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
14/07/1968 00:00,0.410,1.48,"3a","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
09/08/1968 00:00,0.350,1.12,"3a","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
16/09/1968 00:00,0.720,4.13,"3d","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m, High water event.",""
08/10/1968 00:00,0.430,1.62,"3b","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
26/11/1968 00:00,0.340,1.06,"3a","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
22/12/1968 00:00,0.460,1.84,"3c","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
16/01/1969 00:00,0.550,2.60,"3c","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
22/02/1969 00:00,0.550,2.60,"3c","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
15/03/1969 00:00,0.520,2.32,"3c","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
01/04/1969 00:00,0.330,1.01,"3a","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
17/05/1969 00:00,0.510,2.23,"3c","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
03/06/1969 00:00,0.400,1.41,"3a","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
09/07/1969 00:00,0.260,0.67,"3a","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
01/08/1969 00:00,0.170,0.32,"3a","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
03/09/1969 00:00,0.140,0.23,"3a","CEHMMAX 29/08/72","Datum 2.54modn, ft odn change to stage m",""
15/12/1969 00:00,0.510,2.23,"3c","CEHPOT 23/5/78","Threshold Level 2.982m, Datum 2.54modn, ft odn change to stage m",""
16/01/1970 00:00,0.510,2.23,"3c","CEHPOT 23/5/78","Threshold Level 2.982m, Datum 2.54modn, ft odn change to stage m",""
19/02/1970 00:00,0.480,1.99,"3c","CEHPOT 23/5/78","Threshold Level 2.982m, Datum 2.54modn, ft odn change to stage m",""
22/02/1970 00:00,0.480,1.99,"3c","CEHPOT 23/5/78","Threshold Level 2.982m, Datum 2.54modn, ft odn change to stage m",""
23/01/1971 00:00,0.580,2.89,"3c","CEHPOT 23/5/78","Threshold Level 2.982m, Datum 2.54modn, ft odn change to stage m",""
26/01/1971 00:00,0.470,1.91,"3c","CEHPOT 23/5/78","Threshold Level 2.982m, Datum 2.54modn, ft odn change to stage m",""
27/01/1972 00:00,0.530,2.41,"3c","CEHPOT 23/5/78","Threshold Level 2.982m, Datum 2.54modn, ft odn change to stage m",""
11/02/1972 00:00,0.440,1.69,"3b","CEHPOT 23/5/78","Threshold Level 2.982m, Datum 2.54modn, ft odn change to stage m",""
20/06/1973 00:00,0.230,0.54,"3a","CEHPOT 23/5/78","Threshold Level 2.982m, Datum 2.54modn, ft odn change to stage m",""
09/02/1974 00:00,0.473,1.94,"3c","CEHPOTS 22/04/1988","Threshold Level 0.436m Datum 0.00",""
18/11/1974 00:00,0.660,3.82,"3c","CEHPOTS 22/04/1988","Threshold Level 0.436m Datum 0.00",""
21/11/1974 00:00,0.573,2.82,"3c","CEHPOTS 22/04/1988","Threshold Level 0.436m Datum 0.00",""
