"NAME:","Little Ouse at Abbey Heath"
"NUMBER:","33034"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
18/09/1968 00:00,1.580,55.41,"11[migrated]2","CEH POTS 28/07/78","datum 10'sm, Threshold Level 10.594m, peak with protected flow",""
23/12/1968 00:00,0.725,15.97,"11[migrated]2","CEH POTS 28/07/78","datum 10'sm, Threshold Level 10.594m",""
24/01/1969 00:00,0.677,14.33,"11[migrated]2","CEH POTS 28/07/78","datum 10'sm, Threshold Level 10.594m",""
29/01/1969 00:00,0.680,14.43,"11[migrated]2","CEH POTS 28/07/78","datum 10'sm, Threshold Level 10.594m",""
07/02/1969 00:00,0.610,12.16,"11[migrated]2","CEH POTS 28/07/78","datum 10'sm, Threshold Level 10.594m",""
13/02/1969 00:00,0.700,15.11,"11[migrated]2","CEH POTS 28/07/78","datum 10'sm, Threshold Level 10.594m",""
24/02/1969 00:00,0.870,21.33,"11[migrated]2","CEH POTS 28/07/78","datum 10'sm, Threshold Level 10.594m, in bank peak",""
14/03/1969 00:00,0.818,19.34,"11[migrated]2","CEH POTS 28/07/78","datum 10'sm, Threshold Level 10.594m",""
19/03/1969 00:00,0.654,13.57,"11[migrated]2","CEH POTS 28/07/78","datum 10'sm, Threshold Level 10.594m",""
07/04/1969 00:00,0.710,15.45,"11[migrated]2","CEH POTS 28/07/78","datum 10'sm, Threshold Level 10.594m",""
19/05/1969 00:00,0.630,12.79,"11[migrated]2","CEH POTS 28/07/78","datum 10'sm, Threshold Level 10.594m",""
17/01/1970 00:00,0.720,15.80,"11[migrated]2","CEH POTS 28/07/78","datum 10'sm, Threshold Level 10.594m",""
23/02/1970 00:00,0.780,17.93,"11[migrated]2","CEH POTS 28/07/78","datum 10'sm, Threshold Level 10.594m",""
02/03/1970 00:00,0.685,14.60,"11[migrated]2","CEH POTS 28/07/78","datum 10'sm, Threshold Level 10.594m",""
25/01/1971 00:00,0.780,17.93,"11[migrated]2","CEH POTS 28/07/78","datum 10'sm, Threshold Level 10.594m",""
01/02/1971 00:00,0.670,14.10,"11[migrated]2","CEH POTS 28/07/78","datum 10'sm, Threshold Level 10.594m",""
23/11/1971 00:00,0.650,13.44,"11[migrated]2","CEH POTS 28/07/78","datum 10'sm, Threshold Level 10.594m",""
29/01/1972 00:00,0.840,20.18,"11[migrated]2","CEH POTS 28/07/78","datum 10'sm, Threshold Level 10.594m",""
12/02/1972 00:00,0.615,12.31,"11[migrated]2","CEH POTS 28/07/78","datum 10'sm, Threshold Level 10.594m",""
20/11/1972 00:00,0.280,3.63,"11[migrated]2","CEH POTS 28/07/78","datum 10'sm, Threshold Level 10.594m, POTS extracted to 4-10 73",""
15/02/1974 00:00,0.535,9.89,"11[migrated]2","CEH POTS 16/02/1988","Threshold Level 0.595m, POTS extracted from 1-10-73",""
23/11/1974 00:00,0.820,19.42,"11[migrated]2","CEH POTS 16/02/1988","Threshold Level 0.595m",""
23/01/1975 00:00,0.650,13.44,"11[migrated]2","CEH POTS 16/02/1988","Threshold Level 0.595m",""
29/01/1975 00:00,0.720,15.80,"11[migrated]2","CEH POTS 16/02/1988","Threshold Level 0.595m",""
19/04/1975 00:00,0.730,16.15,"11[migrated]2","CEH POTS 16/02/1988","Threshold Level 0.595m",""
13/02/1976 00:00,0.460,7.81,"11[migrated]2","CEH POTS 16/02/1988","Threshold Level 0.595m",""
