"NAME:","Cam at Chesterford"
"NUMBER:","33051"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
15/12/1969 00:00,0.411,3.79,"1e","CEH POTS 11-4-88","Datum 35.2044 subtracted Threshold 35.604 applied Converted into meter",""
10/01/1970 00:00,0.442,4.56,"1e","CEH POTS 11-4-88","Datum 35.2044 subtracted Threshold 35.604 applied Converted into meter",""
30/01/1970 00:00,0.442,4.56,"1e","CEH POTS 11-4-88","Datum 35.2044 subtracted Threshold 35.604 applied Converted into meter",""
02/02/1970 00:00,0.503,6.23,"1e","CEH POTS 11-4-88","Datum 35.2044 subtracted Threshold 35.604 applied Converted into meter",""
19/02/1970 00:00,0.439,4.48,"1e","CEH POTS 11-4-88","Datum 35.2044 subtracted Threshold 35.604 applied Converted into meter",""
22/02/1970 00:00,0.472,5.37,"1e","CEH POTS 11-4-88","Datum 35.2044 subtracted Threshold 35.604 applied Converted into meter",""
12/03/1970 00:00,0.564,8.09,"1e","CEH POTS 11-4-88","Datum 35.2044 subtracted Threshold 35.604 applied Converted into meter",""
06/04/1970 00:00,0.466,5.21,"1e","CEH POTS 11-4-88","Datum 35.2044 subtracted Threshold 35.604 applied Converted into meter",""
12/04/1970 00:00,0.415,3.87,"1e","CEH POTS 11-4-88","Datum 35.2044 subtracted Threshold 35.604 applied Converted into meter",""
26/04/1970 00:00,0.433,4.32,"1e","CEH POTS 11-4-88","Datum 35.2044 subtracted Threshold 35.604 applied Converted into meter",""
12/09/1970 00:00,0.415,3.87,"1e","CEH POTS 11-4-88","Datum 35.2044 subtracted Threshold 35.604 applied Converted into meter",""
14/11/1970 00:00,0.442,4.56,"1e","CEH POTS 11-4-88","Datum 35.2044 subtracted Threshold 35.604 applied Converted into meter",""
29/11/1970 00:00,0.524,6.86,"1e","CEH POTS 11-4-88","Datum 35.2044 subtracted Threshold 35.604 applied Converted into meter",""
04/12/1970 00:00,0.497,6.06,"1e","CEH POTS 11-4-88","Datum 35.2044 subtracted Threshold 35.604 applied Converted into meter",""
23/01/1971 00:00,0.594,9.09,"1e","CEH POTS 11-4-88","Datum 35.2044 subtracted Threshold 35.604 applied Converted into meter",""
26/01/1971 00:00,0.549,7.61,"1e","CEH POTS 11-4-88","Datum 35.2044 subtracted Threshold 35.604 applied Converted into meter",""
18/03/1971 00:00,0.418,3.94,"1e","CEH POTS 11-4-88","Datum 35.2044 subtracted Threshold 35.604 applied Converted into meter",""
18/10/1971 00:00,0.411,3.79,"1e","CEH POTS 11-4-88","Datum 35.2044 subtracted Threshold 35.604 applied Converted into meter",""
20/11/1971 00:00,0.427,4.17,"1e","CEH POTS 11-4-88","Datum 35.2044 subtracted Threshold 35.604 applied Converted into meter",""
28/11/1971 00:00,0.463,5.12,"1e","CEH POTS 11-4-88","Datum 35.2044 subtracted Threshold 35.604 applied Converted into meter",""
27/01/1972 00:00,0.451,4.80,"1e","CEH POTS 11-4-88","Datum 35.2044 subtracted Threshold 35.604 applied Converted into meter",""
12/02/1972 00:00,0.503,6.23,"1e","CEH POTS 11-4-88","Datum 35.2044 subtracted Threshold 35.604 applied Converted into meter",""
07/03/1972 00:00,0.732,14.07,"1e","CEH POTS 11-4-88","Datum 35.2044 subtracted Threshold 35.604 applied Converted into metre. Peak suspect and currently under review.",""
06/12/1972 00:00,0.381,3.08,"1e","CEH POTS 11-4-88","Datum 35.2044 subtracted Threshold 35.604 applied Converted into meter",""
07/02/1974 00:00,0.427,4.17,"1e","CEH POTS 11-4-88","Datum 35.2044 subtracted Threshold 35.604 applied Converted into meter",""
04/10/1974 00:00,0.515,6.59,"1e","CEH POTS 11-4-88","Datum 35.2044 subtracted Threshold 35.604 applied Converted into meter",""
18/10/1974 00:00,0.427,4.17,"1e","CEH POTS 11-4-88","Datum 35.2044 subtracted Threshold 35.604 applied Converted into meter",""
14/11/1974 00:00,0.518,6.68,"1e","CEH POTS 11-4-88","Datum 35.2044 subtracted Threshold 35.604 applied Converted into meter",""
18/11/1974 00:00,0.640,10.66,"1e","CEH POTS 11-4-88","Datum 35.2044 subtracted Threshold 35.604 applied Converted into meter",""
22/11/1974 00:00,0.576,8.49,"1e","CEH POTS 11-4-88","Datum 35.2044 subtracted Threshold 35.604 applied Converted into meter",""
20/01/1975 00:00,0.543,7.42,"1e","CEH POTS 11-4-88","Datum 35.2044 subtracted Threshold 35.604 applied Converted into meter",""
28/01/1975 00:00,0.479,5.54,"1e","CEH POTS 11-4-88","Datum 35.2044 subtracted Threshold 35.604 applied Converted into meter",""
08/03/1975 00:00,0.482,5.63,"1e","CEH POTS 11-4-88","Datum 35.2044 subtracted Threshold 35.604 applied Converted into meter",""
13/03/1975 00:00,0.564,8.09,"1e","CEH POTS 11-4-88","Datum 35.2044 subtracted Threshold 35.604 applied Converted into meter",""
22/03/1975 00:00,0.424,4.09,"1e","CEH POTS 11-4-88","Datum 35.2044 subtracted Threshold 35.604 applied Converted into meter",""
18/04/1975 00:00,0.579,8.59,"1e","CEH POTS 11-4-88","Datum 35.2044 subtracted Threshold 35.604 applied Converted into meter",""
17/05/1975 00:00,0.585,8.79,"1e","CEH POTS 11-4-88","Datum 35.2044 subtracted Threshold 35.604 applied Converted into meter",""
05/01/1976 00:00,0.286,1.27,"1d","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied",""
30/11/1976 00:00,0.510,6.44,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied",""
19/12/1976 00:00,0.485,5.72,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied",""
21/12/1976 00:00,0.435,4.38,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied",""
27/01/1977 00:00,0.430,4.25,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied",""
10/02/1977 00:00,0.410,3.76,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied",""
20/02/1977 00:00,0.547,7.56,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied",""
11/01/1978 00:00,0.440,4.51,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied",""
23/01/1978 00:00,0.465,5.17,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied",""
28/01/1978 00:00,0.445,4.64,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied",""
02/02/1978 00:00,0.510,6.44,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied",""
17/03/1978 00:00,0.445,4.64,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied",""
06/05/1978 00:00,0.690,12.48,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied peak ok",""
28/12/1978 00:00,0.485,5.72,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied",""
01/02/1979 00:00,0.700,12.85,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied, Peak OK.",""
13/02/1979 00:00,0.450,4.77,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied",""
13/03/1979 00:00,0.438,4.46,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied",""
16/03/1979 00:00,0.437,4.43,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied",""
28/03/1979 00:00,0.532,7.10,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied",""
30/05/1979 00:00,0.405,3.64,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied",""
14/12/1979 00:00,0.430,4.25,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied, spike on peak ignored",""
28/12/1979 00:00,0.660,11.37,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied",""
04/01/1980 00:00,0.480,5.58,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied",""
05/02/1980 00:00,0.455,4.90,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied",""
17/03/1980 00:00,0.555,7.81,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied",""
01/04/1980 00:00,0.495,6.01,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied",""
09/03/1981 00:00,0.515,6.59,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied, peak truncated sketched by AWA",""
11/03/1981 00:00,0.465,5.17,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied",""
27/04/1981 00:00,0.440,4.51,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied",""
30/12/1981 00:00,0.510,6.44,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied",""
22/10/1982 00:00,0.600,9.28,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied",""
14/11/1982 00:00,0.450,4.77,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied",""
23/11/1982 00:00,0.505,6.29,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied",""
09/12/1982 00:00,0.645,10.83,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied, peak sketched by AWA",""
06/02/1983 00:00,0.455,4.90,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied",""
11/04/1983 00:00,0.510,6.44,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied",""
18/04/1983 00:00,0.580,8.61,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied",""
25/04/1983 00:00,0.423,4.08,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied",""
15/05/1983 00:00,0.565,8.13,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied",""
01/06/1983 00:00,0.515,6.59,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied",""
26/01/1984 00:00,0.540,7.34,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied, sketch by AWA",""
06/02/1984 00:00,0.485,5.72,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied",""
05/10/1984 00:00,0.410,3.76,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied",""
23/11/1984 00:00,0.550,7.65,"1e","CEH POTS 11-4-88","Datum 0.00 Threshold 0.400 applied",""
26/12/1985 01:00,,4.55,"1a","FEH AMAX","",""
25/08/1987 01:00,,10.52,"1a","FEH AMAX","No stage data, fill in flow as protected from current FEH CD Rom.",""
10/10/1987 01:00,,11.90,"1a","FEH AMAX","flow with no stage data from FEH CD ROM.",""
24/01/1988 04:45,0.620,9.96,"1e","Digital Archive","Non-independent peak removed",""
30/01/1988 01:00,0.611,9.65,"1e","Digital Archive","",""
16/03/1989 01:00,,9.01,"1a","FEH AMAX","",""
03/02/1990 01:00,,9.69,"1a","FEH AMAX","",""
16/03/1991 01:00,,2.38,"1a","FEH AMAX","",""
23/09/1992 18:15,0.397,3.45,"1e","Digital Archive","","AMAX ONLY"
20/10/1992 23:00,0.558,7.91,"1e","Digital Archive","",""
25/10/1992 22:15,0.423,4.08,"1e","Digital Archive","",""
11/11/1992 17:30,0.472,5.36,"1e","Digital Archive","",""
26/11/1992 09:45,0.565,8.13,"1e","Digital Archive","",""
03/12/1992 20:45,0.411,3.78,"1e","Digital Archive","",""
07/01/1993 03:15,0.504,6.26,"1e","Digital Archive","",""
10/01/1993 22:45,0.513,6.53,"1e","Digital Archive","",""
14/01/1993 00:15,0.536,7.22,"1e","Digital Archive","",""
13/10/1993 18:15,0.661,11.41,"1e","Digital Archive","",""
14/11/1993 14:30,0.523,6.83,"1e","Digital Archive","",""
13/12/1993 02:00,0.503,6.24,"1e","Digital Archive","",""
15/12/1993 12:30,0.444,4.61,"1e","Digital Archive","",""
19/12/1993 12:00,0.433,4.33,"1e","Digital Archive","",""
23/12/1993 00:15,0.421,4.03,"1e","Digital Archive","",""
31/12/1993 15:30,0.465,5.17,"1e","Digital Archive","",""
07/01/1994 02:30,0.563,8.07,"1e","Digital Archive","",""
10/01/1994 09:30,0.591,8.98,"1e","Digital Archive","",""
13/01/1994 10:15,0.442,4.56,"1e","Digital Archive","",""
03/02/1994 20:45,0.518,6.68,"1e","Digital Archive","",""
06/02/1994 21:45,0.405,3.64,"1e","Digital Archive","",""
10/04/1994 21:45,0.512,6.50,"1e","Digital Archive","",""
08/12/1994 20:15,0.409,3.73,"1e","Digital Archive","",""
22/01/1995 10:45,0.550,7.65,"1e","Digital Archive","Non-independent peak removed",""
26/01/1995 17:15,0.544,7.47,"1e","Digital Archive","",""
29/01/1995 22:45,0.556,7.84,"1e","Digital Archive","",""
01/02/1995 20:30,0.587,8.84,"1e","Digital Archive","",""
14/02/1995 07:00,0.407,3.69,"1e","Digital Archive","",""
25/02/1995 12:00,0.458,4.98,"1e","Digital Archive","",""
05/03/1995 21:30,0.597,9.18,"1e","Digital Archive","",""
09/01/1996 15:15,0.446,4.66,"1e","Digital Archive","",""
12/02/1996 19:00,0.477,5.50,"1e","Digital Archive","",""
25/02/1996 21:45,0.444,4.61,"1e","Digital Archive","",""
04/11/1996 11:45,0.259,0.89,"1c","Digital Archive","","AMAX ONLY"
25/02/1997 12:30,0.247,0.75,"1c","Digital Archive","","AMAX ONLY"
09/04/1998 23:30,0.462,5.09,"1e","Digital Archive","",""
16/04/1998 06:15,0.595,9.11,"1e","Digital Archive","",""
03/11/1998 04:00,0.515,6.59,"1e","Digital Archive","",""
26/12/1998 03:00,0.523,6.83,"1e","Digital Archive","",""
04/01/1999 09:00,0.446,4.66,"1e","Digital Archive","",""
16/01/1999 16:00,0.430,4.25,"1e","Digital Archive","",""
28/01/1999 17:45,0.598,9.21,"1e","Digital Archive","",""
07/03/1999 21:45,0.528,6.98,"1e","Digital Archive","",""
25/12/1999 09:00,0.495,6.01,"1e","Digital Archive","",""
18/02/2000 11:15,0.414,3.86,"1e","Digital Archive","",""
25/02/2000 09:30,0.460,5.03,"1e","Digital Archive","",""
26/04/2000 13:15,0.552,7.72,"1e","Digital Archive","",""
28/05/2000 19:15,0.540,7.34,"1e","Digital Archive","",""
10/10/2000 05:15,0.430,4.25,"1e","Digital Archive","",""
21/10/2000 16:45,0.535,7.19,"1e","Digital Archive","",""
30/10/2000 19:00,0.644,10.80,"1e","Digital Archive","",""
02/11/2000 21:00,0.488,5.81,"1e","Digital Archive","",""
06/11/2000 15:45,0.614,9.75,"1e","Digital Archive","",""
12/11/2000 05:45,0.518,6.68,"1e","Digital Archive","",""
26/11/2000 01:30,0.435,4.38,"1e","Digital Archive","",""
28/11/2000 08:00,0.523,6.83,"1e","Digital Archive","",""
08/12/2000 07:15,0.500,6.15,"1e","Digital Archive","",""
13/12/2000 05:30,0.404,3.62,"1e","Digital Archive","",""
24/12/2000 21:00,0.500,6.15,"1e","Digital Archive","",""
01/01/2001 16:30,0.409,3.73,"1e","Digital Archive","",""
05/01/2001 14:30,0.521,6.77,"1e","Digital Archive","",""
24/01/2001 07:15,0.513,6.53,"1e","Digital Archive","Non-independent peak removed BNon-independent peak removed A",""
27/01/2001 09:00,0.623,10.06,"1e","Digital Archive","",""
05/02/2001 06:15,0.694,12.63,"1e","Digital Archive","",""
08/02/2001 20:00,0.624,10.10,"1e","Digital Archive","",""
13/02/2001 01:45,0.670,11.74,"1e","Digital Archive","",""
09/03/2001 01:45,0.453,4.85,"1e","Digital Archive","",""
12/03/2001 02:15,0.536,7.22,"1e","Digital Archive","",""
17/03/2001 11:30,0.462,5.09,"1e","Digital Archive","Non-independent peak removed A",""
23/03/2001 16:15,0.560,7.97,"1e","Digital Archive","",""
08/10/2001 02:15,0.411,3.78,"1e","Digital Archive","",""
21/10/2001 22:15,0.656,11.23,"1e","Digital Archive","",""
26/01/2002 20:15,0.510,6.44,"1e","Digital Archive","",""
04/02/2002 07:30,0.493,5.95,"1e","Digital Archive","",""
26/02/2002 11:45,0.474,5.41,"1e","Digital Archive","",""
19/03/2002 00:15,0.509,6.41,"1e","Digital Archive","",""
03/11/2002 04:00,0.412,3.81,"1e","Digital Archive","",""
06/11/2002 23:30,0.474,5.41,"1e","Digital Archive","",""
14/11/2002 13:15,0.500,6.15,"1e","Digital Archive","",""
16/12/2002 01:45,0.527,6.95,"1e","Digital Archive","",""
22/12/2002 21:00,0.586,8.81,"1e","Digital Archive","",""
27/12/2002 13:45,0.421,4.03,"1e","Digital Archive","",""
30/12/2002 01:45,0.564,8.10,"1e","Digital Archive","",""
03/01/2003 04:45,0.649,10.98,"1e","Digital Archive","",""
22/01/2003 15:00,0.633,10.41,"1e","Digital Archive","",""
02/02/2003 23:00,0.532,7.10,"1e","Digital Archive","",""
23/11/2003 18:15,0.322,1.87,"1d","Digital Archive","Series used : 033051SG,033051SG,",""
26/11/2003 19:00,0.379,3.04,"1e","Digital Archive","Series used : 033051SG,033051SG,",""
08/12/2003 19:30,0.274,1.09,"1d","Digital Archive","Series used : 033051SG,033051SG,",""
14/12/2003 01:45,0.340,2.22,"1d","Digital Archive","Series used : 033051SG,033051SG,",""
21/12/2003 10:00,0.268,1.01,"1c","Digital Archive","Series used : 033051SG,033051SG,",""
01/01/2004 20:45,0.446,4.66,"1e","Digital Archive","Series used : 033051SG,033051SG,",""
08/01/2004 22:30,0.409,3.73,"1e","Digital Archive","Series used : 033051SG,033051SG,",""
13/01/2004 14:00,0.409,3.73,"1e","Digital Archive","Non-independent peak removed Series used : 033051SG,033051SG,",""
23/01/2004 01:45,0.427,4.18,"1e","Digital Archive","Series used : 033051SG,033051SG,",""
31/01/2004 19:00,0.497,6.06,"1e","Digital Archive","Series used : 033051SG,033051SG,",""
07/02/2004 01:15,0.384,3.15,"1e","Digital Archive","Series used : 033051SG,033051SG,",""
09/02/2004 18:30,0.298,1.46,"1d","Digital Archive","Series used : 033051SG,033051SG,",""
04/04/2004 17:00,0.269,1.02,"1c","Digital Archive","Series used : 033051SG,033051SG,",""
18/04/2004 21:45,0.287,1.29,"1d","Digital Archive","Series used : 033051SG,033051SG,",""
26/04/2004 11:15,0.273,1.04,"1d","Digital Archive","Series used : 033051SG,033051SG,",""
28/04/2004 19:00,0.307,1.61,"1d","Digital Archive","Series used : 033051SG,033051SG,",""
01/05/2004 18:45,0.339,2.20,"1d","Digital Archive","Series used : 033051SG,033051SG,",""
04/05/2004 22:45,0.368,2.80,"1e","Digital Archive","Series used : 033051SG,033051SG,",""
08/05/2004 18:15,0.574,8.42,"1e","Digital Archive","Series used : 033051SG,033051SG,",""
23/06/2004 06:15,0.265,0.97,"1c","Digital Archive","Series used : 033051SG,033051SG,",""
08/07/2004 03:15,0.350,2.42,"1e","Digital Archive","Series used : 033051SG,033051SG,",""
19/11/2004 06:45,0.347,2.36,"1e","Digital Archive","Series used : 033051SG,033051SG,",""
30/11/2004 14:30,0.287,1.29,"1d","Digital Archive","Series used : 033051SG,033051SG,",""
23/12/2004 13:45,0.275,1.11,"1d","Digital Archive","Series used : 033051SG,033051SG,",""
29/01/2005 02:15,0.290,1.33,"1d","Digital Archive","Series used : 033051SG,033051SG,",""
12/02/2005 20:45,0.289,1.32,"1d","Digital Archive","Series used : 033051SG,033051SG,",""
02/03/2005 12:45,0.270,1.04,"1c","Digital Archive","Series used : 033051SG,033051SG,",""
31/12/2005 16:30,0.271,1.05,"1d","Digital Archive","Series used : 033051SG,033051SG,",""
15/02/2006 20:30,0.297,1.44,"1d","Digital Archive","Series used : 033051SG,033051SG,",""
09/03/2006 20:45,0.295,1.41,"1d","Digital Archive","Series used : 033051SG,033051SG,",""
22/05/2006 23:45,0.266,0.98,"1c","Digital Archive","Series used : 033051SG,033051SG,",""
14/06/2006 00:45,0.302,1.52,"1d","Digital Archive","Series used : 033051SG,033051SG,",""
24/08/2006 13:30,0.268,1.01,"1c","Digital Archive","Series used : 033051SG,033051SG,",""
29/09/2006 16:30,0.281,1.19,"1d","Digital Archive","Series used : 033051SG,033051SG,",""
18/11/2006 04:30,0.506,6.32,"1e","033051.SG.HiUKPOT","",""
23/11/2006 14:30,0.418,3.95,"1e","033051.SG.HiUKPOT","",""
26/11/2006 22:45,0.415,3.88,"1e","033051.SG.HiUKPOT","",""
31/12/2006 01:30,0.501,6.18,"1e","033051.SG.HiUKPOT","",""
07/01/2007 01:15,0.420,4.00,"1e","033051.SG.HiUKPOT","",""
18/01/2007 16:15,0.481,5.61,"1e","033051.SG.HiUKPOT","",""
12/02/2007 21:45,0.499,6.12,"1e","033051.SG.HiUKPOT","",""
25/02/2007 16:00,0.412,3.81,"1e","033051.SG.HiUKPOT","",""
06/03/2007 19:00,0.428,4.20,"1e","033051.SG.HiUKPOT","",""
28/05/2007 19:00,0.459,5.01,"1e","033051.SG.HiUKPOT","",""
22/08/2007 23:45,0.411,3.78,"1e","033051.SG.HiUKPOT","",""
22/11/2007 13:45,0.401,3.54,"1e","033051.SG.HiUKPOT","",""
11/01/2008 21:30,0.463,5.11,"1e","033051.SG.HiUKPOT","",""
15/01/2008 21:15,0.447,4.69,"1e","033051.SG.HiUKPOT","",""
20/01/2008 04:00,0.543,7.44,"1e","033051.SG.HiUKPOT","",""
16/03/2008 10:45,0.491,5.89,"1e","033051.SG.HiUKPOT","",""
11/11/2008 01:15,0.470,5.30,"1e","033051.SG.HiUKPOT","",""
14/12/2008 09:45,0.453,4.85,"1e","033051.SG.HiUKPOT","",""
25/01/2009 21:45,0.446,4.66,"1e","033051.SG.HiUKPOT","",""
10/02/2009 18:15,0.653,11.12,"1e","033051.SG.HiUKPOT","",""
13/02/2009 22:15,0.470,5.30,"1e","033051.SG.HiUKPOT","",""
30/11/2009 11:45,0.423,4.08,"1e","033051.SG.HiUKPOT","",""
06/12/2009 20:00,0.412,3.81,"1e","033051.SG.HiUKPOT","",""
31/12/2009 05:15,0.458,4.98,"1e","033051.SG.HiUKPOT","",""
16/01/2010 01:15,0.406,3.66,"1e","033051.SG.HiUKPOT","",""
19/02/2010 09:45,0.446,4.66,"1e","033051.SG.HiUKPOT","",""
22/02/2010 22:15,0.430,4.25,"1e","033051.SG.HiUKPOT","",""
01/03/2010 00:00,0.531,7.07,"1e","033051.SG.HiUKPOT","",""
13/01/2011 10:15,0.499,6.12,"1e","033051.SG.HiUKPOT","",""
18/01/2011 12:15,0.488,5.81,"1e","033051.SG.HiUKPOT","",""
29/04/2012 21:30,0.550,7.65,"1e","033051.SG.HiUKPOT","",""
03/05/2012 22:30,0.596,9.14,"1e","033051.SG.HiUKPOT","",""
11/06/2012 19:15,0.428,4.20,"1e","033051.SG.HiUKPOT","",""
04/11/2012 21:45,0.447,4.69,"1e","Digital Archive","",""
25/11/2012 15:15,0.512,6.50,"1e","Digital Archive","",""
27/11/2012 23:45,0.458,4.98,"1e","Digital Archive","",""
07/12/2012 20:30,0.425,4.13,"1e","Digital Archive","",""
21/12/2012 03:30,0.559,7.94,"1e","Digital Archive","",""
24/12/2012 19:45,0.446,4.66,"1e","Digital Archive","",""
27/01/2013 15:30,0.551,7.69,"1e","Digital Archive","",""
30/01/2013 16:15,0.412,3.81,"1e","Digital Archive","",""
14/02/2013 17:15,0.441,4.53,"1e","Digital Archive","",""
