"NAME:","Ouzel at Leighton Buzzard"
"NUMBER:","33057"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
19/12/1976 00:00,0.550,4.22,"2b","CEH POTS 26.1.89","Datum 0.00 Threshold 0.496 applied",""
01/01/1977 00:00,0.765,5.67,"2b","CEH POTS 26.1.89","Datum 0.00 Threshold 0.496 applied",""
14/01/1977 00:00,0.550,4.22,"2b","CEH POTS 26.1.89","Datum 0.00 Threshold 0.496 applied",""
20/02/1977 00:00,0.590,4.47,"2b","CEH POTS 26.1.89","Datum 0.00 Threshold 0.496 applied",""
23/01/1978 00:00,0.552,4.23,"2b","CEH POTS 26.1.89","Datum 0.00 Threshold 0.496 applied",""
28/01/1978 00:00,0.625,4.70,"2b","CEH POTS 26.1.89","Datum 0.00 Threshold 0.496 applied",""
02/05/1978 01:00,0.600,4.54,"2b","CEH POTS 26.1.89","Datum 0.00 Threshold 0.496 applied",""
05/05/1978 00:00,1.010,7.57,"2b","CEH POTS 26.1.89","Datum 0.00 Threshold 0.496 applied",""
01/02/1979 00:00,0.710,5.28,"2b","CEH POTS 26.1.89","Datum 0.00 Threshold 0.496 applied",""
18/03/1979 00:00,0.748,5.54,"2b","CEH POTS 26.1.89","Datum 0.00 Threshold 0.496 applied",""
27/03/1979 00:00,0.660,4.93,"2b","CEH POTS 26.1.89","Datum 0.00 Threshold 0.496 applied",""
08/04/1979 00:00,0.810,6.00,"2b","CEH POTS 26.1.89","Datum 0.00 Threshold 0.496 applied",""
14/12/1979 00:00,1.075,8.28,"2c","CEH POTS 26.1.89","Datum 0.00 Threshold 0.496 applied",""
28/12/1979 00:00,1.160,9.76,"2d","CEH POTS 26.1.89","Datum 0.00 Threshold 0.496 applied",""
15/08/1980 00:00,0.990,7.41,"2b","CEH POTS 26.1.89","Datum 0.00 Threshold 0.496 applied",""
10/03/1981 23:00,0.660,4.93,"2b","CEH POTS 26.1.89","Datum 0.00 Threshold 0.496 applied",""
26/04/1981 00:00,1.030,7.74,"2b","CEH POTS 26.1.89","Datum 0.00 Threshold 0.496 applied",""
02/06/1981 00:00,0.775,5.74,"2b","CEH POTS 26.1.89","Datum 0.00 Threshold 0.496 applied",""
20/10/1981 00:00,0.777,5.75,"2b","CEH POTS 26.1.89","Datum 0.00 Threshold 0.496 applied",""
15/12/1981 00:00,0.565,4.32,"2b","CEH POTS 26.1.89","Datum 0.00 Threshold 0.496 applied",""
30/12/1981 00:00,0.310,2.06,"2a","CEH POTS 26.1.89","Datum 0.00 Threshold 0.496 applied",""
12/03/1982 00:00,0.578,4.40,"2b","CEH POTS 26.1.89","Datum 0.00 Threshold 0.496 applied",""
15/03/1982 00:00,0.840,6.22,"2b","CEH POTS 26.1.89","Datum 0.00 Threshold 0.496 applied",""
22/10/1982 00:00,0.950,7.08,"2b","CEH POTS 26.1.89","Datum 0.00 Threshold 0.496 applied",""
14/11/1982 00:00,0.770,5.70,"2b","CEH POTS 26.1.89","Datum 0.00 Threshold 0.496 applied",""
