"NAME:","Ouzel at Bletchley"
"NUMBER:","33058"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
01/02/1979 00:00,1.210,19.85,"3c","CEH POTS 8-7-88","Datum0.00 Threshold 0.869",""
19/03/1979 00:00,1.185,19.05,"3c","CEH POTS 8-7-88","Datum0.00 Threshold 0.869",""
21/03/1979 00:00,0.875,10.22,"3b","CEH POTS 8-7-88","Datum0.00 Threshold 0.869",""
28/03/1979 00:00,1.165,18.41,"3c","CEH POTS 8-7-88","Non-independent peak removed Datum0.00 Threshold 0.869",""
08/04/1979 00:00,1.145,17.79,"3c","CEH POTS 8-7-88","Datum0.00 Threshold 0.869",""
14/12/1979 00:00,1.540,28.87,"3d","CEH POTS 8-7-88","Datum0.00 Threshold 0.869",""
28/12/1979 00:00,1.590,30.19,"3d","CEH POTS 8-7-88","Datum0.00 Threshold 0.869",""
14/08/1980 00:00,1.440,26.31,"3d","CEH POTS 8-7-88","Datum0.00 Threshold 0.869",""
11/03/1981 00:00,1.050,14.93,"3c","CEH POTS 8-7-88","Datum0.00 Threshold 0.869",""
23/03/1981 00:00,0.940,11.89,"3c","CEH POTS 8-7-88","Datum0.00 Threshold 0.869",""
27/04/1981 00:00,1.585,30.06,"3d","CEH POTS 8-7-88","Datum0.00 Threshold 0.869",""
02/06/1981 00:00,1.075,15.66,"3c","CEH POTS 8-7-88","Datum0.00 Threshold 0.869",""
20/10/1981 00:00,0.875,10.22,"3b","CEH POTS 8-7-88","Datum0.00 Threshold 0.869",""
15/12/1981 00:00,0.875,10.22,"3b","CEH POTS 8-7-88","Datum0.00 Threshold 0.869",""
30/12/1981 00:00,1.175,18.73,"3c","CEH POTS 8-7-88","Datum0.00 Threshold 0.869",""
02/01/1982 00:00,0.885,10.48,"3b","CEH POTS 8-7-88","Datum0.00 Threshold 0.869",""
18/01/1982 00:00,0.880,10.35,"3b","CEH POTS 8-7-88","Datum0.00 Threshold 0.869",""
12/03/1982 00:00,0.935,11.76,"3c","CEH POTS 8-7-88","Datum0.00 Threshold 0.869",""
