"NAME:","Wid at Writtle"
"NUMBER:","37007"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
04/09/1965 00:00,0.720,7.66,"1b","CEH POTS 19-6-72","Datum 0.00 Threshold 0.685m",""
02/12/1965 00:00,0.740,8.11,"1b","CEH POTS 19-6-72","Datum 0.00 Threshold 0.685m",""
05/12/1965 00:00,0.890,11.99,"1b","CEH POTS 19-6-72","Datum 0.00 Threshold 0.685m",""
09/12/1965 00:00,1.020,16.04,"1b","CEH POTS 19-6-72","Datum 0.00 Threshold 0.685m",""
16/12/1965 00:00,0.740,8.11,"1b","CEH POTS 19-6-72","Datum 0.00 Threshold 0.685m",""
23/12/1965 00:00,0.880,11.70,"1b","CEH POTS 19-6-72","Datum 0.00 Threshold 0.685m",""
02/01/1966 00:00,0.770,8.82,"1b","CEH POTS 19-6-72","Datum 0.00 Threshold 0.685m",""
10/02/1966 00:00,0.850,10.87,"1b","CEH POTS 19-6-72","Datum 0.00 Threshold 0.685m",""
25/02/1966 00:00,0.740,8.11,"1b","CEH POTS 19-6-72","Datum 0.00 Threshold 0.685m",""
16/04/1966 00:00,0.700,7.22,"1b","CEH POTS 19-6-72","Datum 0.00 Threshold 0.685m",""
20/04/1966 00:00,1.030,16.38,"1b","CEH POTS 19-6-72","Datum 0.00 Threshold 0.685m",""
22/10/1966 00:00,0.730,7.88,"1b","CEH POTS 19-6-72","Datum 0.00 Threshold 0.685m",""
10/12/1966 00:00,0.870,11.42,"1b","CEH POTS 19-6-72","Datum 0.00 Threshold 0.685m",""
27/12/1966 00:00,0.840,10.60,"1b","CEH POTS 19-6-72","Datum 0.00 Threshold 0.685m",""
26/01/1967 00:00,0.730,7.88,"1b","CEH POTS 19-6-72","Datum 0.00 Threshold 0.685m",""
20/02/1967 00:00,0.800,9.56,"1b","CEH POTS 19-6-72","Datum 0.00 Threshold 0.685m",""
28/02/1967 00:00,0.910,12.57,"1b","CEH POTS 19-6-72","Datum 0.00 Threshold 0.685m",""
10/04/1967 00:00,0.730,7.88,"1b","CEH POTS 19-6-72","Datum 0.00 Threshold 0.685m",""
02/11/1967 00:00,0.700,7.22,"1b","CEH POTS 19-6-72","Datum 0.00 Threshold 0.685m",""
04/11/1967 00:00,0.830,10.33,"1b","CEH POTS 19-6-72","Datum 0.00 Threshold 0.685m",""
19/12/1967 00:00,0.720,7.66,"1b","CEH POTS 19-6-72","Datum 0.00 Threshold 0.685m",""
14/01/1968 00:00,1.110,19.25,"1b","CEH POTS 19-6-72","Datum 0.00 Threshold 0.685m",""
16/06/1968 00:00,0.970,14.40,"1b","CEH POTS 19-6-72","Datum 0.00 Threshold 0.685m",""
12/10/1968 00:00,0.690,7.00,"1b","CEH POTS 19-6-72","Datum 0.00 Threshold 0.685m",""
01/11/1968 00:00,0.760,8.58,"1b","CEH POTS 19-6-72","Datum 0.00 Threshold 0.685m",""
17/12/1968 00:00,1.280,26.20,"1b","CEH POTS 19-6-72","Datum 0.00 Threshold 0.685m",""
10/01/1969 00:00,0.730,7.88,"1b","CEH POTS 26-6-78","Datum 0.00 Threshold 0.685m",""
12/02/1969 00:00,0.710,7.43,"1b","CEH POTS 19-6-72","Datum 0.00 Threshold 0.685m",""
21/02/1969 00:00,0.950,13.78,"1b","CEH POTS 19-6-72","Datum 0.00 Threshold 0.685m",""
13/03/1969 00:00,1.140,20.39,"1b","CEH POTS 19-6-72","Datum 0.00 Threshold 0.685m",""
22/12/1969 00:00,0.690,7.00,"1b","CEH POTS 26-6-78","Datum 0.00 Threshold 0.685m",""
30/01/1970 00:00,0.740,8.11,"1b","CEH POTS 26-6-78","Datum 0.00 Threshold 0.685m",""
02/02/1970 00:00,0.720,7.66,"1b","CEH POTS 26-6-78","Datum 0.00 Threshold 0.685m",""
19/02/1970 00:00,0.800,9.56,"1b","CEH POTS 26-6-78","Datum 0.00 Threshold 0.685m",""
11/03/1970 00:00,0.940,13.47,"1b","CEH POTS 26-6-78","Datum 0.00 Threshold 0.685m",""
23/03/1970 00:00,0.730,7.88,"1b","CEH POTS 26-6-78","Datum 0.00 Threshold 0.685m",""
15/11/1970 00:00,0.810,9.81,"1b","CEH POTS 26-6-78","Datum 0.00 Threshold 0.685m",""
07/01/1971 00:00,0.720,7.66,"1b","CEH POTS 26-6-78","Datum 0.00 Threshold 0.685m",""
23/01/1971 00:00,0.960,14.09,"1b","CEH POTS 26-6-78","Datum 0.00 Threshold 0.685m",""
26/01/1971 00:00,0.820,10.07,"1b","CEH POTS 26-6-78","Datum 0.00 Threshold 0.685m",""
14/06/1971 00:00,0.740,8.11,"1b","CEH POTS 26-6-78","Datum 0.00 Threshold 0.685m",""
20/06/1971 00:00,0.700,7.22,"1b","CEH POTS 26-6-78","Datum 0.00 Threshold 0.685m",""
27/01/1972 00:00,0.690,7.00,"1b","CEH POTS 26-6-78","Datum 0.00 Threshold 0.685m",""
19/06/1973 00:00,0.580,4.88,"1b","CEH POTS 26-6-78","Datum 0.00 Threshold 0.685m",""
11/02/1974 00:00,0.770,8.82,"1b","CEH POTS 29-8-91","Datum 0.00 Threshold 6.85 applied",""
10/03/1974 00:00,1.060,17.43,"1b","CEH POTS 29-8-91","Datum 0.00 Threshold 6.85 applied",""
27/09/1974 00:00,0.780,9.06,"1b","CEH POTS 29-8-91","Datum 0.00 Threshold 6.85 applied",""
19/10/1974 00:00,0.750,8.34,"1b","CEH POTS 29-8-91","Datum 0.00 Threshold 6.85 applied",""
14/11/1974 00:00,0.780,9.06,"1b","CEH POTS 29-8-91","Datum 0.00 Threshold 6.85 applied",""
18/11/1974 00:00,0.940,13.47,"1b","CEH POTS 29-8-91","Datum 0.00 Threshold 6.85 applied",""
21/11/1974 00:00,1.420,37.10,"1c","CEH POTS 29-8-91","Includes an adjustment for additional spillway flow. Datum 0.00 Threshold 6.85 applied. Peak and comment from CEH.",""
20/01/1975 00:00,0.920,12.86,"1b","CEH POTS 29-8-91","Datum 0.00 Threshold 6.85 applied",""
28/01/1975 00:00,0.870,11.42,"1b","CEH POTS 29-8-91","Datum 0.00 Threshold 6.85 applied",""
12/02/1975 00:00,0.690,7.00,"1b","CEH POTS 29-8-91","Datum 0.00 Threshold 6.85 applied",""
15/02/1975 00:00,0.860,11.14,"1b","CEH POTS 29-8-91","Datum 0.00 Threshold 6.85 applied Peak below threshold",""
08/03/1975 00:00,0.970,14.40,"1b","CEH POTS 29-8-91","Datum 0.00 Threshold 6.85 applied",""
13/03/1975 00:00,0.710,7.43,"1b","CEH POTS 29-8-91","Datum 0.00 Threshold 6.85 applied",""
21/03/1975 00:00,0.790,9.31,"1b","CEH POTS 29-8-91","Datum 0.00 Threshold 6.85 applied",""
18/04/1975 00:00,0.780,9.06,"1b","CEH POTS 29-8-91","Datum 0.00 Threshold 6.85 applied",""
17/05/1975 00:00,1.280,26.20,"1b","CEH POTS 29-8-91","Datum 0.00 Threshold 6.85 applied. Peak and comment from CEH. Data OK.",""
01/12/1975 00:00,0.700,7.22,"1b","CEH POTS 29-8-91","Datum 0.00 Threshold 6.85 applied",""
01/12/1976 00:00,0.850,10.87,"1b","CEH POTS 29-8-91","Datum 0.00 Threshold 6.85 applied",""
19/12/1976 00:00,0.790,9.31,"1b","CEH POTS 29-8-91","Datum 0.00 Threshold 6.85 applied",""
01/01/1977 00:00,0.860,11.14,"1b","CEH POTS 29-8-91","Datum 0.00 Threshold 6.85 applied",""
13/01/1977 00:00,0.830,10.33,"1b","CEH POTS 29-8-91","Datum 0.00 Threshold 6.85 applied",""
03/02/1977 00:00,0.760,8.58,"1b","CEH POTS 29-8-91","Datum 0.00 Threshold 6.85 applied",""
09/02/1977 00:00,0.710,7.43,"1b","CEH POTS 29-8-91","Datum 0.00 Threshold 6.85 applied",""
20/02/1977 00:00,0.830,10.33,"1b","CEH POTS 29-8-91","Datum 0.00 Threshold 6.85 applied",""
14/06/1977 00:00,0.770,8.82,"1b","CEH POTS 29-8-91","Datum 0.00 Threshold 6.85 applied",""
07/12/1977 00:00,0.760,8.58,"1b","CEH POTS 29-8-91","Datum 0.00 Threshold 6.85 applied",""
12/01/1978 00:00,0.760,8.58,"1b","CEH POTS 29-8-91","Datum 0.00 Threshold 6.85 applied",""
28/01/1978 00:00,0.800,9.56,"1b","CEH POTS 29-8-91","Datum 0.00 Threshold 6.85 applied",""
02/02/1978 00:00,0.800,9.56,"1b","CEH POTS 29-8-91","Datum 0.00 Threshold 6.85 applied",""
14/02/1978 00:00,0.760,8.58,"1b","CEH POTS 29-8-91","Datum 0.00 Threshold 6.85 applied",""
16/03/1978 00:00,0.790,9.31,"1b","CEH POTS 29-8-91","Datum 0.00 Threshold 6.85 applied",""
02/05/1978 00:00,0.710,7.43,"1b","CEH POTS 29-8-91","Datum 0.00 Threshold 6.85 applied",""
