"NAME:","Roding at High Ongar"
"NUMBER:","37014"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
01/12/1963 00:00,,2.03,"2a","Hydpeaks","",""
29/01/1964 00:00,,10.30,"2a","Hydpeaks","",""
15/03/1964 00:00,,15.00,"2a","Hydpeaks","",""
24/04/1964 00:00,,7.34,"2a","Hydpeaks","",""
20/06/1964 00:00,,1.45,"2a","Hydpeaks","",""
09/07/1964 00:00,,0.24,"2a","Hydpeaks","",""
18/08/1964 00:00,,0.05,"2a","Hydpeaks","",""
16/10/1964 00:00,,0.06,"2a","Hydpeaks","",""
14/11/1964 00:00,,0.11,"2a","Hydpeaks","",""
14/12/1964 00:00,,0.09,"2a","Hydpeaks","",""
25/01/1965 00:00,,1.32,"2a","Hydpeaks","",""
23/02/1965 00:00,,0.13,"2a","Hydpeaks","",""
21/03/1965 00:00,,5.37,"2a","Hydpeaks","",""
20/04/1965 00:00,,0.72,"2a","Hydpeaks","",""
05/05/1965 00:00,,0.21,"2a","Hydpeaks","",""
09/06/1965 00:00,,0.14,"2a","Hydpeaks","",""
15/07/1965 00:00,,0.50,"2a","Hydpeaks","",""
04/08/1965 00:00,,0.24,"2a","Hydpeaks","",""
04/09/1965 00:00,,2.46,"2a","Hydpeaks","",""
02/10/1965 00:00,,0.31,"2a","Hydpeaks","",""
29/11/1965 00:00,,7.40,"2a","Hydpeaks","",""
10/12/1965 00:00,,12.10,"2a","Hydpeaks","",""
26/01/1966 00:00,,4.84,"2a","Hydpeaks","",""
10/02/1966 00:00,,8.41,"2a","Hydpeaks","",""
19/04/1966 00:00,,8.50,"2a","Hydpeaks","",""
08/05/1966 00:00,,0.38,"2a","Hydpeaks","",""
24/06/1966 00:00,,0.35,"2a","Hydpeaks","",""
20/07/1966 00:00,,0.15,"2a","Hydpeaks","",""
31/08/1966 00:00,,0.45,"2a","Hydpeaks","",""
23/10/1966 00:00,,1.86,"2a","Hydpeaks","",""
07/11/1966 00:00,,1.05,"2a","Hydpeaks","",""
11/12/1966 00:00,,11.90,"2a","Hydpeaks","",""
28/02/1967 00:00,,11.30,"2a","Hydpeaks","",""
10/04/1967 00:00,,3.77,"2a","Hydpeaks","",""
06/05/1967 00:00,,1.79,"2a","Hydpeaks","",""
26/06/1967 00:00,,1.02,"2a","Hydpeaks","",""
26/09/1967 00:00,,0.06,"2a","Hydpeaks","",""
05/11/1967 00:00,,8.27,"2a","Hydpeaks","",""
25/12/1967 00:00,,4.00,"2a","Hydpeaks","",""
14/01/1968 00:00,,11.70,"2a","Hydpeaks","",""
14/02/1968 00:00,,1.80,"2a","Hydpeaks","",""
19/04/1968 00:00,,0.35,"2a","Hydpeaks","",""
05/05/1968 00:00,,0.38,"2a","Hydpeaks","",""
28/06/1968 00:00,,0.30,"2a","Hydpeaks","",""
17/07/1968 00:00,,0.12,"2a","Hydpeaks","",""
18/08/1968 00:00,,0.36,"2a","Hydpeaks","",""
17/09/1968 00:00,,5.80,"2a","Hydpeaks","",""
09/10/1968 00:00,,5.54,"2a","Hydpeaks","",""
02/11/1968 00:00,,4.81,"2a","Hydpeaks","",""
17/12/1968 00:00,,6.18,"2a","Hydpeaks","",""
28/01/1969 00:00,,7.11,"2a","Hydpeaks","",""
21/02/1969 00:00,,10.90,"2a","Hydpeaks","",""
13/03/1969 00:00,,11.10,"2a","Hydpeaks","",""
16/05/1969 00:00,,1.10,"2a","Hydpeaks","",""
24/06/1969 00:00,,0.19,"2a","Hydpeaks","",""
30/07/1969 00:00,,0.30,"2a","Hydpeaks","",""
03/08/1969 00:00,,0.31,"2a","Hydpeaks","",""
05/09/1969 00:00,,0.40,"2a","Hydpeaks","",""
15/11/1969 00:00,,0.34,"2a","Hydpeaks","",""
15/12/1969 00:00,,1.70,"2a","Hydpeaks","",""
30/01/1970 00:00,,6.55,"2a","Hydpeaks","",""
03/02/1970 00:00,,7.45,"2a","Hydpeaks","",""
12/03/1970 00:00,,10.60,"2a","Hydpeaks","",""
06/04/1970 00:00,,3.39,"2a","Hydpeaks","",""
03/05/1970 00:00,,0.46,"2a","Hydpeaks","",""
03/06/1970 00:00,,0.14,"2a","Hydpeaks","",""
07/07/1970 00:00,,0.06,"2a","Hydpeaks","",""
20/08/1970 00:00,,0.15,"2a","Hydpeaks","",""
27/09/1970 00:00,,0.13,"2a","Hydpeaks","",""
04/12/1970 00:00,,6.68,"2a","Hydpeaks","",""
23/01/1971 00:00,,11.80,"2a","Hydpeaks","",""
19/03/1971 00:00,,3.33,"2a","Hydpeaks","",""
25/04/1971 00:00,,3.68,"2a","Hydpeaks","",""
07/05/1971 00:00,,0.74,"2a","Hydpeaks","",""
20/06/1971 00:00,,1.46,"2a","Hydpeaks","",""
27/07/1971 00:00,,0.11,"2a","Hydpeaks","",""
05/08/1971 00:00,,1.98,"2a","Hydpeaks","",""
20/10/1971 00:00,,0.35,"2a","Hydpeaks","",""
28/11/1971 00:00,,6.68,"2a","Hydpeaks","",""
23/12/1971 00:00,,1.42,"2a","Hydpeaks","",""
08/01/1972 00:00,,7.44,"2a","Hydpeaks","",""
11/02/1972 00:00,,5.11,"2a","Hydpeaks","",""
06/03/1972 00:00,,3.30,"2a","Hydpeaks","",""
14/04/1972 00:00,,0.67,"2a","Hydpeaks","",""
06/05/1972 00:00,,0.24,"2a","Hydpeaks","",""
11/06/1972 00:00,,0.10,"2a","Hydpeaks","",""
03/08/1972 00:00,,0.18,"2a","Hydpeaks","",""
20/09/1972 00:00,,0.05,"2a","Hydpeaks","",""
23/10/1972 00:00,,0.43,"2a","Hydpeaks","",""
23/11/1972 00:00,,1.12,"2a","Hydpeaks","",""
07/12/1972 00:00,,0.64,"2a","Hydpeaks","",""
27/01/1973 00:00,,0.11,"2a","Hydpeaks","",""
14/02/1973 00:00,,0.13,"2a","Hydpeaks","",""
06/03/1973 00:00,,0.09,"2a","Hydpeaks","",""
22/04/1973 00:00,,0.25,"2a","Hydpeaks","",""
04/05/1973 00:00,,0.65,"2a","Hydpeaks","",""
21/06/1973 00:00,,0.28,"2a","Hydpeaks","",""
21/07/1973 00:00,,0.26,"2a","Hydpeaks","",""
13/08/1973 00:00,,0.24,"2a","Hydpeaks","",""
21/09/1973 00:00,,1.34,"2a","Hydpeaks","",""
19/10/1973 00:00,,0.06,"2a","Hydpeaks","",""
12/11/1973 00:00,,0.07,"2a","Hydpeaks","",""
23/12/1973 00:00,,0.14,"2a","Hydpeaks","",""
17/01/1974 00:00,,1.30,"2a","Hydpeaks","",""
11/02/1974 00:00,,6.96,"2a","Hydpeaks","",""
10/03/1974 00:00,,14.40,"2a","Hydpeaks","",""
05/04/1974 00:00,,1.25,"2a","Hydpeaks","",""
29/06/1974 00:00,,0.52,"2a","Hydpeaks","",""
08/08/1974 00:00,,8.61,"2a","Hydpeaks","",""
27/09/1974 00:00,,11.10,"2a","Hydpeaks","",""
18/10/1974 00:00,,7.48,"2a","Hydpeaks","",""
22/11/1974 00:00,,14.90,"2a","Hydpeaks","",""
27/12/1974 00:00,,2.82,"2a","Hydpeaks","",""
20/01/1975 00:00,,10.70,"2a","Hydpeaks","",""
15/02/1975 00:00,,5.24,"2a","Hydpeaks","",""
08/03/1975 00:00,,9.86,"2a","Hydpeaks","",""
19/04/1975 00:00,,8.05,"2a","Hydpeaks","",""
17/05/1975 00:00,,10.60,"2a","Hydpeaks","",""
03/06/1975 00:00,,0.24,"2a","Hydpeaks","",""
05/07/1975 00:00,,0.09,"2a","Hydpeaks","",""
27/09/1975 00:00,,0.36,"2a","Hydpeaks","",""
29/11/1975 00:00,,0.74,"2a","Hydpeaks","",""
01/12/1975 00:00,,1.02,"2a","Hydpeaks","",""
05/01/1976 00:00,,0.68,"2a","Hydpeaks","",""
13/02/1976 00:00,,0.55,"2a","Hydpeaks","",""
13/03/1976 00:00,,0.15,"2a","Hydpeaks","",""
15/04/1976 00:00,,0.10,"2a","Hydpeaks","",""
03/05/1976 00:00,,0.05,"2a","Hydpeaks","",""
05/06/1976 00:00,,0.03,"2a","Hydpeaks","",""
15/07/1976 00:00,,0.01,"2a","Hydpeaks","",""
28/08/1976 00:00,,0.01,"2a","Hydpeaks","",""
25/09/1976 00:00,,0.05,"2a","Hydpeaks","",""
27/10/1976 00:00,,0.19,"2a","Hydpeaks","",""
30/11/1976 00:00,,7.58,"2a","Hydpeaks","",""
20/12/1976 00:00,,7.33,"2a","Hydpeaks","",""
20/02/1977 00:00,,12.10,"2a","Hydpeaks","",""
21/03/1977 00:00,,5.56,"2a","Hydpeaks","",""
09/05/1977 00:00,,1.81,"2a","Hydpeaks","",""
14/06/1977 00:00,,2.65,"2a","Hydpeaks","",""
25/08/1977 00:00,,0.43,"2a","Hydpeaks","",""
21/10/1977 00:00,,0.09,"2a","Hydpeaks","",""
06/11/1977 00:00,,0.45,"2a","Hydpeaks","",""
08/12/1977 00:00,,4.51,"2a","Hydpeaks","",""
12/01/1978 00:00,,10.20,"2a","Hydpeaks","",""
02/02/1978 00:00,,9.17,"2a","Hydpeaks","",""
16/03/1978 00:00,,6.58,"2a","Hydpeaks","",""
14/04/1978 00:00,,1.71,"2a","Hydpeaks","",""
06/05/1978 00:00,,12.70,"2a","Hydpeaks","",""
08/08/1978 00:00,,0.43,"2a","Hydpeaks","",""
09/09/1978 00:00,,0.20,"2a","Hydpeaks","",""
02/10/1978 00:00,,0.05,"2a","Hydpeaks","",""
17/11/1978 00:00,,0.06,"2a","Hydpeaks","",""
28/12/1978 00:00,,6.61,"2a","Hydpeaks","",""
25/01/1979 00:00,,9.35,"2a","Hydpeaks","",""
01/02/1979 00:00,,12.60,"2a","Hydpeaks","",""
14/03/1979 00:00,,8.95,"2a","Hydpeaks","",""
03/04/1979 00:00,,2.28,"2a","Hydpeaks","",""
10/08/1979 00:00,,0.11,"2a","Hydpeaks","",""
20/09/1979 00:00,,0.06,"2a","Hydpeaks","",""
25/10/1979 00:00,,0.27,"2a","Hydpeaks","",""
