"NAME:","Chelmer at Felsted"
"NUMBER:","37020"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
15/11/1970 00:00,1.150,8.42,"2c","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
30/11/1970 00:00,1.170,8.56,"2c","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
04/12/1970 00:00,1.090,8.03,"2c","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
24/01/1971 00:00,1.140,8.36,"2c","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
26/01/1971 00:00,1.280,9.63,"2d","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
28/11/1971 00:00,0.630,4.90,"2c","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
27/01/1972 00:00,1.165,8.52,"2c","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
11/02/1972 00:00,0.890,6.69,"2c","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
06/12/1972 00:00,0.440,2.64,"2b","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653 Peak below threshold",""
27/09/1974 00:00,1.380,11.62,"2d","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
07/10/1974 00:00,0.900,6.75,"2c","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
08/10/1974 00:00,1.210,8.82,"2c","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
18/10/1974 00:00,1.285,9.73,"2d","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
01/11/1974 00:00,1.190,8.69,"2c","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
14/11/1974 00:00,1.510,14.54,"2d","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
18/11/1974 00:00,1.600,16.79,"2d","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
20/11/1974 00:00,1.020,7.56,"2c","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
22/11/1974 00:00,1.660,18.40,"2d","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
20/01/1975 00:00,1.400,12.04,"2d","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
27/01/1975 00:00,1.070,7.89,"2c","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
28/01/1975 00:00,1.120,8.23,"2c","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
08/03/1975 00:00,1.425,12.59,"2d","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
13/03/1975 00:00,0.845,6.38,"2c","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
18/04/1975 00:00,1.140,8.36,"2c","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
17/05/1975 00:00,1.515,14.66,"2d","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
28/11/1975 00:00,0.350,1.54,"2b","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653 Peak below threshold",""
12/11/1976 00:00,0.690,5.32,"2c","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
01/12/1976 00:00,1.390,11.83,"2d","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
19/12/1976 00:00,0.730,5.59,"2c","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
20/12/1976 00:00,1.030,7.63,"2c","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
01/01/1977 00:00,1.200,8.75,"2c","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
10/02/1977 00:00,0.820,6.21,"2c","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
18/02/1977 00:00,0.690,5.32,"2c","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
20/02/1977 00:00,1.470,13.60,"2d","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
11/01/1978 00:00,1.190,8.69,"2c","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
23/01/1978 00:00,0.750,5.73,"2c","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
28/01/1978 00:00,0.970,7.23,"2c","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
02/02/1978 00:00,1.170,8.56,"2c","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
04/02/1978 00:00,0.880,6.62,"2c","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
16/03/1978 00:00,0.970,7.23,"2c","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
17/03/1978 00:00,0.730,5.59,"2c","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
05/05/1978 00:00,1.530,15.02,"2d","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
29/12/1978 00:00,1.040,7.69,"2c","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
25/01/1979 00:00,1.115,8.19,"2c","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
02/02/1979 00:00,1.710,20.04,"2e","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653. Peak and comment from CEH. Data OK.",""
14/02/1979 00:00,1.060,7.83,"2c","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
14/03/1979 00:00,1.310,10.21,"2d","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
29/03/1979 00:00,1.250,9.08,"2c","CEH POTS 30-8-91","Datum 0.00 Threshold 0.653",""
28/12/1979 13:15,1.370,11.41,"2d","Digital Archive","",""
05/02/1980 23:30,1.004,7.45,"2c","Digital Archive","",""
18/03/1980 09:45,1.262,9.30,"2d","Digital Archive","",""
02/04/1980 04:00,1.065,7.86,"2c","Digital Archive","",""
10/03/1981 03:00,1.118,8.21,"2c","Digital Archive","",""
30/12/1981 17:00,1.572,16.07,"2d","Digital Archive","",""
02/01/1982 23:45,0.866,6.52,"2c","Digital Archive","",""
23/01/1982 14:30,1.069,7.89,"2c","Digital Archive","",""
22/10/1982 19:15,1.536,15.17,"2d","Digital Archive","",""
24/11/1982 04:45,1.158,8.48,"2c","Digital Archive","Non-independent peak removed",""
10/12/1982 16:00,1.731,21.29,"2e","Digital Archive","Peak OK.",""
07/02/1983 00:45,1.029,7.62,"2c","Digital Archive","",""
18/04/1983 21:15,1.452,13.19,"2d","Digital Archive","",""
15/05/1983 20:30,1.170,8.56,"2c","Digital Archive","",""
27/01/1984 05:00,1.200,8.75,"2c","Digital Archive","",""
24/11/1984 06:45,1.138,8.34,"2c","Digital Archive","",""
22/01/1985 12:45,1.291,9.84,"2d","Digital Archive","",""
26/01/1985 09:00,0.927,6.94,"2c","Digital Archive","",""
26/12/1985 18:45,1.508,14.49,"2d","Digital Archive","",""
02/04/1987 10:15,1.101,8.10,"2c","Digital Archive","",""
26/08/1987 02:15,1.195,8.72,"2c","Digital Archive","",""
10/10/1987 19:30,1.782,24.58,"2e","Digital Archive","Non-independent peak removed Peak OK.",""
16/10/1987 05:00,1.630,17.59,"2d","Digital Archive","",""
12/11/1987 09:15,1.110,8.16,"2c","Digital Archive","",""
20/11/1987 04:00,1.394,11.91,"2d","Digital Archive","",""
25/01/1988 14:30,1.498,14.25,"2d","Digital Archive","Non-independent peak removed B",""
30/01/1988 02:00,1.633,17.67,"2d","Digital Archive","",""
01/02/1988 18:15,0.956,7.13,"2c","Digital Archive","",""
21/03/1988 11:45,0.977,7.27,"2c","Digital Archive","",""
17/03/1989 08:00,1.448,13.10,"2d","Digital Archive","",""
21/12/1989 07:30,1.250,9.08,"2c","Digital Archive","",""
04/02/1990 00:45,1.656,18.29,"2d","Digital Archive","",""
03/10/1992 15:45,1.010,7.49,"2c","Digital Archive","",""
20/10/1992 22:00,1.231,8.96,"2c","Digital Archive","",""
25/10/1992 23:30,0.973,7.25,"2c","Digital Archive","",""
11/11/1992 19:00,0.977,7.27,"2c","Digital Archive","",""
26/11/1992 10:00,1.341,10.82,"2d","Digital Archive","",""
03/12/1992 20:45,0.957,7.14,"2c","Digital Archive","",""
07/01/1993 05:15,1.148,8.41,"2c","Digital Archive","",""
11/01/1993 01:15,0.893,6.71,"2c","Digital Archive","",""
14/01/1993 02:30,1.028,7.61,"2c","Digital Archive","",""
13/10/1993 12:45,1.456,13.28,"2d","Digital Archive","",""
