"NAME:","Thames at Days Weir"
"NUMBER:","39002"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
30/12/1938 00:00,,106.63,"","CEH files","",""
29/01/1939 00:00,,255.31,"","CEH files","",""
08/04/1939 00:00,,119.31,"","CEH files","",""
30/11/1939 00:00,,134.07,"","CEH files","",""
12/12/1939 00:00,,171.00,"","CEH files","",""
29/01/1940 00:00,,110.62,"","CEH files","",""
09/02/1940 00:00,,260.12,"","CEH files","",""
22/02/1940 00:00,,116.42,"","CEH files","",""
21/03/1940 00:00,,125.37,"","CEH files","",""
19/11/1940 00:00,,120.84,"","CEH files","",""
26/01/1941 00:00,,170.15,"","CEH files","",""
20/02/1941 00:00,,104.67,"","CEH files","",""
03/03/1941 00:00,,109.40,"","CEH files","",""
11/03/1941 00:00,,154.34,"","CEH files","",""
27/01/1942 00:00,,146.44,"","CEH files","",""
07/02/1942 00:00,,132.99,"","CEH files","",""
15/01/1943 00:00,,117.03,"","CEH files","",""
04/02/1943 00:00,,202.26,"","CEH files","",""
11/02/1943 00:00,,100.62,"","CEH files","",""
25/01/1944 00:00,,36.22,"","CEH","",""
14/02/1945 00:00,,113.08,"","CEH files","",""
31/12/1945 00:00,,111.24,"","CEH files","",""
01/12/1946 00:00,,234.41,"","CEH files","",""
13/12/1946 00:00,,103.28,"","CEH files","",""
17/03/1947 00:00,,349.19,"","CEH files","",""
02/04/1947 00:00,,163.83,"","CEH files","",""
31/01/1948 00:00,,94.02,"","CEH","",""
16/12/1948 00:00,,101.07,"","CEH files","",""
03/01/1949 00:00,,110.62,"","CEH files","",""
06/02/1950 00:00,,132.99,"","CEH files","",""
16/02/1950 00:00,,186.20,"","CEH files","",""
24/11/1950 00:00,,157.49,"","CEH files","",""
09/01/1951 00:00,,196.48,"","CEH files","",""
06/02/1951 00:00,,124.41,"","CEH files","",""
21/02/1951 00:00,,135.37,"","CEH files","",""
28/02/1951 00:00,,106.20,"","CEH files","",""
25/03/1951 00:00,,154.35,"","CEH files","",""
11/04/1951 00:00,,186.46,"","CEH files","",""
14/11/1951 00:00,,142.22,"","CEH files","",""
21/11/1951 00:00,,117.78,"","CEH files","",""
11/03/1952 00:00,,112.46,"","CEH files","",""
12/12/1952 00:00,,100.20,"","CEH files","",""
23/12/1952 00:00,,131.69,"","CEH files","",""
20/02/1954 00:00,,95.35,"","CEH","",""
01/12/1954 00:00,,236.19,"","CEH files","",""
11/12/1954 00:00,,210.70,"","CEH files","",""
23/01/1955 00:00,,105.07,"","CEH files","",""
01/02/1956 00:00,,125.43,"","CEH files","",""
01/01/1957 00:00,,105.10,"","CEH files","",""
11/02/1957 00:00,,149.59,"","CEH files","",""
25/02/1957 00:00,,100.20,"","CEH files","",""
07/01/1958 00:00,,102.89,"","CEH files","",""
31/01/1958 00:00,,152.76,"","CEH files","",""
12/02/1958 00:00,,109.40,"","CEH files","",""
27/02/1958 00:00,,139.33,"","CEH files","",""
07/10/1958 00:00,,121.78,"","CEH files","",""
05/11/1958 00:00,,166.98,"","CEH files","",""
21/12/1958 00:00,,106.09,"","CEH files","",""
10/01/1959 00:00,,181.73,"","CEH files","",""
24/01/1959 00:00,,248.62,"","CEH files","",""
30/01/1960 00:00,,179.10,"","CEH files","",""
03/11/1960 00:00,,175.87,"","CEH files","",""
08/12/1960 00:00,,205.60,"","CEH files","",""
23/12/1960 00:00,,137.35,"","CEH files","",""
13/01/1961 00:00,,142.17,"","CEH files","",""
31/01/1961 00:00,,123.48,"","CEH files","",""
01/03/1961 00:00,,119.79,"","CEH files","",""
14/01/1962 00:00,,137.92,"","CEH files","",""
12/03/1962 00:00,,110.73,"","CEH files","",""
24/12/1962 00:00,,120.64,"","CEH files","",""
21/11/1963 00:00,,134.24,"","CEH files","",""
21/03/1964 00:00,,113.85,"","CEH files","",""
27/03/1965 00:00,,53.23,"","CEH","",""
24/12/1965 00:00,,116.96,"","CEH files","",""
03/01/1966 00:00,,111.86,"","CEH files","",""
28/02/1966 00:00,,129.71,"","CEH files","",""
20/04/1966 00:00,,109.32,"","CEH files","",""
01/03/1967 00:00,,115.26,"","CEH files","",""
11/03/1967 00:00,,111.30,"","CEH files","",""
07/01/1968 00:00,,100.25,"","CEH files","",""
17/01/1968 00:00,,160.57,"","CEH files","",""
