"NAME:","Ver at Hansteads"
"NUMBER:","39014"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
10/10/1956 00:00,,0.29,"","Hydpeaks","",""
13/11/1956 00:00,,0.21,"","Hydpeaks","",""
25/01/1957 00:00,,0.57,"","Hydpeaks","",""
12/02/1957 00:00,,1.16,"","Hydpeaks","",""
27/03/1957 00:00,,1.15,"","Hydpeaks","",""
14/04/1957 00:00,,0.63,"","Hydpeaks","",""
18/05/1957 00:00,,0.60,"","Hydpeaks","",""
10/06/1957 00:00,,0.65,"","Hydpeaks","",""
13/07/1957 00:00,,0.84,"","Hydpeaks","",""
26/08/1957 00:00,,0.61,"","Hydpeaks","",""
11/09/1957 00:00,,0.68,"","Hydpeaks","",""
18/10/1957 00:00,,0.61,"","Hydpeaks","",""
05/11/1957 00:00,,1.07,"","Hydpeaks","",""
13/12/1957 00:00,,0.90,"","Hydpeaks","",""
05/01/1958 00:00,,1.04,"","Hydpeaks","",""
24/02/1958 00:00,,1.07,"","Hydpeaks","",""
05/04/1958 00:00,,0.92,"","Hydpeaks","",""
30/05/1958 00:00,,0.97,"","Hydpeaks","",""
27/06/1958 00:00,,1.28,"","Hydpeaks","",""
02/07/1958 00:00,,0.74,"","Hydpeaks","",""
28/08/1958 00:00,,0.63,"","Hydpeaks","",""
24/09/1958 00:00,,1.10,"","Hydpeaks","",""
04/10/1958 00:00,,1.05,"","Hydpeaks","",""
02/11/1958 00:00,,1.15,"","Hydpeaks","",""
14/12/1958 00:00,,1.78,"","Hydpeaks","",""
22/01/1959 00:00,,1.44,"","Hydpeaks","",""
26/02/1959 00:00,,1.12,"","Hydpeaks","",""
05/03/1959 00:00,,1.85,"","Hydpeaks","",""
03/05/1959 00:00,,0.72,"","Hydpeaks","",""
01/06/1959 00:00,,0.81,"","Hydpeaks","",""
11/07/1959 00:00,,1.44,"","Hydpeaks","",""
13/08/1959 00:00,,0.65,"","Hydpeaks","",""
27/10/1959 00:00,,0.63,"","Hydpeaks","",""
18/11/1959 00:00,,0.57,"","Hydpeaks","",""
27/12/1959 00:00,,1.07,"","Hydpeaks","",""
24/01/1960 00:00,,1.18,"","Hydpeaks","",""
25/02/1960 00:00,,1.00,"","Hydpeaks","",""
11/03/1960 00:00,,1.15,"","Hydpeaks","",""
13/05/1960 00:00,,0.97,"","Hydpeaks","",""
10/06/1960 00:00,,0.59,"","Hydpeaks","",""
16/07/1960 00:00,,0.61,"","Hydpeaks","",""
12/08/1960 00:00,,0.61,"","Hydpeaks","",""
23/09/1960 00:00,,0.63,"","Hydpeaks","",""
02/11/1960 00:00,,2.31,"","Hydpeaks","",""
05/12/1960 00:00,,2.44,"","Hydpeaks","",""
28/01/1961 00:00,,1.55,"","Hydpeaks","",""
28/02/1961 00:00,,1.91,"","Hydpeaks","",""
12/03/1961 00:00,,1.82,"","Hydpeaks","",""
03/04/1961 00:00,,1.44,"","Hydpeaks","",""
02/05/1961 00:00,,1.85,"","Hydpeaks","",""
13/06/1961 00:00,,1.41,"","Hydpeaks","",""
15/07/1961 00:00,,0.88,"","Hydpeaks","",""
05/08/1961 00:00,,0.90,"","Hydpeaks","",""
14/09/1961 00:00,,0.67,"","Hydpeaks","",""
24/10/1961 00:00,,0.90,"","Hydpeaks","",""
11/11/1961 00:00,,1.00,"","Hydpeaks","",""
01/12/1961 00:00,,1.10,"","Hydpeaks","",""
22/01/1962 00:00,,1.75,"","Hydpeaks","",""
29/03/1962 00:00,,1.12,"","Hydpeaks","",""
04/04/1962 00:00,,1.28,"","Hydpeaks","",""
21/05/1962 00:00,,1.00,"","Hydpeaks","",""
02/06/1962 00:00,,0.65,"","Hydpeaks","",""
26/07/1962 00:00,,0.97,"","Hydpeaks","",""
17/08/1962 00:00,,1.07,"","Hydpeaks","",""
30/09/1962 00:00,,1.23,"","Hydpeaks","",""
26/10/1962 00:00,,0.85,"","Hydpeaks","",""
01/11/1962 00:00,,1.18,"","Hydpeaks","",""
20/12/1962 00:00,,1.23,"","Hydpeaks","",""
03/01/1963 00:00,,0.74,"","Hydpeaks","",""
16/02/1963 00:00,,0.33,"","Hydpeaks","",""
09/03/1963 00:00,,1.00,"","Hydpeaks","",""
20/04/1963 00:00,,0.81,"","Hydpeaks","",""
06/07/1963 00:00,,1.18,"","Hydpeaks","",""
04/08/1963 00:00,,0.51,"","Hydpeaks","",""
24/09/1963 00:00,,0.72,"","Hydpeaks","",""
18/11/1963 00:00,,1.35,"","Hydpeaks","",""
26/12/1963 00:00,,0.83,"","Hydpeaks","",""
28/01/1964 00:00,,0.59,"","Hydpeaks","",""
15/03/1964 00:00,,1.02,"","Hydpeaks","",""
21/04/1964 00:00,,1.35,"","Hydpeaks","",""
03/05/1964 00:00,,0.74,"","Hydpeaks","",""
19/06/1964 00:00,,1.15,"","Hydpeaks","",""
12/07/1964 00:00,,0.78,"","Hydpeaks","",""
09/08/1964 00:00,,0.49,"","Hydpeaks","",""
16/09/1964 00:00,,0.40,"","Hydpeaks","",""
13/11/1964 00:00,,0.74,"","Hydpeaks","",""
13/12/1964 00:00,,0.72,"","Hydpeaks","",""
13/01/1965 00:00,,0.61,"","Hydpeaks","",""
20/02/1965 00:00,,0.29,"","Hydpeaks","",""
25/03/1965 00:00,,0.53,"","Hydpeaks","",""
12/04/1965 00:00,,0.29,"","Hydpeaks","",""
17/05/1965 00:00,,0.42,"","Hydpeaks","",""
08/06/1965 00:00,,0.42,"","Hydpeaks","",""
23/07/1965 00:00,,0.30,"","Hydpeaks","",""
03/08/1965 00:00,,0.30,"","Hydpeaks","",""
18/09/1965 00:00,,0.26,"","Hydpeaks","",""
29/11/1965 00:00,,0.55,"","Hydpeaks","",""
09/12/1965 00:00,,0.85,"","Hydpeaks","",""
29/01/1966 00:00,,0.51,"","Hydpeaks","",""
25/02/1966 00:00,,0.97,"","Hydpeaks","",""
26/03/1966 00:00,,0.65,"","Hydpeaks","",""
15/04/1966 00:00,,0.92,"","Hydpeaks","",""
