"NAME:","Kennet at Theale"
"NUMBER:","39016"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
27/10/1961 00:00,,15.90,"","Hydpeaks","",""
11/11/1961 00:00,,12.80,"","Hydpeaks","",""
31/12/1961 00:00,,29.91,"","FEH","",""
11/01/1962 00:00,,29.47,"","FEH","",""
22/01/1962 00:00,,38.39,"","FEH","",""
10/03/1963 00:00,,29.76,"","FEH","",""
16/03/1963 00:00,,26.85,"","FEH","",""
19/11/1963 00:00,,40.90,"","FEH","",""
15/03/1964 00:00,,29.02,"","FEH","",""
20/03/1964 00:00,,33.11,"","FEH","",""
18/06/1964 00:00,,22.25,"","FEH","",""
14/01/1965 00:00,,20.20,"","Hydpeaks","","AMAX ONLY"
29/11/1965 00:00,,24.46,"","FEH","",""
09/12/1965 00:00,,25.85,"","FEH","",""
23/12/1965 00:00,,22.60,"","FEH","",""
01/01/1966 00:00,,24.60,"","FEH","",""
10/02/1966 00:00,,29.76,"","FEH","",""
22/02/1966 00:00,,26.14,"","FEH","",""
26/02/1966 00:00,,42.09,"","FEH","",""
16/04/1966 00:00,,30.06,"","FEH","",""
20/04/1966 00:00,,26.14,"","FEH","",""
23/04/1966 00:00,,22.94,"","FEH","",""
15/10/1966 00:00,,25.43,"","FEH","",""
19/10/1966 00:00,,28.14,"","FEH","",""
23/10/1966 00:00,,28.00,"","FEH","",""
23/01/1967 00:00,,22.60,"","FEH","",""
26/01/1967 00:00,,25.57,"","FEH","",""
21/02/1967 00:00,,32.49,"","FEH","",""
28/02/1967 00:00,,35.15,"","FEH","",""
10/03/1967 00:00,,38.73,"","FEH","",""
17/10/1967 00:00,,22.94,"","FEH","",""
14/01/1968 00:00,,33.58,"","FEH","",""
05/02/1968 00:00,,24.05,"","FEH","",""
17/09/1968 00:00,,37.25,"","FEH","",""
29/10/1968 00:00,,22.25,"","FEH","",""
18/12/1968 00:00,,35.15,"","FEH","",""
22/12/1968 00:00,,37.57,"","FEH","",""
25/12/1968 00:00,,31.42,"","FEH","",""
08/01/1969 00:00,,22.60,"","FEH","",""
14/01/1969 00:00,,30.81,"","FEH","",""
18/01/1969 00:00,,32.18,"","FEH","",""
28/01/1969 00:00,,22.25,"","FEH","",""
22/02/1969 00:00,,23.37,"","FEH","",""
14/03/1969 00:00,,41.58,"","FEH","",""
25/01/1970 00:00,,27.90,"","FEH","",""
20/11/1970 00:00,,24.70,"","FEH","",""
24/01/1971 00:00,,36.80,"","FEH","",""
26/01/1971 00:00,,29.12,"","FEH","",""
19/03/1971 00:00,,33.82,"","FEH","",""
24/04/1971 00:00,,23.92,"","FEH","",""
26/04/1971 00:00,,28.90,"","FEH","",""
11/06/1971 00:00,,71.00,"","FEH","",""
16/06/1971 00:00,,29.26,"","FEH","",""
20/06/1971 00:00,,33.11,"","FEH","",""
03/02/1972 00:00,,28.70,"","FEH","",""
07/03/1972 00:00,,34.20,"","FEH","",""
07/12/1972 00:00,,47.30,"","FEH","",""
29/06/1973 00:00,,27.20,"","FEH","",""
11/01/1974 00:00,,22.20,"","FEH","",""
13/01/1974 00:00,,22.50,"","FEH","",""
16/01/1974 00:00,,22.90,"","FEH","",""
11/02/1974 00:00,,44.80,"","FEH","",""
15/02/1974 00:00,,37.60,"","FEH","",""
27/09/1974 00:00,,31.80,"","FEH","",""
15/11/1974 00:00,,39.80,"","FEH","",""
19/11/1974 00:00,,39.40,"","FEH","",""
22/11/1974 00:00,,43.50,"","FEH","",""
27/12/1974 00:00,,27.50,"","FEH","",""
21/01/1975 00:00,,48.30,"","FEH","",""
