"NAME:","Lambourn at Shaw"
"NUMBER:","39019"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
29/10/1962 00:00,,1.35,"","Hydpeaks","",""
02/11/1962 00:00,,2.30,"","Hydpeaks","",""
09/12/1962 00:00,,1.51,"","Hydpeaks","",""
26/01/1963 00:00,,1.36,"","Hydpeaks","",""
17/02/1963 00:00,,1.57,"","Hydpeaks","",""
29/03/1963 00:00,,2.70,"","Hydpeaks","",""
20/04/1963 00:00,,2.92,"","Hydpeaks","",""
13/05/1963 00:00,,3.00,"","Hydpeaks","",""
29/06/1963 00:00,,2.35,"","Hydpeaks","",""
06/07/1963 00:00,,2.27,"","Hydpeaks","",""
04/08/1963 00:00,,3.00,"","Hydpeaks","",""
02/09/1963 00:00,,1.76,"","Hydpeaks","",""
29/10/1963 00:00,,1.75,"","Hydpeaks","",""
19/11/1963 00:00,,2.66,"","Hydpeaks","",""
07/12/1963 00:00,,2.39,"","Hydpeaks","",""
14/01/1964 00:00,,2.04,"","Hydpeaks","",""
23/02/1964 00:00,,2.10,"","Hydpeaks","",""
15/03/1964 00:00,,2.44,"","Hydpeaks","",""
20/04/1964 00:00,,2.78,"","Hydpeaks","",""
01/06/1964 00:00,,3.23,"","Hydpeaks","",""
03/08/1964 00:00,,1.51,"","Hydpeaks","",""
03/09/1964 00:00,,1.18,"","Hydpeaks","",""
17/10/1964 00:00,,1.93,"","Hydpeaks","",""
16/11/1964 00:00,,1.42,"","Hydpeaks","",""
08/12/1964 00:00,,1.42,"","Hydpeaks","",""
13/01/1965 00:00,,1.39,"","Hydpeaks","",""
06/02/1965 00:00,,1.36,"","Hydpeaks","",""
02/03/1965 00:00,,1.25,"","Hydpeaks","",""
10/04/1965 00:00,,1.00,"","Hydpeaks","",""
20/05/1965 00:00,,1.10,"","Hydpeaks","",""
11/06/1965 00:00,,1.14,"","Hydpeaks","",""
23/07/1965 00:00,,0.93,"","Hydpeaks","",""
03/08/1965 00:00,,0.86,"","Hydpeaks","",""
26/09/1965 00:00,,1.21,"","Hydpeaks","",""
02/10/1965 00:00,,0.86,"","Hydpeaks","",""
29/11/1965 00:00,,1.37,"","Hydpeaks","",""
25/02/1966 00:00,,3.37,"","Hydpeaks","",""
26/03/1966 00:00,,3.28,"","Hydpeaks","",""
19/04/1966 00:00,,3.37,"","Hydpeaks","",""
12/05/1966 00:00,,3.28,"","Hydpeaks","",""
23/06/1966 00:00,,3.11,"","Hydpeaks","",""
05/07/1966 00:00,,2.81,"","Hydpeaks","",""
29/08/1966 00:00,,2.92,"","Hydpeaks","",""
22/10/1966 00:00,,3.17,"","Hydpeaks","",""
05/11/1966 00:00,,3.17,"","Hydpeaks","",""
31/12/1966 00:00,,2.76,"","Hydpeaks","",""
23/01/1967 00:00,,3.00,"","Hydpeaks","",""
27/02/1967 00:00,,4.11,"","Hydpeaks","",""
09/03/1967 00:00,,4.39,"","Hydpeaks","",""
10/04/1967 00:00,,4.05,"","Hydpeaks","",""
04/05/1967 00:00,,3.32,"","Hydpeaks","",""
25/06/1967 00:00,,2.32,"","Hydpeaks","",""
20/08/1967 00:00,,1.91,"","Hydpeaks","",""
25/09/1967 00:00,,1.69,"","Hydpeaks","",""
16/10/1967 00:00,,2.56,"","Hydpeaks","",""
24/11/1967 00:00,,1.95,"","Hydpeaks","",""
19/12/1967 00:00,,2.75,"","Hydpeaks","",""
14/01/1968 00:00,,3.27,"","Hydpeaks","",""
05/02/1968 00:00,,3.65,"","Hydpeaks","",""
23/03/1968 00:00,,2.96,"","Hydpeaks","",""
29/04/1968 00:00,,2.36,"","Hydpeaks","",""
13/05/1968 00:00,,2.22,"","Hydpeaks","",""
28/06/1968 00:00,,2.00,"","Hydpeaks","",""
11/07/1968 00:00,,2.72,"","Hydpeaks","",""
10/08/1968 00:00,,2.27,"","Hydpeaks","",""
14/09/1968 00:00,,2.46,"","Hydpeaks","",""
10/10/1968 00:00,,2.41,"","Hydpeaks","",""
25/12/1968 00:00,,3.59,"","Hydpeaks","",""
18/01/1969 00:00,,3.93,"","Hydpeaks","",""
23/02/1969 00:00,,4.10,"","Hydpeaks","",""
13/03/1969 00:00,,4.16,"","Hydpeaks","",""
11/04/1969 00:00,,3.43,"","Hydpeaks","",""
06/05/1969 00:00,,3.17,"","Hydpeaks","",""
03/06/1969 00:00,,2.51,"","Hydpeaks","",""
29/07/1969 00:00,,3.06,"","Hydpeaks","",""
03/08/1969 00:00,,3.03,"","Hydpeaks","",""
13/09/1969 00:00,,1.69,"","Hydpeaks","",""
04/10/1969 00:00,,1.37,"","Hydpeaks","",""
22/11/1969 00:00,,1.29,"","Hydpeaks","",""
14/12/1969 00:00,,1.22,"","Hydpeaks","",""
30/01/1970 00:00,,1.57,"","Hydpeaks","",""
20/02/1970 00:00,,2.09,"","Hydpeaks","",""
11/03/1970 00:00,,2.37,"","Hydpeaks","",""
06/04/1970 00:00,,2.51,"","Hydpeaks","",""
10/06/1970 00:00,,1.96,"","Hydpeaks","",""
09/07/1970 00:00,,2.04,"","Hydpeaks","",""
07/08/1970 00:00,,1.65,"","Hydpeaks","",""
12/09/1970 00:00,,1.33,"","Hydpeaks","",""
05/10/1970 00:00,,1.07,"","Hydpeaks","",""
