"NAME:","Wye at Hedsor"
"NUMBER:","39023"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
09/12/1964 00:00,,1.62,"","Hydpeaks","",""
16/01/1965 00:00,,1.56,"","Hydpeaks","",""
27/02/1965 00:00,,1.02,"","Hydpeaks","",""
20/03/1965 00:00,,1.50,"","Hydpeaks","",""
12/04/1965 00:00,,0.95,"","Hydpeaks","",""
08/05/1965 00:00,,1.00,"","Hydpeaks","",""
17/06/1965 00:00,,1.36,"","Hydpeaks","",""
23/07/1965 00:00,,1.89,"","Hydpeaks","",""
02/08/1965 00:00,,2.34,"","Hydpeaks","",""
25/09/1965 00:00,,1.80,"","Hydpeaks","",""
23/10/1965 00:00,,0.95,"","Hydpeaks","",""
29/11/1965 00:00,,1.48,"","Hydpeaks","",""
22/12/1965 00:00,,1.62,"","Hydpeaks","",""
25/01/1966 00:00,,1.25,"","Hydpeaks","",""
26/02/1966 00:00,,2.66,"","Hydpeaks","",""
27/03/1966 00:00,,1.68,"","Hydpeaks","",""
18/04/1966 00:00,,2.21,"","Hydpeaks","",""
11/05/1966 00:00,,2.45,"","Hydpeaks","",""
22/06/1966 00:00,,2.69,"","Hydpeaks","",""
05/07/1966 00:00,,2.48,"","Hydpeaks","",""
30/08/1966 00:00,,2.55,"","Hydpeaks","",""
04/09/1966 00:00,,2.28,"","Hydpeaks","",""
22/10/1966 00:00,,2.48,"","Hydpeaks","",""
05/11/1966 00:00,,1.83,"","Hydpeaks","",""
28/12/1966 00:00,,2.48,"","Hydpeaks","",""
23/01/1967 00:00,,2.02,"","Hydpeaks","",""
27/02/1967 00:00,,2.69,"","Hydpeaks","",""
09/03/1967 00:00,,2.11,"","Hydpeaks","",""
10/04/1967 00:00,,2.51,"","Hydpeaks","",""
04/05/1967 00:00,,2.76,"","Hydpeaks","",""
25/06/1967 00:00,,2.59,"","Hydpeaks","",""
23/07/1967 00:00,,2.94,"","Hydpeaks","",""
10/08/1967 00:00,,2.15,"","Hydpeaks","",""
04/09/1967 00:00,,1.99,"","Hydpeaks","",""
30/10/1967 00:00,,2.87,"","Hydpeaks","",""
02/11/1967 00:00,,2.21,"","Hydpeaks","",""
18/12/1967 00:00,,2.14,"","Hydpeaks","",""
14/01/1968 00:00,,2.58,"","Hydpeaks","",""
05/02/1968 00:00,,2.34,"","Hydpeaks","",""
21/03/1968 00:00,,2.08,"","Hydpeaks","",""
18/04/1968 00:00,,2.94,"","Hydpeaks","",""
04/05/1968 00:00,,3.09,"","Hydpeaks","",""
20/06/1968 00:00,,2.18,"","Hydpeaks","",""
13/07/1968 00:00,,2.34,"","Hydpeaks","",""
08/08/1968 00:00,,1.71,"","Hydpeaks","",""
16/09/1968 00:00,,3.13,"","Hydpeaks","",""
08/10/1968 00:00,,2.28,"","Hydpeaks","",""
01/11/1968 00:00,,2.73,"","Hydpeaks","",""
15/12/1968 00:00,,2.76,"","Hydpeaks","",""
14/01/1969 00:00,,2.14,"","Hydpeaks","",""
11/02/1969 00:00,,2.76,"","Hydpeaks","",""
13/03/1969 00:00,,3.21,"","Hydpeaks","",""
24/04/1969 00:00,,2.21,"","Hydpeaks","",""
16/05/1969 00:00,,2.55,"","Hydpeaks","",""
15/06/1969 00:00,,2.14,"","Hydpeaks","",""
29/07/1969 00:00,,2.14,"","Hydpeaks","",""
02/08/1969 00:00,,3.05,"","Hydpeaks","",""
06/09/1969 00:00,,1.53,"","Hydpeaks","",""
20/10/1969 00:00,,1.21,"","Hydpeaks","",""
14/11/1969 00:00,,1.83,"","Hydpeaks","",""
22/12/1969 00:00,,1.31,"","Hydpeaks","",""
29/01/1970 00:00,,1.45,"","Hydpeaks","",""
17/02/1970 00:00,,1.40,"","Hydpeaks","",""
23/03/1970 00:00,,1.54,"","Hydpeaks","",""
21/04/1970 00:00,,1.62,"","Hydpeaks","",""
10/05/1970 00:00,,1.77,"","Hydpeaks","",""
27/06/1970 00:00,,2.15,"","Hydpeaks","",""
07/07/1970 00:00,,1.68,"","Hydpeaks","",""
19/08/1970 00:00,,1.57,"","Hydpeaks","",""
12/09/1970 00:00,,2.15,"","Hydpeaks","",""
05/10/1970 00:00,,1.05,"","Hydpeaks","",""
14/11/1970 00:00,,1.95,"","Hydpeaks","",""
03/12/1970 00:00,,1.49,"","Hydpeaks","",""
23/01/1971 00:00,,2.02,"","Hydpeaks","",""
14/02/1971 00:00,,1.97,"","Hydpeaks","",""
17/03/1971 00:00,,1.89,"","Hydpeaks","",""
26/04/1971 00:00,,2.07,"","Hydpeaks","",""
27/05/1971 00:00,,1.57,"","Hydpeaks","",""
18/06/1971 00:00,,2.67,"","Hydpeaks","",""
30/07/1971 00:00,,1.66,"","Hydpeaks","",""
14/08/1971 00:00,,2.34,"","Hydpeaks","",""
06/09/1971 00:00,,1.29,"","Hydpeaks","",""
17/10/1971 00:00,,2.15,"","Hydpeaks","",""
20/11/1971 00:00,,2.47,"","Hydpeaks","",""
19/12/1971 00:00,,2.09,"","Hydpeaks","",""
11/01/1972 00:00,,1.52,"","Hydpeaks","",""
16/02/1972 00:00,,1.36,"","Hydpeaks","",""
05/03/1972 00:00,,1.65,"","Hydpeaks","",""
13/04/1972 00:00,,2.07,"","Hydpeaks","",""
11/05/1972 00:00,,1.55,"","Hydpeaks","",""
01/06/1972 00:00,,1.64,"","Hydpeaks","",""
31/07/1972 00:00,,1.33,"","Hydpeaks","",""
06/08/1972 00:00,,1.79,"","Hydpeaks","",""
08/09/1972 00:00,,1.43,"","Hydpeaks","",""
10/10/1972 00:00,,1.49,"","Hydpeaks","",""
12/11/1972 00:00,,2.34,"","Hydpeaks","",""
06/12/1972 00:00,,2.08,"","Hydpeaks","",""
08/01/1973 00:00,,0.84,"","Hydpeaks","",""
12/02/1973 00:00,,1.03,"","Hydpeaks","",""
25/03/1973 00:00,,0.73,"","Hydpeaks","",""
22/04/1973 00:00,,1.18,"","Hydpeaks","",""
05/05/1973 00:00,,1.11,"","Hydpeaks","",""
27/06/1973 00:00,,2.19,"","Hydpeaks","",""
16/07/1973 00:00,,2.18,"","Hydpeaks","",""
27/08/1973 00:00,,1.64,"","Hydpeaks","",""
20/09/1973 00:00,,1.22,"","Hydpeaks","",""
20/10/1973 00:00,,0.99,"","Hydpeaks","",""
04/11/1973 00:00,,0.86,"","Hydpeaks","",""
23/12/1973 00:00,,0.89,"","Hydpeaks","",""
26/01/1974 00:00,,1.16,"","Hydpeaks","",""
09/02/1974 00:00,,1.51,"","Hydpeaks","",""
15/03/1974 00:00,,1.33,"","Hydpeaks","",""
28/04/1974 00:00,,1.10,"","Hydpeaks","",""
26/06/1974 00:00,,2.12,"","Hydpeaks","",""
13/07/1974 00:00,,0.93,"","Hydpeaks","",""
04/08/1974 00:00,,1.75,"","Hydpeaks","",""
27/09/1974 00:00,,2.45,"","Hydpeaks","",""
18/10/1974 00:00,,1.92,"","Hydpeaks","",""
21/11/1974 00:00,,2.58,"","Hydpeaks","",""
26/12/1974 00:00,,2.08,"","Hydpeaks","",""
28/01/1975 00:00,,3.04,"","Hydpeaks","",""
14/02/1975 00:00,,2.34,"","Hydpeaks","",""
08/03/1975 00:00,,2.63,"","Hydpeaks","",""
18/04/1975 00:00,,3.26,"","Hydpeaks","",""
17/05/1975 00:00,,3.10,"","Hydpeaks","",""
02/06/1975 00:00,,2.24,"","Hydpeaks","",""
31/07/1975 00:00,,2.09,"","Hydpeaks","",""
11/08/1975 00:00,,1.36,"","Hydpeaks","",""
13/09/1975 00:00,,2.50,"","Hydpeaks","",""
