"NAME:","Yeading Brook West at North Hillingdon"
"NUMBER:","39055"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
10/03/1974 00:00,0.564,2.46,"1b","CEH files","",""
26/06/1974 00:00,0.664,3.17,"1b","CEH files","",""
28/06/1974 00:00,0.619,2.84,"1b","CEH files","",""
26/08/1974 00:00,0.664,3.17,"1b","CEH files","",""
05/09/1974 00:00,0.824,4.44,"1b","CEH files","",""
23/09/1974 00:00,0.524,2.19,"1b","CEH files","",""
27/09/1974 00:00,1.104,7.00,"1b","CEH files","",""
18/10/1974 00:00,0.646,3.04,"1b","CEH files","",""
11/11/1974 00:00,0.614,2.80,"1b","CEH files","",""
14/11/1974 00:00,0.868,4.81,"1b","CEH files","",""
18/11/1974 00:00,1.184,7.81,"1b","CEH files","",""
21/11/1974 09:00,1.104,7.00,"1b","CEH files","",""
18/01/1975 00:00,0.674,3.24,"1b","CEH files","",""
20/01/1975 00:00,0.794,4.19,"1b","CEH files","",""
28/01/1975 00:00,0.547,2.34,"1b","CEH files","",""
08/03/1975 00:00,0.545,2.33,"1b","CEH files","",""
17/05/1975 00:00,0.844,4.61,"1b","CEH files","",""
13/09/1975 00:00,0.874,4.86,"1b","CEH files","",""
27/09/1975 00:00,0.982,5.83,"1b","CEH files","",""
28/11/1975 00:00,0.764,3.94,"1b","CEH files","",""
22/09/1976 00:00,0.764,3.94,"1b","CEH files","",""
02/10/1976 00:00,0.554,2.39,"1b","CEH files","",""
12/11/1976 00:00,0.594,2.66,"1b","CEH files","",""
29/11/1976 00:00,0.534,2.26,"1b","CEH files","",""
30/11/1976 00:00,1.071,6.68,"1b","CEH files","",""
31/12/1976 00:00,0.616,2.82,"1b","CEH files","",""
13/01/1977 00:00,0.616,2.82,"1b","CEH files","",""
13/06/1977 00:00,0.634,2.95,"1b","CEH files","",""
17/08/1977 00:00,1.424,10.41,"1b","CEH files","",""
21/10/1977 00:00,0.574,2.52,"1b","CEH files","",""
07/12/1977 00:00,0.614,2.80,"1b","CEH files","",""
11/01/1978 00:00,0.779,4.06,"1b","CEH files","",""
05/05/1978 00:00,0.632,2.93,"1b","CEH files","",""
31/07/1978 00:00,0.692,3.38,"1b","CEH files","",""
10/12/1978 00:00,0.799,4.23,"1b","CEH files","",""
28/12/1978 00:00,0.595,2.67,"1b","CEH files","",""
01/02/1979 00:00,0.535,2.26,"1b","CEH files","",""
08/04/1979 00:00,0.849,4.65,"1b","CEH files","",""
27/12/1979 00:00,1.042,6.40,"1b","CEH files","",""
01/04/1980 00:00,0.674,3.24,"1b","CEH files","",""
13/06/1980 00:00,0.674,3.24,"1b","CEH files","",""
26/07/1980 00:00,0.784,4.11,"1b","CEH files","",""
14/08/1980 00:00,0.554,2.39,"1b","CEH files","",""
16/10/1980 00:00,0.809,4.31,"1b","CEH files","",""
25/05/1981 00:00,0.619,2.84,"1b","CEH files","",""
01/06/1981 00:00,0.784,4.11,"1b","CEH files","",""
01/08/1981 00:00,0.614,2.80,"1b","CEH files","",""
06/08/1981 00:00,0.764,3.94,"1b","CEH files","",""
20/09/1981 00:00,0.519,2.16,"1b","CEH files","",""
20/10/1981 00:00,0.683,3.31,"1b","CEH files","",""
26/06/1982 00:00,0.859,4.73,"1b","CEH files","",""
22/10/1982 00:00,0.564,2.46,"1b","CEH files","",""
24/11/1982 00:00,0.554,2.39,"1b","CEH files","",""
09/12/1982 00:00,0.689,3.36,"1b","CEH files","",""
22/01/1985 02:45,0.419,1.55,"1b","Digital Archive","",""
25/01/1985 22:45,0.503,2.05,"1b","Digital Archive","",""
08/02/1985 12:15,0.441,1.67,"1b","Digital Archive","",""
14/05/1985 23:30,0.595,2.67,"1b","Digital Archive","Non-independent peak removed B",""
21/05/1985 10:30,0.449,1.72,"1b","Digital Archive","",""
04/06/1985 18:00,0.472,1.86,"1b","Digital Archive","",""
06/06/1985 00:15,0.451,1.73,"1b","Digital Archive","",""
07/06/1985 02:45,0.407,1.48,"1b","Digital Archive","",""
24/06/1985 04:15,0.389,1.38,"1b","Digital Archive","",""
25/06/1985 22:45,0.508,2.09,"1b","Digital Archive","",""
05/07/1985 16:15,0.388,1.37,"1b","Digital Archive","",""
19/07/1985 13:45,0.402,1.45,"1b","Digital Archive","",""
04/08/1985 15:30,0.532,2.24,"1b","Digital Archive","",""
05/12/1985 10:15,0.451,1.73,"1b","Digital Archive","Non-independent peak removed A",""
06/12/1985 23:15,0.426,1.59,"1b","Digital Archive","",""
26/12/1985 05:30,0.560,2.43,"1b","Digital Archive","",""
03/01/1986 02:15,0.652,3.08,"1b","Digital Archive","",""
08/01/1986 11:00,0.388,1.37,"1b","Digital Archive","",""
10/01/1986 10:30,0.389,1.38,"1b","Digital Archive","",""
27/01/1986 17:30,0.414,1.52,"1b","Digital Archive","",""
30/01/1986 08:15,0.439,1.66,"1b","Digital Archive","",""
20/05/1986 16:15,0.493,1.99,"1b","Digital Archive","Non-independent peak removed B",""
05/07/1986 05:45,0.538,2.28,"1b","Digital Archive","",""
22/08/1986 19:30,0.435,1.64,"1b","Digital Archive","",""
25/08/1986 22:30,0.535,2.26,"1b","Digital Archive","",""
15/10/1986 03:45,0.409,1.49,"1b","Digital Archive","",""
20/10/1986 08:15,0.504,2.06,"1b","Digital Archive","",""
