"NAME:","Teise at Stonebridge"
"NUMBER:","40009"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
15/07/1961 00:00,0.150,0.57,"1a","CEH files","",""
15/08/1961 00:00,0.110,0.34,"1a","CEH files","",""
14/09/1961 00:00,0.100,0.29,"1a","CEH files","",""
28/10/1961 00:00,0.490,3.98,"1b","CEH files","",""
09/11/1961 00:00,0.640,6.29,"1b","CEH files","",""
13/12/1961 00:00,1.710,27.64,"1c","CEH files","",""
21/01/1962 00:00,1.340,21.34,"1c","CEH files","",""
01/02/1962 00:00,0.340,2.17,"1a","CEH files","",""
29/03/1962 00:00,0.560,5.00,"1b","CEH files","",""
03/04/1962 00:00,0.700,7.33,"1b","CEH files","",""
27/05/1962 00:00,0.300,1.77,"1a","CEH files","",""
07/06/1962 00:00,0.160,0.63,"1a","CEH files","",""
26/07/1962 00:00,0.240,1.22,"1a","CEH files","",""
17/08/1962 00:00,0.200,0.91,"1a","CEH files","",""
30/09/1962 00:00,0.370,2.49,"1a","CEH files","",""
26/10/1962 00:00,0.430,3.18,"1a","CEH files","",""
20/11/1962 00:00,0.580,5.31,"1b","CEH files","",""
11/12/1962 00:00,0.480,3.84,"1b","CEH files","",""
30/01/1963 00:00,0.230,1.14,"1a","CEH files","",""
09/02/1963 00:00,0.430,3.18,"1a","CEH files","",""
11/03/1963 00:00,1.480,23.71,"1c","CEH files","",""
20/04/1963 00:00,1.400,22.36,"1c","CEH files","",""
02/05/1963 00:00,0.400,2.83,"1a","CEH files","",""
18/06/1963 00:00,0.320,1.96,"1a","CEH files","",""
06/07/1963 00:00,0.460,3.57,"1b","CEH files","",""
20/08/1963 00:00,0.360,2.38,"1a","CEH files","",""
24/09/1963 00:00,0.460,3.57,"1b","CEH files","",""
31/10/1963 00:00,0.630,6.12,"1b","CEH files","",""
19/11/1963 00:00,2.410,39.76,"1c","CEH files","",""
26/12/1963 00:00,0.360,2.38,"1a","CEH files","",""
15/01/1964 00:00,0.370,2.49,"1a","CEH files","",""
24/02/1964 00:00,0.550,4.85,"1b","CEH files","",""
14/03/1964 00:00,1.890,30.73,"1c","CEH files","",""
16/04/1964 00:00,0.790,9.02,"1b","CEH files","",""
03/05/1964 00:00,0.550,4.85,"1b","CEH files","",""
18/06/1964 00:00,2.260,37.14,"1c","CEH files","",""
08/07/1964 00:00,0.240,1.22,"1a","CEH files","",""
18/08/1964 00:00,0.160,0.63,"1a","CEH files","",""
04/09/1964 00:00,0.090,0.25,"1a","CEH files","",""
14/10/1964 00:00,0.410,2.94,"1a","CEH files","",""
16/11/1964 00:00,0.550,4.85,"1b","CEH files","",""
13/12/1964 00:00,0.850,10.23,"1b","CEH files","",""
13/01/1965 00:00,1.270,20.16,"1c","CEH files","",""
01/02/1965 00:00,0.300,1.77,"1a","CEH files","",""
20/03/1965 00:00,0.720,7.70,"1b","CEH files","",""
28/04/1965 00:00,0.420,3.06,"1a","CEH files","",""
04/05/1965 00:00,0.660,6.63,"1b","CEH files","",""
16/06/1965 00:00,0.340,2.17,"1a","CEH files","",""
12/07/1965 00:00,0.210,0.98,"1a","CEH files","",""
02/08/1965 00:00,0.690,7.15,"1b","CEH files","",""
03/09/1965 00:00,1.830,29.70,"1c","CEH files","",""
01/10/1965 00:00,0.510,4.26,"1b","CEH files","",""
09/12/1965 00:00,2.530,41.86,"1c","CEH files","",""
01/01/1966 00:00,1.280,20.33,"1c","CEH files","",""
25/02/1966 00:00,2.410,39.76,"1c","CEH files","",""
01/03/1966 00:00,0.430,3.18,"1a","CEH files","",""
18/04/1966 00:00,1.410,22.53,"1c","CEH files","",""
08/05/1966 00:00,0.490,3.98,"1b","CEH files","",""
23/06/1966 00:00,0.370,2.49,"1a","CEH files","",""
31/07/1966 00:00,0.370,2.49,"1a","CEH files","",""
07/08/1966 00:00,0.730,7.88,"1b","CEH files","",""
04/09/1966 00:00,0.180,0.76,"1a","CEH files","",""
22/10/1966 00:00,1.800,29.18,"1c","CEH files","",""
30/11/1966 00:00,1.090,15.68,"1b","CEH files","",""
10/12/1966 00:00,1.340,21.34,"1c","CEH files","",""
26/01/1967 00:00,1.450,23.20,"1c","CEH files","",""
27/02/1967 00:00,2.070,33.84,"1c","CEH files","",""
09/03/1967 00:00,0.820,9.62,"1b","CEH files","",""
10/04/1967 00:00,1.520,24.39,"1c","CEH files","",""
05/05/1967 00:00,0.820,9.62,"1b","CEH files","",""
25/06/1967 00:00,1.820,29.52,"1c","CEH files","",""
30/07/1967 00:00,0.170,0.70,"1a","CEH files","",""
02/08/1967 00:00,0.460,3.57,"1b","CEH files","",""
