"NAME:","Great Stour at Horton"
"NUMBER:","40011"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
08/07/1964 00:00,0.410,1.97,"2a","CEH files","",""
11/08/1964 00:00,0.460,2.22,"2a","CEH files","",""
04/09/1964 00:00,0.330,1.58,"2a","CEH files","",""
18/09/1964 00:00,0.780,7.01,"2d","CEH files","",""
18/11/1964 00:00,0.670,4.86,"2c","CEH files","",""
31/12/1964 00:00,0.860,8.58,"2d","CEH files","",""
18/01/1965 00:00,0.960,10.78,"2d","CEH files","",""
08/02/1965 00:00,0.630,3.99,"2c","CEH files","",""
20/03/1965 00:00,0.870,8.79,"2d","CEH files","",""
28/04/1965 00:00,0.660,4.63,"2c","CEH files","",""
05/05/1965 00:00,0.720,5.94,"2d","CEH files","",""
08/06/1965 00:00,0.470,2.27,"2a","CEH files","",""
12/07/1965 00:00,0.440,2.12,"2a","CEH files","",""
02/08/1965 00:00,0.630,3.99,"2c","CEH files","",""
04/09/1965 00:00,0.990,11.49,"2d","CEH files","",""
02/10/1965 00:00,0.610,3.59,"2c","CEH files","",""
30/11/1965 00:00,1.240,17.15,"2e","CEH files","",""
10/12/1965 00:00,1.300,18.76,"2f","CEH files","",""
02/01/1966 00:00,1.040,12.72,"2d","CEH files","",""
11/02/1966 00:00,1.400,22.86,"2f","CEH files","",""
01/03/1966 00:00,0.700,5.61,"2c","CEH files","",""
14/04/1966 00:00,1.210,16.53,"2e","CEH files","",""
04/05/1966 00:00,0.620,3.79,"2c","CEH files","",""
21/06/1966 00:00,0.590,3.23,"2c","CEH files","",""
30/07/1966 00:00,0.700,5.61,"2c","CEH files","",""
07/08/1966 00:00,0.810,7.58,"2d","CEH files","",""
01/09/1966 00:00,0.520,2.56,"2b","CEH files","",""
25/10/1966 00:00,1.520,28.79,"2g","CEH files","",""
08/11/1966 00:00,1.290,18.38,"2f","CEH files","",""
11/12/1966 00:00,1.410,23.30,"2f","CEH files","",""
28/01/1967 00:00,1.170,15.70,"2e","CEH files","",""
28/02/1967 00:00,1.310,19.15,"2f","CEH files","",""
09/03/1967 00:00,1.060,13.23,"2d","CEH files","",""
01/04/1967 00:00,1.180,15.91,"2e","CEH files","",""
05/05/1967 00:00,0.830,7.98,"2d","CEH files","",""
02/06/1967 00:00,0.610,3.59,"2c","CEH files","",""
01/07/1967 00:00,0.470,2.27,"2a","CEH files","",""
07/08/1967 00:00,0.590,3.23,"2c","CEH files","",""
15/09/1967 00:00,0.690,5.35,"2c","CEH files","",""
26/10/1967 00:00,0.910,9.65,"2d","CEH files","",""
05/11/1967 00:00,0.900,9.43,"2d","CEH files","",""
19/12/1967 00:00,1.170,15.70,"2e","CEH files","",""
15/01/1968 00:00,1.430,24.19,"2f","CEH files","",""
06/02/1968 00:00,1.390,22.43,"2f","CEH files","",""
01/03/1968 00:00,0.620,3.79,"2c","CEH files","",""
02/04/1968 00:00,0.690,5.35,"2c","CEH files","",""
05/05/1968 00:00,0.770,6.83,"2d","CEH files","",""
03/06/1968 00:00,0.430,2.07,"2a","CEH files","",""
15/07/1968 00:00,0.710,5.77,"2d","CEH files","",""
08/08/1968 00:00,0.820,7.78,"2d","CEH files","",""
16/09/1968 00:00,1.120,14.70,"2e","CEH files","",""
18/09/1968 00:30,0.619,3.77,"2c","Digital Archive","",""
27/09/1968 09:00,0.769,6.81,"2d","Digital Archive","",""
08/10/1968 23:45,0.563,2.90,"2b","Digital Archive","Non-independent peak removed",""
10/10/1968 00:00,1.020,12.22,"2d","CEH files","Non-independent peak removed",""
12/10/1968 09:15,0.694,5.45,"2c","Digital Archive","",""
12/11/1968 00:00,0.870,8.79,"2d","CEH files","",""
18/11/1968 11:30,0.602,3.44,"2c","Digital Archive","",""
21/12/1968 10:45,0.694,5.45,"2c","Digital Archive","",""
22/12/1968 00:00,1.250,17.37,"2e","CEH files","",""
16/01/1969 17:00,0.778,14.74,"1c","Digital Archive","",""
18/01/1969 12:45,1.250,33.66,"1c","CEH","Value in Digital Archive 0.859 m",""
13/02/1969 00:45,0.587,9.03,"1c","Digital Archive","",""
22/02/1969 09:00,1.121,27.84,"1c","Digital Archive","",""
13/03/1969 00:00,0.650,10.78,"1c","CEH files","",""
15/05/1969 09:15,0.625,10.07,"1c","Digital Archive","",""
03/08/1969 19:30,0.676,11.54,"1c","Digital Archive","",""
17/11/1969 14:45,0.967,21.53,"1c","Digital Archive","",""
22/11/1969 11:00,0.684,11.78,"1c","Digital Archive","",""
03/12/1969 15:15,0.560,8.36,"1b","Digital Archive","",""
08/12/1969 08:45,0.774,14.61,"1c","Digital Archive","Non-independent peak removed B",""
15/12/1969 06:00,0.662,11.13,"1c","Digital Archive","",""
23/12/1969 00:45,0.810,15.81,"1c","Digital Archive","",""
11/01/1970 00:30,0.703,12.36,"1c","Digital Archive","",""
15/01/1970 05:30,0.657,10.98,"1c","Digital Archive","",""
26/01/1970 13:45,1.019,23.58,"1c","Digital Archive","",""
30/01/1970 18:45,0.726,13.07,"1c","Digital Archive","",""
