"NAME:","Darent at Hawley"
"NUMBER:","40012"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
01/12/1963 00:00,,0.93,"HF02[migrated]5","CEH","",""
18/01/1964 00:00,,0.70,"HF02[migrated]5","CEH","",""
29/02/1964 00:00,,0.88,"HF02[migrated]5","CEH","",""
15/03/1964 00:00,,2.91,"HF02[migrated]5","CEH","",""
04/04/1964 00:00,,2.21,"HF02[migrated]5","CEH","",""
04/05/1964 00:00,,1.16,"HF02[migrated]5","CEH","",""
19/06/1964 00:00,,2.12,"HF02[migrated]5","CEH","",""
06/07/1964 00:00,,0.65,"HF02[migrated]5","CEH","",""
18/08/1964 00:00,,0.96,"HF02[migrated]5","CEH","",""
10/09/1964 00:00,,0.59,"HF02[migrated]5","CEH","",""
14/10/1964 00:00,,0.67,"HF02[migrated]5","CEH","",""
16/11/1964 00:00,,0.71,"HF02[migrated]5","CEH","",""
13/12/1964 00:00,,1.58,"HF02[migrated]5","CEH","",""
17/01/1965 00:00,,1.27,"HF02[migrated]5","CEH","",""
23/02/1965 00:00,,0.53,"HF02[migrated]5","CEH","",""
21/03/1965 00:00,,1.13,"HF02[migrated]5","CEH","",""
16/04/1965 00:00,,0.74,"HF02[migrated]5","CEH","",""
01/05/1965 00:00,,0.68,"HF02[migrated]5","CEH","",""
21/06/1965 00:00,,0.65,"HF02[migrated]5","CEH","",""
12/07/1965 00:00,,0.35,"HF02[migrated]5","CEH","",""
03/08/1965 00:00,,0.47,"HF02[migrated]5","CEH","",""
04/09/1965 00:00,,1.92,"HF02[migrated]5","CEH","",""
01/10/1965 00:00,,0.62,"HF02[migrated]5","CEH","",""
29/11/1965 00:00,,1.84,"HF02[migrated]5","CEH","",""
10/12/1965 00:00,,2.83,"HF02[migrated]5","CEH","",""
25/02/1966 00:00,,2.21,"HF02[migrated]5","CEH","",""
01/03/1966 00:00,,2.82,"HF02[migrated]5","CEH","",""
19/04/1966 00:00,,1.44,"HF02[migrated]5","CEH","",""
12/05/1966 00:00,,2.83,"HF02[migrated]5","CEH","",""
23/06/1966 00:00,,1.08,"HF02[migrated]5","CEH","",""
19/07/1966 00:00,,1.70,"HF02[migrated]5","CEH","",""
21/08/1966 00:00,,1.20,"HF02[migrated]5","CEH","",""
04/09/1966 00:00,,1.41,"HF02[migrated]5","CEH","",""
23/10/1966 00:00,,0.71,"HF02[migrated]5","CEH","",""
30/11/1966 00:00,,2.60,"HF02[migrated]5","CEH","",""
10/12/1966 00:00,,1.62,"HF02[migrated]5","CEH","",""
12/03/1967 00:00,,2.26,"HF02[migrated]5","CEH","",""
12/04/1967 00:00,,2.21,"HF02[migrated]5","CEH","",""
06/05/1967 00:00,,2.97,"HF02[migrated]5","CEH","",""
25/06/1967 00:00,,2.66,"HF02[migrated]5","CEH","",""
03/07/1967 00:00,,1.91,"HF02[migrated]5","CEH","",""
03/08/1967 00:00,,0.74,"HF02[migrated]5","CEH","",""
24/09/1967 00:00,,0.74,"HF02[migrated]5","CEH","",""
31/10/1967 00:00,,0.66,"HF02[migrated]5","CEH","",""
05/11/1967 00:00,,1.34,"HF02[migrated]5","CEH","",""
19/12/1967 00:00,,3.40,"HF02[migrated]5","CEH","",""
12/01/1968 00:00,,1.56,"HF02[migrated]5","CEH","",""
07/02/1968 00:00,,3.59,"HF02[migrated]5","CEH","",""
04/03/1968 00:00,,2.80,"HF02[migrated]5","CEH","",""
02/04/1968 00:00,,0.99,"HF02[migrated]5","CEH","",""
20/05/1968 00:00,,1.34,"HF02[migrated]5","CEH","",""
28/06/1968 00:00,,1.27,"HF02[migrated]5","CEH","",""
14/07/1968 00:00,,0.95,"HF02[migrated]5","CEH","",""
28/08/1968 00:00,,0.59,"HF02[migrated]5","CEH","",""
16/09/1968 00:00,,49.00,"HF02[migrated]5","CEH","",""
31/10/1968 00:00,,1.16,"HF02[migrated]5","CEH","",""
02/11/1968 00:00,,3.11,"HF02[migrated]5","CEH","",""
22/12/1968 00:00,,3.40,"HF02[migrated]5","CEH","",""
17/01/1969 00:00,,3.37,"HF02[migrated]5","CEH","",""
20/02/1969 00:00,,2.94,"HF02[migrated]5","CEH","",""
13/03/1969 00:00,,2.97,"HF02[migrated]5","CEH","",""
01/04/1969 00:00,,3.96,"HF02[migrated]5","CEH","",""
05/05/1969 00:00,,1.53,"HF02[migrated]5","CEH","",""
02/06/1969 00:00,,1.34,"HF02[migrated]5","CEH","",""
07/07/1969 00:00,,0.92,"HF02[migrated]5","CEH","",""
03/08/1969 00:00,,2.33,"HF02[migrated]5","CEH","",""
