"NAME:","Lymington at Brockenhurst"
"NUMBER:","42003"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
14/10/1982 10:30,1.381,17.00,"1d","Digital Archive","",""
17/10/1982 05:45,0.987,8.95,"1d","Digital Archive","",""
22/10/1982 13:00,1.485,19.41,"1d","Digital Archive","",""
08/11/1982 07:15,1.166,12.39,"1d","Digital Archive","",""
12/11/1982 19:00,1.024,9.63,"1d","Digital Archive","",""
24/11/1982 01:15,1.314,15.51,"1d","Digital Archive","",""
09/12/1982 09:30,1.516,20.15,"1d","Digital Archive","",""
19/12/1982 23:00,1.003,9.24,"1d","Digital Archive","",""
04/01/1983 12:15,1.042,9.97,"1d","Digital Archive","",""
31/01/1983 23:15,1.052,10.15,"1d","Digital Archive","",""
06/04/1983 02:45,0.981,8.84,"1d","Digital Archive","",""
12/05/1983 14:00,0.998,9.15,"1d","Digital Archive","",""
05/06/1983 23:45,1.238,13.88,"1d","Digital Archive","",""
24/06/1983 15:45,1.018,9.52,"1d","Digital Archive","",""
16/10/1983 01:45,0.959,8.45,"1d","Digital Archive","",""
20/12/1983 19:45,1.008,9.33,"1d","Digital Archive","",""
22/12/1983 21:45,1.133,11.73,"1d","Digital Archive","",""
16/01/1984 22:45,1.097,11.02,"1d","Digital Archive","",""
23/01/1984 15:00,1.050,10.12,"1d","Digital Archive","",""
26/01/1984 10:45,1.077,10.63,"1d","Digital Archive","",""
31/01/1984 01:45,0.973,8.70,"1d","Digital Archive","",""
24/03/1984 18:15,1.064,10.38,"1d","Digital Archive","",""
26/05/1984 20:45,1.019,9.54,"1d","Digital Archive","",""
22/11/1984 21:45,1.174,12.55,"1d","Digital Archive","",""
27/12/1984 07:00,1.154,12.15,"1d","Digital Archive","",""
20/01/1985 16:30,1.656,23.61,"1d","Digital Archive","Genuine peak.",""
08/02/1985 16:00,0.957,8.41,"1d","Digital Archive","",""
07/12/1985 02:15,0.999,9.17,"1d","Digital Archive","",""
26/12/1985 13:45,1.189,12.86,"1d","Digital Archive","",""
02/01/1986 00:45,0.995,9.10,"1d","Digital Archive","",""
08/01/1986 07:45,1.062,10.34,"1d","Digital Archive","",""
22/01/1986 19:00,0.958,8.43,"1d","Digital Archive","",""
20/04/1986 14:45,0.973,8.70,"1d","Digital Archive","",""
20/05/1986 19:15,1.041,9.95,"1d","Digital Archive","",""
26/08/1986 07:15,1.215,13.40,"1d","Digital Archive","",""
19/11/1986 05:15,1.075,10.59,"1d","Digital Archive","",""
21/11/1986 08:45,1.282,14.82,"1d","Digital Archive","",""
12/12/1986 00:00,1.008,9.33,"1d","Digital Archive","",""
15/12/1986 23:15,1.332,15.91,"1d","Digital Archive","",""
01/01/1987 08:00,1.000,9.19,"1d","Digital Archive","",""
28/02/1987 01:30,0.986,8.93,"1d","Digital Archive","",""
24/03/1987 00:00,1.266,14.47,"1d","Digital Archive","",""
27/03/1987 15:15,1.251,14.15,"1d","Digital Archive","",""
01/04/1987 21:15,1.026,9.67,"1d","Digital Archive","",""
04/04/1987 22:30,1.138,11.83,"1d","Digital Archive","",""
07/04/1987 20:00,1.138,11.83,"1d","Digital Archive","",""
10/10/1987 14:30,1.103,11.13,"1d","Digital Archive","",""
16/10/1987 11:00,1.095,10.98,"1d","Digital Archive","",""
12/11/1987 05:00,1.383,17.05,"1d","Digital Archive","",""
15/11/1987 21:15,0.967,8.59,"1d","Digital Archive","",""
22/01/1988 14:15,0.990,9.00,"1d","Digital Archive","",""
24/01/1988 09:45,1.037,9.87,"1d","Digital Archive","",""
26/01/1988 08:15,1.001,9.21,"1d","Digital Archive","",""
29/01/1988 13:00,1.213,13.35,"1d","Digital Archive","",""
01/02/1988 11:45,1.274,14.64,"1d","Digital Archive","",""
21/03/1988 04:30,1.314,15.51,"1d","Digital Archive","",""
09/10/1988 18:15,1.215,13.40,"1d","Digital Archive","",""
25/02/1989 00:15,1.240,13.92,"1d","Digital Archive","",""
02/03/1989 19:30,0.958,8.43,"1d","Digital Archive","",""
15/03/1989 03:00,0.980,8.82,"1d","Digital Archive","",""
16/03/1989 23:45,1.101,11.10,"1d","Digital Archive","",""
21/03/1989 07:15,1.095,10.98,"1d","Digital Archive","",""
11/04/1989 20:45,1.087,10.82,"1d","Digital Archive","",""
14/12/1989 15:15,1.309,15.40,"1d","Digital Archive","",""
16/12/1989 17:00,1.133,11.73,"1d","Digital Archive","",""
19/12/1989 04:30,0.961,8.48,"1d","Digital Archive","",""
07/01/1990 03:30,0.981,8.84,"1d","Digital Archive","",""
23/01/1990 18:30,0.958,8.43,"1d","Digital Archive","",""
31/01/1990 10:15,1.118,11.43,"1d","Digital Archive","",""
03/02/1990 18:00,1.733,25.59,"1d","Digital Archive","Genuine peak.",""
07/02/1990 21:30,1.588,21.91,"1d","Digital Archive","",""
