"NAME:","Stour at Throop"
"NUMBER:","43007"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
12/02/1974 00:00,1.490,135.35,"4d","CEH files","",""
17/02/1974 00:00,1.390,119.49,"4d","CEH files","",""
07/09/1974 00:00,1.070,67.21,"4d","CEH files","",""
29/09/1974 00:00,1.270,100.19,"4d","CEH files","",""
23/11/1974 00:00,1.520,140.08,"4d","CEH files","",""
28/12/1974 00:00,1.160,82.20,"4d","CEH files","",""
20/01/1975 00:00,1.340,111.49,"4d","CEH files","",""
21/01/1975 00:00,1.390,119.49,"4d","CEH files","",""
28/01/1975 00:00,1.190,87.14,"4d","CEH files","",""
10/03/1975 00:00,1.070,67.21,"4d","CEH files","",""
13/03/1976 00:00,0.780,28.62,"4c","CEH files","",""
16/10/1976 00:00,1.340,111.49,"4d","CEH files","",""
02/12/1976 00:00,1.360,114.70,"4d","CEH files","",""
07/12/1976 00:00,1.150,80.55,"4d","CEH files","",""
02/01/1977 00:00,1.140,78.89,"4d","CEH files","",""
15/01/1977 00:00,1.220,92.06,"4d","CEH files","",""
11/02/1977 00:00,1.140,78.89,"4d","CEH files","",""
20/02/1977 00:00,1.240,95.32,"4d","CEH files","",""
17/03/1977 00:00,1.170,83.85,"4d","CEH files","",""
11/12/1977 00:00,1.410,122.68,"4d","CEH files","",""
24/01/1978 00:00,1.060,65.52,"4d","CEH files","",""
29/01/1978 00:00,1.370,116.30,"4d","CEH files","",""
05/02/1978 00:00,1.100,72.24,"4d","CEH files","",""
24/02/1978 00:00,1.430,125.86,"4d","CEH files","",""
03/05/1978 00:00,1.110,73.90,"4d","CEH files","",""
30/12/1978 00:00,1.100,72.24,"4d","CEH files","",""
21/01/1979 00:00,1.090,70.56,"4d","CEH files","",""
03/02/1979 00:00,1.160,82.20,"4d","CEH files","",""
26/03/1979 00:00,1.170,83.85,"4d","CEH files","",""
01/06/1979 00:00,1.670,163.49,"4d","CEH files","",""
15/12/1979 00:00,1.220,92.06,"4d","CEH files","",""
28/12/1979 00:00,1.970,209.45,"4d","CEH files","",""
22/01/1980 00:00,1.090,70.56,"4d","CEH files","",""
24/03/1980 00:00,1.100,72.24,"4d","CEH files","",""
11/03/1981 00:00,1.210,90.42,"4d","CEH files","",""
23/03/1981 00:00,1.070,67.21,"4d","CEH files","",""
15/12/1981 00:00,1.200,88.78,"4d","CEH files","",""
22/12/1981 00:00,1.180,85.50,"4d","CEH files","",""
17/03/1982 00:00,1.320,108.27,"4d","CEH files","",""
09/11/1982 00:00,1.220,92.06,"4d","CEH files","",""
13/11/1982 00:00,1.080,68.89,"4d","CEH files","",""
26/11/1982 00:00,1.090,70.56,"4d","CEH files","",""
11/12/1982 00:00,1.140,78.89,"4d","CEH files","",""
02/02/1983 00:00,1.150,80.55,"4d","CEH files","",""
22/12/1983 00:00,1.130,77.23,"4d","CEH files","",""
25/01/1984 00:00,1.100,72.24,"4d","CEH files","",""
27/01/1984 00:00,1.240,95.32,"4d","CEH files","",""
22/01/1985 00:00,1.300,105.05,"4d","CEH files","",""
27/12/1985 00:00,1.340,111.49,"4d","CEH files","",""
03/01/1986 00:00,1.080,68.89,"4d","CEH files","",""
09/01/1986 00:00,1.090,70.56,"4d","CEH files","",""
30/01/1986 00:00,1.320,108.27,"4d","CEH files","",""
13/12/1986 00:00,1.160,82.20,"4d","CEH files","",""
17/12/1986 00:00,1.170,83.85,"4d","CEH files","",""
02/02/1988 00:00,,88.08,"4a","EA","From EA","AMAX ONLY"
26/02/1989 00:00,,85.92,"4a","EA","","AMAX ONLY"
04/02/1990 00:00,,137.65,"4a","EA","","AMAX ONLY"
10/03/1991 00:00,,81.55,"4a","EA","","AMAX ONLY"
08/04/1992 00:00,,42.21,"THEO & regression for bypass4","EA","","AMAX ONLY"
09/04/1992 04:45,0.911,45.70,"THEO & regression for bypass2","Digital Archive","","AMAX ONLY"
27/11/1992 20:15,1.072,63.59,"THEO & regression for bypass3","Digital Archive","",""
04/12/1992 09:30,1.325,90.97,"THEO & regression for bypass3","Digital Archive","",""
09/12/1992 01:30,1.294,87.65,"THEO & regression for bypass3","Digital Archive","",""
20/12/1992 07:00,1.435,102.78,"THEO & regression for bypass4","Digital Archive","Genuine peak.",""
12/01/1993 14:45,1.297,87.97,"THEO & regression for bypass3","Digital Archive","",""
28/01/1993 16:45,0.958,50.97,"THEO & regression for bypass2","Digital Archive","",""
06/04/1993 19:45,0.938,48.73,"THEO & regression for bypass2","Digital Archive","",""
08/10/1993 18:45,1.340,92.57,"THEO & regression for bypass3","Digital Archive","",""
15/10/1993 02:45,1.447,105.27,"THEO & regression for bypass4","Digital Archive","Genuine peak.",""
16/12/1993 19:45,0.970,52.31,"THEO & regression for bypass2","Digital Archive","",""
22/12/1993 08:00,1.411,100.12,"THEO & regression for bypass3","Digital Archive","",""
01/01/1994 15:15,1.169,74.18,"THEO & regression for bypass3","Digital Archive","",""
07/01/1994 12:45,1.389,97.79,"THEO & regression for bypass3","Digital Archive","",""
11/01/1994 17:00,1.192,76.67,"THEO & regression for bypass3","Digital Archive","",""
05/02/1994 06:30,1.154,72.55,"THEO & regression for bypass3","Digital Archive","",""
12/02/1994 15:45,1.001,55.76,"THEO & regression for bypass2","Digital Archive","",""
24/02/1994 21:30,1.131,70.04,"THEO & regression for bypass3","Digital Archive","Non-independent peak removed",""
02/04/1994 20:15,1.123,69.17,"THEO & regression for bypass3","Digital Archive","",""
10/04/1994 11:00,1.008,56.53,"THEO & regression for bypass2","Digital Archive","",""
02/11/1994 13:15,1.115,68.30,"THEO & regression for bypass3","Digital Archive","",""
11/11/1994 08:00,1.526,121.71,"THEO & regression for bypass4","Digital Archive","Genuine peak.",""
10/12/1994 14:15,1.319,90.33,"THEO & regression for bypass3","Digital Archive","",""
30/12/1994 18:30,1.106,67.31,"THEO & regression for bypass3","Digital Archive","",""
07/01/1995 09:30,1.082,64.69,"THEO & regression for bypass3","Digital Archive","",""
22/01/1995 02:15,1.289,87.12,"THEO & regression for bypass3","Digital Archive","",""
30/01/1995 03:00,1.238,81.64,"THEO & regression for bypass3","Digital Archive","",""
03/02/1995 09:30,1.235,81.31,"THEO & regression for bypass3","Digital Archive","",""
13/02/1995 11:45,1.192,76.67,"THEO & regression for bypass3","Digital Archive","",""
24/02/1995 09:30,1.095,66.11,"THEO & regression for bypass3","Digital Archive","",""
04/03/1995 12:15,1.067,63.04,"THEO & regression for bypass3","Digital Archive","",""
29/11/1995 09:15,0.958,50.97,"THEO & regression for bypass2","Digital Archive","",""
24/12/1995 06:45,1.315,89.90,"THEO & regression for bypass3","Digital Archive","",""
10/01/1996 19:30,1.106,67.31,"THEO & regression for bypass3","Digital Archive","",""
14/02/1996 09:15,1.185,75.91,"THEO & regression for bypass3","Digital Archive","",""
26/02/1996 01:45,0.978,53.20,"THEO & regression for bypass2","Digital Archive","",""
22/03/1996 18:15,0.949,49.96,"THEO & regression for bypass2","Digital Archive","",""
24/04/1996 11:30,0.924,47.16,"THEO & regression for bypass2","Digital Archive","",""
22/11/1996 05:00,0.972,52.53,"THEO & regression for bypass2","Digital Archive","",""
14/02/1997 16:30,0.933,48.17,"THEO & regression for bypass2","Digital Archive","",""
19/02/1997 18:45,0.936,48.51,"THEO & regression for bypass2","Digital Archive","",""
26/02/1997 18:45,1.018,57.64,"THEO & regression for bypass3","Digital Archive","",""
06/03/1997 05:00,1.001,55.76,"THEO & regression for bypass2","Digital Archive","",""
22/11/1997 15:00,1.108,67.53,"THEO & regression for bypass3","Digital Archive","",""
30/11/1997 10:00,1.090,65.56,"THEO & regression for bypass3","Digital Archive","",""
26/12/1997 10:00,0.975,52.87,"THEO & regression for bypass2","Digital Archive","",""
07/01/1998 05:00,1.450,105.90,"THEO & regression for bypass4","Digital Archive","Genuine peak, slightly noisy.",""
20/01/1998 10:00,1.146,71.68,"THEO & regression for bypass3","Digital Archive","",""
27/10/1998 02:15,1.008,56.53,"THEO & regression for bypass2","Digital Archive","",""
03/11/1998 06:30,1.258,83.79,"THEO & regression for bypass3","Digital Archive","",""
11/11/1998 08:45,0.938,48.73,"THEO & regression for bypass2","Digital Archive","",""
28/12/1998 18:45,1.199,77.43,"THEO & regression for bypass3","Digital Archive","",""
05/01/1999 02:45,1.019,57.75,"THEO & regression for bypass3","Digital Archive","",""
13/01/1999 22:30,0.939,48.84,"THEO & regression for bypass2","Digital Archive","",""
21/01/1999 17:00,1.402,99.17,"THEO & regression for bypass3","Digital Archive","",""
25/04/1999 14:45,1.034,59.41,"THEO & regression for bypass3","Digital Archive","",""
26/10/1999 22:15,1.057,61.94,"THEO & regression for bypass3","Digital Archive","",""
21/12/1999 04:00,1.123,69.17,"THEO & regression for bypass3","Digital Archive","",""
26/12/1999 00:15,1.631,143.55,"THEO & regression for bypass4","Digital Archive","Genuine peak.",""
05/01/2000 08:45,1.042,60.29,"THEO & regression for bypass3","Digital Archive","",""
03/02/2000 15:45,0.916,46.26,"THEO & regression for bypass2","Digital Archive","",""
29/02/2000 20:30,1.082,64.69,"THEO & regression for bypass3","Digital Archive","",""
